Ion = Hydrogen    . Mass = 1.0079
Tgt = Ta (Solid). Density = 16.601 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.984E+00  2.636E-01 
1.012E+00   5.013E+00  2.639E-01 
1.023E+00   5.042E+00  2.643E-01 
1.035E+00   5.071E+00  2.646E-01 
1.047E+00   5.101E+00  2.650E-01 
1.059E+00   5.130E+00  2.653E-01 
1.072E+00   5.160E+00  2.656E-01 
1.084E+00   5.190E+00  2.660E-01 
1.097E+00   5.220E+00  2.663E-01 
1.109E+00   5.250E+00  2.666E-01 
1.122E+00   5.280E+00  2.669E-01 
1.135E+00   5.311E+00  2.673E-01 
1.148E+00   5.342E+00  2.676E-01 
1.162E+00   5.372E+00  2.679E-01 
1.175E+00   5.403E+00  2.682E-01 
1.189E+00   5.435E+00  2.685E-01 
1.203E+00   5.466E+00  2.688E-01 
1.217E+00   5.498E+00  2.691E-01 
1.231E+00   5.530E+00  2.694E-01 
1.245E+00   5.562E+00  2.697E-01 
1.259E+00   5.594E+00  2.700E-01 
1.274E+00   5.626E+00  2.702E-01 
1.289E+00   5.659E+00  2.705E-01 
1.304E+00   5.691E+00  2.708E-01 
1.319E+00   5.724E+00  2.711E-01 
1.334E+00   5.757E+00  2.713E-01 
1.350E+00   5.791E+00  2.716E-01 
1.365E+00   5.824E+00  2.719E-01 
1.381E+00   5.858E+00  2.721E-01 
1.397E+00   5.892E+00  2.724E-01 
1.413E+00   5.926E+00  2.726E-01 
1.430E+00   5.960E+00  2.729E-01 
1.446E+00   5.994E+00  2.731E-01 
1.463E+00   6.029E+00  2.733E-01 
1.480E+00   6.064E+00  2.736E-01 
1.497E+00   6.099E+00  2.738E-01 
1.515E+00   6.134E+00  2.740E-01 
1.532E+00   6.170E+00  2.742E-01 
1.550E+00   6.205E+00  2.744E-01 
1.568E+00   6.241E+00  2.747E-01 
1.586E+00   6.277E+00  2.749E-01 
1.605E+00   6.314E+00  2.751E-01 
1.623E+00   6.350E+00  2.753E-01 
1.642E+00   6.387E+00  2.754E-01 
1.661E+00   6.424E+00  2.756E-01 
1.680E+00   6.461E+00  2.758E-01 
1.700E+00   6.498E+00  2.760E-01 
1.719E+00   6.536E+00  2.762E-01 
1.739E+00   6.574E+00  2.763E-01 
1.760E+00   6.612E+00  2.765E-01 
1.780E+00   6.650E+00  2.767E-01 
1.801E+00   6.689E+00  2.768E-01 
1.822E+00   6.727E+00  2.770E-01 
1.843E+00   6.766E+00  2.771E-01 
1.864E+00   6.805E+00  2.773E-01 
1.886E+00   6.845E+00  2.774E-01 
1.908E+00   6.884E+00  2.776E-01 
1.930E+00   6.924E+00  2.777E-01 
1.952E+00   6.964E+00  2.778E-01 
1.975E+00   7.004E+00  2.779E-01 
1.998E+00   7.045E+00  2.781E-01 
2.021E+00   7.084E+00  2.782E-01 
2.044E+00   7.119E+00  2.783E-01 
2.068E+00   7.154E+00  2.784E-01 
2.092E+00   7.189E+00  2.785E-01 
2.116E+00   7.225E+00  2.786E-01 
2.141E+00   7.260E+00  2.787E-01 
2.166E+00   7.296E+00  2.787E-01 
2.191E+00   7.332E+00  2.788E-01 
2.216E+00   7.368E+00  2.789E-01 
2.242E+00   7.405E+00  2.790E-01 
2.268E+00   7.441E+00  2.790E-01 
2.294E+00   7.478E+00  2.791E-01 
2.321E+00   7.515E+00  2.791E-01 
2.348E+00   7.552E+00  2.792E-01 
2.375E+00   7.590E+00  2.792E-01 
2.402E+00   7.628E+00  2.793E-01 
2.430E+00   7.665E+00  2.793E-01 
2.458E+00   7.703E+00  2.793E-01 
2.487E+00   7.742E+00  2.794E-01 
2.516E+00   7.780E+00  2.794E-01 
2.545E+00   7.819E+00  2.794E-01 
2.574E+00   7.858E+00  2.794E-01 
2.604E+00   7.897E+00  2.794E-01 
2.635E+00   7.936E+00  2.794E-01 
2.665E+00   7.976E+00  2.794E-01 
2.696E+00   8.016E+00  2.794E-01 
2.727E+00   8.056E+00  2.794E-01 
2.759E+00   8.096E+00  2.793E-01 
2.791E+00   8.136E+00  2.793E-01 
2.823E+00   8.177E+00  2.793E-01 
2.856E+00   8.218E+00  2.792E-01 
2.889E+00   8.259E+00  2.792E-01 
2.923E+00   8.300E+00  2.792E-01 
2.957E+00   8.342E+00  2.791E-01 
2.991E+00   8.384E+00  2.790E-01 
3.026E+00   8.426E+00  2.790E-01 
3.061E+00   8.468E+00  2.789E-01 
3.096E+00   8.511E+00  2.788E-01 
3.132E+00   8.553E+00  2.787E-01 
3.168E+00   8.596E+00  2.787E-01 
3.205E+00   8.639E+00  2.786E-01 
3.242E+00   8.683E+00  2.785E-01 
3.280E+00   8.727E+00  2.784E-01 
3.318E+00   8.771E+00  2.783E-01 
3.356E+00   8.815E+00  2.781E-01 
3.395E+00   8.859E+00  2.780E-01 
3.435E+00   8.904E+00  2.779E-01 
3.475E+00   8.949E+00  2.778E-01 
3.515E+00   8.994E+00  2.776E-01 
3.556E+00   9.039E+00  2.775E-01 
3.597E+00   9.085E+00  2.774E-01 
3.639E+00   9.131E+00  2.772E-01 
3.681E+00   9.177E+00  2.770E-01 
3.724E+00   9.224E+00  2.769E-01 
3.767E+00   9.270E+00  2.767E-01 
3.810E+00   9.317E+00  2.765E-01 
3.855E+00   9.365E+00  2.764E-01 
3.899E+00   9.412E+00  2.762E-01 
3.945E+00   9.460E+00  2.760E-01 
3.990E+00   9.508E+00  2.758E-01 
4.037E+00   9.556E+00  2.756E-01 
4.083E+00   9.605E+00  2.754E-01 
4.131E+00   9.653E+00  2.752E-01 
4.179E+00   9.702E+00  2.749E-01 
4.227E+00   9.752E+00  2.747E-01 
