Ion = Hydrogen    . Mass = 1.0079
Tgt =  W (Solid). Density = 19.35 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.598E+00  2.645E-01 
1.012E+00   4.624E+00  2.649E-01 
1.023E+00   4.651E+00  2.652E-01 
1.035E+00   4.678E+00  2.656E-01 
1.047E+00   4.705E+00  2.660E-01 
1.059E+00   4.732E+00  2.663E-01 
1.072E+00   4.760E+00  2.667E-01 
1.084E+00   4.787E+00  2.670E-01 
1.097E+00   4.815E+00  2.674E-01 
1.109E+00   4.843E+00  2.677E-01 
1.122E+00   4.871E+00  2.681E-01 
1.135E+00   4.899E+00  2.684E-01 
1.148E+00   4.927E+00  2.687E-01 
1.162E+00   4.956E+00  2.691E-01 
1.175E+00   4.984E+00  2.694E-01 
1.189E+00   5.013E+00  2.697E-01 
1.203E+00   5.042E+00  2.700E-01 
1.217E+00   5.071E+00  2.703E-01 
1.231E+00   5.101E+00  2.706E-01 
1.245E+00   5.130E+00  2.709E-01 
1.259E+00   5.160E+00  2.712E-01 
1.274E+00   5.190E+00  2.715E-01 
1.289E+00   5.220E+00  2.718E-01 
1.304E+00   5.250E+00  2.721E-01 
1.319E+00   5.280E+00  2.724E-01 
1.334E+00   5.311E+00  2.727E-01 
1.350E+00   5.341E+00  2.730E-01 
1.365E+00   5.372E+00  2.733E-01 
1.381E+00   5.403E+00  2.735E-01 
1.397E+00   5.434E+00  2.738E-01 
1.413E+00   5.466E+00  2.741E-01 
1.430E+00   5.498E+00  2.743E-01 
1.446E+00   5.529E+00  2.746E-01 
1.463E+00   5.561E+00  2.748E-01 
1.480E+00   5.593E+00  2.751E-01 
1.497E+00   5.626E+00  2.753E-01 
1.515E+00   5.658E+00  2.756E-01 
1.532E+00   5.691E+00  2.758E-01 
1.550E+00   5.724E+00  2.760E-01 
1.568E+00   5.757E+00  2.763E-01 
1.586E+00   5.790E+00  2.765E-01 
1.605E+00   5.824E+00  2.767E-01 
1.623E+00   5.858E+00  2.769E-01 
1.642E+00   5.891E+00  2.771E-01 
1.661E+00   5.925E+00  2.773E-01 
1.680E+00   5.960E+00  2.775E-01 
1.700E+00   5.994E+00  2.777E-01 
1.719E+00   6.029E+00  2.779E-01 
1.739E+00   6.064E+00  2.781E-01 
1.760E+00   6.099E+00  2.783E-01 
1.780E+00   6.134E+00  2.785E-01 
1.801E+00   6.170E+00  2.786E-01 
1.822E+00   6.205E+00  2.788E-01 
1.843E+00   6.241E+00  2.790E-01 
1.864E+00   6.277E+00  2.791E-01 
1.886E+00   6.313E+00  2.793E-01 
1.908E+00   6.350E+00  2.794E-01 
1.930E+00   6.387E+00  2.796E-01 
1.952E+00   6.424E+00  2.797E-01 
1.975E+00   6.461E+00  2.799E-01 
1.998E+00   6.498E+00  2.800E-01 
2.021E+00   6.534E+00  2.801E-01 
2.044E+00   6.564E+00  2.802E-01 
2.068E+00   6.594E+00  2.804E-01 
2.092E+00   6.625E+00  2.805E-01 
2.116E+00   6.655E+00  2.806E-01 
2.141E+00   6.687E+00  2.807E-01 
2.166E+00   6.718E+00  2.808E-01 
2.191E+00   6.750E+00  2.809E-01 
