Ion = Hydrogen    . Mass = 1.0079
Tgt = Re (Solid). Density = 20.53 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.654E+00  2.625E-01 
1.012E+00   4.681E+00  2.629E-01 
1.023E+00   4.708E+00  2.632E-01 
1.035E+00   4.736E+00  2.636E-01 
1.047E+00   4.763E+00  2.639E-01 
1.059E+00   4.790E+00  2.643E-01 
1.072E+00   4.818E+00  2.646E-01 
1.084E+00   4.846E+00  2.649E-01 
1.097E+00   4.874E+00  2.653E-01 
1.109E+00   4.902E+00  2.656E-01 
1.122E+00   4.931E+00  2.659E-01 
1.135E+00   4.959E+00  2.662E-01 
1.148E+00   4.988E+00  2.666E-01 
1.162E+00   5.017E+00  2.669E-01 
1.175E+00   5.046E+00  2.672E-01 
1.189E+00   5.075E+00  2.675E-01 
1.203E+00   5.104E+00  2.678E-01 
1.217E+00   5.134E+00  2.681E-01 
1.231E+00   5.163E+00  2.684E-01 
1.245E+00   5.193E+00  2.687E-01 
1.259E+00   5.223E+00  2.690E-01 
1.274E+00   5.253E+00  2.692E-01 
1.289E+00   5.284E+00  2.695E-01 
1.304E+00   5.314E+00  2.698E-01 
1.319E+00   5.345E+00  2.701E-01 
1.334E+00   5.376E+00  2.703E-01 
1.350E+00   5.407E+00  2.706E-01 
1.365E+00   5.438E+00  2.709E-01 
1.381E+00   5.470E+00  2.711E-01 
1.397E+00   5.501E+00  2.714E-01 
1.413E+00   5.533E+00  2.716E-01 
1.430E+00   5.565E+00  2.719E-01 
1.446E+00   5.597E+00  2.721E-01 
1.463E+00   5.630E+00  2.724E-01 
1.480E+00   5.662E+00  2.726E-01 
1.497E+00   5.695E+00  2.728E-01 
1.515E+00   5.728E+00  2.730E-01 
1.532E+00   5.761E+00  2.733E-01 
1.550E+00   5.794E+00  2.735E-01 
1.568E+00   5.828E+00  2.737E-01 
1.586E+00   5.862E+00  2.739E-01 
1.605E+00   5.896E+00  2.741E-01 
1.623E+00   5.930E+00  2.743E-01 
1.642E+00   5.964E+00  2.745E-01 
1.661E+00   5.998E+00  2.747E-01 
1.680E+00   6.033E+00  2.749E-01 
1.700E+00   6.068E+00  2.751E-01 
1.719E+00   6.103E+00  2.752E-01 
1.739E+00   6.138E+00  2.754E-01 
1.760E+00   6.174E+00  2.756E-01 
1.780E+00   6.210E+00  2.758E-01 
1.801E+00   6.246E+00  2.759E-01 
1.822E+00   6.282E+00  2.761E-01 
