Ion = Hydrogen    . Mass = 1.0079
Tgt = Os (Solid). Density = 22.48 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.138E+00  2.591E-01 
1.012E+00   4.162E+00  2.594E-01 
1.023E+00   4.186E+00  2.597E-01 
1.035E+00   4.211E+00  2.601E-01 
1.047E+00   4.235E+00  2.604E-01 
1.059E+00   4.260E+00  2.607E-01 
1.072E+00   4.284E+00  2.611E-01 
1.084E+00   4.309E+00  2.614E-01 
1.097E+00   4.334E+00  2.617E-01 
1.109E+00   4.359E+00  2.620E-01 
1.122E+00   4.384E+00  2.623E-01 
1.135E+00   4.409E+00  2.626E-01 
1.148E+00   4.435E+00  2.629E-01 
1.162E+00   4.461E+00  2.632E-01 
1.175E+00   4.486E+00  2.635E-01 
1.189E+00   4.512E+00  2.638E-01 
1.203E+00   4.538E+00  2.641E-01 
1.217E+00   4.565E+00  2.644E-01 
1.231E+00   4.591E+00  2.647E-01 
1.245E+00   4.618E+00  2.649E-01 
1.259E+00   4.644E+00  2.652E-01 
1.274E+00   4.671E+00  2.655E-01 
1.289E+00   4.698E+00  2.658E-01 
1.304E+00   4.725E+00  2.660E-01 
1.319E+00   4.753E+00  2.663E-01 
1.334E+00   4.780E+00  2.665E-01 
1.350E+00   4.808E+00  2.668E-01 
1.365E+00   4.836E+00  2.670E-01 
1.381E+00   4.864E+00  2.673E-01 
1.397E+00   4.892E+00  2.675E-01 
1.413E+00   4.920E+00  2.678E-01 
1.430E+00   4.948E+00  2.680E-01 
1.446E+00   4.977E+00  2.682E-01 
1.463E+00   5.006E+00  2.684E-01 
1.480E+00   5.035E+00  2.687E-01 
1.497E+00   5.064E+00  2.689E-01 
1.515E+00   5.093E+00  2.691E-01 
1.532E+00   5.123E+00  2.693E-01 
1.550E+00   5.152E+00  2.695E-01 
1.568E+00   5.182E+00  2.697E-01 
1.586E+00   5.212E+00  2.699E-01 
1.605E+00   5.242E+00  2.701E-01 
1.623E+00   5.272E+00  2.703E-01 
1.642E+00   5.303E+00  2.705E-01 
1.661E+00   5.334E+00  2.706E-01 
1.680E+00   5.364E+00  2.708E-01 
1.700E+00   5.396E+00  2.710E-01 
1.719E+00   5.427E+00  2.712E-01 
1.739E+00   5.458E+00  2.713E-01 
1.760E+00   5.490E+00  2.715E-01 
1.780E+00   5.521E+00  2.716E-01 
1.801E+00   5.553E+00  2.718E-01 
1.822E+00   5.585E+00  2.719E-01 
1.843E+00   5.618E+00  2.721E-01 
1.864E+00   5.650E+00  2.722E-01 
1.886E+00   5.683E+00  2.724E-01 
1.908E+00   5.716E+00  2.725E-01 
1.930E+00   5.749E+00  2.726E-01 
1.952E+00   5.782E+00  2.727E-01 
1.975E+00   5.815E+00  2.728E-01 
1.998E+00   5.849E+00  2.730E-01 
2.021E+00   5.881E+00  2.731E-01 
2.044E+00   5.907E+00  2.732E-01 
2.068E+00   5.933E+00  2.733E-01 
2.092E+00   5.959E+00  2.734E-01 
2.116E+00   5.985E+00  2.735E-01 
2.141E+00   6.012E+00  2.735E-01 
2.166E+00   6.039E+00  2.736E-01 
2.191E+00   6.066E+00  2.737E-01 
2.216E+00   6.093E+00  2.738E-01 
2.242E+00   6.121E+00  2.738E-01 
2.268E+00   6.148E+00  2.739E-01 
2.294E+00   6.176E+00  2.740E-01 
2.321E+00   6.205E+00  2.740E-01 
2.348E+00   6.233E+00  2.741E-01 
2.375E+00   6.262E+00  2.741E-01 
2.402E+00   6.291E+00  2.741E-01 
2.430E+00   6.320E+00  2.742E-01 
2.458E+00   6.350E+00  2.742E-01 
2.487E+00   6.379E+00  2.742E-01 
2.516E+00   6.409E+00  2.742E-01 
2.545E+00   6.439E+00  2.743E-01 
2.574E+00   6.470E+00  2.743E-01 
2.604E+00   6.501E+00  2.743E-01 
2.635E+00   6.532E+00  2.743E-01 
2.665E+00   6.563E+00  2.743E-01 
2.696E+00   6.595E+00  2.743E-01 
2.727E+00   6.626E+00  2.742E-01 
2.759E+00   6.659E+00  2.742E-01 
2.791E+00   6.691E+00  2.742E-01 
2.823E+00   6.724E+00  2.742E-01 
2.856E+00   6.757E+00  2.741E-01 
2.889E+00   6.790E+00  2.741E-01 
2.923E+00   6.823E+00  2.740E-01 
2.957E+00   6.857E+00  2.740E-01 
2.991E+00   6.891E+00  2.739E-01 
3.026E+00   6.926E+00  2.739E-01 
3.061E+00   6.960E+00  2.738E-01 
3.096E+00   6.995E+00  2.737E-01 
3.132E+00   7.031E+00  2.737E-01 
3.168E+00   7.066E+00  2.736E-01 
3.205E+00   7.102E+00  2.735E-01 
3.242E+00   7.139E+00  2.734E-01 
3.280E+00   7.175E+00  2.733E-01 
3.318E+00   7.212E+00  2.732E-01 
3.356E+00   7.249E+00  2.731E-01 
3.395E+00   7.287E+00  2.730E-01 
3.435E+00   7.325E+00  2.729E-01 
3.475E+00   7.363E+00  2.728E-01 
3.515E+00   7.402E+00  2.726E-01 
3.556E+00   7.440E+00  2.725E-01 
3.597E+00   7.480E+00  2.724E-01 
3.639E+00   7.519E+00  2.722E-01 
3.681E+00   7.559E+00  2.721E-01 
3.724E+00   7.600E+00  2.719E-01 
3.767E+00   7.640E+00  2.718E-01 
3.810E+00   7.681E+00  2.716E-01 
3.855E+00   7.723E+00  2.714E-01 
3.899E+00   7.764E+00  2.713E-01 
3.945E+00   7.807E+00  2.711E-01 
3.990E+00   7.849E+00  2.709E-01 
4.037E+00   7.892E+00  2.707E-01 
4.083E+00   7.935E+00  2.705E-01 
4.131E+00   7.979E+00  2.703E-01 
4.179E+00   8.023E+00  2.701E-01 
4.227E+00   8.067E+00  2.699E-01 
4.276E+00   8.112E+00  2.697E-01 
4.326E+00   8.157E+00  2.694E-01 
4.376E+00   8.203E+00  2.692E-01 
4.427E+00   8.249E+00  2.690E-01 
4.478E+00   8.296E+00  2.687E-01 
4.530E+00   8.343E+00  2.685E-01 
4.583E+00   8.390E+00  2.683E-01 
4.636E+00   8.438E+00  2.680E-01 
4.690E+00   8.486E+00  2.677E-01 
4.744E+00   8.534E+00  2.675E-01 
4.799E+00   8.583E+00  2.672E-01 
4.855E+00   8.633E+00  2.669E-01 
4.911E+00   8.683E+00  2.666E-01 
4.968E+00   8.733E+00  2.664E-01 
5.026E+00   8.784E+00  2.661E-01 
5.084E+00   8.835E+00  2.658E-01 
5.143E+00   8.887E+00  2.655E-01 
5.202E+00   8.939E+00  2.652E-01 
5.263E+00   8.992E+00  2.648E-01 
5.324E+00   9.045E+00  2.645E-01 
5.386E+00   9.099E+00  2.642E-01 
5.448E+00   9.153E+00  2.639E-01 
5.511E+00   9.208E+00  2.635E-01 
5.575E+00   9.263E+00  2.632E-01 
5.640E+00   9.318E+00  2.628E-01 
5.705E+00   9.374E+00  2.625E-01 
5.771E+00   9.431E+00  2.621E-01 
5.838E+00   9.488E+00  2.618E-01 
5.906E+00   9.546E+00  2.614E-01 
5.975E+00   9.604E+00  2.610E-01 
6.044E+00   9.663E+00  2.606E-01 
6.114E+00   9.722E+00  2.603E-01 
6.185E+00   9.782E+00  2.599E-01 
6.257E+00   9.842E+00  2.595E-01 
6.329E+00   9.903E+00  2.591E-01 
6.403E+00   9.964E+00  2.587E-01 
6.477E+00   1.003E+01  2.583E-01 
6.552E+00   1.009E+01  2.579E-01 
6.628E+00   1.015E+01  2.574E-01 
6.705E+00   1.022E+01  2.570E-01 
6.783E+00   1.028E+01  2.566E-01 
6.861E+00   1.034E+01  2.561E-01 
6.941E+00   1.041E+01  2.557E-01 
7.021E+00   1.048E+01  2.552E-01 
7.103E+00   1.054E+01  2.548E-01 
7.185E+00   1.061E+01  2.543E-01 
7.269E+00   1.068E+01  2.539E-01 
7.353E+00   1.075E+01  2.534E-01 
7.438E+00   1.082E+01  2.529E-01 
7.524E+00   1.089E+01  2.525E-01 
7.612E+00   1.096E+01  2.520E-01 
7.700E+00   1.103E+01  2.515E-01 
7.789E+00   1.110E+01  2.510E-01 
7.880E+00   1.117E+01  2.505E-01 
7.971E+00   1.124E+01  2.500E-01 
8.064E+00   1.132E+01  2.495E-01 
8.157E+00   1.139E+01  2.490E-01 
8.252E+00   1.147E+01  2.485E-01 
8.347E+00   1.154E+01  2.479E-01 
8.444E+00   1.162E+01  2.474E-01 
8.542E+00   1.169E+01  2.469E-01 
8.641E+00   1.177E+01  2.463E-01 
