Ion = Hydrogen    . Mass = 1.0079
Tgt = Au (Solid). Density = 19.311 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.386E+00  2.580E-01 
1.012E+00   5.418E+00  2.583E-01 
1.023E+00   5.449E+00  2.587E-01 
1.035E+00   5.480E+00  2.590E-01 
1.047E+00   5.512E+00  2.594E-01 
1.059E+00   5.544E+00  2.597E-01 
1.072E+00   5.576E+00  2.601E-01 
1.084E+00   5.608E+00  2.604E-01 
1.097E+00   5.641E+00  2.607E-01 
1.109E+00   5.673E+00  2.611E-01 
1.122E+00   5.706E+00  2.614E-01 
1.135E+00   5.739E+00  2.617E-01 
1.148E+00   5.772E+00  2.621E-01 
1.162E+00   5.806E+00  2.624E-01 
1.175E+00   5.839E+00  2.627E-01 
1.189E+00   5.873E+00  2.630E-01 
1.203E+00   5.907E+00  2.633E-01 
1.217E+00   5.941E+00  2.636E-01 
1.231E+00   5.976E+00  2.639E-01 
1.245E+00   6.010E+00  2.642E-01 
1.259E+00   6.045E+00  2.645E-01 
1.274E+00   6.080E+00  2.648E-01 
1.289E+00   6.115E+00  2.651E-01 
1.304E+00   6.150E+00  2.654E-01 
1.319E+00   6.186E+00  2.657E-01 
1.334E+00   6.222E+00  2.659E-01 
1.350E+00   6.258E+00  2.662E-01 
1.365E+00   6.294E+00  2.665E-01 
1.381E+00   6.330E+00  2.667E-01 
1.397E+00   6.367E+00  2.670E-01 
1.413E+00   6.404E+00  2.673E-01 
1.430E+00   6.441E+00  2.675E-01 
1.446E+00   6.478E+00  2.678E-01 
1.463E+00   6.515E+00  2.680E-01 
1.480E+00   6.553E+00  2.683E-01 
1.497E+00   6.591E+00  2.685E-01 
1.515E+00   6.629E+00  2.687E-01 
1.532E+00   6.667E+00  2.690E-01 
1.550E+00   6.706E+00  2.692E-01 
1.568E+00   6.745E+00  2.694E-01 
1.586E+00   6.784E+00  2.696E-01 
1.605E+00   6.823E+00  2.699E-01 
1.623E+00   6.862E+00  2.701E-01 
1.642E+00   6.902E+00  2.703E-01 
1.661E+00   6.942E+00  2.705E-01 
1.680E+00   6.982E+00  2.707E-01 
1.700E+00   7.023E+00  2.709E-01 
1.719E+00   7.063E+00  2.711E-01 
1.739E+00   7.104E+00  2.713E-01 
1.760E+00   7.145E+00  2.714E-01 
1.780E+00   7.186E+00  2.716E-01 
1.801E+00   7.228E+00  2.718E-01 
1.822E+00   7.270E+00  2.720E-01 
1.843E+00   7.312E+00  2.721E-01 
1.864E+00   7.354E+00  2.723E-01 
1.886E+00   7.397E+00  2.724E-01 
1.908E+00   7.439E+00  2.726E-01 
1.930E+00   7.482E+00  2.728E-01 
1.952E+00   7.526E+00  2.729E-01 
1.975E+00   7.569E+00  2.730E-01 
1.998E+00   7.613E+00  2.732E-01 
2.021E+00   7.655E+00  2.733E-01 
2.044E+00   7.693E+00  2.734E-01 
2.068E+00   7.730E+00  2.736E-01 
2.092E+00   7.767E+00  2.737E-01 
2.116E+00   7.805E+00  2.738E-01 
