Ion = Hydrogen    . Mass = 1.0079
Tgt =  O (Solid). Density = 1.426 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   2.295E+00  5.113E-01 
1.012E+00   2.308E+00  5.094E-01 
1.023E+00   2.322E+00  5.075E-01 
1.035E+00   2.335E+00  5.056E-01 
1.047E+00   2.349E+00  5.037E-01 
1.059E+00   2.362E+00  5.018E-01 
1.072E+00   2.376E+00  4.999E-01 
1.084E+00   2.390E+00  4.979E-01 
1.097E+00   2.403E+00  4.960E-01 
1.109E+00   2.417E+00  4.941E-01 
1.122E+00   2.431E+00  4.921E-01 
1.135E+00   2.445E+00  4.902E-01 
1.148E+00   2.459E+00  4.882E-01 
1.162E+00   2.474E+00  4.863E-01 
1.175E+00   2.488E+00  4.843E-01 
1.189E+00   2.502E+00  4.823E-01 
1.203E+00   2.517E+00  4.804E-01 
1.217E+00   2.531E+00  4.784E-01 
1.231E+00   2.546E+00  4.764E-01 
1.245E+00   2.561E+00  4.744E-01 
1.259E+00   2.576E+00  4.724E-01 
1.274E+00   2.590E+00  4.704E-01 
1.289E+00   2.605E+00  4.684E-01 
1.304E+00   2.621E+00  4.664E-01 
1.319E+00   2.636E+00  4.644E-01 
1.334E+00   2.651E+00  4.624E-01 
1.350E+00   2.666E+00  4.604E-01 
1.365E+00   2.682E+00  4.584E-01 
1.381E+00   2.697E+00  4.564E-01 
1.397E+00   2.713E+00  4.543E-01 
1.413E+00   2.728E+00  4.523E-01 
1.430E+00   2.744E+00  4.503E-01 
1.446E+00   2.760E+00  4.483E-01 
1.463E+00   2.776E+00  4.462E-01 
1.480E+00   2.792E+00  4.442E-01 
1.497E+00   2.808E+00  4.422E-01 
1.515E+00   2.824E+00  4.401E-01 
1.532E+00   2.841E+00  4.381E-01 
1.550E+00   2.857E+00  4.360E-01 
1.568E+00   2.874E+00  4.340E-01 
1.586E+00   2.890E+00  4.320E-01 
1.605E+00   2.907E+00  4.299E-01 
1.623E+00   2.924E+00  4.279E-01 
1.642E+00   2.941E+00  4.258E-01 
1.661E+00   2.958E+00  4.238E-01 
1.680E+00   2.975E+00  4.217E-01 
1.700E+00   2.992E+00  4.197E-01 
1.719E+00   3.009E+00  4.176E-01 
1.739E+00   3.027E+00  4.156E-01 
1.760E+00   3.044E+00  4.135E-01 
1.780E+00   3.062E+00  4.115E-01 
1.801E+00   3.080E+00  4.094E-01 
1.822E+00   3.097E+00  4.074E-01 
1.843E+00   3.115E+00  4.053E-01 
1.864E+00   3.133E+00  4.033E-01 
1.886E+00   3.152E+00  4.012E-01 
1.908E+00   3.170E+00  3.992E-01 
1.930E+00   3.188E+00  3.972E-01 
1.952E+00   3.207E+00  3.951E-01 
1.975E+00   3.225E+00  3.931E-01 
1.998E+00   3.244E+00  3.910E-01 
2.021E+00   3.261E+00  3.890E-01 
2.044E+00   3.275E+00  3.870E-01 
2.068E+00   3.289E+00  3.849E-01 
2.092E+00   3.303E+00  3.829E-01 
2.116E+00   3.318E+00  3.809E-01 
2.141E+00   3.332E+00  3.788E-01 
2.166E+00   3.346E+00  3.768E-01 
2.191E+00   3.361E+00  3.748E-01 
2.216E+00   3.375E+00  3.728E-01 
2.242E+00   3.390E+00  3.708E-01 
2.268E+00   3.405E+00  3.687E-01 
2.294E+00   3.420E+00  3.667E-01 
2.321E+00   3.435E+00  3.647E-01 
2.348E+00   3.450E+00  3.627E-01 
2.375E+00   3.465E+00  3.607E-01 
2.402E+00   3.481E+00  3.587E-01 
2.430E+00   3.496E+00  3.567E-01 
2.458E+00   3.512E+00  3.547E-01 
2.487E+00   3.528E+00  3.527E-01 
2.516E+00   3.544E+00  3.507E-01 
2.545E+00   3.560E+00  3.487E-01 
2.574E+00   3.576E+00  3.468E-01 
2.604E+00   3.592E+00  3.448E-01 
2.635E+00   3.608E+00  3.428E-01 
2.665E+00   3.625E+00  3.408E-01 
2.696E+00   3.641E+00  3.389E-01 
2.727E+00   3.658E+00  3.369E-01 
2.759E+00   3.675E+00  3.350E-01 
2.791E+00   3.692E+00  3.330E-01 
2.823E+00   3.709E+00  3.311E-01 
2.856E+00   3.726E+00  3.291E-01 
2.889E+00   3.744E+00  3.272E-01 
2.923E+00   3.761E+00  3.253E-01 
2.957E+00   3.779E+00  3.233E-01 
2.991E+00   3.796E+00  3.214E-01 
3.026E+00   3.814E+00  3.195E-01 
