Ion = Hydrogen    . Mass = 1.0079
Tgt = Hg (Solid). Density = 13.5462 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.526E+00  2.552E-01 
1.012E+00   5.558E+00  2.556E-01 
1.023E+00   5.590E+00  2.559E-01 
1.035E+00   5.622E+00  2.563E-01 
1.047E+00   5.655E+00  2.566E-01 
1.059E+00   5.688E+00  2.569E-01 
1.072E+00   5.721E+00  2.573E-01 
1.084E+00   5.754E+00  2.576E-01 
1.097E+00   5.787E+00  2.579E-01 
1.109E+00   5.820E+00  2.582E-01 
1.122E+00   5.854E+00  2.586E-01 
1.135E+00   5.888E+00  2.589E-01 
1.148E+00   5.922E+00  2.592E-01 
1.162E+00   5.956E+00  2.595E-01 
1.175E+00   5.991E+00  2.598E-01 
1.189E+00   6.025E+00  2.601E-01 
1.203E+00   6.060E+00  2.604E-01 
1.217E+00   6.095E+00  2.607E-01 
1.231E+00   6.130E+00  2.610E-01 
1.245E+00   6.166E+00  2.613E-01 
1.259E+00   6.202E+00  2.615E-01 
1.274E+00   6.237E+00  2.618E-01 
1.289E+00   6.273E+00  2.621E-01 
1.304E+00   6.310E+00  2.624E-01 
1.319E+00   6.346E+00  2.626E-01 
1.334E+00   6.383E+00  2.629E-01 
1.350E+00   6.420E+00  2.632E-01 
1.365E+00   6.457E+00  2.634E-01 
1.381E+00   6.494E+00  2.637E-01 
1.397E+00   6.532E+00  2.639E-01 
1.413E+00   6.570E+00  2.642E-01 
1.430E+00   6.608E+00  2.644E-01 
1.446E+00   6.646E+00  2.647E-01 
1.463E+00   6.684E+00  2.649E-01 
1.480E+00   6.723E+00  2.651E-01 
1.497E+00   6.762E+00  2.654E-01 
1.515E+00   6.801E+00  2.656E-01 
1.532E+00   6.840E+00  2.658E-01 
1.550E+00   6.880E+00  2.660E-01 
1.568E+00   6.920E+00  2.662E-01 
1.586E+00   6.960E+00  2.665E-01 
1.605E+00   7.000E+00  2.667E-01 
1.623E+00   7.040E+00  2.669E-01 
1.642E+00   7.081E+00  2.671E-01 
1.661E+00   7.122E+00  2.673E-01 
1.680E+00   7.163E+00  2.675E-01 
1.700E+00   7.205E+00  2.676E-01 
1.719E+00   7.246E+00  2.678E-01 
1.739E+00   7.288E+00  2.680E-01 
1.760E+00   7.330E+00  2.682E-01 
1.780E+00   7.373E+00  2.683E-01 
1.801E+00   7.415E+00  2.685E-01 
1.822E+00   7.458E+00  2.687E-01 
1.843E+00   7.501E+00  2.688E-01 
1.864E+00   7.545E+00  2.690E-01 
1.886E+00   7.588E+00  2.691E-01 
1.908E+00   7.632E+00  2.693E-01 
