Ion = Hydrogen    . Mass = 1.0079
Tgt = Tl (Solid). Density = 11.85 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.925E+00  2.509E-01 
1.012E+00   5.959E+00  2.512E-01 
1.023E+00   5.994E+00  2.516E-01 
1.035E+00   6.029E+00  2.519E-01 
1.047E+00   6.063E+00  2.523E-01 
1.059E+00   6.098E+00  2.526E-01 
1.072E+00   6.134E+00  2.529E-01 
1.084E+00   6.169E+00  2.533E-01 
1.097E+00   6.205E+00  2.536E-01 
1.109E+00   6.241E+00  2.539E-01 
1.122E+00   6.277E+00  2.543E-01 
1.135E+00   6.313E+00  2.546E-01 
1.148E+00   6.350E+00  2.549E-01 
1.162E+00   6.386E+00  2.552E-01 
1.175E+00   6.423E+00  2.555E-01 
1.189E+00   6.460E+00  2.558E-01 
1.203E+00   6.498E+00  2.561E-01 
1.217E+00   6.535E+00  2.564E-01 
1.231E+00   6.573E+00  2.567E-01 
1.245E+00   6.611E+00  2.570E-01 
1.259E+00   6.649E+00  2.573E-01 
1.274E+00   6.688E+00  2.576E-01 
1.289E+00   6.727E+00  2.579E-01 
1.304E+00   6.765E+00  2.582E-01 
1.319E+00   6.805E+00  2.584E-01 
1.334E+00   6.844E+00  2.587E-01 
1.350E+00   6.884E+00  2.590E-01 
1.365E+00   6.923E+00  2.592E-01 
1.381E+00   6.963E+00  2.595E-01 
1.397E+00   7.004E+00  2.598E-01 
1.413E+00   7.044E+00  2.600E-01 
1.430E+00   7.085E+00  2.603E-01 
1.446E+00   7.126E+00  2.605E-01 
1.463E+00   7.167E+00  2.608E-01 
1.480E+00   7.208E+00  2.610E-01 
1.497E+00   7.250E+00  2.612E-01 
1.515E+00   7.292E+00  2.615E-01 
1.532E+00   7.334E+00  2.617E-01 
1.550E+00   7.377E+00  2.619E-01 
1.568E+00   7.419E+00  2.621E-01 
1.586E+00   7.462E+00  2.624E-01 
1.605E+00   7.505E+00  2.626E-01 
1.623E+00   7.549E+00  2.628E-01 
1.642E+00   7.592E+00  2.630E-01 
1.661E+00   7.636E+00  2.632E-01 
1.680E+00   7.681E+00  2.634E-01 
1.700E+00   7.725E+00  2.636E-01 
1.719E+00   7.770E+00  2.638E-01 
1.739E+00   7.815E+00  2.640E-01 
1.760E+00   7.860E+00  2.642E-01 
1.780E+00   7.905E+00  2.643E-01 
1.801E+00   7.951E+00  2.645E-01 
1.822E+00   7.997E+00  2.647E-01 
1.843E+00   8.043E+00  2.648E-01 
1.864E+00   8.090E+00  2.650E-01 
1.886E+00   8.136E+00  2.652E-01 
1.908E+00   8.183E+00  2.653E-01 
1.930E+00   8.231E+00  2.655E-01 
1.952E+00   8.278E+00  2.656E-01 
1.975E+00   8.326E+00  2.658E-01 
1.998E+00   8.374E+00  2.659E-01 
2.021E+00   8.421E+00  2.660E-01 
2.044E+00   8.463E+00  2.662E-01 
2.068E+00   8.505E+00  2.663E-01 
2.092E+00   8.547E+00  2.664E-01 
2.116E+00   8.589E+00  2.665E-01 
2.141E+00   8.632E+00  2.666E-01 
2.166E+00   8.674E+00  2.668E-01 
2.191E+00   8.717E+00  2.669E-01 
2.216E+00   8.761E+00  2.670E-01 
2.242E+00   8.804E+00  2.670E-01 
2.268E+00   8.848E+00  2.671E-01 
2.294E+00   8.892E+00  2.672E-01 
2.321E+00   8.936E+00  2.673E-01 
2.348E+00   8.981E+00  2.674E-01 
2.375E+00   9.026E+00  2.675E-01 
2.402E+00   9.071E+00  2.675E-01 
2.430E+00   9.116E+00  2.676E-01 
2.458E+00   9.162E+00  2.676E-01 
2.487E+00   9.207E+00  2.677E-01 
2.516E+00   9.254E+00  2.678E-01 
2.545E+00   9.300E+00  2.678E-01 
2.574E+00   9.347E+00  2.678E-01 
2.604E+00   9.393E+00  2.679E-01 
2.635E+00   9.441E+00  2.679E-01 
2.665E+00   9.488E+00  2.679E-01 
2.696E+00   9.536E+00  2.680E-01 
2.727E+00   9.584E+00  2.680E-01 
2.759E+00   9.632E+00  2.680E-01 
2.791E+00   9.680E+00  2.680E-01 
2.823E+00   9.729E+00  2.680E-01 
2.856E+00   9.778E+00  2.680E-01 
2.889E+00   9.828E+00  2.680E-01 
2.923E+00   9.877E+00  2.680E-01 
2.957E+00   9.927E+00  2.680E-01 
2.991E+00   9.978E+00  2.679E-01 
3.026E+00   1.003E+01  2.679E-01 
3.061E+00   1.008E+01  2.679E-01 
3.096E+00   1.013E+01  2.679E-01 
3.132E+00   1.018E+01  2.678E-01 
3.168E+00   1.023E+01  2.678E-01 
3.205E+00   1.028E+01  2.677E-01 
3.242E+00   1.034E+01  2.677E-01 
3.280E+00   1.039E+01  2.676E-01 
3.318E+00   1.044E+01  2.675E-01 
3.356E+00   1.050E+01  2.675E-01 
3.395E+00   1.055E+01  2.674E-01 
3.435E+00   1.060E+01  2.673E-01 
3.475E+00   1.066E+01  2.672E-01 
3.515E+00   1.071E+01  2.672E-01 
3.556E+00   1.077E+01  2.671E-01 
3.597E+00   1.082E+01  2.670E-01 
3.639E+00   1.088E+01  2.669E-01 
3.681E+00   1.093E+01  2.667E-01 
3.724E+00   1.099E+01  2.666E-01 
3.767E+00   1.104E+01  2.665E-01 
3.810E+00   1.110E+01  2.664E-01 
3.855E+00   1.116E+01  2.663E-01 
3.899E+00   1.121E+01  2.661E-01 
3.945E+00   1.127E+01  2.660E-01 
3.990E+00   1.133E+01  2.658E-01 
4.037E+00   1.139E+01  2.657E-01 
4.083E+00   1.145E+01  2.655E-01 
4.131E+00   1.151E+01  2.654E-01 
4.179E+00   1.157E+01  2.652E-01 
4.227E+00   1.162E+01  2.650E-01 
4.276E+00   1.168E+01  2.649E-01 
4.326E+00   1.174E+01  2.647E-01 
4.376E+00   1.181E+01  2.645E-01 
4.427E+00   1.187E+01  2.643E-01 
4.478E+00   1.193E+01  2.641E-01 
4.530E+00   1.199E+01  2.639E-01 
4.583E+00   1.205E+01  2.637E-01 
4.636E+00   1.211E+01  2.635E-01 
4.690E+00   1.218E+01  2.633E-01 
4.744E+00   1.224E+01  2.630E-01 
4.799E+00   1.230E+01  2.628E-01 
4.855E+00   1.237E+01  2.626E-01 
4.911E+00   1.243E+01  2.623E-01 
4.968E+00   1.249E+01  2.621E-01 
5.026E+00   1.256E+01  2.618E-01 
5.084E+00   1.262E+01  2.616E-01 
5.143E+00   1.269E+01  2.613E-01 
5.202E+00   1.276E+01  2.611E-01 
5.263E+00   1.282E+01  2.608E-01 
5.324E+00   1.289E+01  2.605E-01 
5.386E+00   1.296E+01  2.602E-01 
5.448E+00   1.302E+01  2.599E-01 
5.511E+00   1.309E+01  2.596E-01 
5.575E+00   1.316E+01  2.594E-01 
5.640E+00   1.323E+01  2.590E-01 
5.705E+00   1.330E+01  2.587E-01 
5.771E+00   1.337E+01  2.584E-01 
5.838E+00   1.343E+01  2.581E-01 
5.906E+00   1.350E+01  2.578E-01 
5.975E+00   1.358E+01  2.575E-01 
6.044E+00   1.365E+01  2.571E-01 
6.114E+00   1.372E+01  2.568E-01 
6.185E+00   1.379E+01  2.564E-01 
6.257E+00   1.386E+01  2.561E-01 
6.329E+00   1.393E+01  2.557E-01 
6.403E+00   1.401E+01  2.554E-01 
6.477E+00   1.408E+01  2.550E-01 
6.552E+00   1.415E+01  2.546E-01 
6.628E+00   1.423E+01  2.543E-01 
6.705E+00   1.430E+01  2.539E-01 
6.783E+00   1.438E+01  2.535E-01 
6.861E+00   1.445E+01  2.531E-01 
6.941E+00   1.453E+01  2.527E-01 
7.021E+00   1.460E+01  2.523E-01 
7.103E+00   1.468E+01  2.519E-01 
7.185E+00   1.476E+01  2.515E-01 
7.269E+00   1.483E+01  2.511E-01 
7.353E+00   1.491E+01  2.506E-01 
7.438E+00   1.499E+01  2.502E-01 
7.524E+00   1.507E+01  2.498E-01 
7.612E+00   1.515E+01  2.494E-01 
7.700E+00   1.523E+01  2.489E-01 
7.789E+00   1.531E+01  2.485E-01 
7.880E+00   1.539E+01  2.480E-01 
7.971E+00   1.547E+01  2.476E-01 
8.064E+00   1.555E+01  2.471E-01 
8.157E+00   1.563E+01  2.466E-01 
8.252E+00   1.571E+01  2.462E-01 
8.347E+00   1.580E+01  2.457E-01 
8.444E+00   1.588E+01  2.452E-01 
8.542E+00   1.596E+01  2.447E-01 
8.641E+00   1.605E+01  2.442E-01 
8.741E+00   1.613E+01  2.437E-01 
8.843E+00   1.622E+01  2.432E-01 
8.945E+00   1.630E+01  2.427E-01 
9.049E+00   1.639E+01  2.422E-01 
9.154E+00   1.647E+01  2.417E-01 
9.260E+00   1.656E+01  2.412E-01 
9.368E+00   1.665E+01  2.406E-01 
9.476E+00   1.673E+01  2.401E-01 
9.586E+00   1.682E+01  2.396E-01 
9.698E+00   1.691E+01  2.390E-01 
9.810E+00   1.700E+01  2.385E-01 
9.924E+00   1.709E+01  2.379E-01 
1.004E+01   1.718E+01  2.374E-01 
1.016E+01   1.727E+01  2.368E-01 
1.027E+01   1.736E+01  2.363E-01 
1.039E+01   1.745E+01  2.357E-01 
1.051E+01   1.754E+01  2.351E-01 
1.063E+01   1.764E+01  2.346E-01 
1.076E+01   1.773E+01  2.340E-01 
1.088E+01   1.782E+01  2.334E-01 
1.101E+01   1.791E+01  2.328E-01 
1.114E+01   1.801E+01  2.322E-01 
1.127E+01   1.810E+01  2.316E-01 
1.140E+01   1.820E+01  2.310E-01 
1.153E+01   1.829E+01  2.304E-01 
1.166E+01   1.839E+01  2.298E-01 
1.180E+01   1.849E+01  2.292E-01 
1.193E+01   1.858E+01  2.286E-01 
1.207E+01   1.868E+01  2.280E-01 
1.221E+01   1.878E+01  2.273E-01 
1.235E+01   1.888E+01  2.267E-01 
