Ion = Hydrogen    . Mass = 1.0079
Tgt = Pb (Solid). Density = 11.3437 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   6.498E+00  2.485E-01 
1.012E+00   6.536E+00  2.489E-01 
1.023E+00   6.574E+00  2.492E-01 
1.035E+00   6.612E+00  2.496E-01 
1.047E+00   6.650E+00  2.499E-01 
1.059E+00   6.688E+00  2.503E-01 
1.072E+00   6.727E+00  2.506E-01 
1.084E+00   6.766E+00  2.510E-01 
1.097E+00   6.805E+00  2.513E-01 
1.109E+00   6.844E+00  2.517E-01 
1.122E+00   6.884E+00  2.520E-01 
1.135E+00   6.924E+00  2.523E-01 
1.148E+00   6.964E+00  2.527E-01 
1.162E+00   7.004E+00  2.530E-01 
1.175E+00   7.045E+00  2.533E-01 
1.189E+00   7.085E+00  2.537E-01 
1.203E+00   7.126E+00  2.540E-01 
1.217E+00   7.168E+00  2.543E-01 
1.231E+00   7.209E+00  2.546E-01 
1.245E+00   7.251E+00  2.549E-01 
1.259E+00   7.293E+00  2.552E-01 
1.274E+00   7.335E+00  2.555E-01 
1.289E+00   7.377E+00  2.558E-01 
1.304E+00   7.420E+00  2.561E-01 
1.319E+00   7.463E+00  2.564E-01 
1.334E+00   7.506E+00  2.567E-01 
1.350E+00   7.549E+00  2.570E-01 
1.365E+00   7.593E+00  2.573E-01 
1.381E+00   7.637E+00  2.575E-01 
1.397E+00   7.681E+00  2.578E-01 
1.413E+00   7.725E+00  2.581E-01 
1.430E+00   7.770E+00  2.583E-01 
1.446E+00   7.815E+00  2.586E-01 
1.463E+00   7.860E+00  2.589E-01 
1.480E+00   7.906E+00  2.591E-01 
1.497E+00   7.951E+00  2.594E-01 
1.515E+00   7.997E+00  2.596E-01 
1.532E+00   8.044E+00  2.599E-01 
1.550E+00   8.090E+00  2.601E-01 
1.568E+00   8.137E+00  2.604E-01 
1.586E+00   8.184E+00  2.606E-01 
1.605E+00   8.231E+00  2.608E-01 
1.623E+00   8.279E+00  2.610E-01 
1.642E+00   8.327E+00  2.613E-01 
1.661E+00   8.375E+00  2.615E-01 
1.680E+00   8.423E+00  2.617E-01 
1.700E+00   8.472E+00  2.619E-01 
1.719E+00   8.521E+00  2.621E-01 
1.739E+00   8.570E+00  2.623E-01 
1.760E+00   8.620E+00  2.625E-01 
1.780E+00   8.670E+00  2.627E-01 
1.801E+00   8.720E+00  2.629E-01 
1.822E+00   8.770E+00  2.631E-01 
1.843E+00   8.821E+00  2.633E-01 
1.864E+00   8.872E+00  2.635E-01 
1.886E+00   8.923E+00  2.636E-01 
1.908E+00   8.975E+00  2.638E-01 
1.930E+00   9.027E+00  2.640E-01 
1.952E+00   9.079E+00  2.641E-01 
1.975E+00   9.132E+00  2.643E-01 
1.998E+00   9.184E+00  2.645E-01 
2.021E+00   9.236E+00  2.646E-01 
2.044E+00   9.283E+00  2.648E-01 
2.068E+00   9.330E+00  2.649E-01 
2.092E+00   9.377E+00  2.650E-01 
2.116E+00   9.425E+00  2.652E-01 
2.141E+00   9.472E+00  2.653E-01 
2.166E+00   9.520E+00  2.654E-01 
2.191E+00   9.568E+00  2.656E-01 
2.216E+00   9.617E+00  2.657E-01 
2.242E+00   9.666E+00  2.658E-01 
2.268E+00   9.715E+00  2.659E-01 
2.294E+00   9.764E+00  2.660E-01 
2.321E+00   9.813E+00  2.661E-01 
2.348E+00   9.863E+00  2.662E-01 
2.375E+00   9.913E+00  2.663E-01 
2.402E+00   9.963E+00  2.664E-01 
2.430E+00   1.001E+01  2.665E-01 
2.458E+00   1.006E+01  2.665E-01 
2.487E+00   1.012E+01  2.666E-01 
2.516E+00   1.017E+01  2.667E-01 
2.545E+00   1.022E+01  2.667E-01 
2.574E+00   1.027E+01  2.668E-01 
2.604E+00   1.032E+01  2.668E-01 
2.635E+00   1.037E+01  2.669E-01 
2.665E+00   1.043E+01  2.669E-01 
2.696E+00   1.048E+01  2.670E-01 
2.727E+00   1.053E+01  2.670E-01 
2.759E+00   1.059E+01  2.670E-01 
2.791E+00   1.064E+01  2.671E-01 
2.823E+00   1.069E+01  2.671E-01 
2.856E+00   1.075E+01  2.671E-01 
2.889E+00   1.080E+01  2.671E-01 
2.923E+00   1.086E+01  2.671E-01 
2.957E+00   1.091E+01  2.671E-01 
2.991E+00   1.097E+01  2.671E-01 
3.026E+00   1.102E+01  2.671E-01 
3.061E+00   1.108E+01  2.671E-01 
3.096E+00   1.113E+01  2.671E-01 
3.132E+00   1.119E+01  2.671E-01 
3.168E+00   1.125E+01  2.670E-01 
3.205E+00   1.130E+01  2.670E-01 
