Ion = Hydrogen    . Mass = 1.0079
Tgt = Bi (Solid). Density = 9.8 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   9.595E+00  2.502E-01 
1.012E+00   9.650E+00  2.506E-01 
1.023E+00   9.706E+00  2.509E-01 
1.035E+00   9.762E+00  2.513E-01 
1.047E+00   9.819E+00  2.517E-01 
1.059E+00   9.876E+00  2.520E-01 
1.072E+00   9.933E+00  2.524E-01 
1.084E+00   9.990E+00  2.527E-01 
1.097E+00   1.005E+01  2.531E-01 
1.109E+00   1.011E+01  2.534E-01 
1.122E+00   1.016E+01  2.537E-01 
1.135E+00   1.022E+01  2.541E-01 
1.148E+00   1.028E+01  2.544E-01 
1.162E+00   1.034E+01  2.547E-01 
1.175E+00   1.040E+01  2.551E-01 
1.189E+00   1.046E+01  2.554E-01 
1.203E+00   1.052E+01  2.557E-01 
1.217E+00   1.058E+01  2.560E-01 
1.231E+00   1.064E+01  2.563E-01 
1.245E+00   1.071E+01  2.567E-01 
1.259E+00   1.077E+01  2.570E-01 
1.274E+00   1.083E+01  2.573E-01 
1.289E+00   1.089E+01  2.576E-01 
1.304E+00   1.096E+01  2.579E-01 
1.319E+00   1.102E+01  2.582E-01 
1.334E+00   1.108E+01  2.584E-01 
1.350E+00   1.115E+01  2.587E-01 
1.365E+00   1.121E+01  2.590E-01 
1.381E+00   1.128E+01  2.593E-01 
1.397E+00   1.134E+01  2.596E-01 
1.413E+00   1.141E+01  2.598E-01 
1.430E+00   1.147E+01  2.601E-01 
1.446E+00   1.154E+01  2.604E-01 
1.463E+00   1.161E+01  2.606E-01 
1.480E+00   1.167E+01  2.609E-01 
1.497E+00   1.174E+01  2.611E-01 
1.515E+00   1.181E+01  2.614E-01 
1.532E+00   1.188E+01  2.616E-01 
1.550E+00   1.195E+01  2.619E-01 
1.568E+00   1.201E+01  2.621E-01 
1.586E+00   1.208E+01  2.623E-01 
1.605E+00   1.215E+01  2.626E-01 
1.623E+00   1.222E+01  2.628E-01 
1.642E+00   1.229E+01  2.630E-01 
1.661E+00   1.237E+01  2.633E-01 
1.680E+00   1.244E+01  2.635E-01 
1.700E+00   1.251E+01  2.637E-01 
1.719E+00   1.258E+01  2.639E-01 
1.739E+00   1.265E+01  2.641E-01 
1.760E+00   1.273E+01  2.643E-01 
1.780E+00   1.280E+01  2.645E-01 
1.801E+00   1.288E+01  2.647E-01 
1.822E+00   1.295E+01  2.649E-01 
1.843E+00   1.302E+01  2.650E-01 
1.864E+00   1.310E+01  2.652E-01 
1.886E+00   1.318E+01  2.654E-01 
1.908E+00   1.325E+01  2.656E-01 
1.930E+00   1.333E+01  2.657E-01 
1.952E+00   1.341E+01  2.659E-01 
1.975E+00   1.348E+01  2.661E-01 
1.998E+00   1.356E+01  2.662E-01 
2.021E+00   1.364E+01  2.664E-01 
2.044E+00   1.372E+01  2.665E-01 
2.068E+00   1.379E+01  2.667E-01 
2.092E+00   1.387E+01  2.668E-01 
2.116E+00   1.395E+01  2.669E-01 
2.141E+00   1.403E+01  2.671E-01 
2.166E+00   1.411E+01  2.672E-01 
2.191E+00   1.418E+01  2.673E-01 
2.216E+00   1.426E+01  2.674E-01 
2.242E+00   1.434E+01  2.675E-01 
2.268E+00   1.442E+01  2.676E-01 
2.294E+00   1.451E+01  2.677E-01 
2.321E+00   1.459E+01  2.678E-01 
2.348E+00   1.467E+01  2.679E-01 
2.375E+00   1.475E+01  2.680E-01 
2.402E+00   1.483E+01  2.681E-01 
2.430E+00   1.492E+01  2.682E-01 
2.458E+00   1.500E+01  2.683E-01 
2.487E+00   1.509E+01  2.683E-01 
2.516E+00   1.517E+01  2.684E-01 
2.545E+00   1.526E+01  2.685E-01 
2.574E+00   1.534E+01  2.685E-01 
2.604E+00   1.543E+01  2.686E-01 
2.635E+00   1.551E+01  2.686E-01 
2.665E+00   1.560E+01  2.687E-01 
2.696E+00   1.569E+01  2.687E-01 
2.727E+00   1.578E+01  2.688E-01 
2.759E+00   1.586E+01  2.688E-01 
2.791E+00   1.595E+01  2.688E-01 
2.823E+00   1.604E+01  2.688E-01 
2.856E+00   1.613E+01  2.688E-01 
2.889E+00   1.622E+01  2.689E-01 
2.923E+00   1.631E+01  2.689E-01 
2.957E+00   1.641E+01  2.689E-01 
2.991E+00   1.650E+01  2.689E-01 
3.026E+00   1.659E+01  2.688E-01 
3.061E+00   1.668E+01  2.688E-01 
3.096E+00   1.678E+01  2.688E-01 
3.132E+00   1.687E+01  2.688E-01 
3.168E+00   1.697E+01  2.688E-01 
3.205E+00   1.706E+01  2.687E-01 
3.242E+00   1.716E+01  2.687E-01 
3.280E+00   1.725E+01  2.687E-01 
3.318E+00   1.735E+01  2.686E-01 
3.356E+00   1.744E+01  2.686E-01 
3.395E+00   1.754E+01  2.685E-01 
3.435E+00   1.764E+01  2.684E-01 
3.475E+00   1.774E+01  2.684E-01 
3.515E+00   1.784E+01  2.683E-01 
3.556E+00   1.794E+01  2.682E-01 
3.597E+00   1.804E+01  2.681E-01 
3.639E+00   1.814E+01  2.680E-01 
3.681E+00   1.824E+01  2.679E-01 
3.724E+00   1.834E+01  2.678E-01 
3.767E+00   1.844E+01  2.677E-01 
3.810E+00   1.855E+01  2.676E-01 
3.855E+00   1.865E+01  2.675E-01 
3.899E+00   1.875E+01  2.674E-01 
3.945E+00   1.886E+01  2.673E-01 
