Ion = Hydrogen    . Mass = 1.0079
Tgt = Po (Solid). Density = 9.2511 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   1.033E+01  2.491E-01 
1.012E+00   1.039E+01  2.494E-01 
1.023E+00   1.045E+01  2.498E-01 
1.035E+00   1.051E+01  2.502E-01 
1.047E+00   1.057E+01  2.506E-01 
1.059E+00   1.063E+01  2.509E-01 
1.072E+00   1.069E+01  2.513E-01 
1.084E+00   1.075E+01  2.516E-01 
1.097E+00   1.082E+01  2.520E-01 
1.109E+00   1.088E+01  2.524E-01 
1.122E+00   1.094E+01  2.527E-01 
1.135E+00   1.101E+01  2.530E-01 
1.148E+00   1.107E+01  2.534E-01 
1.162E+00   1.113E+01  2.537E-01 
1.175E+00   1.120E+01  2.541E-01 
1.189E+00   1.126E+01  2.544E-01 
1.203E+00   1.133E+01  2.547E-01 
1.217E+00   1.139E+01  2.551E-01 
1.231E+00   1.146E+01  2.554E-01 
1.245E+00   1.152E+01  2.557E-01 
1.259E+00   1.159E+01  2.560E-01 
1.274E+00   1.166E+01  2.563E-01 
1.289E+00   1.173E+01  2.566E-01 
1.304E+00   1.179E+01  2.569E-01 
1.319E+00   1.186E+01  2.573E-01 
1.334E+00   1.193E+01  2.576E-01 
1.350E+00   1.200E+01  2.578E-01 
1.365E+00   1.207E+01  2.581E-01 
1.381E+00   1.214E+01  2.584E-01 
1.397E+00   1.221E+01  2.587E-01 
1.413E+00   1.228E+01  2.590E-01 
1.430E+00   1.235E+01  2.593E-01 
1.446E+00   1.242E+01  2.596E-01 
1.463E+00   1.249E+01  2.598E-01 
1.480E+00   1.257E+01  2.601E-01 
1.497E+00   1.264E+01  2.604E-01 
1.515E+00   1.271E+01  2.606E-01 
1.532E+00   1.279E+01  2.609E-01 
1.550E+00   1.286E+01  2.611E-01 
1.568E+00   1.293E+01  2.614E-01 
1.586E+00   1.301E+01  2.616E-01 
