Ion = Hydrogen    . Mass = 1.0079
Tgt = At (Solid). Density = 10 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   7.726E+00  2.497E-01 
1.012E+00   7.771E+00  2.500E-01 
1.023E+00   7.816E+00  2.504E-01 
1.035E+00   7.861E+00  2.508E-01 
1.047E+00   7.907E+00  2.512E-01 
1.059E+00   7.952E+00  2.516E-01 
1.072E+00   7.998E+00  2.519E-01 
1.084E+00   8.045E+00  2.523E-01 
1.097E+00   8.091E+00  2.527E-01 
1.109E+00   8.138E+00  2.530E-01 
1.122E+00   8.185E+00  2.534E-01 
1.135E+00   8.232E+00  2.537E-01 
1.148E+00   8.280E+00  2.541E-01 
1.162E+00   8.328E+00  2.544E-01 
1.175E+00   8.376E+00  2.548E-01 
1.189E+00   8.424E+00  2.551E-01 
1.203E+00   8.473E+00  2.555E-01 
1.217E+00   8.522E+00  2.558E-01 
1.231E+00   8.571E+00  2.561E-01 
1.245E+00   8.621E+00  2.565E-01 
1.259E+00   8.671E+00  2.568E-01 
1.274E+00   8.721E+00  2.571E-01 
1.289E+00   8.771E+00  2.574E-01 
1.304E+00   8.822E+00  2.577E-01 
1.319E+00   8.873E+00  2.581E-01 
1.334E+00   8.925E+00  2.584E-01 
1.350E+00   8.976E+00  2.587E-01 
1.365E+00   9.028E+00  2.590E-01 
1.381E+00   9.080E+00  2.593E-01 
1.397E+00   9.133E+00  2.596E-01 
1.413E+00   9.186E+00  2.599E-01 
1.430E+00   9.239E+00  2.601E-01 
1.446E+00   9.292E+00  2.604E-01 
1.463E+00   9.346E+00  2.607E-01 
1.480E+00   9.400E+00  2.610E-01 
1.497E+00   9.454E+00  2.613E-01 
1.515E+00   9.509E+00  2.615E-01 
1.532E+00   9.564E+00  2.618E-01 
1.550E+00   9.619E+00  2.621E-01 
1.568E+00   9.675E+00  2.623E-01 
1.586E+00   9.731E+00  2.626E-01 
1.605E+00   9.787E+00  2.628E-01 
1.623E+00   9.844E+00  2.631E-01 
1.642E+00   9.901E+00  2.633E-01 
1.661E+00   9.958E+00  2.636E-01 
1.680E+00   1.002E+01  2.638E-01 
1.700E+00   1.007E+01  2.640E-01 
1.719E+00   1.013E+01  2.643E-01 
1.739E+00   1.019E+01  2.645E-01 
1.760E+00   1.025E+01  2.647E-01 
1.780E+00   1.031E+01  2.649E-01 
1.801E+00   1.037E+01  2.652E-01 
1.822E+00   1.043E+01  2.654E-01 
1.843E+00   1.049E+01  2.656E-01 
1.864E+00   1.055E+01  2.658E-01 
1.886E+00   1.061E+01  2.660E-01 
1.908E+00   1.067E+01  2.662E-01 
1.930E+00   1.073E+01  2.664E-01 
1.952E+00   1.080E+01  2.665E-01 
1.975E+00   1.086E+01  2.667E-01 
1.998E+00   1.092E+01  2.669E-01 
2.021E+00   1.098E+01  2.671E-01 
2.044E+00   1.104E+01  2.672E-01 
