Ion = Hydrogen    . Mass = 1.0079
Tgt = Rn (Solid). Density = 9.91 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   8.091E+00  2.408E-01 
1.012E+00   8.138E+00  2.411E-01 
1.023E+00   8.185E+00  2.415E-01 
1.035E+00   8.232E+00  2.418E-01 
1.047E+00   8.280E+00  2.422E-01 
1.059E+00   8.328E+00  2.425E-01 
1.072E+00   8.376E+00  2.428E-01 
1.084E+00   8.424E+00  2.432E-01 
1.097E+00   8.473E+00  2.435E-01 
1.109E+00   8.522E+00  2.438E-01 
1.122E+00   8.571E+00  2.442E-01 
1.135E+00   8.621E+00  2.445E-01 
1.148E+00   8.671E+00  2.448E-01 
1.162E+00   8.721E+00  2.451E-01 
1.175E+00   8.771E+00  2.454E-01 
1.189E+00   8.822E+00  2.457E-01 
1.203E+00   8.873E+00  2.461E-01 
1.217E+00   8.924E+00  2.464E-01 
1.231E+00   8.976E+00  2.467E-01 
1.245E+00   9.028E+00  2.470E-01 
1.259E+00   9.080E+00  2.472E-01 
1.274E+00   9.132E+00  2.475E-01 
1.289E+00   9.185E+00  2.478E-01 
1.304E+00   9.238E+00  2.481E-01 
1.319E+00   9.292E+00  2.484E-01 
1.334E+00   9.346E+00  2.487E-01 
1.350E+00   9.400E+00  2.489E-01 
1.365E+00   9.454E+00  2.492E-01 
1.381E+00   9.509E+00  2.495E-01 
1.397E+00   9.564E+00  2.497E-01 
1.413E+00   9.619E+00  2.500E-01 
1.430E+00   9.675E+00  2.503E-01 
1.446E+00   9.730E+00  2.505E-01 
1.463E+00   9.787E+00  2.508E-01 
1.480E+00   9.843E+00  2.510E-01 
1.497E+00   9.900E+00  2.513E-01 
1.515E+00   9.958E+00  2.515E-01 
1.532E+00   1.002E+01  2.517E-01 
1.550E+00   1.007E+01  2.520E-01 
1.568E+00   1.013E+01  2.522E-01 
1.586E+00   1.019E+01  2.524E-01 
1.605E+00   1.025E+01  2.527E-01 
1.623E+00   1.031E+01  2.529E-01 
1.642E+00   1.037E+01  2.531E-01 
1.661E+00   1.043E+01  2.533E-01 
1.680E+00   1.049E+01  2.535E-01 
1.700E+00   1.055E+01  2.537E-01 
1.719E+00   1.061E+01  2.539E-01 
1.739E+00   1.067E+01  2.541E-01 
1.760E+00   1.073E+01  2.543E-01 
1.780E+00   1.079E+01  2.545E-01 
1.801E+00   1.086E+01  2.547E-01 
1.822E+00   1.092E+01  2.549E-01 
1.843E+00   1.098E+01  2.551E-01 
1.864E+00   1.105E+01  2.552E-01 
1.886E+00   1.111E+01  2.554E-01 
1.908E+00   1.117E+01  2.556E-01 
1.930E+00   1.124E+01  2.557E-01 
1.952E+00   1.130E+01  2.559E-01 
1.975E+00   1.137E+01  2.560E-01 
1.998E+00   1.144E+01  2.562E-01 
2.021E+00   1.150E+01  2.563E-01 
2.044E+00   1.156E+01  2.565E-01 
2.068E+00   1.161E+01  2.566E-01 
2.092E+00   1.167E+01  2.568E-01 
2.116E+00   1.172E+01  2.569E-01 
2.141E+00   1.178E+01  2.570E-01 
2.166E+00   1.184E+01  2.572E-01 
2.191E+00   1.190E+01  2.573E-01 
2.216E+00   1.196E+01  2.574E-01 
2.242E+00   1.201E+01  2.575E-01 
2.268E+00   1.207E+01  2.576E-01 
2.294E+00   1.213E+01  2.577E-01 
2.321E+00   1.219E+01  2.578E-01 
2.348E+00   1.225E+01  2.579E-01 
2.375E+00   1.231E+01  2.580E-01 
2.402E+00   1.237E+01  2.581E-01 
2.430E+00   1.243E+01  2.582E-01 
2.458E+00   1.249E+01  2.583E-01 
2.487E+00   1.255E+01  2.583E-01 
2.516E+00   1.262E+01  2.584E-01 
2.545E+00   1.268E+01  2.585E-01 
2.574E+00   1.274E+01  2.585E-01 
2.604E+00   1.280E+01  2.586E-01 
2.635E+00   1.287E+01  2.586E-01 
2.665E+00   1.293E+01  2.587E-01 
2.696E+00   1.299E+01  2.587E-01 
2.727E+00   1.306E+01  2.588E-01 
2.759E+00   1.312E+01  2.588E-01 
2.791E+00   1.319E+01  2.588E-01 
2.823E+00   1.325E+01  2.589E-01 
2.856E+00   1.332E+01  2.589E-01 
2.889E+00   1.338E+01  2.589E-01 
2.923E+00   1.345E+01  2.589E-01 
2.957E+00   1.352E+01  2.589E-01 
2.991E+00   1.358E+01  2.589E-01 
3.026E+00   1.365E+01  2.589E-01 
3.061E+00   1.372E+01  2.589E-01 
3.096E+00   1.379E+01  2.589E-01 
3.132E+00   1.386E+01  2.589E-01 
3.168E+00   1.393E+01  2.589E-01 
3.205E+00   1.399E+01  2.589E-01 
3.242E+00   1.406E+01  2.588E-01 
3.280E+00   1.413E+01  2.588E-01 
3.318E+00   1.420E+01  2.588E-01 
3.356E+00   1.428E+01  2.587E-01 
3.395E+00   1.435E+01  2.587E-01 
3.435E+00   1.442E+01  2.586E-01 
3.475E+00   1.449E+01  2.586E-01 
3.515E+00   1.456E+01  2.585E-01 
3.556E+00   1.464E+01  2.584E-01 
3.597E+00   1.471E+01  2.584E-01 
3.639E+00   1.478E+01  2.583E-01 
3.681E+00   1.486E+01  2.582E-01 
3.724E+00   1.493E+01  2.581E-01 
3.767E+00   1.501E+01  2.580E-01 
3.810E+00   1.508E+01  2.579E-01 
3.855E+00   1.516E+01  2.578E-01 
3.899E+00   1.523E+01  2.577E-01 
3.945E+00   1.531E+01  2.576E-01 
3.990E+00   1.539E+01  2.575E-01 
4.037E+00   1.546E+01  2.574E-01 
4.083E+00   1.554E+01  2.573E-01 
4.131E+00   1.562E+01  2.571E-01 
4.179E+00   1.570E+01  2.570E-01 
4.227E+00   1.578E+01  2.569E-01 
4.276E+00   1.586E+01  2.567E-01 
4.326E+00   1.594E+01  2.566E-01 
4.376E+00   1.602E+01  2.564E-01 
4.427E+00   1.610E+01  2.563E-01 
4.478E+00   1.618E+01  2.561E-01 
4.530E+00   1.626E+01  2.559E-01 
4.583E+00   1.634E+01  2.558E-01 
4.636E+00   1.642E+01  2.556E-01 
4.690E+00   1.651E+01  2.554E-01 
4.744E+00   1.659E+01  2.552E-01 
4.799E+00   1.667E+01  2.550E-01 
4.855E+00   1.676E+01  2.548E-01 
4.911E+00   1.684E+01  2.546E-01 
4.968E+00   1.693E+01  2.544E-01 
5.026E+00   1.701E+01  2.542E-01 
5.084E+00   1.710E+01  2.540E-01 
5.143E+00   1.719E+01  2.538E-01 
5.202E+00   1.727E+01  2.535E-01 
5.263E+00   1.736E+01  2.533E-01 
5.324E+00   1.745E+01  2.531E-01 
5.386E+00   1.754E+01  2.528E-01 
5.448E+00   1.763E+01  2.526E-01 
5.511E+00   1.772E+01  2.523E-01 
5.575E+00   1.781E+01  2.521E-01 
5.640E+00   1.790E+01  2.518E-01 
5.705E+00   1.799E+01  2.515E-01 
5.771E+00   1.808E+01  2.512E-01 
5.838E+00   1.817E+01  2.510E-01 
5.906E+00   1.826E+01  2.507E-01 
5.975E+00   1.836E+01  2.504E-01 
6.044E+00   1.845E+01  2.501E-01 
6.114E+00   1.854E+01  2.498E-01 
6.185E+00   1.864E+01  2.495E-01 
6.257E+00   1.873E+01  2.492E-01 
6.329E+00   1.883E+01  2.489E-01 
6.403E+00   1.892E+01  2.486E-01 
6.477E+00   1.902E+01  2.482E-01 
6.552E+00   1.912E+01  2.479E-01 
6.628E+00   1.922E+01  2.476E-01 
6.705E+00   1.931E+01  2.472E-01 
6.783E+00   1.941E+01  2.469E-01 
6.861E+00   1.951E+01  2.465E-01 
6.941E+00   1.961E+01  2.462E-01 
7.021E+00   1.971E+01  2.458E-01 
7.103E+00   1.981E+01  2.455E-01 
7.185E+00   1.991E+01  2.451E-01 
7.269E+00   2.001E+01  2.447E-01 
7.353E+00   2.012E+01  2.443E-01 
7.438E+00   2.022E+01  2.440E-01 
7.524E+00   2.032E+01  2.436E-01 
7.612E+00   2.043E+01  2.432E-01 
7.700E+00   2.053E+01  2.428E-01 
7.789E+00   2.064E+01  2.424E-01 
7.880E+00   2.074E+01  2.420E-01 
7.971E+00   2.085E+01  2.416E-01 
8.064E+00   2.096E+01  2.411E-01 
8.157E+00   2.106E+01  2.407E-01 
8.252E+00   2.117E+01  2.403E-01 
8.347E+00   2.128E+01  2.399E-01 
8.444E+00   2.139E+01  2.394E-01 
8.542E+00   2.150E+01  2.390E-01 
8.641E+00   2.161E+01  2.385E-01 
8.741E+00   2.172E+01  2.381E-01 
8.843E+00   2.183E+01  2.376E-01 
8.945E+00   2.194E+01  2.372E-01 
9.049E+00   2.205E+01  2.367E-01 
9.154E+00   2.217E+01  2.362E-01 
9.260E+00   2.228E+01  2.357E-01 
9.368E+00   2.239E+01  2.353E-01 
9.476E+00   2.251E+01  2.348E-01 
9.586E+00   2.262E+01  2.343E-01 
9.698E+00   2.274E+01  2.338E-01 
9.810E+00   2.286E+01  2.333E-01 
9.924E+00   2.297E+01  2.328E-01 
1.004E+01   2.309E+01  2.323E-01 
1.016E+01   2.321E+01  2.318E-01 
1.027E+01   2.333E+01  2.313E-01 
1.039E+01   2.345E+01  2.307E-01 
1.051E+01   2.357E+01  2.302E-01 
1.063E+01   2.369E+01  2.297E-01 
1.076E+01   2.381E+01  2.292E-01 
1.088E+01   2.393E+01  2.286E-01 
1.101E+01   2.405E+01  2.281E-01 
1.114E+01   2.418E+01  2.275E-01 
1.127E+01   2.430E+01  2.270E-01 
1.140E+01   2.442E+01  2.264E-01 
1.153E+01   2.455E+01  2.259E-01 
1.166E+01   2.468E+01  2.253E-01 
1.180E+01   2.480E+01  2.247E-01 
1.193E+01   2.493E+01  2.242E-01 
1.207E+01   2.506E+01  2.236E-01 
1.221E+01   2.518E+01  2.230E-01 
1.235E+01   2.531E+01  2.224E-01 
1.250E+01   2.544E+01  2.218E-01 
1.264E+01   2.557E+01  2.213E-01 
1.279E+01   2.570E+01  2.207E-01 
1.294E+01   2.583E+01  2.201E-01 
1.309E+01   2.596E+01  2.195E-01 
1.324E+01   2.610E+01  2.189E-01 
1.339E+01   2.623E+01  2.182E-01 
1.355E+01   2.636E+01  2.176E-01 
1.371E+01   2.650E+01  2.170E-01 
1.387E+01   2.663E+01  2.164E-01 
1.403E+01   2.677E+01  2.158E-01 
1.419E+01   2.690E+01  2.151E-01 
1.435E+01   2.704E+01  2.145E-01 
1.452E+01   2.718E+01  2.139E-01 
1.469E+01   2.732E+01  2.132E-01 
1.486E+01   2.745E+01  2.126E-01 
1.503E+01   2.759E+01  2.119E-01 
1.521E+01   2.773E+01  2.113E-01 
1.538E+01   2.787E+01  2.106E-01 
1.556E+01   2.801E+01  2.100E-01 
1.574E+01   2.816E+01  2.093E-01 
1.592E+01   2.830E+01  2.087E-01 
1.611E+01   2.844E+01  2.080E-01 
1.629E+01   2.858E+01  2.073E-01 
1.648E+01   2.873E+01  2.067E-01 
1.667E+01   2.887E+01  2.060E-01 
1.687E+01   2.902E+01  2.053E-01 
1.706E+01   2.916E+01  2.046E-01 
1.726E+01   2.931E+01  2.039E-01 
1.746E+01   2.946E+01  2.033E-01 
1.766E+01   2.960E+01  2.026E-01 
1.787E+01   2.975E+01  2.019E-01 
1.808E+01   2.990E+01  2.012E-01 
1.829E+01   3.005E+01  2.005E-01 
1.850E+01   3.020E+01  1.998E-01 
1.871E+01   3.035E+01  1.991E-01 
1.893E+01   3.050E+01  1.984E-01 
1.915E+01   3.065E+01  1.977E-01 
1.937E+01   3.080E+01  1.970E-01 
1.960E+01   3.096E+01  1.963E-01 
1.982E+01   3.111E+01  1.956E-01 
2.005E+01   3.126E+01  1.948E-01 
2.029E+01   3.142E+01  1.941E-01 
2.052E+01   3.157E+01  1.934E-01 
2.076E+01   3.173E+01  1.927E-01 
2.100E+01   3.188E+01  1.920E-01 
2.124E+01   3.204E+01  1.912E-01 
2.149E+01   3.220E+01  1.905E-01 
2.174E+01   3.235E+01  1.898E-01 
2.199E+01   3.251E+01  1.890E-01 
2.225E+01   3.267E+01  1.883E-01 
2.250E+01   3.283E+01  1.876E-01 
2.277E+01   3.299E+01  1.868E-01 
2.303E+01   3.315E+01  1.861E-01 
2.330E+01   3.331E+01  1.853E-01 
2.357E+01   3.347E+01  1.846E-01 
2.384E+01   3.363E+01  1.839E-01 
2.412E+01   3.379E+01  1.831E-01 
2.440E+01   3.395E+01  1.824E-01 
2.468E+01   3.411E+01  1.816E-01 
2.497E+01   3.427E+01  1.809E-01 
2.526E+01   3.444E+01  1.801E-01 
2.555E+01   3.460E+01  1.794E-01 
2.584E+01   3.476E+01  1.786E-01 
2.614E+01   3.493E+01  1.779E-01 
2.645E+01   3.509E+01  1.771E-01 
2.675E+01   3.525E+01  1.763E-01 
2.707E+01   3.542E+01  1.756E-01 
2.738E+01   3.558E+01  1.748E-01 
2.770E+01   3.575E+01  1.741E-01 
2.802E+01   3.591E+01  1.733E-01 
2.834E+01   3.608E+01  1.725E-01 
2.867E+01   3.624E+01  1.718E-01 
2.900E+01   3.641E+01  1.710E-01 
2.934E+01   3.658E+01  1.703E-01 
2.968E+01   3.674E+01  1.695E-01 
3.003E+01   3.691E+01  1.687E-01 
3.037E+01   3.707E+01  1.680E-01 
3.073E+01   3.724E+01  1.672E-01 
3.108E+01   3.741E+01  1.664E-01 
3.144E+01   3.757E+01  1.657E-01 
3.181E+01   3.774E+01  1.649E-01 
3.218E+01   3.790E+01  1.641E-01 
3.255E+01   3.807E+01  1.634E-01 
3.293E+01   3.824E+01  1.626E-01 
3.331E+01   3.840E+01  1.618E-01 
3.370E+01   3.857E+01  1.611E-01 
3.409E+01   3.873E+01  1.603E-01 
3.448E+01   3.890E+01  1.595E-01 
3.488E+01   3.906E+01  1.588E-01 
3.529E+01   3.923E+01  1.580E-01 
3.570E+01   3.939E+01  1.572E-01 
