Ion = Hydrogen    . Mass = 1.0079
Tgt = Fr (Solid). Density = 10 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   9.849E+00  2.439E-01 
1.012E+00   9.906E+00  2.443E-01 
1.023E+00   9.963E+00  2.446E-01 
1.035E+00   1.002E+01  2.450E-01 
1.047E+00   1.008E+01  2.453E-01 
1.059E+00   1.014E+01  2.456E-01 
1.072E+00   1.020E+01  2.460E-01 
1.084E+00   1.025E+01  2.463E-01 
1.097E+00   1.031E+01  2.467E-01 
1.109E+00   1.037E+01  2.470E-01 
1.122E+00   1.043E+01  2.473E-01 
1.135E+00   1.049E+01  2.476E-01 
1.148E+00   1.055E+01  2.480E-01 
1.162E+00   1.062E+01  2.483E-01 
1.175E+00   1.068E+01  2.486E-01 
1.189E+00   1.074E+01  2.489E-01 
1.203E+00   1.080E+01  2.492E-01 
1.217E+00   1.086E+01  2.495E-01 
1.231E+00   1.093E+01  2.498E-01 
1.245E+00   1.099E+01  2.501E-01 
1.259E+00   1.105E+01  2.504E-01 
1.274E+00   1.112E+01  2.507E-01 
1.289E+00   1.118E+01  2.510E-01 
1.304E+00   1.125E+01  2.513E-01 
1.319E+00   1.131E+01  2.516E-01 
1.334E+00   1.138E+01  2.519E-01 
1.350E+00   1.144E+01  2.521E-01 
1.365E+00   1.151E+01  2.524E-01 
1.381E+00   1.157E+01  2.527E-01 
1.397E+00   1.164E+01  2.529E-01 
1.413E+00   1.171E+01  2.532E-01 
1.430E+00   1.178E+01  2.535E-01 
1.446E+00   1.184E+01  2.537E-01 
1.463E+00   1.191E+01  2.540E-01 
1.480E+00   1.198E+01  2.542E-01 
1.497E+00   1.205E+01  2.545E-01 
1.515E+00   1.212E+01  2.547E-01 
1.532E+00   1.219E+01  2.550E-01 
1.550E+00   1.226E+01  2.552E-01 
1.568E+00   1.233E+01  2.554E-01 
1.586E+00   1.240E+01  2.556E-01 
1.605E+00   1.248E+01  2.559E-01 
1.623E+00   1.255E+01  2.561E-01 
1.642E+00   1.262E+01  2.563E-01 
1.661E+00   1.269E+01  2.565E-01 
1.680E+00   1.277E+01  2.567E-01 
1.700E+00   1.284E+01  2.569E-01 
1.719E+00   1.292E+01  2.571E-01 
1.739E+00   1.299E+01  2.573E-01 
1.760E+00   1.306E+01  2.575E-01 
1.780E+00   1.314E+01  2.577E-01 
1.801E+00   1.322E+01  2.579E-01 
1.822E+00   1.329E+01  2.581E-01 
1.843E+00   1.337E+01  2.583E-01 
1.864E+00   1.345E+01  2.585E-01 
1.886E+00   1.352E+01  2.586E-01 
1.908E+00   1.360E+01  2.588E-01 
1.930E+00   1.368E+01  2.590E-01 
1.952E+00   1.376E+01  2.591E-01 
1.975E+00   1.384E+01  2.593E-01 
1.998E+00   1.392E+01  2.594E-01 
2.021E+00   1.400E+01  2.596E-01 
2.044E+00   1.405E+01  2.597E-01 
2.068E+00   1.411E+01  2.599E-01 
2.092E+00   1.417E+01  2.600E-01 
2.116E+00   1.423E+01  2.601E-01 
2.141E+00   1.429E+01  2.603E-01 
2.166E+00   1.434E+01  2.604E-01 
2.191E+00   1.440E+01  2.605E-01 
2.216E+00   1.446E+01  2.606E-01 
2.242E+00   1.452E+01  2.607E-01 
2.268E+00   1.458E+01  2.609E-01 
2.294E+00   1.464E+01  2.610E-01 
2.321E+00   1.471E+01  2.611E-01 
2.348E+00   1.477E+01  2.612E-01 
2.375E+00   1.483E+01  2.612E-01 
2.402E+00   1.489E+01  2.613E-01 
2.430E+00   1.495E+01  2.614E-01 
2.458E+00   1.502E+01  2.615E-01 
2.487E+00   1.508E+01  2.616E-01 
2.516E+00   1.514E+01  2.616E-01 
2.545E+00   1.521E+01  2.617E-01 
2.574E+00   1.527E+01  2.618E-01 
2.604E+00   1.533E+01  2.618E-01 
2.635E+00   1.540E+01  2.619E-01 
2.665E+00   1.547E+01  2.619E-01 
2.696E+00   1.553E+01  2.620E-01 
2.727E+00   1.560E+01  2.620E-01 
2.759E+00   1.566E+01  2.620E-01 
2.791E+00   1.573E+01  2.621E-01 
2.823E+00   1.580E+01  2.621E-01 
2.856E+00   1.586E+01  2.621E-01 
2.889E+00   1.593E+01  2.621E-01 
2.923E+00   1.600E+01  2.621E-01 
2.957E+00   1.607E+01  2.622E-01 
2.991E+00   1.614E+01  2.622E-01 
3.026E+00   1.621E+01  2.622E-01 
3.061E+00   1.628E+01  2.622E-01 
3.096E+00   1.635E+01  2.621E-01 
3.132E+00   1.642E+01  2.621E-01 
3.168E+00   1.649E+01  2.621E-01 
3.205E+00   1.656E+01  2.621E-01 
3.242E+00   1.663E+01  2.621E-01 
3.280E+00   1.670E+01  2.620E-01 
3.318E+00   1.678E+01  2.620E-01 
3.356E+00   1.685E+01  2.619E-01 
3.395E+00   1.692E+01  2.619E-01 
3.435E+00   1.700E+01  2.618E-01 
3.475E+00   1.707E+01  2.618E-01 
3.515E+00   1.715E+01  2.617E-01 
3.556E+00   1.722E+01  2.617E-01 
3.597E+00   1.730E+01  2.616E-01 
3.639E+00   1.737E+01  2.615E-01 
3.681E+00   1.745E+01  2.614E-01 
3.724E+00   1.753E+01  2.613E-01 
3.767E+00   1.760E+01  2.612E-01 
3.810E+00   1.768E+01  2.612E-01 
3.855E+00   1.776E+01  2.611E-01 
3.899E+00   1.784E+01  2.609E-01 
3.945E+00   1.792E+01  2.608E-01 
3.990E+00   1.800E+01  2.607E-01 
4.037E+00   1.808E+01  2.606E-01 
4.083E+00   1.816E+01  2.605E-01 
4.131E+00   1.824E+01  2.603E-01 
4.179E+00   1.832E+01  2.602E-01 
4.227E+00   1.840E+01  2.601E-01 
4.276E+00   1.848E+01  2.599E-01 
4.326E+00   1.856E+01  2.598E-01 
4.376E+00   1.865E+01  2.596E-01 
4.427E+00   1.873E+01  2.595E-01 
4.478E+00   1.882E+01  2.593E-01 
4.530E+00   1.890E+01  2.591E-01 
4.583E+00   1.898E+01  2.590E-01 
4.636E+00   1.907E+01  2.588E-01 
4.690E+00   1.916E+01  2.586E-01 
4.744E+00   1.924E+01  2.584E-01 
4.799E+00   1.933E+01  2.582E-01 
4.855E+00   1.942E+01  2.580E-01 
4.911E+00   1.950E+01  2.578E-01 
4.968E+00   1.959E+01  2.576E-01 
5.026E+00   1.968E+01  2.574E-01 
5.084E+00   1.977E+01  2.572E-01 
