Ion = Hydrogen    . Mass = 1.0079
Tgt = Ac (Solid). Density = 10 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   8.253E+00  2.420E-01 
1.012E+00   8.301E+00  2.424E-01 
1.023E+00   8.349E+00  2.428E-01 
1.035E+00   8.397E+00  2.432E-01 
1.047E+00   8.446E+00  2.436E-01 
1.059E+00   8.494E+00  2.440E-01 
1.072E+00   8.544E+00  2.444E-01 
1.084E+00   8.593E+00  2.448E-01 
1.097E+00   8.643E+00  2.452E-01 
1.109E+00   8.693E+00  2.455E-01 
1.122E+00   8.743E+00  2.459E-01 
1.135E+00   8.794E+00  2.463E-01 
1.148E+00   8.844E+00  2.467E-01 
1.162E+00   8.896E+00  2.470E-01 
1.175E+00   8.947E+00  2.474E-01 
1.189E+00   8.999E+00  2.477E-01 
1.203E+00   9.051E+00  2.481E-01 
1.217E+00   9.103E+00  2.485E-01 
1.231E+00   9.156E+00  2.488E-01 
1.245E+00   9.209E+00  2.492E-01 
1.259E+00   9.262E+00  2.495E-01 
1.274E+00   9.315E+00  2.498E-01 
1.289E+00   9.369E+00  2.502E-01 
1.304E+00   9.424E+00  2.505E-01 
1.319E+00   9.478E+00  2.509E-01 
1.334E+00   9.533E+00  2.512E-01 
1.350E+00   9.588E+00  2.515E-01 
1.365E+00   9.643E+00  2.518E-01 
1.381E+00   9.699E+00  2.522E-01 
1.397E+00   9.755E+00  2.525E-01 
1.413E+00   9.812E+00  2.528E-01 
1.430E+00   9.868E+00  2.531E-01 
1.446E+00   9.925E+00  2.534E-01 
1.463E+00   9.983E+00  2.537E-01 
1.480E+00   1.004E+01  2.540E-01 
1.497E+00   1.010E+01  2.543E-01 
1.515E+00   1.016E+01  2.546E-01 
1.532E+00   1.022E+01  2.549E-01 
1.550E+00   1.027E+01  2.552E-01 
1.568E+00   1.033E+01  2.554E-01 
1.586E+00   1.039E+01  2.557E-01 
1.605E+00   1.045E+01  2.560E-01 
1.623E+00   1.051E+01  2.563E-01 
1.642E+00   1.058E+01  2.565E-01 
1.661E+00   1.064E+01  2.568E-01 
1.680E+00   1.070E+01  2.571E-01 
1.700E+00   1.076E+01  2.573E-01 
1.719E+00   1.082E+01  2.576E-01 
1.739E+00   1.088E+01  2.578E-01 
1.760E+00   1.095E+01  2.581E-01 
1.780E+00   1.101E+01  2.583E-01 
1.801E+00   1.107E+01  2.585E-01 
1.822E+00   1.114E+01  2.588E-01 
1.843E+00   1.120E+01  2.590E-01 
1.864E+00   1.127E+01  2.592E-01 
1.886E+00   1.133E+01  2.595E-01 
1.908E+00   1.140E+01  2.597E-01 
1.930E+00   1.146E+01  2.599E-01 
1.952E+00   1.153E+01  2.601E-01 
1.975E+00   1.160E+01  2.603E-01 
1.998E+00   1.166E+01  2.605E-01 
2.021E+00   1.173E+01  2.607E-01 
2.044E+00   1.179E+01  2.609E-01 
2.068E+00   1.185E+01  2.611E-01 
2.092E+00   1.190E+01  2.613E-01 
2.116E+00   1.196E+01  2.615E-01 
2.141E+00   1.202E+01  2.616E-01 
2.166E+00   1.208E+01  2.618E-01 
2.191E+00   1.214E+01  2.620E-01 
2.216E+00   1.220E+01  2.621E-01 
2.242E+00   1.226E+01  2.623E-01 
2.268E+00   1.233E+01  2.625E-01 
2.294E+00   1.239E+01  2.626E-01 
2.321E+00   1.245E+01  2.628E-01 
2.348E+00   1.251E+01  2.629E-01 
2.375E+00   1.258E+01  2.630E-01 
2.402E+00   1.264E+01  2.632E-01 
2.430E+00   1.270E+01  2.633E-01 
2.458E+00   1.277E+01  2.634E-01 
2.487E+00   1.283E+01  2.635E-01 
2.516E+00   1.290E+01  2.637E-01 
2.545E+00   1.296E+01  2.638E-01 
2.574E+00   1.303E+01  2.639E-01 
2.604E+00   1.309E+01  2.640E-01 
2.635E+00   1.316E+01  2.641E-01 
2.665E+00   1.323E+01  2.642E-01 
2.696E+00   1.329E+01  2.643E-01 
2.727E+00   1.336E+01  2.644E-01 
2.759E+00   1.343E+01  2.644E-01 
2.791E+00   1.350E+01  2.645E-01 
2.823E+00   1.357E+01  2.646E-01 
2.856E+00   1.363E+01  2.647E-01 
2.889E+00   1.370E+01  2.647E-01 
2.923E+00   1.377E+01  2.648E-01 
2.957E+00   1.385E+01  2.648E-01 
2.991E+00   1.392E+01  2.649E-01 
3.026E+00   1.399E+01  2.649E-01 
3.061E+00   1.406E+01  2.650E-01 
3.096E+00   1.413E+01  2.650E-01 
3.132E+00   1.421E+01  2.650E-01 
3.168E+00   1.428E+01  2.650E-01 
3.205E+00   1.435E+01  2.651E-01 
3.242E+00   1.443E+01  2.651E-01 
3.280E+00   1.450E+01  2.651E-01 
3.318E+00   1.458E+01  2.651E-01 
3.356E+00   1.465E+01  2.651E-01 
3.395E+00   1.473E+01  2.651E-01 
3.435E+00   1.480E+01  2.651E-01 
3.475E+00   1.488E+01  2.650E-01 
3.515E+00   1.496E+01  2.650E-01 
3.556E+00   1.504E+01  2.650E-01 
3.597E+00   1.512E+01  2.650E-01 
3.639E+00   1.519E+01  2.649E-01 
3.681E+00   1.527E+01  2.649E-01 
3.724E+00   1.535E+01  2.648E-01 
3.767E+00   1.543E+01  2.648E-01 
3.810E+00   1.552E+01  2.647E-01 
3.855E+00   1.560E+01  2.647E-01 
3.899E+00   1.568E+01  2.646E-01 
3.945E+00   1.576E+01  2.645E-01 
3.990E+00   1.584E+01  2.644E-01 
4.037E+00   1.593E+01  2.644E-01 
4.083E+00   1.601E+01  2.643E-01 
4.131E+00   1.610E+01  2.642E-01 
4.179E+00   1.618E+01  2.641E-01 
4.227E+00   1.627E+01  2.640E-01 
4.276E+00   1.635E+01  2.639E-01 
4.326E+00   1.644E+01  2.638E-01 
4.376E+00   1.653E+01  2.636E-01 
4.427E+00   1.661E+01  2.635E-01 
4.478E+00   1.670E+01  2.634E-01 
4.530E+00   1.679E+01  2.632E-01 
4.583E+00   1.688E+01  2.631E-01 
4.636E+00   1.697E+01  2.630E-01 
4.690E+00   1.706E+01  2.628E-01 
4.744E+00   1.715E+01  2.626E-01 
4.799E+00   1.724E+01  2.625E-01 
4.855E+00   1.733E+01  2.623E-01 
4.911E+00   1.743E+01  2.621E-01 
4.968E+00   1.752E+01  2.620E-01 
5.026E+00   1.761E+01  2.618E-01 
5.084E+00   1.771E+01  2.616E-01 
5.143E+00   1.780E+01  2.614E-01 
5.202E+00   1.790E+01  2.612E-01 
5.263E+00   1.799E+01  2.610E-01 
5.324E+00   1.809E+01  2.608E-01 
5.386E+00   1.819E+01  2.606E-01 
5.448E+00   1.828E+01  2.603E-01 
5.511E+00   1.838E+01  2.601E-01 
5.575E+00   1.848E+01  2.599E-01 
5.640E+00   1.858E+01  2.596E-01 
5.705E+00   1.868E+01  2.594E-01 
5.771E+00   1.878E+01  2.591E-01 
5.838E+00   1.888E+01  2.589E-01 
5.906E+00   1.899E+01  2.586E-01 
5.975E+00   1.909E+01  2.584E-01 
6.044E+00   1.919E+01  2.581E-01 
6.114E+00   1.930E+01  2.578E-01 
6.185E+00   1.940E+01  2.575E-01 
6.257E+00   1.950E+01  2.572E-01 
6.329E+00   1.961E+01  2.570E-01 
6.403E+00   1.972E+01  2.567E-01 
6.477E+00   1.982E+01  2.564E-01 
6.552E+00   1.993E+01  2.560E-01 
6.628E+00   2.004E+01  2.557E-01 
6.705E+00   2.015E+01  2.554E-01 
6.783E+00   2.026E+01  2.551E-01 
6.861E+00   2.037E+01  2.548E-01 
6.941E+00   2.048E+01  2.544E-01 
7.021E+00   2.059E+01  2.541E-01 
7.103E+00   2.070E+01  2.537E-01 
7.185E+00   2.082E+01  2.534E-01 
7.269E+00   2.093E+01  2.530E-01 
7.353E+00   2.104E+01  2.527E-01 
7.438E+00   2.116E+01  2.523E-01 
7.524E+00   2.127E+01  2.519E-01 
7.612E+00   2.139E+01  2.515E-01 
7.700E+00   2.151E+01  2.511E-01 
7.789E+00   2.163E+01  2.508E-01 
7.880E+00   2.174E+01  2.504E-01 
7.971E+00   2.186E+01  2.500E-01 
8.064E+00   2.198E+01  2.496E-01 
8.157E+00   2.210E+01  2.491E-01 
8.252E+00   2.222E+01  2.487E-01 
8.347E+00   2.235E+01  2.483E-01 
8.444E+00   2.247E+01  2.479E-01 
8.542E+00   2.259E+01  2.474E-01 
8.641E+00   2.272E+01  2.470E-01 
8.741E+00   2.284E+01  2.466E-01 
8.843E+00   2.297E+01  2.461E-01 
8.945E+00   2.309E+01  2.457E-01 
9.049E+00   2.322E+01  2.452E-01 
9.154E+00   2.335E+01  2.447E-01 
9.260E+00   2.348E+01  2.443E-01 
9.368E+00   2.361E+01  2.438E-01 
9.476E+00   2.374E+01  2.433E-01 
9.586E+00   2.387E+01  2.428E-01 
9.698E+00   2.400E+01  2.423E-01 
9.810E+00   2.413E+01  2.419E-01 
9.924E+00   2.426E+01  2.414E-01 
1.004E+01   2.440E+01  2.409E-01 
1.016E+01   2.453E+01  2.403E-01 
1.027E+01   2.467E+01  2.398E-01 
1.039E+01   2.480E+01  2.393E-01 
1.051E+01   2.494E+01  2.388E-01 
1.063E+01   2.508E+01  2.383E-01 
1.076E+01   2.522E+01  2.377E-01 
1.088E+01   2.536E+01  2.372E-01 
1.101E+01   2.550E+01  2.367E-01 
1.114E+01   2.564E+01  2.361E-01 
1.127E+01   2.578E+01  2.356E-01 
1.140E+01   2.592E+01  2.350E-01 
1.153E+01   2.606E+01  2.344E-01 
1.166E+01   2.621E+01  2.339E-01 
1.180E+01   2.635E+01  2.333E-01 
1.193E+01   2.650E+01  2.327E-01 
1.207E+01   2.665E+01  2.322E-01 
1.221E+01   2.679E+01  2.316E-01 
1.235E+01   2.694E+01  2.310E-01 
1.250E+01   2.709E+01  2.304E-01 
1.264E+01   2.724E+01  2.298E-01 
1.279E+01   2.739E+01  2.292E-01 
1.294E+01   2.754E+01  2.286E-01 
1.309E+01   2.769E+01  2.280E-01 
1.324E+01   2.785E+01  2.274E-01 
1.339E+01   2.800E+01  2.268E-01 
1.355E+01   2.816E+01  2.261E-01 
1.371E+01   2.831E+01  2.255E-01 
1.387E+01   2.847E+01  2.249E-01 
1.403E+01   2.862E+01  2.243E-01 
1.419E+01   2.878E+01  2.236E-01 
1.435E+01   2.894E+01  2.230E-01 
1.452E+01   2.910E+01  2.223E-01 
1.469E+01   2.926E+01  2.217E-01 
1.486E+01   2.942E+01  2.210E-01 
1.503E+01   2.959E+01  2.204E-01 
1.521E+01   2.975E+01  2.197E-01 
1.538E+01   2.991E+01  2.191E-01 
1.556E+01   3.008E+01  2.184E-01 
1.574E+01   3.024E+01  2.177E-01 
1.592E+01   3.041E+01  2.171E-01 
1.611E+01   3.058E+01  2.164E-01 
1.629E+01   3.075E+01  2.157E-01 
1.648E+01   3.091E+01  2.150E-01 
