Ion = Hydrogen    . Mass = 1.0079
Tgt =  F (Solid). Density = 1.1111 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   1.186E+00  4.839E-01 
1.012E+00   1.193E+00  4.823E-01 
1.023E+00   1.200E+00  4.807E-01 
1.035E+00   1.207E+00  4.791E-01 
1.047E+00   1.214E+00  4.775E-01 
1.059E+00   1.221E+00  4.759E-01 
1.072E+00   1.228E+00  4.742E-01 
1.084E+00   1.235E+00  4.726E-01 
1.097E+00   1.243E+00  4.709E-01 
1.109E+00   1.250E+00  4.693E-01 
1.122E+00   1.257E+00  4.676E-01 
1.135E+00   1.264E+00  4.660E-01 
1.148E+00   1.271E+00  4.643E-01 
1.162E+00   1.279E+00  4.626E-01 
1.175E+00   1.286E+00  4.609E-01 
1.189E+00   1.294E+00  4.592E-01 
1.203E+00   1.301E+00  4.575E-01 
1.217E+00   1.309E+00  4.558E-01 
1.231E+00   1.316E+00  4.541E-01 
1.245E+00   1.324E+00  4.524E-01 
1.259E+00   1.332E+00  4.506E-01 
1.274E+00   1.339E+00  4.489E-01 
1.289E+00   1.347E+00  4.472E-01 
1.304E+00   1.355E+00  4.454E-01 
1.319E+00   1.363E+00  4.437E-01 
1.334E+00   1.370E+00  4.419E-01 
1.350E+00   1.378E+00  4.402E-01 
1.365E+00   1.386E+00  4.384E-01 
1.381E+00   1.394E+00  4.366E-01 
1.397E+00   1.402E+00  4.349E-01 
1.413E+00   1.411E+00  4.331E-01 
1.430E+00   1.419E+00  4.313E-01 
1.446E+00   1.427E+00  4.295E-01 
1.463E+00   1.435E+00  4.277E-01 
1.480E+00   1.443E+00  4.259E-01 
1.497E+00   1.452E+00  4.241E-01 
1.515E+00   1.460E+00  4.223E-01 
1.532E+00   1.469E+00  4.205E-01 
1.550E+00   1.477E+00  4.187E-01 
1.568E+00   1.486E+00  4.169E-01 
1.586E+00   1.494E+00  4.151E-01 
1.605E+00   1.503E+00  4.133E-01 
1.623E+00   1.512E+00  4.115E-01 
1.642E+00   1.520E+00  4.097E-01 
1.661E+00   1.529E+00  4.078E-01 
1.680E+00   1.538E+00  4.060E-01 
1.700E+00   1.547E+00  4.042E-01 
1.719E+00   1.556E+00  4.024E-01 
1.739E+00   1.565E+00  4.005E-01 
1.760E+00   1.574E+00  3.987E-01 
1.780E+00   1.583E+00  3.969E-01 
1.801E+00   1.592E+00  3.950E-01 
1.822E+00   1.601E+00  3.932E-01 
1.843E+00   1.611E+00  3.913E-01 
1.864E+00   1.620E+00  3.895E-01 
1.886E+00   1.629E+00  3.877E-01 
1.908E+00   1.639E+00  3.858E-01 
1.930E+00   1.648E+00  3.840E-01 
1.952E+00   1.658E+00  3.821E-01 
1.975E+00   1.667E+00  3.803E-01 
1.998E+00   1.677E+00  3.785E-01 
2.021E+00   1.687E+00  3.766E-01 
2.044E+00   1.697E+00  3.748E-01 
2.068E+00   1.707E+00  3.729E-01 
2.092E+00   1.717E+00  3.711E-01 
2.116E+00   1.727E+00  3.692E-01 
2.141E+00   1.737E+00  3.674E-01 
2.166E+00   1.748E+00  3.656E-01 
2.191E+00   1.758E+00  3.637E-01 
2.216E+00   1.769E+00  3.619E-01 
2.242E+00   1.780E+00  3.600E-01 
2.268E+00   1.791E+00  3.582E-01 
2.294E+00   1.802E+00  3.564E-01 
2.321E+00   1.813E+00  3.545E-01 
2.348E+00   1.824E+00  3.527E-01 
2.375E+00   1.836E+00  3.508E-01 
2.402E+00   1.847E+00  3.490E-01 
2.430E+00   1.859E+00  3.472E-01 
2.458E+00   1.871E+00  3.454E-01 
2.487E+00   1.883E+00  3.435E-01 
2.516E+00   1.895E+00  3.417E-01 
2.545E+00   1.907E+00  3.399E-01 
2.574E+00   1.919E+00  3.381E-01 
2.604E+00   1.932E+00  3.362E-01 
2.635E+00   1.945E+00  3.344E-01 
2.665E+00   1.957E+00  3.326E-01 
2.696E+00   1.970E+00  3.308E-01 
2.727E+00   1.983E+00  3.290E-01 
2.759E+00   1.997E+00  3.272E-01 
2.791E+00   2.010E+00  3.254E-01 
2.823E+00   2.024E+00  3.236E-01 
2.856E+00   2.037E+00  3.218E-01 
2.889E+00   2.051E+00  3.200E-01 
2.923E+00   2.065E+00  3.182E-01 
2.957E+00   2.079E+00  3.164E-01 
2.991E+00   2.094E+00  3.146E-01 
3.026E+00   2.108E+00  3.128E-01 
3.061E+00   2.123E+00  3.110E-01 
3.096E+00   2.138E+00  3.093E-01 
3.132E+00   2.153E+00  3.075E-01 
3.168E+00   2.168E+00  3.057E-01 
3.205E+00   2.183E+00  3.039E-01 
3.242E+00   2.198E+00  3.022E-01 
3.280E+00   2.214E+00  3.004E-01 
3.318E+00   2.230E+00  2.987E-01 
3.356E+00   2.246E+00  2.969E-01 
3.395E+00   2.262E+00  2.952E-01 
3.435E+00   2.278E+00  2.934E-01 
3.475E+00   2.295E+00  2.917E-01 
3.515E+00   2.312E+00  2.900E-01 
3.556E+00   2.329E+00  2.882E-01 
3.597E+00   2.346E+00  2.865E-01 
3.639E+00   2.363E+00  2.848E-01 
3.681E+00   2.381E+00  2.831E-01 
3.724E+00   2.398E+00  2.814E-01 
3.767E+00   2.416E+00  2.797E-01 
3.810E+00   2.434E+00  2.780E-01 
3.855E+00   2.452E+00  2.763E-01 
3.899E+00   2.471E+00  2.746E-01 
3.945E+00   2.490E+00  2.729E-01 
3.990E+00   2.508E+00  2.712E-01 
4.037E+00   2.528E+00  2.695E-01 
4.083E+00   2.547E+00  2.679E-01 
4.131E+00   2.566E+00  2.662E-01 
4.179E+00   2.586E+00  2.646E-01 
