Ion = Hydrogen    . Mass = 1.0079
Tgt = Th (Solid). Density = 11.658 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   7.910E+00  2.370E-01 
1.012E+00   7.956E+00  2.373E-01 
1.023E+00   8.002E+00  2.377E-01 
1.035E+00   8.048E+00  2.381E-01 
1.047E+00   8.095E+00  2.384E-01 
1.059E+00   8.142E+00  2.388E-01 
1.072E+00   8.189E+00  2.391E-01 
1.084E+00   8.236E+00  2.395E-01 
1.097E+00   8.284E+00  2.399E-01 
1.109E+00   8.332E+00  2.402E-01 
1.122E+00   8.380E+00  2.406E-01 
1.135E+00   8.428E+00  2.409E-01 
1.148E+00   8.477E+00  2.412E-01 
1.162E+00   8.526E+00  2.416E-01 
1.175E+00   8.575E+00  2.419E-01 
1.189E+00   8.625E+00  2.422E-01 
1.203E+00   8.675E+00  2.426E-01 
1.217E+00   8.725E+00  2.429E-01 
1.231E+00   8.775E+00  2.432E-01 
1.245E+00   8.826E+00  2.435E-01 
1.259E+00   8.877E+00  2.439E-01 
1.274E+00   8.928E+00  2.442E-01 
1.289E+00   8.980E+00  2.445E-01 
1.304E+00   9.032E+00  2.448E-01 
1.319E+00   9.084E+00  2.451E-01 
1.334E+00   9.137E+00  2.454E-01 
1.350E+00   9.190E+00  2.457E-01 
1.365E+00   9.243E+00  2.460E-01 
1.381E+00   9.296E+00  2.463E-01 
1.397E+00   9.350E+00  2.466E-01 
1.413E+00   9.404E+00  2.469E-01 
1.430E+00   9.458E+00  2.471E-01 
1.446E+00   9.513E+00  2.474E-01 
1.463E+00   9.568E+00  2.477E-01 
1.480E+00   9.623E+00  2.480E-01 
1.497E+00   9.679E+00  2.482E-01 
1.515E+00   9.735E+00  2.485E-01 
1.532E+00   9.791E+00  2.488E-01 
1.550E+00   9.848E+00  2.490E-01 
1.568E+00   9.905E+00  2.493E-01 
1.586E+00   9.962E+00  2.495E-01 
1.605E+00   1.002E+01  2.498E-01 
1.623E+00   1.008E+01  2.500E-01 
1.642E+00   1.014E+01  2.503E-01 
1.661E+00   1.019E+01  2.505E-01 
1.680E+00   1.025E+01  2.508E-01 
1.700E+00   1.031E+01  2.510E-01 
1.719E+00   1.037E+01  2.512E-01 
1.739E+00   1.043E+01  2.515E-01 
1.760E+00   1.049E+01  2.517E-01 
1.780E+00   1.055E+01  2.519E-01 
1.801E+00   1.061E+01  2.521E-01 
1.822E+00   1.068E+01  2.523E-01 
1.843E+00   1.074E+01  2.525E-01 
1.864E+00   1.080E+01  2.527E-01 
1.886E+00   1.086E+01  2.529E-01 
1.908E+00   1.092E+01  2.531E-01 
1.930E+00   1.099E+01  2.533E-01 
1.952E+00   1.105E+01  2.535E-01 
1.975E+00   1.112E+01  2.537E-01 
1.998E+00   1.118E+01  2.539E-01 
2.021E+00   1.124E+01  2.540E-01 
2.044E+00   1.130E+01  2.542E-01 
2.068E+00   1.136E+01  2.544E-01 
2.092E+00   1.142E+01  2.546E-01 
2.116E+00   1.148E+01  2.547E-01 
2.141E+00   1.154E+01  2.549E-01 
2.166E+00   1.159E+01  2.550E-01 
2.191E+00   1.165E+01  2.552E-01 
2.216E+00   1.171E+01  2.553E-01 
2.242E+00   1.178E+01  2.555E-01 
2.268E+00   1.184E+01  2.556E-01 
2.294E+00   1.190E+01  2.557E-01 
2.321E+00   1.196E+01  2.559E-01 
2.348E+00   1.202E+01  2.560E-01 
2.375E+00   1.208E+01  2.561E-01 
2.402E+00   1.215E+01  2.562E-01 
2.430E+00   1.221E+01  2.563E-01 
2.458E+00   1.227E+01  2.564E-01 
2.487E+00   1.233E+01  2.566E-01 
2.516E+00   1.240E+01  2.567E-01 
2.545E+00   1.246E+01  2.567E-01 
2.574E+00   1.253E+01  2.568E-01 
2.604E+00   1.259E+01  2.569E-01 
2.635E+00   1.266E+01  2.570E-01 
2.665E+00   1.272E+01  2.571E-01 
2.696E+00   1.279E+01  2.572E-01 
2.727E+00   1.286E+01  2.572E-01 
2.759E+00   1.292E+01  2.573E-01 
2.791E+00   1.299E+01  2.574E-01 
2.823E+00   1.306E+01  2.574E-01 
2.856E+00   1.313E+01  2.575E-01 
2.889E+00   1.320E+01  2.575E-01 
2.923E+00   1.326E+01  2.576E-01 
2.957E+00   1.333E+01  2.576E-01 
2.991E+00   1.340E+01  2.576E-01 
3.026E+00   1.347E+01  2.577E-01 
3.061E+00   1.354E+01  2.577E-01 
3.096E+00   1.361E+01  2.577E-01 
3.132E+00   1.369E+01  2.577E-01 
3.168E+00   1.376E+01  2.578E-01 
3.205E+00   1.383E+01  2.578E-01 
3.242E+00   1.390E+01  2.578E-01 
3.280E+00   1.397E+01  2.578E-01 
3.318E+00   1.405E+01  2.578E-01 
3.356E+00   1.412E+01  2.577E-01 
3.395E+00   1.419E+01  2.577E-01 
3.435E+00   1.427E+01  2.577E-01 
3.475E+00   1.434E+01  2.577E-01 
3.515E+00   1.442E+01  2.577E-01 
3.556E+00   1.449E+01  2.576E-01 
3.597E+00   1.457E+01  2.576E-01 
3.639E+00   1.465E+01  2.575E-01 
3.681E+00   1.472E+01  2.575E-01 
3.724E+00   1.480E+01  2.574E-01 
3.767E+00   1.488E+01  2.574E-01 
3.810E+00   1.496E+01  2.573E-01 
3.855E+00   1.504E+01  2.573E-01 
3.899E+00   1.512E+01  2.572E-01 
3.945E+00   1.520E+01  2.571E-01 
3.990E+00   1.528E+01  2.570E-01 
