Ion = Hydrogen    . Mass = 1.0079
Tgt = Pa (Solid). Density = 15.37 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   6.966E+00  2.432E-01 
1.012E+00   7.007E+00  2.436E-01 
1.023E+00   7.047E+00  2.439E-01 
1.035E+00   7.088E+00  2.443E-01 
1.047E+00   7.129E+00  2.447E-01 
1.059E+00   7.170E+00  2.451E-01 
1.072E+00   7.212E+00  2.455E-01 
1.084E+00   7.253E+00  2.459E-01 
1.097E+00   7.295E+00  2.463E-01 
1.109E+00   7.337E+00  2.466E-01 
1.122E+00   7.380E+00  2.470E-01 
1.135E+00   7.422E+00  2.474E-01 
1.148E+00   7.465E+00  2.477E-01 
1.162E+00   7.509E+00  2.481E-01 
1.175E+00   7.552E+00  2.485E-01 
1.189E+00   7.596E+00  2.488E-01 
1.203E+00   7.640E+00  2.492E-01 
1.217E+00   7.684E+00  2.495E-01 
1.231E+00   7.728E+00  2.499E-01 
1.245E+00   7.773E+00  2.502E-01 
1.259E+00   7.818E+00  2.506E-01 
1.274E+00   7.863E+00  2.509E-01 
1.289E+00   7.908E+00  2.512E-01 
1.304E+00   7.954E+00  2.516E-01 
1.319E+00   8.000E+00  2.519E-01 
1.334E+00   8.046E+00  2.522E-01 
1.350E+00   8.093E+00  2.525E-01 
1.365E+00   8.140E+00  2.529E-01 
1.381E+00   8.187E+00  2.532E-01 
1.397E+00   8.234E+00  2.535E-01 
1.413E+00   8.282E+00  2.538E-01 
1.430E+00   8.330E+00  2.541E-01 
1.446E+00   8.378E+00  2.544E-01 
1.463E+00   8.426E+00  2.547E-01 
1.480E+00   8.475E+00  2.550E-01 
1.497E+00   8.524E+00  2.553E-01 
1.515E+00   8.573E+00  2.556E-01 
1.532E+00   8.623E+00  2.559E-01 
1.550E+00   8.673E+00  2.561E-01 
1.568E+00   8.723E+00  2.564E-01 
1.586E+00   8.773E+00  2.567E-01 
1.605E+00   8.824E+00  2.570E-01 
1.623E+00   8.875E+00  2.572E-01 
1.642E+00   8.927E+00  2.575E-01 
1.661E+00   8.978E+00  2.577E-01 
1.680E+00   9.030E+00  2.580E-01 
1.700E+00   9.082E+00  2.582E-01 
1.719E+00   9.135E+00  2.585E-01 
1.739E+00   9.188E+00  2.587E-01 
1.760E+00   9.241E+00  2.590E-01 
1.780E+00   9.294E+00  2.592E-01 
1.801E+00   9.348E+00  2.594E-01 
1.822E+00   9.402E+00  2.597E-01 
1.843E+00   9.456E+00  2.599E-01 
1.864E+00   9.511E+00  2.601E-01 
1.886E+00   9.566E+00  2.603E-01 
1.908E+00   9.621E+00  2.605E-01 
1.930E+00   9.677E+00  2.608E-01 
1.952E+00   9.733E+00  2.610E-01 
1.975E+00   9.789E+00  2.612E-01 
1.998E+00   9.846E+00  2.614E-01 
2.021E+00   9.901E+00  2.615E-01 
2.044E+00   9.951E+00  2.617E-01 
2.068E+00   1.000E+01  2.619E-01 
2.092E+00   1.005E+01  2.621E-01 
2.116E+00   1.010E+01  2.623E-01 
2.141E+00   1.016E+01  2.624E-01 
2.166E+00   1.021E+01  2.626E-01 
2.191E+00   1.026E+01  2.628E-01 
2.216E+00   1.031E+01  2.629E-01 
2.242E+00   1.036E+01  2.631E-01 
2.268E+00   1.042E+01  2.632E-01 
2.294E+00   1.047E+01  2.634E-01 
2.321E+00   1.052E+01  2.635E-01 
2.348E+00   1.058E+01  2.637E-01 
2.375E+00   1.063E+01  2.638E-01 
2.402E+00   1.069E+01  2.639E-01 
2.430E+00   1.074E+01  2.641E-01 
2.458E+00   1.080E+01  2.642E-01 
2.487E+00   1.085E+01  2.643E-01 
2.516E+00   1.091E+01  2.644E-01 
2.545E+00   1.096E+01  2.645E-01 
2.574E+00   1.102E+01  2.646E-01 
2.604E+00   1.108E+01  2.647E-01 
2.635E+00   1.113E+01  2.648E-01 
2.665E+00   1.119E+01  2.649E-01 
2.696E+00   1.125E+01  2.650E-01 
2.727E+00   1.131E+01  2.651E-01 
2.759E+00   1.136E+01  2.651E-01 
2.791E+00   1.142E+01  2.652E-01 
2.823E+00   1.148E+01  2.653E-01 
2.856E+00   1.154E+01  2.653E-01 
2.889E+00   1.160E+01  2.654E-01 
2.923E+00   1.166E+01  2.654E-01 
2.957E+00   1.172E+01  2.655E-01 
2.991E+00   1.178E+01  2.655E-01 
3.026E+00   1.184E+01  2.656E-01 
3.061E+00   1.191E+01  2.656E-01 
3.096E+00   1.197E+01  2.656E-01 
3.132E+00   1.203E+01  2.657E-01 
3.168E+00   1.209E+01  2.657E-01 
3.205E+00   1.216E+01  2.657E-01 
3.242E+00   1.222E+01  2.657E-01 
3.280E+00   1.228E+01  2.657E-01 
3.318E+00   1.235E+01  2.657E-01 
3.356E+00   1.241E+01  2.657E-01 
3.395E+00   1.248E+01  2.657E-01 
3.435E+00   1.254E+01  2.657E-01 
3.475E+00   1.261E+01  2.657E-01 
3.515E+00   1.268E+01  2.656E-01 
3.556E+00   1.274E+01  2.656E-01 
3.597E+00   1.281E+01  2.656E-01 
3.639E+00   1.288E+01  2.655E-01 
3.681E+00   1.294E+01  2.655E-01 
3.724E+00   1.301E+01  2.654E-01 
3.767E+00   1.308E+01  2.654E-01 
3.810E+00   1.315E+01  2.653E-01 
3.855E+00   1.322E+01  2.653E-01 
3.899E+00   1.329E+01  2.652E-01 
3.945E+00   1.336E+01  2.651E-01 
3.990E+00   1.343E+01  2.650E-01 
4.037E+00   1.350E+01  2.649E-01 
4.083E+00   1.357E+01  2.648E-01 
4.131E+00   1.365E+01  2.648E-01 
4.179E+00   1.372E+01  2.647E-01 
4.227E+00   1.379E+01  2.645E-01 
4.276E+00   1.386E+01  2.644E-01 
4.326E+00   1.394E+01  2.643E-01 
4.376E+00   1.401E+01  2.642E-01 
4.427E+00   1.409E+01  2.641E-01 
4.478E+00   1.416E+01  2.639E-01 
4.530E+00   1.424E+01  2.638E-01 
4.583E+00   1.431E+01  2.637E-01 
4.636E+00   1.439E+01  2.635E-01 
4.690E+00   1.447E+01  2.634E-01 
4.744E+00   1.455E+01  2.632E-01 
4.799E+00   1.462E+01  2.630E-01 
4.855E+00   1.470E+01  2.629E-01 
4.911E+00   1.478E+01  2.627E-01 
4.968E+00   1.486E+01  2.625E-01 
5.026E+00   1.494E+01  2.623E-01 
5.084E+00   1.502E+01  2.621E-01 
5.143E+00   1.510E+01  2.619E-01 
5.202E+00   1.519E+01  2.617E-01 
5.263E+00   1.527E+01  2.615E-01 
5.324E+00   1.535E+01  2.613E-01 
5.386E+00   1.543E+01  2.611E-01 
5.448E+00   1.552E+01  2.609E-01 
5.511E+00   1.560E+01  2.607E-01 
5.575E+00   1.569E+01  2.604E-01 
5.640E+00   1.577E+01  2.602E-01 
5.705E+00   1.586E+01  2.599E-01 
5.771E+00   1.594E+01  2.597E-01 
5.838E+00   1.603E+01  2.594E-01 
5.906E+00   1.612E+01  2.592E-01 
5.975E+00   1.621E+01  2.589E-01 
6.044E+00   1.630E+01  2.587E-01 
6.114E+00   1.639E+01  2.584E-01 
6.185E+00   1.648E+01  2.581E-01 
6.257E+00   1.657E+01  2.578E-01 
6.329E+00   1.666E+01  2.575E-01 
6.403E+00   1.675E+01  2.572E-01 
6.477E+00   1.684E+01  2.569E-01 
6.552E+00   1.694E+01  2.566E-01 
6.628E+00   1.703E+01  2.563E-01 
6.705E+00   1.712E+01  2.560E-01 
6.783E+00   1.722E+01  2.557E-01 
6.861E+00   1.731E+01  2.553E-01 
6.941E+00   1.741E+01  2.550E-01 
7.021E+00   1.751E+01  2.547E-01 
7.103E+00   1.761E+01  2.543E-01 
7.185E+00   1.770E+01  2.540E-01 
7.269E+00   1.780E+01  2.536E-01 
7.353E+00   1.790E+01  2.532E-01 
7.438E+00   1.800E+01  2.529E-01 
7.524E+00   1.811E+01  2.525E-01 
7.612E+00   1.821E+01  2.521E-01 
7.700E+00   1.831E+01  2.518E-01 
7.789E+00   1.841E+01  2.514E-01 
7.880E+00   1.852E+01  2.510E-01 
7.971E+00   1.862E+01  2.506E-01 
8.064E+00   1.873E+01  2.502E-01 
8.157E+00   1.883E+01  2.498E-01 
8.252E+00   1.894E+01  2.494E-01 
8.347E+00   1.905E+01  2.489E-01 
8.444E+00   1.916E+01  2.485E-01 
8.542E+00   1.927E+01  2.481E-01 
8.641E+00   1.938E+01  2.477E-01 
8.741E+00   1.949E+01  2.472E-01 
8.843E+00   1.960E+01  2.468E-01 
8.945E+00   1.972E+01  2.463E-01 
9.049E+00   1.983E+01  2.459E-01 
9.154E+00   1.994E+01  2.454E-01 
9.260E+00   2.006E+01  2.449E-01 
9.368E+00   2.018E+01  2.445E-01 
9.476E+00   2.029E+01  2.440E-01 
9.586E+00   2.041E+01  2.435E-01 
9.698E+00   2.053E+01  2.430E-01 
9.810E+00   2.065E+01  2.426E-01 
9.924E+00   2.077E+01  2.421E-01 
1.004E+01   2.090E+01  2.416E-01 
1.016E+01   2.102E+01  2.411E-01 
1.027E+01   2.114E+01  2.406E-01 
1.039E+01   2.127E+01  2.400E-01 
1.051E+01   2.139E+01  2.395E-01 
1.063E+01   2.152E+01  2.390E-01 
1.076E+01   2.165E+01  2.385E-01 
1.088E+01   2.178E+01  2.379E-01 
1.101E+01   2.191E+01  2.374E-01 
1.114E+01   2.204E+01  2.369E-01 
1.127E+01   2.217E+01  2.363E-01 
1.140E+01   2.231E+01  2.358E-01 
1.153E+01   2.244E+01  2.352E-01 
1.166E+01   2.258E+01  2.347E-01 
1.180E+01   2.271E+01  2.341E-01 
1.193E+01   2.285E+01  2.335E-01 
1.207E+01   2.299E+01  2.330E-01 
1.221E+01   2.313E+01  2.324E-01 
1.235E+01   2.327E+01  2.318E-01 
1.250E+01   2.342E+01  2.312E-01 
1.264E+01   2.356E+01  2.306E-01 
1.279E+01   2.371E+01  2.300E-01 
1.294E+01   2.385E+01  2.294E-01 
1.309E+01   2.400E+01  2.288E-01 
1.324E+01   2.415E+01  2.282E-01 
1.339E+01   2.430E+01  2.276E-01 
1.355E+01   2.445E+01  2.270E-01 
1.371E+01   2.460E+01  2.264E-01 
1.387E+01   2.476E+01  2.258E-01 
1.403E+01   2.491E+01  2.251E-01 
1.419E+01   2.507E+01  2.245E-01 
1.435E+01   2.523E+01  2.239E-01 
1.452E+01   2.539E+01  2.232E-01 
1.469E+01   2.555E+01  2.226E-01 
1.486E+01   2.572E+01  2.220E-01 
1.503E+01   2.588E+01  2.213E-01 
1.521E+01   2.605E+01  2.207E-01 
1.538E+01   2.621E+01  2.200E-01 
1.556E+01   2.638E+01  2.193E-01 
1.574E+01   2.655E+01  2.187E-01 
1.592E+01   2.672E+01  2.180E-01 
1.611E+01   2.690E+01  2.173E-01 
1.629E+01   2.707E+01  2.167E-01 
1.648E+01   2.725E+01  2.160E-01 
1.667E+01   2.743E+01  2.153E-01 
1.687E+01   2.761E+01  2.146E-01 
1.706E+01   2.779E+01  2.139E-01 
1.726E+01   2.797E+01  2.132E-01 
1.746E+01   2.815E+01  2.126E-01 
1.766E+01   2.834E+01  2.119E-01 
1.787E+01   2.853E+01  2.112E-01 
1.808E+01   2.872E+01  2.105E-01 
1.829E+01   2.891E+01  2.097E-01 
1.850E+01   2.910E+01  2.090E-01 
1.871E+01   2.929E+01  2.083E-01 
1.893E+01   2.949E+01  2.076E-01 
1.915E+01   2.969E+01  2.069E-01 
1.937E+01   2.988E+01  2.062E-01 
1.960E+01   3.008E+01  2.055E-01 
1.982E+01   3.029E+01  2.047E-01 
2.005E+01   3.049E+01  2.040E-01 
2.029E+01   3.069E+01  2.033E-01 
2.052E+01   3.090E+01  2.025E-01 
2.076E+01   3.111E+01  2.018E-01 
2.100E+01   3.132E+01  2.011E-01 
2.124E+01   3.153E+01  2.003E-01 
2.149E+01   3.174E+01  1.996E-01 
2.174E+01   3.195E+01  1.988E-01 
2.199E+01   3.217E+01  1.981E-01 
2.225E+01   3.239E+01  1.973E-01 
2.250E+01   3.260E+01  1.966E-01 
2.277E+01   3.282E+01  1.958E-01 
2.303E+01   3.304E+01  1.951E-01 
2.330E+01   3.326E+01  1.943E-01 
2.357E+01   3.349E+01  1.936E-01 
2.384E+01   3.371E+01  1.928E-01 
2.412E+01   3.394E+01  1.921E-01 
2.440E+01   3.416E+01  1.913E-01 
2.468E+01   3.439E+01  1.905E-01 
2.497E+01   3.462E+01  1.898E-01 
2.526E+01   3.485E+01  1.890E-01 
2.555E+01   3.507E+01  1.882E-01 
2.584E+01   3.530E+01  1.874E-01 
2.614E+01   3.554E+01  1.867E-01 
2.645E+01   3.577E+01  1.859E-01 
2.675E+01   3.600E+01  1.851E-01 
2.707E+01   3.623E+01  1.843E-01 
2.738E+01   3.646E+01  1.836E-01 
2.770E+01   3.670E+01  1.828E-01 
2.802E+01   3.693E+01  1.820E-01 
2.834E+01   3.716E+01  1.812E-01 
2.867E+01   3.740E+01  1.804E-01 
2.900E+01   3.763E+01  1.797E-01 
2.934E+01   3.786E+01  1.789E-01 
2.968E+01   3.809E+01  1.781E-01 
3.003E+01   3.832E+01  1.773E-01 
3.037E+01   3.856E+01  1.765E-01 
3.073E+01   3.879E+01  1.757E-01 
3.108E+01   3.902E+01  1.749E-01 
