Ion = Hydrogen    . Mass = 1.0079
Tgt =  U (Solid). Density = 19.043 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   6.433E+00  2.363E-01 
1.012E+00   6.470E+00  2.367E-01 
1.023E+00   6.507E+00  2.370E-01 
1.035E+00   6.545E+00  2.374E-01 
1.047E+00   6.583E+00  2.378E-01 
1.059E+00   6.621E+00  2.381E-01 
1.072E+00   6.659E+00  2.385E-01 
1.084E+00   6.698E+00  2.388E-01 
1.097E+00   6.736E+00  2.392E-01 
1.109E+00   6.775E+00  2.395E-01 
1.122E+00   6.815E+00  2.399E-01 
1.135E+00   6.854E+00  2.402E-01 
1.148E+00   6.894E+00  2.406E-01 
1.162E+00   6.933E+00  2.409E-01 
1.175E+00   6.974E+00  2.412E-01 
1.189E+00   7.014E+00  2.416E-01 
1.203E+00   7.054E+00  2.419E-01 
1.217E+00   7.095E+00  2.422E-01 
1.231E+00   7.136E+00  2.426E-01 
1.245E+00   7.178E+00  2.429E-01 
1.259E+00   7.219E+00  2.432E-01 
1.274E+00   7.261E+00  2.435E-01 
1.289E+00   7.303E+00  2.438E-01 
1.304E+00   7.345E+00  2.441E-01 
1.319E+00   7.387E+00  2.444E-01 
1.334E+00   7.430E+00  2.447E-01 
1.350E+00   7.473E+00  2.450E-01 
1.365E+00   7.516E+00  2.453E-01 
1.381E+00   7.560E+00  2.456E-01 
1.397E+00   7.604E+00  2.459E-01 
1.413E+00   7.648E+00  2.462E-01 
1.430E+00   7.692E+00  2.465E-01 
1.446E+00   7.736E+00  2.468E-01 
1.463E+00   7.781E+00  2.470E-01 
1.480E+00   7.826E+00  2.473E-01 
1.497E+00   7.871E+00  2.476E-01 
1.515E+00   7.917E+00  2.478E-01 
1.532E+00   7.962E+00  2.481E-01 
1.550E+00   8.009E+00  2.484E-01 
1.568E+00   8.055E+00  2.486E-01 
1.586E+00   8.101E+00  2.489E-01 
1.605E+00   8.148E+00  2.491E-01 
1.623E+00   8.195E+00  2.494E-01 
1.642E+00   8.243E+00  2.496E-01 
1.661E+00   8.290E+00  2.499E-01 
1.680E+00   8.338E+00  2.501E-01 
1.700E+00   8.387E+00  2.503E-01 
1.719E+00   8.435E+00  2.506E-01 
1.739E+00   8.484E+00  2.508E-01 
1.760E+00   8.533E+00  2.510E-01 
1.780E+00   8.582E+00  2.512E-01 
1.801E+00   8.632E+00  2.514E-01 
1.822E+00   8.682E+00  2.516E-01 
1.843E+00   8.732E+00  2.519E-01 
1.864E+00   8.783E+00  2.521E-01 
1.886E+00   8.833E+00  2.523E-01 
1.908E+00   8.884E+00  2.525E-01 
1.930E+00   8.936E+00  2.526E-01 
1.952E+00   8.987E+00  2.528E-01 
1.975E+00   9.039E+00  2.530E-01 
1.998E+00   9.092E+00  2.532E-01 
2.021E+00   9.143E+00  2.534E-01 
2.044E+00   9.187E+00  2.536E-01 
2.068E+00   9.233E+00  2.537E-01 
2.092E+00   9.278E+00  2.539E-01 
2.116E+00   9.324E+00  2.541E-01 
2.141E+00   9.370E+00  2.542E-01 
2.166E+00   9.416E+00  2.544E-01 
2.191E+00   9.463E+00  2.545E-01 
2.216E+00   9.510E+00  2.547E-01 
2.242E+00   9.558E+00  2.548E-01 
2.268E+00   9.606E+00  2.549E-01 
2.294E+00   9.654E+00  2.551E-01 
2.321E+00   9.702E+00  2.552E-01 
2.348E+00   9.751E+00  2.553E-01 
2.375E+00   9.800E+00  2.555E-01 
2.402E+00   9.850E+00  2.556E-01 
2.430E+00   9.899E+00  2.557E-01 
2.458E+00   9.950E+00  2.558E-01 
2.487E+00   1.000E+01  2.559E-01 
2.516E+00   1.005E+01  2.560E-01 
2.545E+00   1.010E+01  2.561E-01 
2.574E+00   1.015E+01  2.562E-01 
2.604E+00   1.021E+01  2.563E-01 
2.635E+00   1.026E+01  2.564E-01 
2.665E+00   1.031E+01  2.565E-01 
2.696E+00   1.036E+01  2.565E-01 
2.727E+00   1.042E+01  2.566E-01 
2.759E+00   1.047E+01  2.567E-01 
2.791E+00   1.053E+01  2.567E-01 
2.823E+00   1.058E+01  2.568E-01 
2.856E+00   1.064E+01  2.568E-01 
2.889E+00   1.069E+01  2.569E-01 
2.923E+00   1.075E+01  2.569E-01 
2.957E+00   1.080E+01  2.570E-01 
2.991E+00   1.086E+01  2.570E-01 
3.026E+00   1.092E+01  2.571E-01 
3.061E+00   1.097E+01  2.571E-01 
3.096E+00   1.103E+01  2.571E-01 
