Ion = Helium      . Mass = 4.0026
Tgt =  H (Solid). Density = .071486 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.225E-01  2.078E+00 
1.013E+00   5.259E-01  2.069E+00 
1.026E+00   5.293E-01  2.061E+00 
1.039E+00   5.327E-01  2.052E+00 
1.053E+00   5.362E-01  2.043E+00 
1.067E+00   5.397E-01  2.034E+00 
1.081E+00   5.432E-01  2.025E+00 
1.095E+00   5.467E-01  2.016E+00 
1.109E+00   5.502E-01  2.008E+00 
1.123E+00   5.538E-01  1.999E+00 
1.138E+00   5.574E-01  1.990E+00 
1.153E+00   5.610E-01  1.981E+00 
1.168E+00   5.646E-01  1.972E+00 
1.183E+00   5.683E-01  1.963E+00 
1.198E+00   5.720E-01  1.954E+00 
1.214E+00   5.757E-01  1.945E+00 
1.229E+00   5.794E-01  1.935E+00 
1.245E+00   5.831E-01  1.926E+00 
1.262E+00   5.869E-01  1.917E+00 
1.278E+00   5.907E-01  1.908E+00 
1.295E+00   5.946E-01  1.899E+00 
1.311E+00   5.984E-01  1.890E+00 
1.329E+00   6.023E-01  1.880E+00 
1.346E+00   6.062E-01  1.871E+00 
1.363E+00   6.101E-01  1.862E+00 
1.381E+00   6.141E-01  1.853E+00 
1.399E+00   6.180E-01  1.843E+00 
1.417E+00   6.220E-01  1.834E+00 
1.436E+00   6.261E-01  1.825E+00 
1.454E+00   6.301E-01  1.815E+00 
1.473E+00   6.342E-01  1.806E+00 
1.492E+00   6.383E-01  1.797E+00 
1.512E+00   6.424E-01  1.787E+00 
1.531E+00   6.466E-01  1.778E+00 
1.551E+00   6.508E-01  1.769E+00 
1.571E+00   6.550E-01  1.759E+00 
1.592E+00   6.593E-01  1.750E+00 
1.612E+00   6.635E-01  1.741E+00 
1.633E+00   6.678E-01  1.731E+00 
1.655E+00   6.722E-01  1.722E+00 
1.676E+00   6.765E-01  1.712E+00 
1.698E+00   6.809E-01  1.703E+00 
1.720E+00   6.853E-01  1.694E+00 
1.742E+00   6.897E-01  1.684E+00 
1.765E+00   6.942E-01  1.675E+00 
1.788E+00   6.987E-01  1.666E+00 
1.811E+00   7.032E-01  1.656E+00 
1.835E+00   7.078E-01  1.647E+00 
1.859E+00   7.124E-01  1.637E+00 
1.883E+00   7.170E-01  1.628E+00 
1.907E+00   7.216E-01  1.619E+00 
1.932E+00   7.263E-01  1.609E+00 
1.957E+00   7.310E-01  1.600E+00 
1.983E+00   7.357E-01  1.591E+00 
2.008E+00   7.405E-01  1.581E+00 
2.034E+00   7.453E-01  1.572E+00 
2.061E+00   7.501E-01  1.563E+00 
2.088E+00   7.550E-01  1.553E+00 
2.115E+00   7.599E-01  1.544E+00 
2.142E+00   7.648E-01  1.535E+00 
2.170E+00   7.698E-01  1.526E+00 
2.198E+00   7.747E-01  1.516E+00 
2.227E+00   7.798E-01  1.507E+00 
2.256E+00   7.848E-01  1.498E+00 
2.285E+00   7.899E-01  1.489E+00 
2.315E+00   7.950E-01  1.479E+00 
2.345E+00   8.002E-01  1.470E+00 
2.375E+00   8.053E-01  1.461E+00 
2.406E+00   8.106E-01  1.452E+00 
2.438E+00   8.158E-01  1.443E+00 
2.469E+00   8.211E-01  1.434E+00 
2.501E+00   8.264E-01  1.425E+00 
2.534E+00   8.318E-01  1.416E+00 
2.567E+00   8.372E-01  1.407E+00 
2.600E+00   8.426E-01  1.398E+00 
2.634E+00   8.480E-01  1.389E+00 
2.668E+00   8.535E-01  1.380E+00 
2.703E+00   8.591E-01  1.371E+00 
2.738E+00   8.646E-01  1.362E+00 
2.773E+00   8.702E-01  1.353E+00 
2.810E+00   8.759E-01  1.344E+00 
2.846E+00   8.815E-01  1.335E+00 
2.883E+00   8.872E-01  1.326E+00 
2.921E+00   8.930E-01  1.317E+00 
2.958E+00   8.988E-01  1.309E+00 
2.997E+00   9.046E-01  1.300E+00 
3.036E+00   9.105E-01  1.291E+00 
3.075E+00   9.164E-01  1.282E+00 
3.115E+00   9.223E-01  1.274E+00 
3.156E+00   9.283E-01  1.265E+00 
3.197E+00   9.343E-01  1.256E+00 
3.238E+00   9.403E-01  1.248E+00 
3.280E+00   9.464E-01  1.239E+00 
3.323E+00   9.526E-01  1.231E+00 
3.366E+00   9.587E-01  1.222E+00 
3.410E+00   9.649E-01  1.214E+00 
3.454E+00   9.712E-01  1.205E+00 
3.499E+00   9.775E-01  1.197E+00 
3.545E+00   9.838E-01  1.188E+00 
3.591E+00   9.902E-01  1.180E+00 
3.637E+00   9.966E-01  1.172E+00 
3.685E+00   1.003E+00  1.163E+00 
3.733E+00   1.010E+00  1.155E+00 
3.781E+00   1.016E+00  1.147E+00 
3.830E+00   1.023E+00  1.139E+00 
3.880E+00   1.029E+00  1.130E+00 
3.930E+00   1.036E+00  1.122E+00 
3.982E+00   1.043E+00  1.114E+00 
4.033E+00   1.049E+00  1.106E+00 
4.086E+00   1.056E+00  1.098E+00 
4.139E+00   1.063E+00  1.090E+00 
4.193E+00   1.070E+00  1.082E+00 
4.247E+00   1.077E+00  1.074E+00 
4.302E+00   1.084E+00  1.066E+00 
4.358E+00   1.091E+00  1.058E+00 
4.415E+00   1.098E+00  1.050E+00 
4.472E+00   1.105E+00  1.043E+00 
4.530E+00   1.112E+00  1.035E+00 
4.589E+00   1.119E+00  1.027E+00 
4.649E+00   1.127E+00  1.019E+00 
4.709E+00   1.134E+00  1.012E+00 
4.770E+00   1.141E+00  1.004E+00 
4.832E+00   1.149E+00  9.966E-01 
4.895E+00   1.156E+00  9.891E-01 
4.959E+00   1.164E+00  9.815E-01 
5.023E+00   1.171E+00  9.741E-01 
5.089E+00   1.179E+00  9.666E-01 
5.155E+00   1.186E+00  9.592E-01 
5.222E+00   1.194E+00  9.519E-01 
5.290E+00   1.202E+00  9.445E-01 
5.358E+00   1.210E+00  9.373E-01 
5.428E+00   1.217E+00  9.300E-01 
5.499E+00   1.225E+00  9.228E-01 
5.570E+00   1.233E+00  9.156E-01 
5.642E+00   1.241E+00  9.085E-01 
5.716E+00   1.249E+00  9.014E-01 
5.790E+00   1.257E+00  8.943E-01 
5.865E+00   1.266E+00  8.873E-01 
5.942E+00   1.274E+00  8.803E-01 
6.019E+00   1.282E+00  8.734E-01 
6.097E+00   1.290E+00  8.664E-01 
6.176E+00   1.299E+00  8.596E-01 
6.256E+00   1.307E+00  8.527E-01 
6.338E+00   1.316E+00  8.459E-01 
6.420E+00   1.324E+00  8.392E-01 
6.504E+00   1.333E+00  8.325E-01 
6.588E+00   1.341E+00  8.258E-01 
6.674E+00   1.350E+00  8.191E-01 
6.760E+00   1.359E+00  8.125E-01 
6.848E+00   1.368E+00  8.060E-01 
6.937E+00   1.376E+00  7.995E-01 
7.027E+00   1.385E+00  7.930E-01 
7.119E+00   1.394E+00  7.865E-01 
7.211E+00   1.403E+00  7.801E-01 
7.305E+00   1.412E+00  7.737E-01 
7.400E+00   1.422E+00  7.674E-01 
7.496E+00   1.431E+00  7.611E-01 
7.594E+00   1.440E+00  7.548E-01 
7.692E+00   1.449E+00  7.486E-01 
7.792E+00   1.459E+00  7.424E-01 
7.894E+00   1.468E+00  7.363E-01 
7.996E+00   1.478E+00  7.302E-01 
8.100E+00   1.488E+00  7.241E-01 
8.205E+00   1.498E+00  7.181E-01 
8.312E+00   1.508E+00  7.121E-01 
8.420E+00   1.519E+00  7.062E-01 
8.529E+00   1.529E+00  7.003E-01 
8.640E+00   1.540E+00  6.944E-01 
8.753E+00   1.551E+00  6.885E-01 
8.866E+00   1.561E+00  6.827E-01 
8.982E+00   1.572E+00  6.770E-01 
9.098E+00   1.583E+00  6.713E-01 
9.217E+00   1.594E+00  6.656E-01 
9.336E+00   1.605E+00  6.599E-01 
9.458E+00   1.616E+00  6.543E-01 
9.581E+00   1.628E+00  6.487E-01 
9.705E+00   1.639E+00  6.432E-01 
9.831E+00   1.650E+00  6.377E-01 
9.959E+00   1.662E+00  6.322E-01 
1.009E+01   1.673E+00  6.268E-01 
1.022E+01   1.685E+00  6.214E-01 
1.035E+01   1.697E+00  6.161E-01 
1.049E+01   1.709E+00  6.107E-01 
1.062E+01   1.721E+00  6.055E-01 
1.076E+01   1.733E+00  6.002E-01 
1.090E+01   1.745E+00  5.950E-01 
1.104E+01   1.757E+00  5.898E-01 
1.119E+01   1.769E+00  5.847E-01 
1.133E+01   1.782E+00  5.796E-01 
1.148E+01   1.794E+00  5.746E-01 
1.163E+01   1.807E+00  5.695E-01 
1.178E+01   1.819E+00  5.645E-01 
1.193E+01   1.832E+00  5.596E-01 
1.209E+01   1.845E+00  5.547E-01 
1.224E+01   1.858E+00  5.498E-01 
1.240E+01   1.871E+00  5.449E-01 
1.256E+01   1.884E+00  5.401E-01 
1.273E+01   1.897E+00  5.353E-01 
1.289E+01   1.911E+00  5.306E-01 
1.306E+01   1.924E+00  5.259E-01 
1.323E+01   1.938E+00  5.212E-01 
1.340E+01   1.951E+00  5.166E-01 
1.358E+01   1.965E+00  5.120E-01 
1.375E+01   1.979E+00  5.074E-01 
1.393E+01   1.993E+00  5.029E-01 
1.411E+01   2.007E+00  4.983E-01 
1.430E+01   2.021E+00  4.939E-01 
1.448E+01   2.036E+00  4.894E-01 
1.467E+01   2.050E+00  4.850E-01 
1.486E+01   2.065E+00  4.807E-01 
1.505E+01   2.079E+00  4.763E-01 
1.525E+01   2.094E+00  4.720E-01 
1.545E+01   2.109E+00  4.677E-01 
1.565E+01   2.124E+00  4.635E-01 
1.585E+01   2.139E+00  4.593E-01 
1.606E+01   2.154E+00  4.551E-01 
1.627E+01   2.170E+00  4.510E-01 
1.648E+01   2.185E+00  4.469E-01 
1.669E+01   2.201E+00  4.428E-01 
1.691E+01   2.216E+00  4.387E-01 
1.713E+01   2.232E+00  4.347E-01 
1.735E+01   2.248E+00  4.307E-01 
1.758E+01   2.264E+00  4.268E-01 
1.781E+01   2.280E+00  4.229E-01 
1.804E+01   2.297E+00  4.190E-01 
1.827E+01   2.313E+00  4.151E-01 
1.851E+01   2.330E+00  4.113E-01 
1.875E+01   2.346E+00  4.075E-01 
1.899E+01   2.363E+00  4.037E-01 
1.924E+01   2.380E+00  4.000E-01 
1.949E+01   2.397E+00  3.963E-01 
1.974E+01   2.414E+00  3.926E-01 
2.000E+01   2.432E+00  3.517E-01 
2.026E+01   2.449E+00  3.485E-01 
2.052E+01   2.467E+00  3.454E-01 
2.079E+01   2.485E+00  3.422E-01 
2.106E+01   2.503E+00  3.391E-01 
2.133E+01   2.521E+00  3.360E-01 
2.161E+01   2.539E+00  3.329E-01 
2.189E+01   2.557E+00  3.299E-01 
2.218E+01   2.576E+00  3.268E-01 
2.247E+01   2.594E+00  3.238E-01 
2.276E+01   2.613E+00  3.209E-01 
2.305E+01   2.632E+00  3.179E-01 
2.335E+01   2.651E+00  3.150E-01 
2.366E+01   2.670E+00  3.120E-01 
2.396E+01   2.690E+00  3.092E-01 
2.428E+01   2.709E+00  3.063E-01 
2.459E+01   2.729E+00  3.034E-01 
2.491E+01   2.749E+00  3.006E-01 
2.523E+01   2.769E+00  2.978E-01 
2.556E+01   2.789E+00  2.950E-01 
2.589E+01   2.809E+00  2.923E-01 
2.623E+01   2.830E+00  2.896E-01 
2.657E+01   2.850E+00  2.868E-01 
2.692E+01   2.871E+00  2.842E-01 
2.727E+01   2.892E+00  2.815E-01 
2.762E+01   2.913E+00  2.788E-01 
2.798E+01   2.935E+00  2.762E-01 
2.834E+01   2.956E+00  2.736E-01 
2.871E+01   2.978E+00  2.710E-01 
2.909E+01   3.000E+00  2.685E-01 
2.946E+01   3.022E+00  2.659E-01 
2.985E+01   3.044E+00  2.634E-01 
3.023E+01   3.066E+00  2.609E-01 
3.063E+01   3.089E+00  2.584E-01 
3.103E+01   3.112E+00  2.560E-01 
3.143E+01   3.134E+00  2.536E-01 
3.184E+01   3.158E+00  2.511E-01 
3.225E+01   3.181E+00  2.487E-01 
