Ion = Helium      . Mass = 4.0026
Tgt = Ne (Solid). Density = 1.204 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   2.039E+00  3.883E+00 
1.013E+00   2.053E+00  3.880E+00 
1.026E+00   2.066E+00  3.876E+00 
1.039E+00   2.079E+00  3.873E+00 
1.053E+00   2.093E+00  3.869E+00 
1.067E+00   2.106E+00  3.865E+00 
1.081E+00   2.120E+00  3.861E+00 
1.095E+00   2.134E+00  3.857E+00 
1.109E+00   2.147E+00  3.853E+00 
1.123E+00   2.161E+00  3.848E+00 
1.138E+00   2.175E+00  3.844E+00 
1.153E+00   2.189E+00  3.839E+00 
1.168E+00   2.204E+00  3.834E+00 
1.183E+00   2.218E+00  3.829E+00 
1.198E+00   2.232E+00  3.824E+00 
1.214E+00   2.247E+00  3.819E+00 
1.229E+00   2.261E+00  3.814E+00 
1.245E+00   2.276E+00  3.808E+00 
1.262E+00   2.291E+00  3.803E+00 
1.278E+00   2.306E+00  3.797E+00 
1.295E+00   2.320E+00  3.791E+00 
1.311E+00   2.335E+00  3.785E+00 
1.329E+00   2.351E+00  3.779E+00 
1.346E+00   2.366E+00  3.773E+00 
1.363E+00   2.381E+00  3.766E+00 
1.381E+00   2.397E+00  3.760E+00 
1.399E+00   2.412E+00  3.753E+00 
1.417E+00   2.428E+00  3.746E+00 
1.436E+00   2.443E+00  3.740E+00 
1.454E+00   2.459E+00  3.733E+00 
1.473E+00   2.475E+00  3.726E+00 
1.492E+00   2.491E+00  3.718E+00 
1.512E+00   2.507E+00  3.711E+00 
1.531E+00   2.524E+00  3.704E+00 
1.551E+00   2.540E+00  3.696E+00 
1.571E+00   2.556E+00  3.688E+00 
1.592E+00   2.573E+00  3.680E+00 
1.612E+00   2.590E+00  3.672E+00 
1.633E+00   2.606E+00  3.664E+00 
1.655E+00   2.623E+00  3.656E+00 
1.676E+00   2.640E+00  3.648E+00 
1.698E+00   2.657E+00  3.640E+00 
1.720E+00   2.675E+00  3.631E+00 
1.742E+00   2.692E+00  3.622E+00 
1.765E+00   2.709E+00  3.614E+00 
1.788E+00   2.727E+00  3.605E+00 
1.811E+00   2.745E+00  3.596E+00 
1.835E+00   2.762E+00  3.587E+00 
1.859E+00   2.780E+00  3.578E+00 
1.883E+00   2.798E+00  3.568E+00 
1.907E+00   2.816E+00  3.559E+00 
1.932E+00   2.835E+00  3.550E+00 
1.957E+00   2.853E+00  3.540E+00 
1.983E+00   2.871E+00  3.530E+00 
2.008E+00   2.890E+00  3.521E+00 
2.034E+00   2.909E+00  3.511E+00 
2.061E+00   2.928E+00  3.501E+00 
2.088E+00   2.947E+00  3.491E+00 
2.115E+00   2.966E+00  3.480E+00 
2.142E+00   2.985E+00  3.470E+00 
2.170E+00   3.004E+00  3.460E+00 
2.198E+00   3.024E+00  3.449E+00 
2.227E+00   3.043E+00  3.439E+00 
2.256E+00   3.063E+00  3.428E+00 
2.285E+00   3.083E+00  3.417E+00 
2.315E+00   3.103E+00  3.406E+00 
2.345E+00   3.123E+00  3.396E+00 
2.375E+00   3.143E+00  3.384E+00 
2.406E+00   3.163E+00  3.373E+00 
2.438E+00   3.184E+00  3.362E+00 
2.469E+00   3.205E+00  3.351E+00 
2.501E+00   3.225E+00  3.340E+00 
2.534E+00   3.246E+00  3.328E+00 
2.567E+00   3.267E+00  3.317E+00 
2.600E+00   3.288E+00  3.305E+00 
2.634E+00   3.310E+00  3.293E+00 
2.668E+00   3.331E+00  3.282E+00 
2.703E+00   3.353E+00  3.270E+00 
2.738E+00   3.374E+00  3.258E+00 
2.773E+00   3.396E+00  3.246E+00 
2.810E+00   3.418E+00  3.234E+00 
2.846E+00   3.440E+00  3.222E+00 
2.883E+00   3.463E+00  3.210E+00 
2.921E+00   3.485E+00  3.198E+00 
2.958E+00   3.508E+00  3.185E+00 
2.997E+00   3.530E+00  3.173E+00 
3.036E+00   3.553E+00  3.161E+00 
3.075E+00   3.576E+00  3.148E+00 
3.115E+00   3.600E+00  3.135E+00 
3.156E+00   3.623E+00  3.123E+00 
3.197E+00   3.646E+00  3.110E+00 
3.238E+00   3.670E+00  3.098E+00 
3.280E+00   3.694E+00  3.085E+00 
3.323E+00   3.718E+00  3.072E+00 
3.366E+00   3.742E+00  3.059E+00 
3.410E+00   3.766E+00  3.046E+00 
3.454E+00   3.790E+00  3.033E+00 
3.499E+00   3.815E+00  3.020E+00 
3.545E+00   3.840E+00  3.007E+00 
3.591E+00   3.864E+00  2.994E+00 
3.637E+00   3.889E+00  2.981E+00 
3.685E+00   3.915E+00  2.968E+00 
3.733E+00   3.940E+00  2.954E+00 
3.781E+00   3.966E+00  2.941E+00 
3.830E+00   3.991E+00  2.928E+00 
3.880E+00   4.017E+00  2.914E+00 
3.930E+00   4.043E+00  2.901E+00 
3.982E+00   4.069E+00  2.888E+00 
4.033E+00   4.096E+00  2.874E+00 
4.086E+00   4.122E+00  2.861E+00 
4.139E+00   4.149E+00  2.847E+00 
4.193E+00   4.176E+00  2.834E+00 
4.247E+00   4.203E+00  2.820E+00 
4.302E+00   4.230E+00  2.806E+00 
4.358E+00   4.257E+00  2.793E+00 
4.415E+00   4.285E+00  2.779E+00 
4.472E+00   4.313E+00  2.765E+00 
4.530E+00   4.341E+00  2.752E+00 
4.589E+00   4.369E+00  2.738E+00 
4.649E+00   4.397E+00  2.724E+00 
4.709E+00   4.426E+00  2.711E+00 
4.770E+00   4.454E+00  2.697E+00 
4.832E+00   4.483E+00  2.683E+00 
4.895E+00   4.512E+00  2.669E+00 
4.959E+00   4.541E+00  2.655E+00 
5.023E+00   4.571E+00  2.642E+00 
5.089E+00   4.600E+00  2.628E+00 
5.155E+00   4.630E+00  2.614E+00 
5.222E+00   4.660E+00  2.600E+00 
5.290E+00   4.690E+00  2.586E+00 
5.358E+00   4.721E+00  2.572E+00 
5.428E+00   4.751E+00  2.558E+00 
5.499E+00   4.782E+00  2.545E+00 
5.570E+00   4.813E+00  2.531E+00 
5.642E+00   4.844E+00  2.517E+00 
5.716E+00   4.876E+00  2.503E+00 
5.790E+00   4.907E+00  2.489E+00 
5.865E+00   4.939E+00  2.475E+00 
5.942E+00   4.971E+00  2.461E+00 
6.019E+00   5.003E+00  2.447E+00 
6.097E+00   5.036E+00  2.434E+00 
6.176E+00   5.068E+00  2.420E+00 
6.256E+00   5.101E+00  2.406E+00 
6.338E+00   5.134E+00  2.392E+00 
6.420E+00   5.167E+00  2.378E+00 
6.504E+00   5.201E+00  2.364E+00 
6.588E+00   5.235E+00  2.351E+00 
6.674E+00   5.268E+00  2.337E+00 
6.760E+00   5.303E+00  2.323E+00 
6.848E+00   5.337E+00  2.309E+00 
6.937E+00   5.371E+00  2.296E+00 
7.027E+00   5.406E+00  2.282E+00 
7.119E+00   5.441E+00  2.268E+00 
7.211E+00   5.477E+00  2.254E+00 
7.305E+00   5.512E+00  2.241E+00 
7.400E+00   5.548E+00  2.227E+00 
7.496E+00   5.584E+00  2.213E+00 
7.594E+00   5.620E+00  2.200E+00 
7.692E+00   5.656E+00  2.186E+00 
7.792E+00   5.693E+00  2.173E+00 
7.894E+00   5.730E+00  2.159E+00 
7.996E+00   5.767E+00  2.146E+00 
8.100E+00   5.804E+00  2.132E+00 
8.205E+00   5.842E+00  2.119E+00 
8.312E+00   5.880E+00  2.105E+00 
8.420E+00   5.918E+00  2.092E+00 
8.529E+00   5.957E+00  2.078E+00 
8.640E+00   5.996E+00  2.065E+00 
8.753E+00   6.035E+00  2.052E+00 
8.866E+00   6.074E+00  2.039E+00 
8.982E+00   6.114E+00  2.025E+00 
9.098E+00   6.154E+00  2.012E+00 
