Ion = Helium      . Mass = 4.0026
Tgt = Na (Solid). Density = .97 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.348E+00  3.742E+00 
1.013E+00   3.369E+00  3.739E+00 
1.026E+00   3.391E+00  3.737E+00 
1.039E+00   3.413E+00  3.734E+00 
1.053E+00   3.435E+00  3.731E+00 
1.067E+00   3.457E+00  3.729E+00 
1.081E+00   3.480E+00  3.726E+00 
1.095E+00   3.502E+00  3.723E+00 
1.109E+00   3.525E+00  3.719E+00 
1.123E+00   3.548E+00  3.716E+00 
1.138E+00   3.571E+00  3.712E+00 
1.153E+00   3.594E+00  3.709E+00 
1.168E+00   3.617E+00  3.705E+00 
1.183E+00   3.641E+00  3.701E+00 
1.198E+00   3.664E+00  3.697E+00 
1.214E+00   3.688E+00  3.693E+00 
1.229E+00   3.712E+00  3.689E+00 
1.245E+00   3.736E+00  3.684E+00 
1.262E+00   3.760E+00  3.680E+00 
1.278E+00   3.785E+00  3.675E+00 
1.295E+00   3.809E+00  3.671E+00 
1.311E+00   3.834E+00  3.666E+00 
1.329E+00   3.859E+00  3.661E+00 
1.346E+00   3.884E+00  3.656E+00 
1.363E+00   3.909E+00  3.650E+00 
1.381E+00   3.934E+00  3.645E+00 
1.399E+00   3.959E+00  3.640E+00 
1.417E+00   3.985E+00  3.634E+00 
1.436E+00   4.011E+00  3.628E+00 
1.454E+00   4.037E+00  3.623E+00 
1.473E+00   4.063E+00  3.617E+00 
1.492E+00   4.089E+00  3.610E+00 
1.512E+00   4.116E+00  3.604E+00 
1.531E+00   4.143E+00  3.598E+00 
1.551E+00   4.169E+00  3.592E+00 
1.571E+00   4.196E+00  3.585E+00 
1.592E+00   4.224E+00  3.578E+00 
1.612E+00   4.251E+00  3.572E+00 
1.633E+00   4.278E+00  3.565E+00 
1.655E+00   4.306E+00  3.558E+00 
1.676E+00   4.334E+00  3.551E+00 
1.698E+00   4.362E+00  3.543E+00 
1.720E+00   4.390E+00  3.536E+00 
1.742E+00   4.419E+00  3.529E+00 
1.765E+00   4.447E+00  3.521E+00 
1.788E+00   4.476E+00  3.513E+00 
1.811E+00   4.505E+00  3.506E+00 
1.835E+00   4.534E+00  3.498E+00 
1.859E+00   4.564E+00  3.490E+00 
1.883E+00   4.593E+00  3.482E+00 
1.907E+00   4.623E+00  3.473E+00 
1.932E+00   4.653E+00  3.465E+00 
1.957E+00   4.683E+00  3.457E+00 
1.983E+00   4.714E+00  3.448E+00 
2.008E+00   4.744E+00  3.439E+00 
2.034E+00   4.775E+00  3.431E+00 
2.061E+00   4.806E+00  3.422E+00 
2.088E+00   4.837E+00  3.413E+00 
2.115E+00   4.868E+00  3.404E+00 
2.142E+00   4.900E+00  3.395E+00 
2.170E+00   4.931E+00  3.385E+00 
2.198E+00   4.963E+00  3.376E+00 
2.227E+00   4.996E+00  3.367E+00 
2.256E+00   5.028E+00  3.357E+00 
2.285E+00   5.060E+00  3.348E+00 
2.315E+00   5.093E+00  3.338E+00 
2.345E+00   5.126E+00  3.328E+00 
2.375E+00   5.159E+00  3.318E+00 
2.406E+00   5.193E+00  3.308E+00 
2.438E+00   5.226E+00  3.298E+00 
2.469E+00   5.260E+00  3.288E+00 
2.501E+00   5.294E+00  3.278E+00 
2.534E+00   5.329E+00  3.267E+00 
2.567E+00   5.363E+00  3.257E+00 
2.600E+00   5.398E+00  3.247E+00 
2.634E+00   5.433E+00  3.236E+00 
2.668E+00   5.468E+00  3.225E+00 
2.703E+00   5.504E+00  3.215E+00 
2.738E+00   5.539E+00  3.204E+00 
2.773E+00   5.575E+00  3.193E+00 
2.810E+00   5.611E+00  3.182E+00 
2.846E+00   5.648E+00  3.171E+00 
2.883E+00   5.684E+00  3.160E+00 
2.921E+00   5.721E+00  3.149E+00 
2.958E+00   5.758E+00  3.137E+00 
2.997E+00   5.795E+00  3.126E+00 
3.036E+00   5.833E+00  3.115E+00 
3.075E+00   5.871E+00  3.103E+00 
3.115E+00   5.909E+00  3.092E+00 
3.156E+00   5.947E+00  3.080E+00 
3.197E+00   5.985E+00  3.068E+00 
3.238E+00   6.024E+00  3.057E+00 
3.280E+00   6.063E+00  3.045E+00 
3.323E+00   6.102E+00  3.033E+00 
3.366E+00   6.142E+00  3.021E+00 
3.410E+00   6.182E+00  3.009E+00 
3.454E+00   6.222E+00  2.997E+00 
3.499E+00   6.262E+00  2.985E+00 
3.545E+00   6.303E+00  2.973E+00 
3.591E+00   6.344E+00  2.961E+00 
3.637E+00   6.385E+00  2.949E+00 
3.685E+00   6.426E+00  2.936E+00 
3.733E+00   6.468E+00  2.924E+00 
3.781E+00   6.509E+00  2.912E+00 
3.830E+00   6.552E+00  2.899E+00 
3.880E+00   6.594E+00  2.887E+00 
3.930E+00   6.637E+00  2.874E+00 
3.982E+00   6.680E+00  2.862E+00 
4.033E+00   6.723E+00  2.849E+00 
4.086E+00   6.767E+00  2.836E+00 
4.139E+00   6.810E+00  2.824E+00 
4.193E+00   6.855E+00  2.811E+00 
4.247E+00   6.899E+00  2.798E+00 
4.302E+00   6.944E+00  2.785E+00 
4.358E+00   6.989E+00  2.773E+00 
4.415E+00   7.034E+00  2.760E+00 
4.472E+00   7.079E+00  2.747E+00 
4.530E+00   7.125E+00  2.734E+00 
4.589E+00   7.171E+00  2.721E+00 
4.649E+00   7.218E+00  2.708E+00 
4.709E+00   7.265E+00  2.695E+00 
4.770E+00   7.312E+00  2.682E+00 
4.832E+00   7.359E+00  2.669E+00 
4.895E+00   7.407E+00  2.656E+00 
4.959E+00   7.455E+00  2.643E+00 
5.023E+00   7.503E+00  2.630E+00 
5.089E+00   7.552E+00  2.617E+00 
5.155E+00   7.600E+00  2.604E+00 
5.222E+00   7.650E+00  2.590E+00 
5.290E+00   7.699E+00  2.577E+00 
5.358E+00   7.749E+00  2.564E+00 
5.428E+00   7.799E+00  2.551E+00 
5.499E+00   7.850E+00  2.538E+00 
5.570E+00   7.901E+00  2.524E+00 
5.642E+00   7.952E+00  2.511E+00 
5.716E+00   8.003E+00  2.498E+00 
5.790E+00   8.055E+00  2.485E+00 
5.865E+00   8.107E+00  2.471E+00 
5.942E+00   8.160E+00  2.458E+00 
6.019E+00   8.213E+00  2.445E+00 
6.097E+00   8.266E+00  2.432E+00 
6.176E+00   8.319E+00  2.418E+00 
6.256E+00   8.373E+00  2.405E+00 
6.338E+00   8.428E+00  2.392E+00 
6.420E+00   8.482E+00  2.379E+00 
6.504E+00   8.537E+00  2.365E+00 
6.588E+00   8.592E+00  2.352E+00 
6.674E+00   8.648E+00  2.339E+00 
6.760E+00   8.704E+00  2.326E+00 
6.848E+00   8.760E+00  2.312E+00 
6.937E+00   8.817E+00  2.299E+00 
7.027E+00   8.874E+00  2.286E+00 
7.119E+00   8.932E+00  2.273E+00 
7.211E+00   8.990E+00  2.259E+00 
7.305E+00   9.048E+00  2.246E+00 
7.400E+00   9.107E+00  2.233E+00 
7.496E+00   9.166E+00  2.220E+00 
7.594E+00   9.225E+00  2.207E+00 
7.692E+00   9.285E+00  2.194E+00 
7.792E+00   9.345E+00  2.180E+00 
7.894E+00   9.405E+00  2.167E+00 
7.996E+00   9.466E+00  2.154E+00 
8.100E+00   9.531E+00  2.141E+00 
8.205E+00   9.596E+00  2.128E+00 
8.312E+00   9.662E+00  2.115E+00 
8.420E+00   9.728E+00  2.102E+00 
8.529E+00   9.795E+00  2.089E+00 
8.640E+00   9.863E+00  2.076E+00 
8.753E+00   9.930E+00  2.063E+00 
8.866E+00   9.999E+00  2.050E+00 
8.982E+00   1.007E+01  2.037E+00 
9.098E+00   1.014E+01  2.025E+00 
9.217E+00   1.021E+01  2.012E+00 
9.336E+00   1.028E+01  1.999E+00 
9.458E+00   1.035E+01  1.986E+00 
9.581E+00   1.042E+01  1.973E+00 
9.705E+00   1.049E+01  1.961E+00 
9.831E+00   1.056E+01  1.948E+00 
9.959E+00   1.063E+01  1.935E+00 
1.009E+01   1.071E+01  1.923E+00 
1.022E+01   1.078E+01  1.910E+00 
1.035E+01   1.086E+01  1.897E+00 
1.049E+01   1.093E+01  1.885E+00 
1.062E+01   1.101E+01  1.872E+00 
1.076E+01   1.108E+01  1.860E+00 
1.090E+01   1.116E+01  1.848E+00 
1.104E+01   1.123E+01  1.835E+00 
1.119E+01   1.131E+01  1.823E+00 
1.133E+01   1.139E+01  1.811E+00 
