Ion = Helium      . Mass = 4.0026
Tgt = Mg (Solid). Density = 1.7366 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.166E+00  3.765E+00 
1.013E+00   4.193E+00  3.764E+00 
1.026E+00   4.220E+00  3.763E+00 
1.039E+00   4.248E+00  3.762E+00 
1.053E+00   4.275E+00  3.761E+00 
1.067E+00   4.303E+00  3.759E+00 
1.081E+00   4.331E+00  3.757E+00 
1.095E+00   4.359E+00  3.756E+00 
1.109E+00   4.387E+00  3.754E+00 
1.123E+00   4.415E+00  3.752E+00 
1.138E+00   4.444E+00  3.750E+00 
1.153E+00   4.473E+00  3.747E+00 
1.168E+00   4.502E+00  3.745E+00 
1.183E+00   4.531E+00  3.742E+00 
1.198E+00   4.560E+00  3.740E+00 
1.214E+00   4.590E+00  3.737E+00 
1.229E+00   4.620E+00  3.734E+00 
1.245E+00   4.649E+00  3.731E+00 
1.262E+00   4.680E+00  3.728E+00 
1.278E+00   4.710E+00  3.725E+00 
1.295E+00   4.740E+00  3.721E+00 
1.311E+00   4.771E+00  3.718E+00 
1.329E+00   4.802E+00  3.714E+00 
1.346E+00   4.833E+00  3.710E+00 
1.363E+00   4.864E+00  3.706E+00 
1.381E+00   4.896E+00  3.702E+00 
1.399E+00   4.928E+00  3.698E+00 
1.417E+00   4.960E+00  3.694E+00 
1.436E+00   4.992E+00  3.689E+00 
1.454E+00   5.024E+00  3.685E+00 
1.473E+00   5.057E+00  3.680E+00 
1.492E+00   5.089E+00  3.675E+00 
1.512E+00   5.122E+00  3.670E+00 
1.531E+00   5.155E+00  3.665E+00 
1.551E+00   5.189E+00  3.660E+00 
1.571E+00   5.222E+00  3.655E+00 
1.592E+00   5.256E+00  3.649E+00 
1.612E+00   5.290E+00  3.644E+00 
1.633E+00   5.325E+00  3.638E+00 
1.655E+00   5.359E+00  3.632E+00 
1.676E+00   5.394E+00  3.626E+00 
1.698E+00   5.429E+00  3.620E+00 
1.720E+00   5.464E+00  3.614E+00 
1.742E+00   5.499E+00  3.608E+00 
1.765E+00   5.535E+00  3.601E+00 
1.788E+00   5.571E+00  3.595E+00 
1.811E+00   5.607E+00  3.588E+00 
1.835E+00   5.643E+00  3.581E+00 
1.859E+00   5.680E+00  3.575E+00 
1.883E+00   5.716E+00  3.568E+00 
1.907E+00   5.754E+00  3.560E+00 
1.932E+00   5.791E+00  3.553E+00 
1.957E+00   5.828E+00  3.546E+00 
1.983E+00   5.866E+00  3.538E+00 
2.008E+00   5.904E+00  3.531E+00 
2.034E+00   5.942E+00  3.523E+00 
2.061E+00   5.981E+00  3.515E+00 
2.088E+00   6.020E+00  3.508E+00 
2.115E+00   6.058E+00  3.499E+00 
2.142E+00   6.098E+00  3.491E+00 
2.170E+00   6.137E+00  3.483E+00 
2.198E+00   6.177E+00  3.475E+00 
2.227E+00   6.217E+00  3.466E+00 
2.256E+00   6.257E+00  3.458E+00 
2.285E+00   6.298E+00  3.449E+00 
2.315E+00   6.339E+00  3.440E+00 
2.345E+00   6.380E+00  3.432E+00 
2.375E+00   6.421E+00  3.423E+00 
2.406E+00   6.463E+00  3.413E+00 
