Ion = Helium      . Mass = 4.0026
Tgt =  P (Solid). Density = 1.8219 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.003E+00  3.564E+00 
1.013E+00   4.029E+00  3.565E+00 
1.026E+00   4.055E+00  3.565E+00 
1.039E+00   4.081E+00  3.565E+00 
1.053E+00   4.108E+00  3.564E+00 
1.067E+00   4.134E+00  3.564E+00 
1.081E+00   4.161E+00  3.564E+00 
1.095E+00   4.188E+00  3.563E+00 
1.109E+00   4.215E+00  3.563E+00 
1.123E+00   4.242E+00  3.562E+00 
1.138E+00   4.270E+00  3.561E+00 
1.153E+00   4.297E+00  3.560E+00 
1.168E+00   4.325E+00  3.559E+00 
1.183E+00   4.353E+00  3.558E+00 
1.198E+00   4.382E+00  3.557E+00 
1.214E+00   4.410E+00  3.555E+00 
1.229E+00   4.438E+00  3.554E+00 
1.245E+00   4.467E+00  3.552E+00 
1.262E+00   4.496E+00  3.551E+00 
1.278E+00   4.525E+00  3.549E+00 
1.295E+00   4.555E+00  3.547E+00 
1.311E+00   4.584E+00  3.545E+00 
1.329E+00   4.614E+00  3.543E+00 
1.346E+00   4.644E+00  3.541E+00 
1.363E+00   4.674E+00  3.539E+00 
1.381E+00   4.704E+00  3.536E+00 
1.399E+00   4.734E+00  3.534E+00 
1.417E+00   4.765E+00  3.531E+00 
1.436E+00   4.796E+00  3.528E+00 
1.454E+00   4.827E+00  3.525E+00 
1.473E+00   4.858E+00  3.522E+00 
1.492E+00   4.890E+00  3.519E+00 
1.512E+00   4.922E+00  3.516E+00 
1.531E+00   4.953E+00  3.513E+00 
1.551E+00   4.985E+00  3.510E+00 
1.571E+00   5.018E+00  3.506E+00 
1.592E+00   5.050E+00  3.502E+00 
1.612E+00   5.083E+00  3.499E+00 
1.633E+00   5.116E+00  3.495E+00 
1.655E+00   5.149E+00  3.491E+00 
1.676E+00   5.182E+00  3.487E+00 
1.698E+00   5.216E+00  3.483E+00 
1.720E+00   5.250E+00  3.478E+00 
1.742E+00   5.284E+00  3.474E+00 
1.765E+00   5.318E+00  3.470E+00 
1.788E+00   5.352E+00  3.465E+00 
1.811E+00   5.387E+00  3.460E+00 
1.835E+00   5.422E+00  3.456E+00 
1.859E+00   5.457E+00  3.451E+00 
1.883E+00   5.492E+00  3.446E+00 
1.907E+00   5.528E+00  3.441E+00 
1.932E+00   5.564E+00  3.435E+00 
1.957E+00   5.600E+00  3.430E+00 
1.983E+00   5.636E+00  3.425E+00 
2.008E+00   5.673E+00  3.419E+00 
2.034E+00   5.709E+00  3.413E+00 
2.061E+00   5.746E+00  3.408E+00 
2.088E+00   5.784E+00  3.402E+00 
2.115E+00   5.821E+00  3.396E+00 
2.142E+00   5.859E+00  3.390E+00 
2.170E+00   5.897E+00  3.384E+00 
2.198E+00   5.935E+00  3.377E+00 
2.227E+00   5.973E+00  3.371E+00 
2.256E+00   6.012E+00  3.365E+00 
2.285E+00   6.051E+00  3.358E+00 
2.315E+00   6.090E+00  3.351E+00 
2.345E+00   6.130E+00  3.345E+00 
2.375E+00   6.169E+00  3.338E+00 
2.406E+00   6.209E+00  3.331E+00 
2.438E+00   6.249E+00  3.324E+00 
2.469E+00   6.290E+00  3.317E+00 
2.501E+00   6.331E+00  3.309E+00 
2.534E+00   6.372E+00  3.302E+00 
2.567E+00   6.413E+00  3.294E+00 
2.600E+00   6.455E+00  3.287E+00 
2.634E+00   6.496E+00  3.279E+00 
2.668E+00   6.538E+00  3.272E+00 
2.703E+00   6.581E+00  3.264E+00 
2.738E+00   6.623E+00  3.256E+00 
2.773E+00   6.666E+00  3.248E+00 
2.810E+00   6.709E+00  3.240E+00 
2.846E+00   6.753E+00  3.231E+00 
2.883E+00   6.797E+00  3.223E+00 
2.921E+00   6.841E+00  3.215E+00 
2.958E+00   6.885E+00  3.206E+00 
2.997E+00   6.930E+00  3.198E+00 
3.036E+00   6.974E+00  3.189E+00 
3.075E+00   7.020E+00  3.180E+00 
3.115E+00   7.065E+00  3.172E+00 
3.156E+00   7.111E+00  3.163E+00 
3.197E+00   7.157E+00  3.154E+00 
3.238E+00   7.203E+00  3.145E+00 
3.280E+00   7.250E+00  3.136E+00 
3.323E+00   7.297E+00  3.126E+00 
3.366E+00   7.344E+00  3.117E+00 
3.410E+00   7.392E+00  3.108E+00 
3.454E+00   7.440E+00  3.098E+00 
3.499E+00   7.488E+00  3.089E+00 
