Ion = Helium      . Mass = 4.0026
Tgt =  S (Solid). Density = 2.0686 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.149E+00  3.697E+00 
1.013E+00   3.170E+00  3.697E+00 
1.026E+00   3.190E+00  3.697E+00 
1.039E+00   3.211E+00  3.698E+00 
1.053E+00   3.232E+00  3.698E+00 
1.067E+00   3.253E+00  3.698E+00 
1.081E+00   3.274E+00  3.698E+00 
1.095E+00   3.295E+00  3.697E+00 
1.109E+00   3.316E+00  3.697E+00 
1.123E+00   3.338E+00  3.697E+00 
1.138E+00   3.359E+00  3.696E+00 
1.153E+00   3.381E+00  3.695E+00 
1.168E+00   3.403E+00  3.695E+00 
1.183E+00   3.425E+00  3.694E+00 
1.198E+00   3.447E+00  3.693E+00 
1.214E+00   3.469E+00  3.692E+00 
1.229E+00   3.492E+00  3.691E+00 
1.245E+00   3.515E+00  3.689E+00 
1.262E+00   3.537E+00  3.688E+00 
1.278E+00   3.560E+00  3.686E+00 
1.295E+00   3.583E+00  3.685E+00 
1.311E+00   3.606E+00  3.683E+00 
1.329E+00   3.630E+00  3.681E+00 
1.346E+00   3.653E+00  3.679E+00 
1.363E+00   3.677E+00  3.677E+00 
1.381E+00   3.701E+00  3.675E+00 
1.399E+00   3.725E+00  3.673E+00 
1.417E+00   3.749E+00  3.670E+00 
1.436E+00   3.773E+00  3.668E+00 
1.454E+00   3.798E+00  3.665E+00 
1.473E+00   3.822E+00  3.662E+00 
1.492E+00   3.847E+00  3.660E+00 
1.512E+00   3.872E+00  3.657E+00 
1.531E+00   3.897E+00  3.654E+00 
1.551E+00   3.922E+00  3.650E+00 
1.571E+00   3.948E+00  3.647E+00 
1.592E+00   3.973E+00  3.644E+00 
1.612E+00   3.999E+00  3.640E+00 
1.633E+00   4.025E+00  3.637E+00 
1.655E+00   4.051E+00  3.633E+00 
1.676E+00   4.077E+00  3.629E+00 
1.698E+00   4.104E+00  3.625E+00 
1.720E+00   4.130E+00  3.621E+00 
1.742E+00   4.157E+00  3.617E+00 
1.765E+00   4.184E+00  3.613E+00 
1.788E+00   4.211E+00  3.608E+00 
1.811E+00   4.238E+00  3.604E+00 
1.835E+00   4.266E+00  3.599E+00 
1.859E+00   4.293E+00  3.595E+00 
1.883E+00   4.321E+00  3.590E+00 
1.907E+00   4.349E+00  3.585E+00 
1.932E+00   4.377E+00  3.580E+00 
1.957E+00   4.406E+00  3.575E+00 
1.983E+00   4.434E+00  3.569E+00 
2.008E+00   4.463E+00  3.564E+00 
2.034E+00   4.492E+00  3.558E+00 
2.061E+00   4.521E+00  3.553E+00 
2.088E+00   4.550E+00  3.547E+00 
2.115E+00   4.580E+00  3.541E+00 
2.142E+00   4.609E+00  3.536E+00 
2.170E+00   4.639E+00  3.530E+00 
2.198E+00   4.669E+00  3.523E+00 
2.227E+00   4.699E+00  3.517E+00 
2.256E+00   4.730E+00  3.511E+00 
2.285E+00   4.761E+00  3.504E+00 
2.315E+00   4.791E+00  3.498E+00 
