Ion = Helium      . Mass = 4.0026
Tgt = Cl (Solid). Density = 1.8956 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.013E+00  3.544E+00 
1.013E+00   3.032E+00  3.544E+00 
1.026E+00   3.052E+00  3.544E+00 
1.039E+00   3.072E+00  3.545E+00 
1.053E+00   3.091E+00  3.545E+00 
1.067E+00   3.111E+00  3.545E+00 
1.081E+00   3.132E+00  3.545E+00 
1.095E+00   3.152E+00  3.544E+00 
1.109E+00   3.172E+00  3.544E+00 
1.123E+00   3.193E+00  3.544E+00 
1.138E+00   3.214E+00  3.543E+00 
1.153E+00   3.234E+00  3.543E+00 
1.168E+00   3.255E+00  3.542E+00 
1.183E+00   3.276E+00  3.541E+00 
1.198E+00   3.298E+00  3.540E+00 
1.214E+00   3.319E+00  3.539E+00 
1.229E+00   3.341E+00  3.538E+00 
1.245E+00   3.362E+00  3.537E+00 
1.262E+00   3.384E+00  3.536E+00 
1.278E+00   3.406E+00  3.534E+00 
1.295E+00   3.428E+00  3.533E+00 
1.311E+00   3.450E+00  3.531E+00 
1.329E+00   3.472E+00  3.530E+00 
1.346E+00   3.495E+00  3.528E+00 
1.363E+00   3.518E+00  3.526E+00 
1.381E+00   3.540E+00  3.524E+00 
1.399E+00   3.563E+00  3.522E+00 
1.417E+00   3.586E+00  3.520E+00 
1.436E+00   3.610E+00  3.517E+00 
1.454E+00   3.633E+00  3.515E+00 
1.473E+00   3.657E+00  3.512E+00 
1.492E+00   3.680E+00  3.510E+00 
1.512E+00   3.704E+00  3.507E+00 
1.531E+00   3.728E+00  3.504E+00 
1.551E+00   3.752E+00  3.501E+00 
1.571E+00   3.777E+00  3.498E+00 
1.592E+00   3.801E+00  3.495E+00 
1.612E+00   3.826E+00  3.492E+00 
1.633E+00   3.850E+00  3.489E+00 
1.655E+00   3.875E+00  3.485E+00 
1.676E+00   3.900E+00  3.482E+00 
1.698E+00   3.926E+00  3.478E+00 
1.720E+00   3.951E+00  3.475E+00 
1.742E+00   3.977E+00  3.471E+00 
1.765E+00   4.002E+00  3.467E+00 
1.788E+00   4.028E+00  3.463E+00 
1.811E+00   4.054E+00  3.459E+00 
1.835E+00   4.081E+00  3.455E+00 
1.859E+00   4.107E+00  3.450E+00 
1.883E+00   4.134E+00  3.446E+00 
1.907E+00   4.161E+00  3.441E+00 
1.932E+00   4.188E+00  3.437E+00 
