Ion = Helium      . Mass = 4.0026
Tgt = Ar (Solid). Density = 1.6504 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.294E+00  3.368E+00 
1.013E+00   3.316E+00  3.369E+00 
1.026E+00   3.337E+00  3.370E+00 
1.039E+00   3.359E+00  3.370E+00 
1.053E+00   3.380E+00  3.371E+00 
1.067E+00   3.402E+00  3.371E+00 
1.081E+00   3.424E+00  3.371E+00 
1.095E+00   3.446E+00  3.372E+00 
1.109E+00   3.469E+00  3.372E+00 
1.123E+00   3.491E+00  3.372E+00 
1.138E+00   3.514E+00  3.372E+00 
1.153E+00   3.537E+00  3.371E+00 
1.168E+00   3.560E+00  3.371E+00 
1.183E+00   3.583E+00  3.371E+00 
1.198E+00   3.606E+00  3.370E+00 
1.214E+00   3.629E+00  3.370E+00 
1.229E+00   3.653E+00  3.369E+00 
1.245E+00   3.676E+00  3.368E+00 
1.262E+00   3.700E+00  3.367E+00 
1.278E+00   3.724E+00  3.366E+00 
1.295E+00   3.748E+00  3.365E+00 
1.311E+00   3.772E+00  3.364E+00 
1.329E+00   3.797E+00  3.363E+00 
1.346E+00   3.822E+00  3.362E+00 
1.363E+00   3.846E+00  3.360E+00 
1.381E+00   3.871E+00  3.359E+00 
1.399E+00   3.896E+00  3.357E+00 
1.417E+00   3.922E+00  3.355E+00 
1.436E+00   3.947E+00  3.354E+00 
1.454E+00   3.972E+00  3.352E+00 
1.473E+00   3.998E+00  3.350E+00 
1.492E+00   4.024E+00  3.348E+00 
1.512E+00   4.050E+00  3.345E+00 
1.531E+00   4.076E+00  3.343E+00 
1.551E+00   4.103E+00  3.341E+00 
1.571E+00   4.129E+00  3.338E+00 
1.592E+00   4.156E+00  3.336E+00 
1.612E+00   4.183E+00  3.333E+00 
1.633E+00   4.210E+00  3.330E+00 
1.655E+00   4.237E+00  3.327E+00 
1.676E+00   4.265E+00  3.324E+00 
1.698E+00   4.292E+00  3.321E+00 
1.720E+00   4.320E+00  3.318E+00 
1.742E+00   4.348E+00  3.315E+00 
1.765E+00   4.376E+00  3.312E+00 
1.788E+00   4.405E+00  3.308E+00 
1.811E+00   4.433E+00  3.305E+00 
1.835E+00   4.462E+00  3.301E+00 
1.859E+00   4.491E+00  3.297E+00 
1.883E+00   4.520E+00  3.293E+00 
1.907E+00   4.549E+00  3.289E+00 
1.932E+00   4.579E+00  3.285E+00 
1.957E+00   4.608E+00  3.281E+00 
1.983E+00   4.638E+00  3.277E+00 
2.008E+00   4.668E+00  3.273E+00 
2.034E+00   4.699E+00  3.268E+00 
2.061E+00   4.729E+00  3.264E+00 
2.088E+00   4.760E+00  3.259E+00 
2.115E+00   4.790E+00  3.255E+00 
2.142E+00   4.821E+00  3.250E+00 
2.170E+00   4.853E+00  3.245E+00 
2.198E+00   4.884E+00  3.240E+00 
2.227E+00   4.916E+00  3.235E+00 
2.256E+00   4.948E+00  3.230E+00 
2.285E+00   4.980E+00  3.224E+00 
2.315E+00   5.012E+00  3.219E+00 
2.345E+00   5.044E+00  3.214E+00 
2.375E+00   5.077E+00  3.208E+00 
2.406E+00   5.110E+00  3.202E+00 
2.438E+00   5.143E+00  3.197E+00 
2.469E+00   5.176E+00  3.191E+00 
