Ion = Helium      . Mass = 4.0026
Tgt =  K (Solid). Density = .86318 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   2.844E+00  3.567E+00 
1.013E+00   2.863E+00  3.568E+00 
1.026E+00   2.881E+00  3.570E+00 
1.039E+00   2.900E+00  3.572E+00 
1.053E+00   2.919E+00  3.573E+00 
1.067E+00   2.938E+00  3.575E+00 
1.081E+00   2.957E+00  3.576E+00 
1.095E+00   2.976E+00  3.577E+00 
1.109E+00   2.995E+00  3.579E+00 
1.123E+00   3.014E+00  3.580E+00 
1.138E+00   3.034E+00  3.581E+00 
1.153E+00   3.054E+00  3.581E+00 
1.168E+00   3.073E+00  3.582E+00 
1.183E+00   3.093E+00  3.583E+00 
1.198E+00   3.113E+00  3.583E+00 
1.214E+00   3.134E+00  3.584E+00 
1.229E+00   3.154E+00  3.584E+00 
1.245E+00   3.174E+00  3.585E+00 
1.262E+00   3.195E+00  3.585E+00 
1.278E+00   3.215E+00  3.585E+00 
1.295E+00   3.236E+00  3.585E+00 
1.311E+00   3.257E+00  3.585E+00 
1.329E+00   3.278E+00  3.584E+00 
1.346E+00   3.300E+00  3.584E+00 
1.363E+00   3.321E+00  3.583E+00 
1.381E+00   3.342E+00  3.583E+00 
1.399E+00   3.364E+00  3.582E+00 
1.417E+00   3.386E+00  3.581E+00 
1.436E+00   3.408E+00  3.580E+00 
1.454E+00   3.430E+00  3.579E+00 
1.473E+00   3.452E+00  3.578E+00 
1.492E+00   3.475E+00  3.577E+00 
1.512E+00   3.497E+00  3.576E+00 
1.531E+00   3.520E+00  3.574E+00 
1.551E+00   3.542E+00  3.573E+00 
1.571E+00   3.565E+00  3.571E+00 
1.592E+00   3.589E+00  3.570E+00 
1.612E+00   3.612E+00  3.568E+00 
1.633E+00   3.635E+00  3.566E+00 
1.655E+00   3.659E+00  3.564E+00 
1.676E+00   3.682E+00  3.561E+00 
1.698E+00   3.706E+00  3.559E+00 
1.720E+00   3.730E+00  3.557E+00 
1.742E+00   3.754E+00  3.554E+00 
1.765E+00   3.779E+00  3.552E+00 
1.788E+00   3.803E+00  3.549E+00 
1.811E+00   3.828E+00  3.546E+00 
1.835E+00   3.853E+00  3.543E+00 
1.859E+00   3.878E+00  3.540E+00 
1.883E+00   3.903E+00  3.537E+00 
1.907E+00   3.928E+00  3.534E+00 
1.932E+00   3.953E+00  3.530E+00 
1.957E+00   3.979E+00  3.527E+00 
1.983E+00   4.005E+00  3.523E+00 
2.008E+00   4.031E+00  3.520E+00 
2.034E+00   4.057E+00  3.516E+00 
2.061E+00   4.083E+00  3.512E+00 
2.088E+00   4.110E+00  3.508E+00 
2.115E+00   4.136E+00  3.504E+00 
2.142E+00   4.163E+00  3.499E+00 
2.170E+00   4.190E+00  3.495E+00 
2.198E+00   4.217E+00  3.491E+00 
2.227E+00   4.244E+00  3.486E+00 
2.256E+00   4.272E+00  3.481E+00 
2.285E+00   4.300E+00  3.477E+00 
2.315E+00   4.327E+00  3.472E+00 
2.345E+00   4.355E+00  3.467E+00 
2.375E+00   4.384E+00  3.462E+00 
2.406E+00   4.412E+00  3.457E+00 
2.438E+00   4.441E+00  3.451E+00 
2.469E+00   4.469E+00  3.446E+00 
2.501E+00   4.498E+00  3.440E+00 
2.534E+00   4.527E+00  3.435E+00 
2.567E+00   4.557E+00  3.429E+00 
2.600E+00   4.586E+00  3.423E+00 
2.634E+00   4.616E+00  3.417E+00 
2.668E+00   4.646E+00  3.411E+00 
2.703E+00   4.676E+00  3.405E+00 
2.738E+00   4.706E+00  3.399E+00 
2.773E+00   4.737E+00  3.393E+00 
2.810E+00   4.767E+00  3.386E+00 
2.846E+00   4.798E+00  3.380E+00 
2.883E+00   4.829E+00  3.373E+00 
2.921E+00   4.861E+00  3.366E+00 
2.958E+00   4.892E+00  3.359E+00 
2.997E+00   4.924E+00  3.352E+00 
3.036E+00   4.956E+00  3.345E+00 
3.075E+00   4.988E+00  3.338E+00 
3.115E+00   5.020E+00  3.331E+00 
3.156E+00   5.053E+00  3.324E+00 
3.197E+00   5.085E+00  3.316E+00 
3.238E+00   5.118E+00  3.309E+00 
3.280E+00   5.152E+00  3.301E+00 
3.323E+00   5.185E+00  3.293E+00 
3.366E+00   5.218E+00  3.286E+00 
3.410E+00   5.252E+00  3.278E+00 
3.454E+00   5.286E+00  3.270E+00 
3.499E+00   5.321E+00  3.262E+00 
3.545E+00   5.355E+00  3.253E+00 
3.591E+00   5.390E+00  3.245E+00 
3.637E+00   5.425E+00  3.237E+00 
3.685E+00   5.460E+00  3.228E+00 
3.733E+00   5.495E+00  3.220E+00 
3.781E+00   5.531E+00  3.211E+00 
3.830E+00   5.567E+00  3.203E+00 
3.880E+00   5.603E+00  3.194E+00 
3.930E+00   5.639E+00  3.185E+00 
3.982E+00   5.675E+00  3.176E+00 
4.033E+00   5.712E+00  3.167E+00 
4.086E+00   5.749E+00  3.158E+00 
4.139E+00   5.786E+00  3.149E+00 
4.193E+00   5.824E+00  3.139E+00 
4.247E+00   5.862E+00  3.130E+00 
4.302E+00   5.900E+00  3.120E+00 
4.358E+00   5.938E+00  3.111E+00 
4.415E+00   5.976E+00  3.101E+00 
4.472E+00   6.015E+00  3.092E+00 
4.530E+00   6.054E+00  3.082E+00 
4.589E+00   6.093E+00  3.072E+00 
4.649E+00   6.133E+00  3.062E+00 
4.709E+00   6.172E+00  3.052E+00 
