Ion = Helium      . Mass = 4.0026
Tgt = He (Solid). Density = .12588 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   7.274E-01  2.350E+00 
1.013E+00   7.321E-01  2.339E+00 
1.026E+00   7.369E-01  2.328E+00 
1.039E+00   7.416E-01  2.317E+00 
1.053E+00   7.464E-01  2.307E+00 
1.067E+00   7.513E-01  2.296E+00 
1.081E+00   7.561E-01  2.285E+00 
1.095E+00   7.610E-01  2.274E+00 
1.109E+00   7.660E-01  2.263E+00 
1.123E+00   7.709E-01  2.252E+00 
1.138E+00   7.759E-01  2.241E+00 
1.153E+00   7.809E-01  2.230E+00 
1.168E+00   7.860E-01  2.219E+00 
1.183E+00   7.911E-01  2.208E+00 
1.198E+00   7.962E-01  2.197E+00 
1.214E+00   8.014E-01  2.186E+00 
1.229E+00   8.066E-01  2.175E+00 
1.245E+00   8.118E-01  2.164E+00 
1.262E+00   8.171E-01  2.153E+00 
1.278E+00   8.223E-01  2.141E+00 
1.295E+00   8.277E-01  2.130E+00 
1.311E+00   8.330E-01  2.119E+00 
1.329E+00   8.384E-01  2.108E+00 
1.346E+00   8.439E-01  2.097E+00 
1.363E+00   8.493E-01  2.086E+00 
1.381E+00   8.548E-01  2.075E+00 
1.399E+00   8.604E-01  2.063E+00 
1.417E+00   8.659E-01  2.052E+00 
1.436E+00   8.715E-01  2.041E+00 
1.454E+00   8.772E-01  2.030E+00 
1.473E+00   8.829E-01  2.019E+00 
1.492E+00   8.886E-01  2.007E+00 
1.512E+00   8.943E-01  1.996E+00 
1.531E+00   9.001E-01  1.985E+00 
1.551E+00   9.060E-01  1.974E+00 
1.571E+00   9.118E-01  1.963E+00 
1.592E+00   9.177E-01  1.952E+00 
1.612E+00   9.237E-01  1.940E+00 
1.633E+00   9.297E-01  1.929E+00 
1.655E+00   9.357E-01  1.918E+00 
1.676E+00   9.418E-01  1.907E+00 
1.698E+00   9.479E-01  1.896E+00 
1.720E+00   9.540E-01  1.885E+00 
1.742E+00   9.602E-01  1.874E+00 
1.765E+00   9.664E-01  1.863E+00 
1.788E+00   9.727E-01  1.851E+00 
1.811E+00   9.790E-01  1.840E+00 
1.835E+00   9.853E-01  1.829E+00 
1.859E+00   9.917E-01  1.818E+00 
1.883E+00   9.981E-01  1.807E+00 
1.907E+00   1.005E+00  1.796E+00 
1.932E+00   1.011E+00  1.785E+00 
1.957E+00   1.018E+00  1.774E+00 
1.983E+00   1.024E+00  1.763E+00 
2.008E+00   1.031E+00  1.752E+00 
2.034E+00   1.038E+00  1.741E+00 
2.061E+00   1.044E+00  1.731E+00 
2.088E+00   1.051E+00  1.720E+00 
2.115E+00   1.058E+00  1.709E+00 
2.142E+00   1.065E+00  1.698E+00 
2.170E+00   1.072E+00  1.687E+00 
2.198E+00   1.079E+00  1.676E+00 
2.227E+00   1.085E+00  1.666E+00 
2.256E+00   1.093E+00  1.655E+00 
2.285E+00   1.100E+00  1.644E+00 
2.315E+00   1.107E+00  1.633E+00 
2.345E+00   1.114E+00  1.623E+00 
2.375E+00   1.121E+00  1.612E+00 
2.406E+00   1.128E+00  1.602E+00 
2.438E+00   1.136E+00  1.591E+00 
2.469E+00   1.143E+00  1.580E+00 
2.501E+00   1.150E+00  1.570E+00 
2.534E+00   1.158E+00  1.559E+00 
2.567E+00   1.165E+00  1.549E+00 
2.600E+00   1.173E+00  1.539E+00 
2.634E+00   1.181E+00  1.528E+00 
2.668E+00   1.188E+00  1.518E+00 
2.703E+00   1.196E+00  1.508E+00 
2.738E+00   1.204E+00  1.497E+00 
2.773E+00   1.211E+00  1.487E+00 
2.810E+00   1.219E+00  1.477E+00 
2.846E+00   1.227E+00  1.467E+00 
2.883E+00   1.235E+00  1.456E+00 
2.921E+00   1.243E+00  1.446E+00 
2.958E+00   1.251E+00  1.436E+00 
2.997E+00   1.259E+00  1.426E+00 
3.036E+00   1.267E+00  1.416E+00 
3.075E+00   1.276E+00  1.406E+00 
3.115E+00   1.284E+00  1.396E+00 
3.156E+00   1.292E+00  1.386E+00 
3.197E+00   1.301E+00  1.376E+00 
3.238E+00   1.309E+00  1.367E+00 
3.280E+00   1.317E+00  1.357E+00 
3.323E+00   1.326E+00  1.347E+00 
3.366E+00   1.335E+00  1.337E+00 
3.410E+00   1.343E+00  1.328E+00 
3.454E+00   1.352E+00  1.318E+00 
3.499E+00   1.361E+00  1.309E+00 
3.545E+00   1.370E+00  1.299E+00 
3.591E+00   1.378E+00  1.289E+00 
3.637E+00   1.387E+00  1.280E+00 
3.685E+00   1.396E+00  1.271E+00 
3.733E+00   1.405E+00  1.261E+00 
3.781E+00   1.414E+00  1.252E+00 
