Ion = Helium      . Mass = 4.0026
Tgt = Ca (Solid). Density = 1.54 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.055E+00  3.646E+00 
1.013E+00   3.075E+00  3.649E+00 
1.026E+00   3.094E+00  3.651E+00 
1.039E+00   3.115E+00  3.653E+00 
1.053E+00   3.135E+00  3.656E+00 
1.067E+00   3.155E+00  3.658E+00 
1.081E+00   3.175E+00  3.660E+00 
1.095E+00   3.196E+00  3.662E+00 
1.109E+00   3.217E+00  3.664E+00 
1.123E+00   3.238E+00  3.665E+00 
1.138E+00   3.259E+00  3.667E+00 
1.153E+00   3.280E+00  3.669E+00 
1.168E+00   3.301E+00  3.670E+00 
1.183E+00   3.322E+00  3.671E+00 
1.198E+00   3.344E+00  3.673E+00 
1.214E+00   3.365E+00  3.674E+00 
1.229E+00   3.387E+00  3.675E+00 
1.245E+00   3.409E+00  3.676E+00 
1.262E+00   3.431E+00  3.677E+00 
1.278E+00   3.453E+00  3.677E+00 
1.295E+00   3.476E+00  3.678E+00 
1.311E+00   3.498E+00  3.678E+00 
1.329E+00   3.521E+00  3.679E+00 
1.346E+00   3.544E+00  3.679E+00 
1.363E+00   3.567E+00  3.679E+00 
1.381E+00   3.590E+00  3.679E+00 
1.399E+00   3.613E+00  3.679E+00 
1.417E+00   3.637E+00  3.679E+00 
1.436E+00   3.660E+00  3.679E+00 
1.454E+00   3.684E+00  3.679E+00 
1.473E+00   3.708E+00  3.678E+00 
1.492E+00   3.732E+00  3.678E+00 
1.512E+00   3.756E+00  3.677E+00 
1.531E+00   3.780E+00  3.676E+00 
1.551E+00   3.805E+00  3.675E+00 
1.571E+00   3.829E+00  3.674E+00 
1.592E+00   3.854E+00  3.673E+00 
1.612E+00   3.879E+00  3.672E+00 
1.633E+00   3.904E+00  3.670E+00 
1.655E+00   3.929E+00  3.669E+00 
1.676E+00   3.955E+00  3.667E+00 
1.698E+00   3.981E+00  3.666E+00 
1.720E+00   4.006E+00  3.664E+00 
1.742E+00   4.032E+00  3.662E+00 
1.765E+00   4.058E+00  3.660E+00 
1.788E+00   4.085E+00  3.658E+00 
1.811E+00   4.111E+00  3.655E+00 
1.835E+00   4.138E+00  3.653E+00 
1.859E+00   4.165E+00  3.651E+00 
1.883E+00   4.192E+00  3.648E+00 
1.907E+00   4.219E+00  3.645E+00 
1.932E+00   4.246E+00  3.642E+00 
1.957E+00   4.274E+00  3.640E+00 
1.983E+00   4.301E+00  3.636E+00 
2.008E+00   4.329E+00  3.633E+00 
2.034E+00   4.357E+00  3.630E+00 
2.061E+00   4.385E+00  3.627E+00 
2.088E+00   4.414E+00  3.623E+00 
2.115E+00   4.442E+00  3.620E+00 
2.142E+00   4.471E+00  3.616E+00 
2.170E+00   4.500E+00  3.612E+00 
2.198E+00   4.529E+00  3.608E+00 
2.227E+00   4.559E+00  3.604E+00 
2.256E+00   4.588E+00  3.600E+00 
2.285E+00   4.618E+00  3.595E+00 
2.315E+00   4.648E+00  3.591E+00 
2.345E+00   4.678E+00  3.586E+00 
2.375E+00   4.708E+00  3.582E+00 
2.406E+00   4.739E+00  3.577E+00 
2.438E+00   4.769E+00  3.572E+00 
2.469E+00   4.800E+00  3.567E+00 
2.501E+00   4.831E+00  3.562E+00 
2.534E+00   4.863E+00  3.557E+00 
2.567E+00   4.894E+00  3.552E+00 
2.600E+00   4.926E+00  3.546E+00 
2.634E+00   4.958E+00  3.541E+00 
2.668E+00   4.990E+00  3.535E+00 
2.703E+00   5.022E+00  3.529E+00 
2.738E+00   5.055E+00  3.524E+00 
2.773E+00   5.087E+00  3.518E+00 
2.810E+00   5.120E+00  3.512E+00 
2.846E+00   5.153E+00  3.505E+00 
2.883E+00   5.187E+00  3.499E+00 
2.921E+00   5.220E+00  3.493E+00 
2.958E+00   5.254E+00  3.486E+00 
2.997E+00   5.288E+00  3.480E+00 
3.036E+00   5.323E+00  3.473E+00 
3.075E+00   5.357E+00  3.466E+00 
3.115E+00   5.392E+00  3.459E+00 
3.156E+00   5.427E+00  3.452E+00 
3.197E+00   5.462E+00  3.445E+00 
3.238E+00   5.497E+00  3.438E+00 
3.280E+00   5.533E+00  3.430E+00 
3.323E+00   5.569E+00  3.423E+00 
3.366E+00   5.605E+00  3.415E+00 
3.410E+00   5.641E+00  3.408E+00 
3.454E+00   5.678E+00  3.400E+00 
3.499E+00   5.714E+00  3.392E+00 
3.545E+00   5.751E+00  3.384E+00 
3.591E+00   5.789E+00  3.376E+00 
3.637E+00   5.826E+00  3.368E+00 
3.685E+00   5.864E+00  3.360E+00 
3.733E+00   5.902E+00  3.352E+00 
3.781E+00   5.940E+00  3.343E+00 
3.830E+00   5.979E+00  3.335E+00 
3.880E+00   6.017E+00  3.326E+00 
3.930E+00   6.056E+00  3.317E+00 
3.982E+00   6.095E+00  3.309E+00 
4.033E+00   6.135E+00  3.300E+00 
4.086E+00   6.175E+00  3.291E+00 
4.139E+00   6.215E+00  3.282E+00 
4.193E+00   6.255E+00  3.273E+00 
4.247E+00   6.295E+00  3.263E+00 
4.302E+00   6.336E+00  3.254E+00 
4.358E+00   6.377E+00  3.245E+00 
4.415E+00   6.419E+00  3.235E+00 
4.472E+00   6.460E+00  3.225E+00 
4.530E+00   6.502E+00  3.216E+00 
4.589E+00   6.544E+00  3.206E+00 
4.649E+00   6.586E+00  3.196E+00 
4.709E+00   6.629E+00  3.186E+00 
4.770E+00   6.672E+00  3.176E+00 
4.832E+00   6.715E+00  3.166E+00 
4.895E+00   6.759E+00  3.156E+00 
4.959E+00   6.803E+00  3.146E+00 
5.023E+00   6.847E+00  3.136E+00 
5.089E+00   6.891E+00  3.125E+00 
5.155E+00   6.936E+00  3.115E+00 
5.222E+00   6.981E+00  3.104E+00 
5.290E+00   7.026E+00  3.094E+00 
5.358E+00   7.071E+00  3.083E+00 
5.428E+00   7.117E+00  3.072E+00 
5.499E+00   7.163E+00  3.062E+00 
5.570E+00   7.210E+00  3.051E+00 
5.642E+00   7.256E+00  3.040E+00 
5.716E+00   7.303E+00  3.029E+00 
5.790E+00   7.351E+00  3.018E+00 
5.865E+00   7.398E+00  3.007E+00 
5.942E+00   7.446E+00  2.996E+00 
6.019E+00   7.494E+00  2.984E+00 
6.097E+00   7.543E+00  2.973E+00 
6.176E+00   7.592E+00  2.962E+00 
6.256E+00   7.641E+00  2.950E+00 
6.338E+00   7.690E+00  2.939E+00 
6.420E+00   7.740E+00  2.927E+00 
6.504E+00   7.790E+00  2.916E+00 
6.588E+00   7.841E+00  2.904E+00 
