Ion = Helium      . Mass = 4.0026
Tgt = Ti (Solid). Density = 4.5189 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.515E+00  3.352E+00 
1.013E+00   4.544E+00  3.355E+00 
1.026E+00   4.573E+00  3.357E+00 
1.039E+00   4.603E+00  3.359E+00 
1.053E+00   4.633E+00  3.361E+00 
1.067E+00   4.663E+00  3.363E+00 
1.081E+00   4.693E+00  3.365E+00 
1.095E+00   4.723E+00  3.367E+00 
1.109E+00   4.754E+00  3.368E+00 
1.123E+00   4.785E+00  3.370E+00 
1.138E+00   4.816E+00  3.372E+00 
1.153E+00   4.847E+00  3.373E+00 
1.168E+00   4.878E+00  3.374E+00 
1.183E+00   4.910E+00  3.376E+00 
1.198E+00   4.942E+00  3.377E+00 
1.214E+00   4.974E+00  3.378E+00 
1.229E+00   5.006E+00  3.379E+00 
1.245E+00   5.038E+00  3.380E+00 
1.262E+00   5.071E+00  3.381E+00 
1.278E+00   5.104E+00  3.382E+00 
1.295E+00   5.137E+00  3.382E+00 
1.311E+00   5.170E+00  3.383E+00 
1.329E+00   5.204E+00  3.383E+00 
1.346E+00   5.237E+00  3.384E+00 
1.363E+00   5.271E+00  3.384E+00 
1.381E+00   5.306E+00  3.384E+00 
1.399E+00   5.340E+00  3.384E+00 
1.417E+00   5.374E+00  3.384E+00 
1.436E+00   5.409E+00  3.384E+00 
1.454E+00   5.444E+00  3.384E+00 
1.473E+00   5.480E+00  3.384E+00 
1.492E+00   5.515E+00  3.383E+00 
1.512E+00   5.551E+00  3.383E+00 
1.531E+00   5.587E+00  3.382E+00 
1.551E+00   5.623E+00  3.381E+00 
1.571E+00   5.659E+00  3.381E+00 
1.592E+00   5.696E+00  3.380E+00 
1.612E+00   5.733E+00  3.379E+00 
1.633E+00   5.770E+00  3.378E+00 
1.655E+00   5.807E+00  3.377E+00 
1.676E+00   5.845E+00  3.375E+00 
1.698E+00   5.883E+00  3.374E+00 
1.720E+00   5.921E+00  3.373E+00 
1.742E+00   5.959E+00  3.371E+00 
1.765E+00   5.998E+00  3.370E+00 
