Ion = Helium      . Mass = 4.0026
Tgt =  V (Solid). Density = 5.96 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.358E+00  3.294E+00 
1.013E+00   4.387E+00  3.297E+00 
1.026E+00   4.415E+00  3.299E+00 
1.039E+00   4.444E+00  3.302E+00 
1.053E+00   4.472E+00  3.304E+00 
1.067E+00   4.501E+00  3.306E+00 
1.081E+00   4.531E+00  3.308E+00 
1.095E+00   4.560E+00  3.310E+00 
1.109E+00   4.589E+00  3.312E+00 
1.123E+00   4.619E+00  3.314E+00 
1.138E+00   4.649E+00  3.316E+00 
1.153E+00   4.679E+00  3.318E+00 
1.168E+00   4.709E+00  3.319E+00 
1.183E+00   4.740E+00  3.321E+00 
1.198E+00   4.771E+00  3.322E+00 
1.214E+00   4.802E+00  3.323E+00 
1.229E+00   4.833E+00  3.325E+00 
1.245E+00   4.864E+00  3.326E+00 
1.262E+00   4.895E+00  3.327E+00 
1.278E+00   4.927E+00  3.328E+00 
1.295E+00   4.959E+00  3.329E+00 
1.311E+00   4.991E+00  3.330E+00 
1.329E+00   5.024E+00  3.330E+00 
1.346E+00   5.056E+00  3.331E+00 
1.363E+00   5.089E+00  3.332E+00 
1.381E+00   5.122E+00  3.332E+00 
1.399E+00   5.155E+00  3.333E+00 
1.417E+00   5.188E+00  3.333E+00 
1.436E+00   5.222E+00  3.333E+00 
1.454E+00   5.256E+00  3.333E+00 
1.473E+00   5.290E+00  3.333E+00 
1.492E+00   5.324E+00  3.333E+00 
1.512E+00   5.359E+00  3.333E+00 
1.531E+00   5.393E+00  3.333E+00 
1.551E+00   5.428E+00  3.332E+00 
1.571E+00   5.463E+00  3.332E+00 
1.592E+00   5.499E+00  3.331E+00 
1.612E+00   5.534E+00  3.331E+00 
1.633E+00   5.570E+00  3.330E+00 
1.655E+00   5.606E+00  3.329E+00 
1.676E+00   5.643E+00  3.328E+00 
1.698E+00   5.679E+00  3.327E+00 
1.720E+00   5.716E+00  3.326E+00 
1.742E+00   5.753E+00  3.325E+00 
1.765E+00   5.790E+00  3.323E+00 
1.788E+00   5.828E+00  3.322E+00 
1.811E+00   5.866E+00  3.321E+00 
1.835E+00   5.904E+00  3.319E+00 
1.859E+00   5.942E+00  3.317E+00 
1.883E+00   5.980E+00  3.315E+00 
1.907E+00   6.019E+00  3.314E+00 
1.932E+00   6.058E+00  3.312E+00 
1.957E+00   6.097E+00  3.309E+00 
1.983E+00   6.137E+00  3.307E+00 
2.008E+00   6.176E+00  3.305E+00 
2.034E+00   6.216E+00  3.303E+00 
2.061E+00   6.257E+00  3.300E+00 
2.088E+00   6.297E+00  3.298E+00 
2.115E+00   6.338E+00  3.295E+00 
2.142E+00   6.379E+00  3.292E+00 
2.170E+00   6.420E+00  3.289E+00 
2.198E+00   6.462E+00  3.286E+00 
2.227E+00   6.504E+00  3.283E+00 
2.256E+00   6.546E+00  3.280E+00 
2.285E+00   6.588E+00  3.277E+00 
2.315E+00   6.631E+00  3.274E+00 
2.345E+00   6.674E+00  3.270E+00 
2.375E+00   6.717E+00  3.267E+00 
2.406E+00   6.761E+00  3.263E+00 
2.438E+00   6.805E+00  3.259E+00 
2.469E+00   6.849E+00  3.256E+00 
2.501E+00   6.893E+00  3.252E+00 
2.534E+00   6.938E+00  3.248E+00 
2.567E+00   6.983E+00  3.243E+00 
2.600E+00   7.028E+00  3.239E+00 
2.634E+00   7.073E+00  3.235E+00 
2.668E+00   7.119E+00  3.231E+00 
2.703E+00   7.165E+00  3.226E+00 
