Ion = Helium      . Mass = 4.0026
Tgt = Cr (Solid). Density = 7.2 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.642E+00  3.352E+00 
1.013E+00   3.666E+00  3.355E+00 
1.026E+00   3.689E+00  3.358E+00 
1.039E+00   3.713E+00  3.361E+00 
1.053E+00   3.737E+00  3.364E+00 
1.067E+00   3.762E+00  3.366E+00 
1.081E+00   3.786E+00  3.369E+00 
1.095E+00   3.811E+00  3.372E+00 
1.109E+00   3.835E+00  3.374E+00 
1.123E+00   3.860E+00  3.377E+00 
1.138E+00   3.885E+00  3.379E+00 
1.153E+00   3.910E+00  3.381E+00 
1.168E+00   3.936E+00  3.383E+00 
1.183E+00   3.961E+00  3.386E+00 
1.198E+00   3.987E+00  3.387E+00 
1.214E+00   4.013E+00  3.389E+00 
1.229E+00   4.039E+00  3.391E+00 
1.245E+00   4.065E+00  3.393E+00 
1.262E+00   4.091E+00  3.395E+00 
1.278E+00   4.118E+00  3.396E+00 
1.295E+00   4.144E+00  3.398E+00 
1.311E+00   4.171E+00  3.399E+00 
1.329E+00   4.198E+00  3.400E+00 
1.346E+00   4.225E+00  3.401E+00 
1.363E+00   4.253E+00  3.402E+00 
1.381E+00   4.280E+00  3.403E+00 
1.399E+00   4.308E+00  3.404E+00 
1.417E+00   4.336E+00  3.405E+00 
1.436E+00   4.364E+00  3.406E+00 
1.454E+00   4.392E+00  3.407E+00 
1.473E+00   4.421E+00  3.407E+00 
1.492E+00   4.449E+00  3.407E+00 
1.512E+00   4.478E+00  3.408E+00 
1.531E+00   4.507E+00  3.408E+00 
1.551E+00   4.536E+00  3.408E+00 
1.571E+00   4.566E+00  3.408E+00 
1.592E+00   4.595E+00  3.408E+00 
1.612E+00   4.625E+00  3.408E+00 
1.633E+00   4.655E+00  3.408E+00 
1.655E+00   4.685E+00  3.407E+00 
1.676E+00   4.715E+00  3.407E+00 
1.698E+00   4.746E+00  3.407E+00 
1.720E+00   4.777E+00  3.406E+00 
1.742E+00   4.808E+00  3.405E+00 
1.765E+00   4.839E+00  3.404E+00 
1.788E+00   4.870E+00  3.403E+00 
1.811E+00   4.902E+00  3.402E+00 
1.835E+00   4.933E+00  3.401E+00 
1.859E+00   4.965E+00  3.400E+00 
1.883E+00   4.998E+00  3.399E+00 
1.907E+00   5.030E+00  3.397E+00 
1.932E+00   5.062E+00  3.396E+00 
1.957E+00   5.095E+00  3.394E+00 
1.983E+00   5.128E+00  3.392E+00 
2.008E+00   5.161E+00  3.391E+00 
2.034E+00   5.195E+00  3.389E+00 
2.061E+00   5.229E+00  3.387E+00 
2.088E+00   5.262E+00  3.385E+00 
2.115E+00   5.297E+00  3.382E+00 
2.142E+00   5.331E+00  3.380E+00 
2.170E+00   5.365E+00  3.378E+00 
2.198E+00   5.400E+00  3.375E+00 
2.227E+00   5.435E+00  3.372E+00 
2.256E+00   5.470E+00  3.370E+00 
2.285E+00   5.506E+00  3.367E+00 
2.315E+00   5.541E+00  3.364E+00 
2.345E+00   5.577E+00  3.361E+00 
2.375E+00   5.613E+00  3.358E+00 
2.406E+00   5.650E+00  3.355E+00 
2.438E+00   5.686E+00  3.351E+00 
2.469E+00   5.723E+00  3.348E+00 
2.501E+00   5.760E+00  3.344E+00 
2.534E+00   5.798E+00  3.341E+00 
2.567E+00   5.835E+00  3.337E+00 
2.600E+00   5.873E+00  3.333E+00 
2.634E+00   5.911E+00  3.329E+00 
2.668E+00   5.949E+00  3.325E+00 
2.703E+00   5.988E+00  3.321E+00 
2.738E+00   6.027E+00  3.317E+00 
2.773E+00   6.066E+00  3.312E+00 
2.810E+00   6.105E+00  3.308E+00 
2.846E+00   6.144E+00  3.303E+00 
2.883E+00   6.184E+00  3.299E+00 
2.921E+00   6.224E+00  3.294E+00 
2.958E+00   6.265E+00  3.289E+00 
2.997E+00   6.305E+00  3.284E+00 
3.036E+00   6.346E+00  3.279E+00 
3.075E+00   6.387E+00  3.274E+00 
3.115E+00   6.428E+00  3.269E+00 
3.156E+00   6.470E+00  3.263E+00 
3.197E+00   6.512E+00  3.258E+00 
3.238E+00   6.554E+00  3.252E+00 
3.280E+00   6.597E+00  3.247E+00 
3.323E+00   6.639E+00  3.241E+00 
3.366E+00   6.682E+00  3.235E+00 
3.410E+00   6.726E+00  3.229E+00 
3.454E+00   6.769E+00  3.223E+00 
3.499E+00   6.813E+00  3.217E+00 
3.545E+00   6.857E+00  3.211E+00 
3.591E+00   6.902E+00  3.205E+00 
3.637E+00   6.946E+00  3.198E+00 
3.685E+00   6.991E+00  3.192E+00 
3.733E+00   7.037E+00  3.185E+00 
3.781E+00   7.082E+00  3.179E+00 
3.830E+00   7.128E+00  3.172E+00 
3.880E+00   7.174E+00  3.165E+00 
3.930E+00   7.221E+00  3.158E+00 
3.982E+00   7.267E+00  3.151E+00 
4.033E+00   7.315E+00  3.144E+00 
4.086E+00   7.362E+00  3.137E+00 
4.139E+00   7.410E+00  3.129E+00 
4.193E+00   7.458E+00  3.122E+00 
4.247E+00   7.506E+00  3.115E+00 
4.302E+00   7.555E+00  3.107E+00 
4.358E+00   7.603E+00  3.099E+00 
4.415E+00   7.653E+00  3.092E+00 
4.472E+00   7.702E+00  3.084E+00 
4.530E+00   7.752E+00  3.076E+00 
4.589E+00   7.802E+00  3.068E+00 
4.649E+00   7.853E+00  3.060E+00 
4.709E+00   7.904E+00  3.052E+00 
