Ion = Helium      . Mass = 4.0026
Tgt = Mn (Solid). Density = 7.4341 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.951E+00  3.247E+00 
1.013E+00   3.977E+00  3.250E+00 
1.026E+00   4.002E+00  3.253E+00 
1.039E+00   4.028E+00  3.256E+00 
1.053E+00   4.055E+00  3.259E+00 
1.067E+00   4.081E+00  3.262E+00 
1.081E+00   4.107E+00  3.265E+00 
1.095E+00   4.134E+00  3.267E+00 
1.109E+00   4.161E+00  3.270E+00 
1.123E+00   4.188E+00  3.272E+00 
1.138E+00   4.215E+00  3.275E+00 
1.153E+00   4.242E+00  3.277E+00 
1.168E+00   4.269E+00  3.279E+00 
1.183E+00   4.297E+00  3.282E+00 
1.198E+00   4.325E+00  3.284E+00 
1.214E+00   4.353E+00  3.286E+00 
1.229E+00   4.381E+00  3.288E+00 
1.245E+00   4.410E+00  3.289E+00 
1.262E+00   4.438E+00  3.291E+00 
1.278E+00   4.467E+00  3.293E+00 
1.295E+00   4.496E+00  3.294E+00 
1.311E+00   4.525E+00  3.296E+00 
1.329E+00   4.554E+00  3.297E+00 
1.346E+00   4.584E+00  3.298E+00 
1.363E+00   4.613E+00  3.300E+00 
1.381E+00   4.643E+00  3.301E+00 
1.399E+00   4.673E+00  3.302E+00 
1.417E+00   4.704E+00  3.303E+00 
1.436E+00   4.734E+00  3.304E+00 
1.454E+00   4.765E+00  3.305E+00 
1.473E+00   4.796E+00  3.305E+00 
1.492E+00   4.827E+00  3.306E+00 
1.512E+00   4.858E+00  3.306E+00 
1.531E+00   4.889E+00  3.307E+00 
1.551E+00   4.921E+00  3.307E+00 
1.571E+00   4.953E+00  3.307E+00 
1.592E+00   4.985E+00  3.307E+00 
1.612E+00   5.017E+00  3.308E+00 
1.633E+00   5.050E+00  3.308E+00 
1.655E+00   5.083E+00  3.307E+00 
1.676E+00   5.115E+00  3.307E+00 
1.698E+00   5.149E+00  3.307E+00 
1.720E+00   5.182E+00  3.306E+00 
1.742E+00   5.215E+00  3.306E+00 
1.765E+00   5.249E+00  3.305E+00 
1.788E+00   5.283E+00  3.305E+00 
1.811E+00   5.317E+00  3.304E+00 
1.835E+00   5.352E+00  3.303E+00 
1.859E+00   5.387E+00  3.302E+00 
1.883E+00   5.421E+00  3.301E+00 
1.907E+00   5.457E+00  3.300E+00 
1.932E+00   5.492E+00  3.299E+00 
1.957E+00   5.528E+00  3.297E+00 
1.983E+00   5.563E+00  3.296E+00 
2.008E+00   5.599E+00  3.294E+00 
2.034E+00   5.636E+00  3.293E+00 
2.061E+00   5.672E+00  3.291E+00 
2.088E+00   5.709E+00  3.289E+00 
2.115E+00   5.746E+00  3.287E+00 
2.142E+00   5.783E+00  3.285E+00 
2.170E+00   5.821E+00  3.283E+00 
2.198E+00   5.858E+00  3.281E+00 
2.227E+00   5.896E+00  3.279E+00 
2.256E+00   5.934E+00  3.276E+00 
