Ion = Helium      . Mass = 4.0026
Tgt = Fe (Solid). Density = 7.8658 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.670E+00  3.284E+00 
1.013E+00   3.694E+00  3.288E+00 
1.026E+00   3.718E+00  3.291E+00 
1.039E+00   3.742E+00  3.294E+00 
1.053E+00   3.766E+00  3.298E+00 
1.067E+00   3.791E+00  3.301E+00 
1.081E+00   3.815E+00  3.304E+00 
1.095E+00   3.840E+00  3.307E+00 
1.109E+00   3.865E+00  3.310E+00 
1.123E+00   3.890E+00  3.312E+00 
1.138E+00   3.915E+00  3.315E+00 
1.153E+00   3.940E+00  3.318E+00 
1.168E+00   3.966E+00  3.320E+00 
1.183E+00   3.992E+00  3.323E+00 
1.198E+00   4.018E+00  3.325E+00 
1.214E+00   4.044E+00  3.328E+00 
1.229E+00   4.070E+00  3.330E+00 
1.245E+00   4.096E+00  3.332E+00 
1.262E+00   4.123E+00  3.334E+00 
1.278E+00   4.149E+00  3.336E+00 
1.295E+00   4.176E+00  3.338E+00 
1.311E+00   4.203E+00  3.340E+00 
1.329E+00   4.231E+00  3.341E+00 
1.346E+00   4.258E+00  3.343E+00 
1.363E+00   4.286E+00  3.345E+00 
1.381E+00   4.313E+00  3.346E+00 
1.399E+00   4.341E+00  3.347E+00 
1.417E+00   4.369E+00  3.349E+00 
1.436E+00   4.398E+00  3.350E+00 
1.454E+00   4.426E+00  3.351E+00 
1.473E+00   4.455E+00  3.352E+00 
1.492E+00   4.484E+00  3.353E+00 
1.512E+00   4.513E+00  3.354E+00 
1.531E+00   4.542E+00  3.355E+00 
1.551E+00   4.571E+00  3.355E+00 
1.571E+00   4.601E+00  3.356E+00 
1.592E+00   4.631E+00  3.356E+00 
1.612E+00   4.661E+00  3.357E+00 
1.633E+00   4.691E+00  3.357E+00 
1.655E+00   4.721E+00  3.357E+00 
1.676E+00   4.752E+00  3.357E+00 
1.698E+00   4.783E+00  3.357E+00 
1.720E+00   4.814E+00  3.357E+00 
1.742E+00   4.845E+00  3.357E+00 
1.765E+00   4.876E+00  3.357E+00 
1.788E+00   4.908E+00  3.357E+00 
1.811E+00   4.940E+00  3.356E+00 
1.835E+00   4.972E+00  3.356E+00 
1.859E+00   5.004E+00  3.355E+00 
1.883E+00   5.036E+00  3.354E+00 
1.907E+00   5.069E+00  3.354E+00 
1.932E+00   5.102E+00  3.353E+00 
1.957E+00   5.135E+00  3.352E+00 
1.983E+00   5.168E+00  3.351E+00 
2.008E+00   5.201E+00  3.349E+00 
2.034E+00   5.235E+00  3.348E+00 
2.061E+00   5.269E+00  3.347E+00 
2.088E+00   5.303E+00  3.345E+00 
2.115E+00   5.337E+00  3.344E+00 
2.142E+00   5.372E+00  3.342E+00 
2.170E+00   5.407E+00  3.340E+00 
2.198E+00   5.442E+00  3.338E+00 
2.227E+00   5.477E+00  3.336E+00 
2.256E+00   5.513E+00  3.334E+00 
2.285E+00   5.548E+00  3.332E+00 
2.315E+00   5.584E+00  3.330E+00 
2.345E+00   5.620E+00  3.327E+00 
2.375E+00   5.657E+00  3.325E+00 
