Ion = Helium      . Mass = 4.0026
Tgt = Co (Solid). Density = 8.9 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.204E+00  3.200E+00 
1.013E+00   3.225E+00  3.204E+00 
1.026E+00   3.246E+00  3.208E+00 
1.039E+00   3.267E+00  3.211E+00 
1.053E+00   3.288E+00  3.215E+00 
1.067E+00   3.309E+00  3.219E+00 
1.081E+00   3.331E+00  3.222E+00 
1.095E+00   3.352E+00  3.226E+00 
1.109E+00   3.374E+00  3.229E+00 
1.123E+00   3.396E+00  3.232E+00 
1.138E+00   3.418E+00  3.235E+00 
1.153E+00   3.440E+00  3.238E+00 
1.168E+00   3.462E+00  3.241E+00 
1.183E+00   3.485E+00  3.244E+00 
1.198E+00   3.507E+00  3.247E+00 
1.214E+00   3.530E+00  3.250E+00 
1.229E+00   3.553E+00  3.253E+00 
1.245E+00   3.576E+00  3.255E+00 
1.262E+00   3.599E+00  3.258E+00 
1.278E+00   3.623E+00  3.260E+00 
1.295E+00   3.646E+00  3.263E+00 
1.311E+00   3.670E+00  3.265E+00 
1.329E+00   3.693E+00  3.267E+00 
1.346E+00   3.717E+00  3.269E+00 
1.363E+00   3.741E+00  3.271E+00 
1.381E+00   3.766E+00  3.273E+00 
1.399E+00   3.790E+00  3.275E+00 
1.417E+00   3.815E+00  3.277E+00 
1.436E+00   3.839E+00  3.279E+00 
1.454E+00   3.864E+00  3.280E+00 
1.473E+00   3.889E+00  3.282E+00 
1.492E+00   3.914E+00  3.283E+00 
1.512E+00   3.940E+00  3.285E+00 
1.531E+00   3.965E+00  3.286E+00 
1.551E+00   3.991E+00  3.287E+00 
1.571E+00   4.017E+00  3.288E+00 
1.592E+00   4.043E+00  3.289E+00 
1.612E+00   4.069E+00  3.290E+00 
1.633E+00   4.095E+00  3.291E+00 
1.655E+00   4.122E+00  3.292E+00 
1.676E+00   4.149E+00  3.292E+00 
1.698E+00   4.175E+00  3.293E+00 
1.720E+00   4.202E+00  3.293E+00 
1.742E+00   4.230E+00  3.294E+00 
1.765E+00   4.257E+00  3.294E+00 
1.788E+00   4.285E+00  3.294E+00 
1.811E+00   4.312E+00  3.294E+00 
1.835E+00   4.340E+00  3.294E+00 
1.859E+00   4.368E+00  3.294E+00 
1.883E+00   4.397E+00  3.294E+00 
1.907E+00   4.425E+00  3.293E+00 
1.932E+00   4.454E+00  3.293E+00 
1.957E+00   4.483E+00  3.292E+00 
1.983E+00   4.512E+00  3.292E+00 
2.008E+00   4.541E+00  3.291E+00 
2.034E+00   4.570E+00  3.290E+00 
2.061E+00   4.600E+00  3.290E+00 
2.088E+00   4.630E+00  3.289E+00 
2.115E+00   4.660E+00  3.288E+00 
2.142E+00   4.690E+00  3.286E+00 
2.170E+00   4.720E+00  3.285E+00 
2.198E+00   4.751E+00  3.284E+00 
2.227E+00   4.782E+00  3.282E+00 
2.256E+00   4.813E+00  3.281E+00 
2.285E+00   4.844E+00  3.279E+00 
2.315E+00   4.875E+00  3.277E+00 
2.345E+00   4.907E+00  3.276E+00 
2.375E+00   4.939E+00  3.274E+00 
2.406E+00   4.971E+00  3.272E+00 
2.438E+00   5.003E+00  3.269E+00 
2.469E+00   5.035E+00  3.267E+00 
2.501E+00   5.068E+00  3.265E+00 
2.534E+00   5.101E+00  3.262E+00 
2.567E+00   5.134E+00  3.260E+00 
2.600E+00   5.167E+00  3.257E+00 
2.634E+00   5.200E+00  3.255E+00 
2.668E+00   5.234E+00  3.252E+00 
2.703E+00   5.268E+00  3.249E+00 
2.738E+00   5.302E+00  3.246E+00 
2.773E+00   5.336E+00  3.243E+00 
2.810E+00   5.371E+00  3.240E+00 
2.846E+00   5.406E+00  3.236E+00 
