Ion = Helium      . Mass = 4.0026
Tgt = Ni (Solid). Density = 8.8955 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.340E+00  3.256E+00 
1.013E+00   3.361E+00  3.260E+00 
1.026E+00   3.383E+00  3.264E+00 
1.039E+00   3.405E+00  3.268E+00 
1.053E+00   3.427E+00  3.271E+00 
1.067E+00   3.449E+00  3.275E+00 
1.081E+00   3.471E+00  3.279E+00 
1.095E+00   3.494E+00  3.282E+00 
1.109E+00   3.517E+00  3.285E+00 
1.123E+00   3.539E+00  3.289E+00 
1.138E+00   3.562E+00  3.292E+00 
1.153E+00   3.585E+00  3.295E+00 
1.168E+00   3.609E+00  3.298E+00 
1.183E+00   3.632E+00  3.301E+00 
1.198E+00   3.655E+00  3.304E+00 
1.214E+00   3.679E+00  3.307E+00 
1.229E+00   3.703E+00  3.310E+00 
1.245E+00   3.727E+00  3.313E+00 
1.262E+00   3.751E+00  3.315E+00 
1.278E+00   3.775E+00  3.318E+00 
1.295E+00   3.800E+00  3.320E+00 
1.311E+00   3.824E+00  3.323E+00 
1.329E+00   3.849E+00  3.325E+00 
1.346E+00   3.874E+00  3.327E+00 
1.363E+00   3.899E+00  3.329E+00 
1.381E+00   3.924E+00  3.331E+00 
1.399E+00   3.950E+00  3.333E+00 
1.417E+00   3.975E+00  3.335E+00 
1.436E+00   4.001E+00  3.337E+00 
1.454E+00   4.027E+00  3.339E+00 
1.473E+00   4.053E+00  3.340E+00 
1.492E+00   4.080E+00  3.342E+00 
1.512E+00   4.106E+00  3.343E+00 
1.531E+00   4.133E+00  3.345E+00 
1.551E+00   4.159E+00  3.346E+00 
1.571E+00   4.186E+00  3.347E+00 
1.592E+00   4.213E+00  3.348E+00 
1.612E+00   4.241E+00  3.349E+00 
1.633E+00   4.268E+00  3.350E+00 
1.655E+00   4.296E+00  3.351E+00 
1.676E+00   4.324E+00  3.352E+00 
1.698E+00   4.352E+00  3.353E+00 
1.720E+00   4.380E+00  3.353E+00 
1.742E+00   4.408E+00  3.354E+00 
1.765E+00   4.437E+00  3.354E+00 
1.788E+00   4.465E+00  3.354E+00 
1.811E+00   4.494E+00  3.355E+00 
1.835E+00   4.523E+00  3.355E+00 
1.859E+00   4.553E+00  3.355E+00 
1.883E+00   4.582E+00  3.355E+00 
1.907E+00   4.612E+00  3.355E+00 
1.932E+00   4.642E+00  3.354E+00 
1.957E+00   4.672E+00  3.354E+00 
1.983E+00   4.702E+00  3.354E+00 
2.008E+00   4.733E+00  3.353E+00 
2.034E+00   4.763E+00  3.352E+00 
2.061E+00   4.794E+00  3.352E+00 
2.088E+00   4.825E+00  3.351E+00 
2.115E+00   4.856E+00  3.350E+00 
2.142E+00   4.888E+00  3.349E+00 
2.170E+00   4.920E+00  3.348E+00 
2.198E+00   4.951E+00  3.347E+00 
2.227E+00   4.983E+00  3.345E+00 
2.256E+00   5.016E+00  3.344E+00 
2.285E+00   5.048E+00  3.343E+00 
2.315E+00   5.081E+00  3.341E+00 
2.345E+00   5.114E+00  3.339E+00 
2.375E+00   5.147E+00  3.338E+00 
2.406E+00   5.180E+00  3.336E+00 
2.438E+00   5.214E+00  3.334E+00 
2.469E+00   5.248E+00  3.332E+00 
2.501E+00   5.282E+00  3.330E+00 
2.534E+00   5.316E+00  3.327E+00 
2.567E+00   5.350E+00  3.325E+00 
2.600E+00   5.385E+00  3.323E+00 
2.634E+00   5.420E+00  3.320E+00 
2.668E+00   5.455E+00  3.317E+00 
2.703E+00   5.490E+00  3.315E+00 
2.738E+00   5.526E+00  3.312E+00 
2.773E+00   5.562E+00  3.309E+00 
2.810E+00   5.598E+00  3.306E+00 
2.846E+00   5.634E+00  3.303E+00 
2.883E+00   5.670E+00  3.300E+00 
2.921E+00   5.707E+00  3.296E+00 
2.958E+00   5.744E+00  3.293E+00 
2.997E+00   5.781E+00  3.289E+00 
3.036E+00   5.819E+00  3.286E+00 
3.075E+00   5.856E+00  3.282E+00 
3.115E+00   5.894E+00  3.278E+00 
3.156E+00   5.933E+00  3.274E+00 
3.197E+00   5.971E+00  3.270E+00 
3.238E+00   6.010E+00  3.266E+00 
3.280E+00   6.049E+00  3.262E+00 
3.323E+00   6.088E+00  3.258E+00 
3.366E+00   6.127E+00  3.254E+00 
3.410E+00   6.167E+00  3.249E+00 
3.454E+00   6.207E+00  3.245E+00 
3.499E+00   6.247E+00  3.240E+00 
3.545E+00   6.287E+00  3.235E+00 
3.591E+00   6.328E+00  3.230E+00 
3.637E+00   6.369E+00  3.225E+00 
3.685E+00   6.410E+00  3.220E+00 
3.733E+00   6.452E+00  3.215E+00 
3.781E+00   6.494E+00  3.210E+00 
3.830E+00   6.536E+00  3.205E+00 
3.880E+00   6.578E+00  3.199E+00 
3.930E+00   6.621E+00  3.194E+00 
3.982E+00   6.664E+00  3.188E+00 
4.033E+00   6.707E+00  3.182E+00 
4.086E+00   6.750E+00  3.177E+00 
4.139E+00   6.794E+00  3.171E+00 
