Ion = Helium      . Mass = 4.0026
Tgt = Cu (Solid). Density = 8.92 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   2.796E+00  3.101E+00 
1.013E+00   2.814E+00  3.105E+00 
1.026E+00   2.833E+00  3.109E+00 
1.039E+00   2.851E+00  3.113E+00 
1.053E+00   2.870E+00  3.117E+00 
1.067E+00   2.888E+00  3.121E+00 
1.081E+00   2.907E+00  3.124E+00 
1.095E+00   2.926E+00  3.128E+00 
1.109E+00   2.945E+00  3.132E+00 
1.123E+00   2.964E+00  3.135E+00 
1.138E+00   2.983E+00  3.139E+00 
1.153E+00   3.002E+00  3.142E+00 
1.168E+00   3.022E+00  3.145E+00 
1.183E+00   3.041E+00  3.149E+00 
1.198E+00   3.061E+00  3.152E+00 
1.214E+00   3.081E+00  3.155E+00 
1.229E+00   3.101E+00  3.158E+00 
1.245E+00   3.121E+00  3.161E+00 
1.262E+00   3.141E+00  3.164E+00 
1.278E+00   3.161E+00  3.166E+00 
1.295E+00   3.182E+00  3.169E+00 
1.311E+00   3.202E+00  3.172E+00 
1.329E+00   3.223E+00  3.174E+00 
1.346E+00   3.244E+00  3.177E+00 
1.363E+00   3.265E+00  3.179E+00 
1.381E+00   3.286E+00  3.181E+00 
1.399E+00   3.307E+00  3.184E+00 
1.417E+00   3.329E+00  3.186E+00 
1.436E+00   3.350E+00  3.188E+00 
1.454E+00   3.372E+00  3.190E+00 
1.473E+00   3.394E+00  3.192E+00 
1.492E+00   3.416E+00  3.193E+00 
1.512E+00   3.438E+00  3.195E+00 
1.531E+00   3.460E+00  3.197E+00 
1.551E+00   3.483E+00  3.198E+00 
1.571E+00   3.505E+00  3.200E+00 
1.592E+00   3.528E+00  3.201E+00 
1.612E+00   3.551E+00  3.203E+00 
1.633E+00   3.574E+00  3.204E+00 
1.655E+00   3.597E+00  3.205E+00 
1.676E+00   3.620E+00  3.206E+00 
1.698E+00   3.644E+00  3.207E+00 
1.720E+00   3.667E+00  3.208E+00 
1.742E+00   3.691E+00  3.209E+00 
1.765E+00   3.715E+00  3.209E+00 
1.788E+00   3.739E+00  3.210E+00 
1.811E+00   3.763E+00  3.211E+00 
1.835E+00   3.788E+00  3.211E+00 
1.859E+00   3.812E+00  3.211E+00 
1.883E+00   3.837E+00  3.212E+00 
1.907E+00   3.862E+00  3.212E+00 
1.932E+00   3.887E+00  3.212E+00 
1.957E+00   3.912E+00  3.212E+00 
1.983E+00   3.937E+00  3.212E+00 
2.008E+00   3.963E+00  3.212E+00 
2.034E+00   3.989E+00  3.212E+00 
