Ion = Helium      . Mass = 4.0026
Tgt = Li (Solid). Density = .534 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   1.127E+00  2.476E+00 
1.013E+00   1.134E+00  2.467E+00 
1.026E+00   1.141E+00  2.458E+00 
1.039E+00   1.149E+00  2.448E+00 
1.053E+00   1.156E+00  2.439E+00 
1.067E+00   1.164E+00  2.429E+00 
1.081E+00   1.171E+00  2.419E+00 
1.095E+00   1.179E+00  2.410E+00 
1.109E+00   1.186E+00  2.400E+00 
1.123E+00   1.194E+00  2.390E+00 
1.138E+00   1.202E+00  2.380E+00 
1.153E+00   1.209E+00  2.370E+00 
1.168E+00   1.217E+00  2.361E+00 
1.183E+00   1.225E+00  2.351E+00 
1.198E+00   1.233E+00  2.341E+00 
1.214E+00   1.241E+00  2.331E+00 
1.229E+00   1.249E+00  2.321E+00 
1.245E+00   1.257E+00  2.310E+00 
1.262E+00   1.265E+00  2.300E+00 
1.278E+00   1.274E+00  2.290E+00 
1.295E+00   1.282E+00  2.280E+00 
1.311E+00   1.290E+00  2.270E+00 
1.329E+00   1.299E+00  2.260E+00 
1.346E+00   1.307E+00  2.249E+00 
1.363E+00   1.315E+00  2.239E+00 
1.381E+00   1.324E+00  2.229E+00 
1.399E+00   1.332E+00  2.218E+00 
1.417E+00   1.341E+00  2.208E+00 
1.436E+00   1.350E+00  2.197E+00 
1.454E+00   1.359E+00  2.187E+00 
1.473E+00   1.367E+00  2.177E+00 
1.492E+00   1.376E+00  2.166E+00 
1.512E+00   1.385E+00  2.156E+00 
1.531E+00   1.394E+00  2.145E+00 
1.551E+00   1.403E+00  2.134E+00 
1.571E+00   1.412E+00  2.124E+00 
1.592E+00   1.421E+00  2.113E+00 
1.612E+00   1.431E+00  2.103E+00 
1.633E+00   1.440E+00  2.092E+00 
1.655E+00   1.449E+00  2.082E+00 
1.676E+00   1.459E+00  2.071E+00 
1.698E+00   1.468E+00  2.060E+00 
1.720E+00   1.477E+00  2.050E+00 
1.742E+00   1.487E+00  2.039E+00 
1.765E+00   1.497E+00  2.028E+00 
1.788E+00   1.506E+00  2.018E+00 
1.811E+00   1.516E+00  2.007E+00 
1.835E+00   1.526E+00  1.996E+00 
1.859E+00   1.536E+00  1.986E+00 
1.883E+00   1.546E+00  1.975E+00 
1.907E+00   1.556E+00  1.964E+00 
1.932E+00   1.566E+00  1.953E+00 
1.957E+00   1.576E+00  1.943E+00 
1.983E+00   1.586E+00  1.932E+00 
2.008E+00   1.597E+00  1.921E+00 
2.034E+00   1.607E+00  1.911E+00 
2.061E+00   1.617E+00  1.900E+00 
2.088E+00   1.628E+00  1.889E+00 
2.115E+00   1.638E+00  1.879E+00 
2.142E+00   1.649E+00  1.868E+00 
2.170E+00   1.660E+00  1.857E+00 
2.198E+00   1.670E+00  1.847E+00 
2.227E+00   1.681E+00  1.836E+00 
2.256E+00   1.692E+00  1.825E+00 
