Ion = Helium      . Mass = 4.0026
Tgt = Zn (Solid). Density = 7.14 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.446E+00  3.021E+00 
1.013E+00   3.468E+00  3.025E+00 
1.026E+00   3.490E+00  3.029E+00 
1.039E+00   3.513E+00  3.033E+00 
1.053E+00   3.536E+00  3.037E+00 
1.067E+00   3.559E+00  3.041E+00 
1.081E+00   3.582E+00  3.045E+00 
1.095E+00   3.605E+00  3.049E+00 
1.109E+00   3.628E+00  3.053E+00 
1.123E+00   3.652E+00  3.057E+00 
1.138E+00   3.675E+00  3.060E+00 
1.153E+00   3.699E+00  3.064E+00 
1.168E+00   3.723E+00  3.068E+00 
1.183E+00   3.747E+00  3.071E+00 
1.198E+00   3.772E+00  3.074E+00 
1.214E+00   3.796E+00  3.078E+00 
1.229E+00   3.821E+00  3.081E+00 
1.245E+00   3.845E+00  3.084E+00 
1.262E+00   3.870E+00  3.087E+00 
1.278E+00   3.895E+00  3.090E+00 
1.295E+00   3.920E+00  3.093E+00 
1.311E+00   3.946E+00  3.096E+00 
1.329E+00   3.971E+00  3.099E+00 
1.346E+00   3.997E+00  3.102E+00 
1.363E+00   4.023E+00  3.105E+00 
1.381E+00   4.049E+00  3.107E+00 
1.399E+00   4.075E+00  3.110E+00 
1.417E+00   4.102E+00  3.112E+00 
1.436E+00   4.128E+00  3.115E+00 
1.454E+00   4.155E+00  3.117E+00 
1.473E+00   4.182E+00  3.119E+00 
1.492E+00   4.209E+00  3.121E+00 
1.512E+00   4.236E+00  3.123E+00 
1.531E+00   4.264E+00  3.125E+00 
1.551E+00   4.291E+00  3.127E+00 
1.571E+00   4.319E+00  3.129E+00 
1.592E+00   4.347E+00  3.131E+00 
1.612E+00   4.375E+00  3.133E+00 
1.633E+00   4.404E+00  3.134E+00 
1.655E+00   4.432E+00  3.136E+00 
1.676E+00   4.461E+00  3.137E+00 
1.698E+00   4.490E+00  3.138E+00 
1.720E+00   4.519E+00  3.140E+00 
1.742E+00   4.548E+00  3.141E+00 
1.765E+00   4.578E+00  3.142E+00 
1.788E+00   4.607E+00  3.143E+00 
1.811E+00   4.637E+00  3.144E+00 
1.835E+00   4.667E+00  3.145E+00 
1.859E+00   4.697E+00  3.146E+00 
1.883E+00   4.728E+00  3.146E+00 
1.907E+00   4.758E+00  3.147E+00 
1.932E+00   4.789E+00  3.147E+00 
1.957E+00   4.820E+00  3.148E+00 
1.983E+00   4.851E+00  3.148E+00 
2.008E+00   4.883E+00  3.148E+00 
2.034E+00   4.914E+00  3.149E+00 
2.061E+00   4.946E+00  3.149E+00 
2.088E+00   4.978E+00  3.149E+00 
2.115E+00   5.011E+00  3.149E+00 
2.142E+00   5.043E+00  3.148E+00 
2.170E+00   5.076E+00  3.148E+00 
2.198E+00   5.109E+00  3.148E+00 
2.227E+00   5.142E+00  3.147E+00 
2.256E+00   5.175E+00  3.147E+00 
2.285E+00   5.209E+00  3.146E+00 
2.315E+00   5.242E+00  3.146E+00 
2.345E+00   5.276E+00  3.145E+00 
2.375E+00   5.310E+00  3.144E+00 
2.406E+00   5.345E+00  3.143E+00 
2.438E+00   5.379E+00  3.142E+00 
2.469E+00   5.414E+00  3.141E+00 
2.501E+00   5.449E+00  3.139E+00 
2.534E+00   5.485E+00  3.138E+00 
2.567E+00   5.520E+00  3.137E+00 
2.600E+00   5.556E+00  3.135E+00 
2.634E+00   5.592E+00  3.133E+00 
2.668E+00   5.628E+00  3.132E+00 
2.703E+00   5.665E+00  3.130E+00 
2.738E+00   5.701E+00  3.128E+00 
2.773E+00   5.738E+00  3.126E+00 
2.810E+00   5.775E+00  3.124E+00 
2.846E+00   5.813E+00  3.122E+00 
2.883E+00   5.850E+00  3.120E+00 
2.921E+00   5.888E+00  3.117E+00 
2.958E+00   5.926E+00  3.115E+00 
2.997E+00   5.965E+00  3.112E+00 
3.036E+00   6.003E+00  3.110E+00 
3.075E+00   6.042E+00  3.107E+00 
3.115E+00   6.081E+00  3.104E+00 
3.156E+00   6.121E+00  3.101E+00 
3.197E+00   6.161E+00  3.098E+00 
3.238E+00   6.200E+00  3.095E+00 
3.280E+00   6.241E+00  3.092E+00 
3.323E+00   6.281E+00  3.089E+00 
3.366E+00   6.322E+00  3.085E+00 
3.410E+00   6.363E+00  3.082E+00 
3.454E+00   6.404E+00  3.078E+00 
3.499E+00   6.445E+00  3.075E+00 
3.545E+00   6.487E+00  3.071E+00 
