Ion = Helium      . Mass = 4.0026
Tgt = Ga (Solid). Density = 5.904 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.228E+00  2.906E+00 
1.013E+00   3.249E+00  2.911E+00 
1.026E+00   3.270E+00  2.916E+00 
1.039E+00   3.291E+00  2.920E+00 
1.053E+00   3.312E+00  2.925E+00 
1.067E+00   3.334E+00  2.929E+00 
1.081E+00   3.355E+00  2.933E+00 
1.095E+00   3.377E+00  2.938E+00 
1.109E+00   3.399E+00  2.942E+00 
1.123E+00   3.421E+00  2.946E+00 
1.138E+00   3.443E+00  2.950E+00 
1.153E+00   3.465E+00  2.954E+00 
1.168E+00   3.488E+00  2.958E+00 
1.183E+00   3.510E+00  2.962E+00 
1.198E+00   3.533E+00  2.966E+00 
1.214E+00   3.556E+00  2.970E+00 
1.229E+00   3.579E+00  2.974E+00 
1.245E+00   3.602E+00  2.978E+00 
1.262E+00   3.625E+00  2.981E+00 
1.278E+00   3.649E+00  2.985E+00 
1.295E+00   3.673E+00  2.988E+00 
1.311E+00   3.696E+00  2.991E+00 
1.329E+00   3.720E+00  2.995E+00 
1.346E+00   3.744E+00  2.998E+00 
1.363E+00   3.769E+00  3.001E+00 
1.381E+00   3.793E+00  3.004E+00 
1.399E+00   3.818E+00  3.007E+00 
1.417E+00   3.842E+00  3.010E+00 
1.436E+00   3.867E+00  3.013E+00 
1.454E+00   3.892E+00  3.016E+00 
1.473E+00   3.917E+00  3.019E+00 
1.492E+00   3.943E+00  3.021E+00 
1.512E+00   3.968E+00  3.024E+00 
1.531E+00   3.994E+00  3.027E+00 
1.551E+00   4.020E+00  3.029E+00 
1.571E+00   4.046E+00  3.031E+00 
1.592E+00   4.072E+00  3.034E+00 
1.612E+00   4.099E+00  3.036E+00 
1.633E+00   4.125E+00  3.038E+00 
1.655E+00   4.152E+00  3.040E+00 
1.676E+00   4.179E+00  3.042E+00 
1.698E+00   4.206E+00  3.044E+00 
1.720E+00   4.233E+00  3.046E+00 
1.742E+00   4.260E+00  3.047E+00 
1.765E+00   4.288E+00  3.049E+00 
1.788E+00   4.316E+00  3.050E+00 
1.811E+00   4.344E+00  3.052E+00 
1.835E+00   4.372E+00  3.053E+00 
1.859E+00   4.400E+00  3.055E+00 
1.883E+00   4.429E+00  3.056E+00 
1.907E+00   4.457E+00  3.057E+00 
1.932E+00   4.486E+00  3.058E+00 
1.957E+00   4.515E+00  3.059E+00 
1.983E+00   4.545E+00  3.060E+00 
2.008E+00   4.574E+00  3.061E+00 
2.034E+00   4.604E+00  3.061E+00 
2.061E+00   4.633E+00  3.062E+00 
2.088E+00   4.664E+00  3.063E+00 
2.115E+00   4.694E+00  3.063E+00 
2.142E+00   4.724E+00  3.063E+00 
2.170E+00   4.755E+00  3.064E+00 
2.198E+00   4.786E+00  3.064E+00 
2.227E+00   4.817E+00  3.064E+00 
2.256E+00   4.848E+00  3.064E+00 
2.285E+00   4.879E+00  3.064E+00 
2.315E+00   4.911E+00  3.064E+00 
2.345E+00   4.943E+00  3.064E+00 
2.375E+00   4.975E+00  3.063E+00 
2.406E+00   5.007E+00  3.063E+00 
2.438E+00   5.039E+00  3.062E+00 
2.469E+00   5.072E+00  3.062E+00 
2.501E+00   5.105E+00  3.061E+00 
2.534E+00   5.138E+00  3.060E+00 
2.567E+00   5.171E+00  3.059E+00 
2.600E+00   5.205E+00  3.058E+00 
2.634E+00   5.238E+00  3.057E+00 
2.668E+00   5.272E+00  3.056E+00 
2.703E+00   5.306E+00  3.055E+00 
2.738E+00   5.341E+00  3.054E+00 
2.773E+00   5.375E+00  3.052E+00 
2.810E+00   5.410E+00  3.051E+00 
2.846E+00   5.445E+00  3.049E+00 
2.883E+00   5.480E+00  3.047E+00 
2.921E+00   5.516E+00  3.045E+00 
