Ion = Helium      . Mass = 4.0026
Tgt = Ge (Solid). Density = 5.35 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.887E+00  2.824E+00 
1.013E+00   4.919E+00  2.829E+00 
1.026E+00   4.951E+00  2.834E+00 
1.039E+00   4.983E+00  2.839E+00 
1.053E+00   5.015E+00  2.843E+00 
1.067E+00   5.047E+00  2.848E+00 
1.081E+00   5.080E+00  2.852E+00 
1.095E+00   5.113E+00  2.857E+00 
1.109E+00   5.146E+00  2.861E+00 
1.123E+00   5.179E+00  2.866E+00 
1.138E+00   5.213E+00  2.870E+00 
1.153E+00   5.247E+00  2.874E+00 
1.168E+00   5.281E+00  2.878E+00 
1.183E+00   5.315E+00  2.882E+00 
1.198E+00   5.349E+00  2.886E+00 
1.214E+00   5.384E+00  2.890E+00 
1.229E+00   5.419E+00  2.894E+00 
1.245E+00   5.454E+00  2.898E+00 
1.262E+00   5.489E+00  2.902E+00 
1.278E+00   5.525E+00  2.906E+00 
1.295E+00   5.561E+00  2.909E+00 
1.311E+00   5.597E+00  2.913E+00 
1.329E+00   5.633E+00  2.916E+00 
1.346E+00   5.669E+00  2.920E+00 
1.363E+00   5.706E+00  2.923E+00 
1.381E+00   5.743E+00  2.927E+00 
1.399E+00   5.780E+00  2.930E+00 
1.417E+00   5.818E+00  2.933E+00 
1.436E+00   5.855E+00  2.936E+00 
1.454E+00   5.893E+00  2.939E+00 
1.473E+00   5.932E+00  2.942E+00 
1.492E+00   5.970E+00  2.945E+00 
1.512E+00   6.009E+00  2.948E+00 
1.531E+00   6.048E+00  2.950E+00 
1.551E+00   6.087E+00  2.953E+00 
1.571E+00   6.126E+00  2.956E+00 
1.592E+00   6.166E+00  2.958E+00 
1.612E+00   6.206E+00  2.961E+00 
1.633E+00   6.246E+00  2.963E+00 
1.655E+00   6.286E+00  2.965E+00 
1.676E+00   6.327E+00  2.968E+00 
1.698E+00   6.368E+00  2.970E+00 
1.720E+00   6.409E+00  2.972E+00 
1.742E+00   6.451E+00  2.974E+00 
1.765E+00   6.493E+00  2.976E+00 
1.788E+00   6.535E+00  2.978E+00 
1.811E+00   6.577E+00  2.979E+00 
1.835E+00   6.620E+00  2.981E+00 
1.859E+00   6.663E+00  2.983E+00 
1.883E+00   6.706E+00  2.984E+00 
1.907E+00   6.749E+00  2.986E+00 
1.932E+00   6.793E+00  2.987E+00 
1.957E+00   6.837E+00  2.988E+00 
1.983E+00   6.881E+00  2.989E+00 
2.008E+00   6.926E+00  2.990E+00 
2.034E+00   6.971E+00  2.992E+00 
2.061E+00   7.016E+00  2.992E+00 
2.088E+00   7.061E+00  2.993E+00 
2.115E+00   7.107E+00  2.994E+00 
2.142E+00   7.153E+00  2.995E+00 
2.170E+00   7.199E+00  2.995E+00 
2.198E+00   7.246E+00  2.996E+00 
2.227E+00   7.293E+00  2.996E+00 
2.256E+00   7.340E+00  2.997E+00 
2.285E+00   7.388E+00  2.997E+00 
2.315E+00   7.435E+00  2.997E+00 
2.345E+00   7.484E+00  2.997E+00 
2.375E+00   7.532E+00  2.997E+00 
2.406E+00   7.581E+00  2.997E+00 
2.438E+00   7.630E+00  2.997E+00 
2.469E+00   7.679E+00  2.997E+00 
2.501E+00   7.729E+00  2.996E+00 
2.534E+00   7.779E+00  2.996E+00 
2.567E+00   7.830E+00  2.995E+00 
2.600E+00   7.880E+00  2.995E+00 
2.634E+00   7.931E+00  2.994E+00 
2.668E+00   7.983E+00  2.993E+00 
2.703E+00   8.034E+00  2.993E+00 
2.738E+00   8.087E+00  2.992E+00 
2.773E+00   8.139E+00  2.991E+00 
2.810E+00   8.192E+00  2.989E+00 
2.846E+00   8.245E+00  2.988E+00 
2.883E+00   8.298E+00  2.987E+00 
2.921E+00   8.352E+00  2.985E+00 
2.958E+00   8.406E+00  2.984E+00 
2.997E+00   8.460E+00  2.982E+00 
3.036E+00   8.515E+00  2.981E+00 
3.075E+00   8.570E+00  2.979E+00 
3.115E+00   8.626E+00  2.977E+00 
3.156E+00   8.682E+00  2.975E+00 
3.197E+00   8.738E+00  2.973E+00 
3.238E+00   8.795E+00  2.971E+00 
3.280E+00   8.851E+00  2.969E+00 
3.323E+00   8.909E+00  2.966E+00 
3.366E+00   8.967E+00  2.964E+00 
3.410E+00   9.025E+00  2.961E+00 
3.454E+00   9.083E+00  2.959E+00 
3.499E+00   9.142E+00  2.956E+00 
3.545E+00   9.201E+00  2.953E+00 
3.591E+00   9.261E+00  2.950E+00 
3.637E+00   9.321E+00  2.947E+00 
3.685E+00   9.381E+00  2.944E+00 
3.733E+00   9.442E+00  2.941E+00 
3.781E+00   9.503E+00  2.938E+00 
3.830E+00   9.565E+00  2.935E+00 
3.880E+00   9.626E+00  2.931E+00 
3.930E+00   9.689E+00  2.928E+00 
3.982E+00   9.752E+00  2.924E+00 
4.033E+00   9.815E+00  2.921E+00 
4.086E+00   9.878E+00  2.917E+00 
4.139E+00   9.942E+00  2.913E+00 
4.193E+00   1.001E+01  2.909E+00 
4.247E+00   1.007E+01  2.905E+00 
4.302E+00   1.014E+01  2.901E+00 
4.358E+00   1.020E+01  2.896E+00 
4.415E+00   1.027E+01  2.892E+00 
4.472E+00   1.034E+01  2.888E+00 
4.530E+00   1.040E+01  2.883E+00 
4.589E+00   1.047E+01  2.879E+00 
4.649E+00   1.054E+01  2.874E+00 
4.709E+00   1.061E+01  2.869E+00 
4.770E+00   1.067E+01  2.864E+00 
4.832E+00   1.074E+01  2.859E+00 
4.895E+00   1.081E+01  2.854E+00 
4.959E+00   1.088E+01  2.849E+00 
5.023E+00   1.095E+01  2.844E+00 
5.089E+00   1.102E+01  2.839E+00 
5.155E+00   1.110E+01  2.834E+00 
5.222E+00   1.117E+01  2.828E+00 
5.290E+00   1.124E+01  2.823E+00 
5.358E+00   1.131E+01  2.817E+00 
5.428E+00   1.139E+01  2.811E+00 
5.499E+00   1.146E+01  2.805E+00 
5.570E+00   1.153E+01  2.800E+00 
5.642E+00   1.161E+01  2.794E+00 
5.716E+00   1.168E+01  2.788E+00 
5.790E+00   1.176E+01  2.781E+00 
5.865E+00   1.184E+01  2.775E+00 
5.942E+00   1.191E+01  2.769E+00 
6.019E+00   1.199E+01  2.763E+00 
6.097E+00   1.207E+01  2.756E+00 
6.176E+00   1.215E+01  2.750E+00 
6.256E+00   1.222E+01  2.743E+00 
