Ion = Helium      . Mass = 4.0026
Tgt = As (Solid). Density = 5.727 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.728E+00  2.757E+00 
1.013E+00   4.759E+00  2.762E+00 
1.026E+00   4.789E+00  2.767E+00 
1.039E+00   4.820E+00  2.771E+00 
1.053E+00   4.852E+00  2.776E+00 
1.067E+00   4.883E+00  2.780E+00 
1.081E+00   4.915E+00  2.785E+00 
1.095E+00   4.946E+00  2.789E+00 
1.109E+00   4.979E+00  2.793E+00 
1.123E+00   5.011E+00  2.797E+00 
1.138E+00   5.043E+00  2.802E+00 
1.153E+00   5.076E+00  2.806E+00 
1.168E+00   5.109E+00  2.810E+00 
1.183E+00   5.142E+00  2.814E+00 
1.198E+00   5.175E+00  2.818E+00 
1.214E+00   5.209E+00  2.821E+00 
1.229E+00   5.242E+00  2.825E+00 
1.245E+00   5.276E+00  2.829E+00 
1.262E+00   5.311E+00  2.833E+00 
1.278E+00   5.345E+00  2.836E+00 
1.295E+00   5.380E+00  2.840E+00 
1.311E+00   5.414E+00  2.843E+00 
1.329E+00   5.450E+00  2.847E+00 
1.346E+00   5.485E+00  2.850E+00 
1.363E+00   5.520E+00  2.853E+00 
1.381E+00   5.556E+00  2.857E+00 
1.399E+00   5.592E+00  2.860E+00 
1.417E+00   5.628E+00  2.863E+00 
1.436E+00   5.665E+00  2.866E+00 
1.454E+00   5.701E+00  2.869E+00 
1.473E+00   5.738E+00  2.872E+00 
1.492E+00   5.776E+00  2.875E+00 
1.512E+00   5.813E+00  2.877E+00 
1.531E+00   5.851E+00  2.880E+00 
1.551E+00   5.889E+00  2.883E+00 
1.571E+00   5.927E+00  2.885E+00 
1.592E+00   5.965E+00  2.888E+00 
1.612E+00   6.004E+00  2.890E+00 
1.633E+00   6.043E+00  2.893E+00 
1.655E+00   6.082E+00  2.895E+00 
1.676E+00   6.121E+00  2.897E+00 
1.698E+00   6.161E+00  2.899E+00 
1.720E+00   6.201E+00  2.901E+00 
1.742E+00   6.241E+00  2.903E+00 
1.765E+00   6.281E+00  2.905E+00 
1.788E+00   6.322E+00  2.907E+00 
1.811E+00   6.363E+00  2.909E+00 
1.835E+00   6.404E+00  2.911E+00 
1.859E+00   6.446E+00  2.912E+00 
1.883E+00   6.487E+00  2.914E+00 
1.907E+00   6.529E+00  2.915E+00 
1.932E+00   6.572E+00  2.917E+00 
1.957E+00   6.614E+00  2.918E+00 
1.983E+00   6.657E+00  2.919E+00 
2.008E+00   6.700E+00  2.920E+00 
2.034E+00   6.744E+00  2.921E+00 
2.061E+00   6.787E+00  2.922E+00 
2.088E+00   6.831E+00  2.923E+00 
2.115E+00   6.875E+00  2.924E+00 
2.142E+00   6.920E+00  2.925E+00 
2.170E+00   6.965E+00  2.926E+00 
2.198E+00   7.010E+00  2.926E+00 
2.227E+00   7.055E+00  2.927E+00 
2.256E+00   7.101E+00  2.927E+00 
2.285E+00   7.147E+00  2.928E+00 
2.315E+00   7.193E+00  2.928E+00 
2.345E+00   7.240E+00  2.928E+00 
2.375E+00   7.287E+00  2.928E+00 
2.406E+00   7.334E+00  2.928E+00 
2.438E+00   7.381E+00  2.928E+00 
2.469E+00   7.429E+00  2.928E+00 
2.501E+00   7.477E+00  2.928E+00 
2.534E+00   7.526E+00  2.928E+00 
2.567E+00   7.575E+00  2.927E+00 
2.600E+00   7.624E+00  2.927E+00 
2.634E+00   7.673E+00  2.926E+00 
2.668E+00   7.723E+00  2.926E+00 
2.703E+00   7.773E+00  2.925E+00 
2.738E+00   7.823E+00  2.924E+00 
2.773E+00   7.874E+00  2.923E+00 
2.810E+00   7.925E+00  2.922E+00 
2.846E+00   7.976E+00  2.921E+00 
2.883E+00   8.028E+00  2.920E+00 
2.921E+00   8.080E+00  2.919E+00 
2.958E+00   8.132E+00  2.918E+00 
2.997E+00   8.185E+00  2.916E+00 
3.036E+00   8.238E+00  2.915E+00 
3.075E+00   8.291E+00  2.913E+00 
3.115E+00   8.345E+00  2.912E+00 
3.156E+00   8.399E+00  2.910E+00 
3.197E+00   8.453E+00  2.908E+00 
3.238E+00   8.508E+00  2.906E+00 
3.280E+00   8.563E+00  2.904E+00 
3.323E+00   8.619E+00  2.902E+00 
3.366E+00   8.674E+00  2.900E+00 
