Ion = Helium      . Mass = 4.0026
Tgt = Se (Solid). Density = 4.81 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.141E+00  2.662E+00 
1.013E+00   4.167E+00  2.666E+00 
1.026E+00   4.194E+00  2.671E+00 
1.039E+00   4.222E+00  2.675E+00 
1.053E+00   4.249E+00  2.680E+00 
1.067E+00   4.277E+00  2.684E+00 
1.081E+00   4.304E+00  2.689E+00 
1.095E+00   4.332E+00  2.693E+00 
1.109E+00   4.360E+00  2.697E+00 
1.123E+00   4.388E+00  2.702E+00 
1.138E+00   4.417E+00  2.706E+00 
1.153E+00   4.445E+00  2.710E+00 
1.168E+00   4.474E+00  2.714E+00 
1.183E+00   4.503E+00  2.718E+00 
1.198E+00   4.532E+00  2.722E+00 
1.214E+00   4.562E+00  2.726E+00 
1.229E+00   4.591E+00  2.730E+00 
1.245E+00   4.621E+00  2.734E+00 
1.262E+00   4.651E+00  2.737E+00 
1.278E+00   4.681E+00  2.741E+00 
1.295E+00   4.711E+00  2.745E+00 
1.311E+00   4.742E+00  2.748E+00 
1.329E+00   4.773E+00  2.752E+00 
1.346E+00   4.804E+00  2.755E+00 
1.363E+00   4.835E+00  2.759E+00 
1.381E+00   4.866E+00  2.762E+00 
1.399E+00   4.897E+00  2.765E+00 
1.417E+00   4.929E+00  2.768E+00 
1.436E+00   4.961E+00  2.771E+00 
1.454E+00   4.993E+00  2.774E+00 
1.473E+00   5.026E+00  2.778E+00 
1.492E+00   5.058E+00  2.780E+00 
1.512E+00   5.091E+00  2.783E+00 
1.531E+00   5.124E+00  2.786E+00 
1.551E+00   5.157E+00  2.789E+00 
1.571E+00   5.190E+00  2.792E+00 
1.592E+00   5.224E+00  2.794E+00 
1.612E+00   5.258E+00  2.797E+00 
1.633E+00   5.292E+00  2.799E+00 
1.655E+00   5.326E+00  2.802E+00 
1.676E+00   5.361E+00  2.804E+00 
1.698E+00   5.396E+00  2.806E+00 
1.720E+00   5.430E+00  2.808E+00 
1.742E+00   5.466E+00  2.811E+00 
1.765E+00   5.501E+00  2.813E+00 
1.788E+00   5.537E+00  2.815E+00 
1.811E+00   5.573E+00  2.817E+00 
1.835E+00   5.609E+00  2.818E+00 
1.859E+00   5.645E+00  2.820E+00 
1.883E+00   5.682E+00  2.822E+00 
1.907E+00   5.718E+00  2.824E+00 
1.932E+00   5.755E+00  2.825E+00 
1.957E+00   5.793E+00  2.827E+00 
1.983E+00   5.830E+00  2.828E+00 
2.008E+00   5.868E+00  2.829E+00 
2.034E+00   5.906E+00  2.831E+00 
2.061E+00   5.944E+00  2.832E+00 
2.088E+00   5.983E+00  2.833E+00 
2.115E+00   6.021E+00  2.834E+00 
2.142E+00   6.060E+00  2.835E+00 
2.170E+00   6.100E+00  2.836E+00 
2.198E+00   6.139E+00  2.837E+00 
2.227E+00   6.179E+00  2.838E+00 
2.256E+00   6.219E+00  2.838E+00 
2.285E+00   6.259E+00  2.839E+00 
2.315E+00   6.300E+00  2.839E+00 
2.345E+00   6.341E+00  2.840E+00 
2.375E+00   6.382E+00  2.840E+00 
2.406E+00   6.423E+00  2.840E+00 
2.438E+00   6.465E+00  2.841E+00 
2.469E+00   6.507E+00  2.841E+00 
2.501E+00   6.549E+00  2.841E+00 
2.534E+00   6.591E+00  2.841E+00 
