Ion = Helium      . Mass = 4.0026
Tgt = Br (Solid). Density = 3.199 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.273E+00  2.690E+00 
1.013E+00   3.295E+00  2.695E+00 
1.026E+00   3.316E+00  2.699E+00 
1.039E+00   3.337E+00  2.704E+00 
1.053E+00   3.359E+00  2.709E+00 
1.067E+00   3.381E+00  2.713E+00 
1.081E+00   3.403E+00  2.718E+00 
1.095E+00   3.425E+00  2.723E+00 
1.109E+00   3.447E+00  2.727E+00 
1.123E+00   3.469E+00  2.731E+00 
1.138E+00   3.492E+00  2.736E+00 
1.153E+00   3.514E+00  2.740E+00 
1.168E+00   3.537E+00  2.744E+00 
1.183E+00   3.560E+00  2.749E+00 
1.198E+00   3.583E+00  2.753E+00 
1.214E+00   3.606E+00  2.757E+00 
1.229E+00   3.630E+00  2.761E+00 
1.245E+00   3.653E+00  2.765E+00 
1.262E+00   3.677E+00  2.769E+00 
1.278E+00   3.701E+00  2.773E+00 
1.295E+00   3.725E+00  2.776E+00 
1.311E+00   3.749E+00  2.780E+00 
1.329E+00   3.773E+00  2.784E+00 
1.346E+00   3.797E+00  2.788E+00 
1.363E+00   3.822E+00  2.791E+00 
1.381E+00   3.847E+00  2.795E+00 
1.399E+00   3.872E+00  2.798E+00 
1.417E+00   3.897E+00  2.801E+00 
1.436E+00   3.922E+00  2.805E+00 
1.454E+00   3.947E+00  2.808E+00 
1.473E+00   3.973E+00  2.811E+00 
1.492E+00   3.999E+00  2.814E+00 
1.512E+00   4.025E+00  2.817E+00 
1.531E+00   4.051E+00  2.820E+00 
1.551E+00   4.077E+00  2.823E+00 
1.571E+00   4.103E+00  2.826E+00 
1.592E+00   4.130E+00  2.829E+00 
1.612E+00   4.157E+00  2.832E+00 
1.633E+00   4.184E+00  2.834E+00 
1.655E+00   4.211E+00  2.837E+00 
1.676E+00   4.238E+00  2.840E+00 
1.698E+00   4.265E+00  2.842E+00 
1.720E+00   4.293E+00  2.844E+00 
1.742E+00   4.321E+00  2.847E+00 
