Ion = Helium      . Mass = 4.0026
Tgt = Kr (Solid). Density = 2.6021 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.465E+00  2.657E+00 
1.013E+00   3.488E+00  2.661E+00 
1.026E+00   3.511E+00  2.666E+00 
1.039E+00   3.533E+00  2.670E+00 
1.053E+00   3.556E+00  2.674E+00 
1.067E+00   3.579E+00  2.679E+00 
1.081E+00   3.602E+00  2.683E+00 
1.095E+00   3.626E+00  2.687E+00 
1.109E+00   3.649E+00  2.691E+00 
1.123E+00   3.673E+00  2.695E+00 
1.138E+00   3.697E+00  2.699E+00 
1.153E+00   3.721E+00  2.703E+00 
1.168E+00   3.745E+00  2.707E+00 
1.183E+00   3.769E+00  2.711E+00 
1.198E+00   3.793E+00  2.714E+00 
1.214E+00   3.818E+00  2.718E+00 
1.229E+00   3.843E+00  2.722E+00 
1.245E+00   3.867E+00  2.725E+00 
1.262E+00   3.893E+00  2.729E+00 
1.278E+00   3.918E+00  2.732E+00 
1.295E+00   3.943E+00  2.736E+00 
1.311E+00   3.969E+00  2.739E+00 
1.329E+00   3.994E+00  2.742E+00 
1.346E+00   4.020E+00  2.745E+00 
1.363E+00   4.046E+00  2.749E+00 
1.381E+00   4.072E+00  2.752E+00 
1.399E+00   4.099E+00  2.755E+00 
1.417E+00   4.125E+00  2.758E+00 
1.436E+00   4.152E+00  2.761E+00 
1.454E+00   4.179E+00  2.764E+00 
1.473E+00   4.206E+00  2.767E+00 
1.492E+00   4.233E+00  2.769E+00 
1.512E+00   4.261E+00  2.772E+00 
1.531E+00   4.288E+00  2.775E+00 
1.551E+00   4.316E+00  2.777E+00 
1.571E+00   4.344E+00  2.780E+00 
1.592E+00   4.372E+00  2.782E+00 
1.612E+00   4.401E+00  2.785E+00 
1.633E+00   4.429E+00  2.787E+00 
1.655E+00   4.458E+00  2.789E+00 
1.676E+00   4.487E+00  2.791E+00 
1.698E+00   4.516E+00  2.793E+00 
1.720E+00   4.545E+00  2.796E+00 
1.742E+00   4.574E+00  2.798E+00 
1.765E+00   4.604E+00  2.799E+00 
1.788E+00   4.634E+00  2.801E+00 
1.811E+00   4.664E+00  2.803E+00 
1.835E+00   4.694E+00  2.805E+00 
1.859E+00   4.724E+00  2.807E+00 
