Ion = Helium      . Mass = 4.0026
Tgt = Rb (Solid). Density = 1.532 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.231E+00  2.640E+00 
1.013E+00   5.265E+00  2.644E+00 
1.026E+00   5.299E+00  2.649E+00 
1.039E+00   5.334E+00  2.654E+00 
1.053E+00   5.368E+00  2.658E+00 
1.067E+00   5.403E+00  2.663E+00 
1.081E+00   5.438E+00  2.667E+00 
1.095E+00   5.473E+00  2.672E+00 
1.109E+00   5.509E+00  2.676E+00 
1.123E+00   5.544E+00  2.680E+00 
1.138E+00   5.580E+00  2.685E+00 
1.153E+00   5.616E+00  2.689E+00 
1.168E+00   5.653E+00  2.693E+00 
1.183E+00   5.689E+00  2.697E+00 
1.198E+00   5.726E+00  2.701E+00 
1.214E+00   5.763E+00  2.705E+00 
1.229E+00   5.801E+00  2.709E+00 
1.245E+00   5.838E+00  2.713E+00 
1.262E+00   5.876E+00  2.717E+00 
1.278E+00   5.914E+00  2.721E+00 
1.295E+00   5.953E+00  2.725E+00 
1.311E+00   5.991E+00  2.728E+00 
1.329E+00   6.030E+00  2.732E+00 
1.346E+00   6.069E+00  2.735E+00 
1.363E+00   6.108E+00  2.739E+00 
1.381E+00   6.148E+00  2.742E+00 
1.399E+00   6.188E+00  2.746E+00 
1.417E+00   6.228E+00  2.749E+00 
1.436E+00   6.268E+00  2.752E+00 
1.454E+00   6.309E+00  2.756E+00 
1.473E+00   6.350E+00  2.759E+00 
1.492E+00   6.391E+00  2.762E+00 
1.512E+00   6.432E+00  2.765E+00 
1.531E+00   6.474E+00  2.768E+00 
1.551E+00   6.516E+00  2.771E+00 
1.571E+00   6.558E+00  2.774E+00 
1.592E+00   6.600E+00  2.777E+00 
1.612E+00   6.643E+00  2.779E+00 
1.633E+00   6.686E+00  2.782E+00 
1.655E+00   6.729E+00  2.784E+00 
1.676E+00   6.773E+00  2.787E+00 
1.698E+00   6.817E+00  2.789E+00 
1.720E+00   6.861E+00  2.792E+00 
1.742E+00   6.905E+00  2.794E+00 
1.765E+00   6.950E+00  2.797E+00 
1.788E+00   6.995E+00  2.799E+00 
1.811E+00   7.040E+00  2.801E+00 
1.835E+00   7.086E+00  2.803E+00 
1.859E+00   7.132E+00  2.805E+00 
1.883E+00   7.178E+00  2.807E+00 
1.907E+00   7.225E+00  2.809E+00 
1.932E+00   7.271E+00  2.811E+00 
