Ion = Helium      . Mass = 4.0026
Tgt = Be (Solid). Density = 1.848 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   1.977E+00  2.804E+00 
1.013E+00   1.990E+00  2.794E+00 
1.026E+00   2.003E+00  2.785E+00 
1.039E+00   2.016E+00  2.776E+00 
1.053E+00   2.029E+00  2.766E+00 
1.067E+00   2.042E+00  2.757E+00 
1.081E+00   2.055E+00  2.747E+00 
1.095E+00   2.069E+00  2.738E+00 
1.109E+00   2.082E+00  2.728E+00 
1.123E+00   2.096E+00  2.719E+00 
1.138E+00   2.109E+00  2.709E+00 
1.153E+00   2.123E+00  2.699E+00 
1.168E+00   2.137E+00  2.689E+00 
1.183E+00   2.150E+00  2.679E+00 
1.198E+00   2.164E+00  2.669E+00 
1.214E+00   2.178E+00  2.659E+00 
1.229E+00   2.193E+00  2.649E+00 
1.245E+00   2.207E+00  2.639E+00 
1.262E+00   2.221E+00  2.629E+00 
1.278E+00   2.235E+00  2.619E+00 
1.295E+00   2.250E+00  2.608E+00 
1.311E+00   2.264E+00  2.598E+00 
1.329E+00   2.279E+00  2.588E+00 
1.346E+00   2.294E+00  2.577E+00 
1.363E+00   2.309E+00  2.567E+00 
1.381E+00   2.324E+00  2.556E+00 
1.399E+00   2.339E+00  2.546E+00 
1.417E+00   2.354E+00  2.535E+00 
1.436E+00   2.369E+00  2.525E+00 
1.454E+00   2.384E+00  2.514E+00 
1.473E+00   2.400E+00  2.503E+00 
1.492E+00   2.415E+00  2.492E+00 
1.512E+00   2.431E+00  2.482E+00 
1.531E+00   2.447E+00  2.471E+00 
1.551E+00   2.463E+00  2.460E+00 
1.571E+00   2.479E+00  2.449E+00 
1.592E+00   2.495E+00  2.438E+00 
1.612E+00   2.511E+00  2.427E+00 
1.633E+00   2.527E+00  2.416E+00 
1.655E+00   2.544E+00  2.405E+00 
1.676E+00   2.560E+00  2.394E+00 
1.698E+00   2.577E+00  2.383E+00 
1.720E+00   2.593E+00  2.372E+00 
1.742E+00   2.610E+00  2.361E+00 
1.765E+00   2.627E+00  2.350E+00 
1.788E+00   2.644E+00  2.338E+00 
1.811E+00   2.661E+00  2.327E+00 
1.835E+00   2.678E+00  2.316E+00 
1.859E+00   2.696E+00  2.305E+00 
1.883E+00   2.713E+00  2.294E+00 
1.907E+00   2.731E+00  2.282E+00 
1.932E+00   2.748E+00  2.271E+00 
1.957E+00   2.766E+00  2.260E+00 
1.983E+00   2.784E+00  2.248E+00 
2.008E+00   2.802E+00  2.237E+00 
2.034E+00   2.820E+00  2.226E+00 
2.061E+00   2.839E+00  2.214E+00 
2.088E+00   2.857E+00  2.203E+00 
2.115E+00   2.875E+00  2.192E+00 
2.142E+00   2.894E+00  2.180E+00 
2.170E+00   2.913E+00  2.169E+00 
2.198E+00   2.932E+00  2.157E+00 
2.227E+00   2.951E+00  2.146E+00 
2.256E+00   2.970E+00  2.135E+00 
2.285E+00   2.989E+00  2.123E+00 
2.315E+00   3.008E+00  2.112E+00 
2.345E+00   3.028E+00  2.100E+00 
2.375E+00   3.048E+00  2.089E+00 
2.406E+00   3.067E+00  2.077E+00 
2.438E+00   3.087E+00  2.066E+00 
2.469E+00   3.107E+00  2.055E+00 
2.501E+00   3.127E+00  2.043E+00 
2.534E+00   3.147E+00  2.032E+00 
2.567E+00   3.168E+00  2.020E+00 
2.600E+00   3.188E+00  2.009E+00 
2.634E+00   3.209E+00  1.997E+00 
2.668E+00   3.230E+00  1.986E+00 
2.703E+00   3.251E+00  1.975E+00 
2.738E+00   3.272E+00  1.963E+00 
2.773E+00   3.293E+00  1.952E+00 
2.810E+00   3.314E+00  1.941E+00 
2.846E+00   3.336E+00  1.929E+00 
2.883E+00   3.357E+00  1.918E+00 
2.921E+00   3.379E+00  1.906E+00 
2.958E+00   3.401E+00  1.895E+00 
2.997E+00   3.423E+00  1.884E+00 
3.036E+00   3.445E+00  1.873E+00 
3.075E+00   3.468E+00  1.861E+00 
3.115E+00   3.490E+00  1.850E+00 
3.156E+00   3.513E+00  1.839E+00 
3.197E+00   3.535E+00  1.828E+00 
3.238E+00   3.558E+00  1.816E+00 
3.280E+00   3.581E+00  1.805E+00 
3.323E+00   3.605E+00  1.794E+00 
3.366E+00   3.628E+00  1.783E+00 
3.410E+00   3.651E+00  1.772E+00 
3.454E+00   3.675E+00  1.761E+00 
3.499E+00   3.699E+00  1.749E+00 
3.545E+00   3.723E+00  1.738E+00 
3.591E+00   3.747E+00  1.727E+00 
3.637E+00   3.771E+00  1.716E+00 
3.685E+00   3.796E+00  1.705E+00 
3.733E+00   3.820E+00  1.694E+00 
3.781E+00   3.845E+00  1.683E+00 
3.830E+00   3.870E+00  1.673E+00 
3.880E+00   3.895E+00  1.662E+00 
3.930E+00   3.920E+00  1.651E+00 
3.982E+00   3.946E+00  1.640E+00 
4.033E+00   3.971E+00  1.629E+00 
4.086E+00   3.997E+00  1.618E+00 
4.139E+00   4.023E+00  1.608E+00 
4.193E+00   4.049E+00  1.597E+00 
4.247E+00   4.075E+00  1.586E+00 
4.302E+00   4.101E+00  1.576E+00 
4.358E+00   4.128E+00  1.565E+00 
4.415E+00   4.155E+00  1.554E+00 
4.472E+00   4.182E+00  1.544E+00 
4.530E+00   4.209E+00  1.533E+00 
4.589E+00   4.236E+00  1.523E+00 
4.649E+00   4.263E+00  1.512E+00 
4.709E+00   4.291E+00  1.502E+00 
4.770E+00   4.319E+00  1.492E+00 
4.832E+00   4.347E+00  1.481E+00 
