Ion = Helium      . Mass = 4.0026
Tgt = Zr (Solid). Density = 6.49 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.212E+00  2.612E+00 
1.013E+00   5.246E+00  2.617E+00 
1.026E+00   5.280E+00  2.622E+00 
1.039E+00   5.314E+00  2.627E+00 
1.053E+00   5.349E+00  2.632E+00 
1.067E+00   5.383E+00  2.636E+00 
1.081E+00   5.418E+00  2.641E+00 
1.095E+00   5.453E+00  2.646E+00 
1.109E+00   5.489E+00  2.651E+00 
1.123E+00   5.524E+00  2.655E+00 
1.138E+00   5.560E+00  2.660E+00 
1.153E+00   5.596E+00  2.665E+00 
1.168E+00   5.632E+00  2.669E+00 
1.183E+00   5.669E+00  2.674E+00 
1.198E+00   5.705E+00  2.678E+00 
1.214E+00   5.742E+00  2.683E+00 
1.229E+00   5.779E+00  2.687E+00 
1.245E+00   5.817E+00  2.691E+00 
1.262E+00   5.855E+00  2.695E+00 
1.278E+00   5.892E+00  2.700E+00 
1.295E+00   5.931E+00  2.704E+00 
1.311E+00   5.969E+00  2.708E+00 
1.329E+00   6.008E+00  2.712E+00 
1.346E+00   6.047E+00  2.716E+00 
1.363E+00   6.086E+00  2.720E+00 
1.381E+00   6.125E+00  2.724E+00 
1.399E+00   6.165E+00  2.727E+00 
1.417E+00   6.205E+00  2.731E+00 
1.436E+00   6.245E+00  2.735E+00 
1.454E+00   6.285E+00  2.739E+00 
1.473E+00   6.326E+00  2.742E+00 
1.492E+00   6.367E+00  2.746E+00 
1.512E+00   6.408E+00  2.749E+00 
1.531E+00   6.450E+00  2.753E+00 
1.551E+00   6.492E+00  2.756E+00 
1.571E+00   6.534E+00  2.759E+00 
1.592E+00   6.576E+00  2.763E+00 
1.612E+00   6.619E+00  2.766E+00 
1.633E+00   6.662E+00  2.769E+00 
1.655E+00   6.705E+00  2.772E+00 
1.676E+00   6.748E+00  2.775E+00 
1.698E+00   6.792E+00  2.778E+00 
1.720E+00   6.836E+00  2.781E+00 
1.742E+00   6.880E+00  2.784E+00 
1.765E+00   6.925E+00  2.786E+00 
1.788E+00   6.970E+00  2.789E+00 
1.811E+00   7.015E+00  2.792E+00 
1.835E+00   7.060E+00  2.794E+00 
1.859E+00   7.106E+00  2.797E+00 
1.883E+00   7.152E+00  2.799E+00 
1.907E+00   7.198E+00  2.802E+00 
1.932E+00   7.245E+00  2.804E+00 
1.957E+00   7.292E+00  2.806E+00 
1.983E+00   7.339E+00  2.808E+00 
2.008E+00   7.386E+00  2.810E+00 
2.034E+00   7.434E+00  2.812E+00 
2.061E+00   7.482E+00  2.814E+00 
2.088E+00   7.531E+00  2.816E+00 
2.115E+00   7.580E+00  2.818E+00 
2.142E+00   7.629E+00  2.820E+00 
2.170E+00   7.678E+00  2.822E+00 
2.198E+00   7.728E+00  2.823E+00 
2.227E+00   7.778E+00  2.825E+00 
2.256E+00   7.828E+00  2.826E+00 
2.285E+00   7.879E+00  2.828E+00 
2.315E+00   7.930E+00  2.829E+00 
2.345E+00   7.982E+00  2.830E+00 
2.375E+00   8.033E+00  2.832E+00 
2.406E+00   8.085E+00  2.833E+00 
2.438E+00   8.138E+00  2.834E+00 
2.469E+00   8.190E+00  2.835E+00 
2.501E+00   8.243E+00  2.836E+00 
2.534E+00   8.297E+00  2.837E+00 
2.567E+00   8.351E+00  2.837E+00 
2.600E+00   8.405E+00  2.838E+00 
2.634E+00   8.459E+00  2.839E+00 
2.668E+00   8.514E+00  2.839E+00 
2.703E+00   8.569E+00  2.840E+00 
2.738E+00   8.625E+00  2.840E+00 
2.773E+00   8.680E+00  2.840E+00 
2.810E+00   8.737E+00  2.841E+00 
2.846E+00   8.793E+00  2.841E+00 
2.883E+00   8.850E+00  2.841E+00 
2.921E+00   8.907E+00  2.841E+00 
2.958E+00   8.965E+00  2.841E+00 
2.997E+00   9.023E+00  2.841E+00 
3.036E+00   9.082E+00  2.840E+00 
3.075E+00   9.140E+00  2.840E+00 
3.115E+00   9.200E+00  2.840E+00 
3.156E+00   9.259E+00  2.839E+00 
3.197E+00   9.319E+00  2.839E+00 
3.238E+00   9.380E+00  2.838E+00 
3.280E+00   9.440E+00  2.837E+00 
3.323E+00   9.502E+00  2.837E+00 
3.366E+00   9.563E+00  2.836E+00 
3.410E+00   9.625E+00  2.835E+00 
3.454E+00   9.687E+00  2.834E+00 
3.499E+00   9.750E+00  2.833E+00 
3.545E+00   9.813E+00  2.832E+00 
3.591E+00   9.877E+00  2.830E+00 
3.637E+00   9.941E+00  2.829E+00 
3.685E+00   1.001E+01  2.828E+00 
3.733E+00   1.007E+01  2.826E+00 
3.781E+00   1.014E+01  2.825E+00 
3.830E+00   1.020E+01  2.823E+00 
3.880E+00   1.027E+01  2.821E+00 
3.930E+00   1.033E+01  2.819E+00 
3.982E+00   1.040E+01  2.817E+00 
4.033E+00   1.047E+01  2.815E+00 
4.086E+00   1.054E+01  2.813E+00 
4.139E+00   1.060E+01  2.811E+00 
4.193E+00   1.067E+01  2.809E+00 
4.247E+00   1.074E+01  2.807E+00 
4.302E+00   1.081E+01  2.804E+00 
4.358E+00   1.088E+01  2.802E+00 
4.415E+00   1.095E+01  2.799E+00 
4.472E+00   1.102E+01  2.796E+00 
4.530E+00   1.109E+01  2.794E+00 
4.589E+00   1.117E+01  2.791E+00 
4.649E+00   1.124E+01  2.788E+00 
4.709E+00   1.131E+01  2.785E+00 
4.770E+00   1.138E+01  2.782E+00 
4.832E+00   1.146E+01  2.779E+00 
4.895E+00   1.153E+01  2.776E+00 
4.959E+00   1.161E+01  2.772E+00 
5.023E+00   1.168E+01  2.769E+00 
5.089E+00   1.176E+01  2.765E+00 
5.155E+00   1.183E+01  2.762E+00 
5.222E+00   1.191E+01  2.758E+00 
5.290E+00   1.199E+01  2.755E+00 
5.358E+00   1.207E+01  2.751E+00 
5.428E+00   1.214E+01  2.747E+00 
5.499E+00   1.222E+01  2.743E+00 
5.570E+00   1.230E+01  2.739E+00 
5.642E+00   1.238E+01  2.735E+00 
5.716E+00   1.246E+01  2.731E+00 
5.790E+00   1.254E+01  2.726E+00 
5.865E+00   1.262E+01  2.722E+00 
5.942E+00   1.270E+01  2.717E+00 
6.019E+00   1.279E+01  2.713E+00 
6.097E+00   1.287E+01  2.708E+00 
6.176E+00   1.295E+01  2.704E+00 
6.256E+00   1.304E+01  2.699E+00 
6.338E+00   1.312E+01  2.694E+00 
6.420E+00   1.321E+01  2.689E+00 
6.504E+00   1.329E+01  2.684E+00 
6.588E+00   1.338E+01  2.679E+00 
6.674E+00   1.347E+01  2.674E+00 
6.760E+00   1.355E+01  2.669E+00 
6.848E+00   1.364E+01  2.663E+00 
6.937E+00   1.373E+01  2.658E+00 
7.027E+00   1.382E+01  2.652E+00 
7.119E+00   1.391E+01  2.647E+00 
7.211E+00   1.400E+01  2.641E+00 
7.305E+00   1.409E+01  2.636E+00 
7.400E+00   1.418E+01  2.630E+00 
7.496E+00   1.427E+01  2.624E+00 
7.594E+00   1.436E+01  2.618E+00 
7.692E+00   1.446E+01  2.612E+00 
7.792E+00   1.455E+01  2.606E+00 
7.894E+00   1.464E+01  2.600E+00 
7.996E+00   1.474E+01  2.594E+00 
8.100E+00   1.485E+01  2.588E+00 
8.205E+00   1.496E+01  2.581E+00 
8.312E+00   1.507E+01  2.575E+00 
8.420E+00   1.518E+01  2.568E+00 
8.529E+00   1.529E+01  2.562E+00 
8.640E+00   1.541E+01  2.555E+00 
8.753E+00   1.552E+01  2.548E+00 
8.866E+00   1.563E+01  2.542E+00 
8.982E+00   1.575E+01  2.535E+00 
9.098E+00   1.587E+01  2.528E+00 
9.217E+00   1.599E+01  2.521E+00 
9.336E+00   1.610E+01  2.514E+00 
9.458E+00   1.622E+01  2.507E+00 
9.581E+00   1.634E+01  2.500E+00 
9.705E+00   1.647E+01  2.493E+00 
9.831E+00   1.659E+01  2.485E+00 
9.959E+00   1.671E+01  2.478E+00 
1.009E+01   1.683E+01  2.471E+00 
1.022E+01   1.696E+01  2.463E+00 
1.035E+01   1.709E+01  2.456E+00 
1.049E+01   1.721E+01  2.448E+00 
1.062E+01   1.734E+01  2.440E+00 
1.076E+01   1.747E+01  2.433E+00 
1.090E+01   1.760E+01  2.425E+00 
1.104E+01   1.773E+01  2.417E+00 
1.119E+01   1.786E+01  2.409E+00 
1.133E+01   1.799E+01  2.401E+00 
1.148E+01   1.813E+01  2.393E+00 
1.163E+01   1.826E+01  2.385E+00 
1.178E+01   1.840E+01  2.377E+00 
1.193E+01   1.854E+01  2.369E+00 
1.209E+01   1.867E+01  2.361E+00 
1.224E+01   1.881E+01  2.353E+00 
1.240E+01   1.895E+01  2.345E+00 
1.256E+01   1.909E+01  2.336E+00 
1.273E+01   1.924E+01  2.328E+00 
1.289E+01   1.938E+01  2.319E+00 
1.306E+01   1.952E+01  2.311E+00 
1.323E+01   1.967E+01  2.302E+00 
1.340E+01   1.981E+01  2.294E+00 
1.358E+01   1.996E+01  2.285E+00 
1.375E+01   2.011E+01  2.277E+00 
1.393E+01   2.026E+01  2.268E+00 
1.411E+01   2.041E+01  2.259E+00 
1.430E+01   2.056E+01  2.250E+00 
1.448E+01   2.072E+01  2.242E+00 
1.467E+01   2.087E+01  2.233E+00 
1.486E+01   2.103E+01  2.224E+00 
1.505E+01   2.118E+01  2.215E+00 
1.525E+01   2.134E+01  2.206E+00 
1.545E+01   2.150E+01  2.197E+00 
1.565E+01   2.166E+01  2.188E+00 
1.585E+01   2.182E+01  2.179E+00 
1.606E+01   2.198E+01  2.170E+00 
1.627E+01   2.215E+01  2.161E+00 
1.648E+01   2.231E+01  2.151E+00 
1.669E+01   2.248E+01  2.142E+00 
1.691E+01   2.265E+01  2.133E+00 
1.713E+01   2.282E+01  2.124E+00 
1.735E+01   2.299E+01  2.114E+00 
1.758E+01   2.316E+01  2.105E+00 
1.781E+01   2.333E+01  2.096E+00 
1.804E+01   2.350E+01  2.086E+00 
1.827E+01   2.368E+01  2.077E+00 
1.851E+01   2.386E+01  2.068E+00 
1.875E+01   2.403E+01  2.058E+00 
1.899E+01   2.421E+01  2.049E+00 
1.924E+01   2.439E+01  2.039E+00 
1.949E+01   2.458E+01  2.030E+00 
1.974E+01   2.476E+01  2.020E+00 
2.000E+01   2.494E+01  2.011E+00 
2.026E+01   2.513E+01  2.001E+00 
2.052E+01   2.532E+01  1.991E+00 
2.079E+01   2.551E+01  1.982E+00 
2.106E+01   2.570E+01  1.972E+00 
2.133E+01   2.589E+01  1.963E+00 
2.161E+01   2.608E+01  1.953E+00 
2.189E+01   2.628E+01  1.943E+00 
2.218E+01   2.647E+01  1.934E+00 
2.247E+01   2.667E+01  1.924E+00 
2.276E+01   2.687E+01  1.914E+00 
2.305E+01   2.707E+01  1.905E+00 
2.335E+01   2.727E+01  1.895E+00 
2.366E+01   2.748E+01  1.885E+00 
2.396E+01   2.768E+01  1.875E+00 
2.428E+01   2.789E+01  1.866E+00 
2.459E+01   2.809E+01  1.856E+00 
2.491E+01   2.830E+01  1.846E+00 
2.523E+01   2.852E+01  1.836E+00 
2.556E+01   2.873E+01  1.827E+00 
2.589E+01   2.894E+01  1.817E+00 
2.623E+01   2.916E+01  1.807E+00 
2.657E+01   2.938E+01  1.797E+00 
2.692E+01   2.959E+01  1.788E+00 
2.727E+01   2.982E+01  1.778E+00 
2.762E+01   3.004E+01  1.768E+00 
2.798E+01   3.026E+01  1.758E+00 
2.834E+01   3.049E+01  1.749E+00 
2.871E+01   3.072E+01  1.739E+00 
2.909E+01   3.094E+01  1.729E+00 
2.946E+01   3.117E+01  1.719E+00 
2.985E+01   3.141E+01  1.710E+00 
3.023E+01   3.164E+01  1.700E+00 
3.063E+01   3.188E+01  1.690E+00 
3.103E+01   3.211E+01  1.680E+00 
3.143E+01   3.235E+01  1.671E+00 
3.184E+01   3.260E+01  1.661E+00 
3.225E+01   3.284E+01  1.651E+00 
3.267E+01   3.308E+01  1.642E+00 
3.309E+01   3.333E+01  1.632E+00 
3.352E+01   3.358E+01  1.622E+00 
3.396E+01   3.383E+01  1.613E+00 
3.440E+01   3.408E+01  1.603E+00 
3.485E+01   3.433E+01  1.593E+00 
3.530E+01   3.459E+01  1.584E+00 
3.576E+01   3.485E+01  1.574E+00 
3.623E+01   3.511E+01  1.564E+00 
3.670E+01   3.537E+01  1.555E+00 
3.717E+01   3.563E+01  1.545E+00 
3.766E+01   3.589E+01  1.536E+00 
3.815E+01   3.616E+01  1.526E+00 
3.864E+01   3.643E+01  1.517E+00 
3.914E+01   3.670E+01  1.507E+00 
3.965E+01   3.697E+01  1.498E+00 
4.017E+01   3.725E+01  1.488E+00 
4.069E+01   3.752E+01  1.479E+00 
4.122E+01   3.780E+01  1.470E+00 
4.175E+01   3.808E+01  1.460E+00 
4.230E+01   3.837E+01  1.451E+00 
4.285E+01   3.865E+01  1.441E+00 
4.340E+01   3.894E+01  1.432E+00 
4.397E+01   3.923E+01  1.423E+00 
4.454E+01   3.952E+01  1.414E+00 
4.512E+01   3.981E+01  1.404E+00 
4.570E+01   4.011E+01  1.395E+00 
4.630E+01   4.040E+01  1.386E+00 
4.690E+01   4.070E+01  1.377E+00 
4.751E+01   4.100E+01  1.368E+00 
4.813E+01   4.131E+01  1.359E+00 
4.875E+01   4.161E+01  1.349E+00 
4.939E+01   4.192E+01  1.340E+00 
5.003E+01   4.223E+01  1.331E+00 
5.068E+01   4.254E+01  1.322E+00 
5.134E+01   4.286E+01  1.313E+00 
5.200E+01   4.317E+01  1.304E+00 
5.268E+01   4.349E+01  1.296E+00 
5.336E+01   4.381E+01  1.287E+00 
5.406E+01   4.413E+01  1.278E+00 
5.476E+01   4.446E+01  1.269E+00 
5.547E+01   4.479E+01  1.260E+00 
5.619E+01   4.512E+01  1.251E+00 
5.692E+01   4.545E+01  1.243E+00 
5.766E+01   4.578E+01  1.234E+00 
5.841E+01   4.612E+01  1.225E+00 
5.917E+01   4.646E+01  1.217E+00 
5.994E+01   4.680E+01  1.208E+00 
6.072E+01   4.714E+01  1.199E+00 
6.151E+01   4.749E+01  1.191E+00 
6.231E+01   4.784E+01  1.182E+00 
6.312E+01   4.819E+01  1.174E+00 
6.394E+01   4.854E+01  1.165E+00 
6.477E+01   4.889E+01  1.157E+00 
6.561E+01   4.925E+01  1.149E+00 
6.646E+01   4.961E+01  1.140E+00 
6.733E+01   4.997E+01  1.132E+00 
6.820E+01   5.034E+01  1.124E+00 
6.909E+01   5.071E+01  1.116E+00 
6.999E+01   5.107E+01  1.107E+00 
7.090E+01   5.145E+01  1.099E+00 
7.182E+01   5.182E+01  1.091E+00 
7.275E+01   5.220E+01  1.083E+00 
7.370E+01   5.258E+01  1.075E+00 
7.465E+01   5.296E+01  1.067E+00 
7.562E+01   5.334E+01  1.059E+00 
7.661E+01   5.373E+01  1.051E+00 
7.760E+01   5.412E+01  1.043E+00 
7.861E+01   5.451E+01  1.035E+00 
7.963E+01   5.490E+01  1.028E+00 
8.067E+01   5.530E+01  1.020E+00 
8.172E+01   5.570E+01  1.012E+00 
8.278E+01   5.610E+01  1.004E+00 
8.385E+01   5.650E+01  9.966E-01 
8.494E+01   5.691E+01  9.890E-01 
8.605E+01   5.732E+01  9.814E-01 
8.717E+01   5.773E+01  9.738E-01 
8.830E+01   5.814E+01  9.663E-01 
8.945E+01   5.856E+01  9.588E-01 
9.061E+01   5.897E+01  9.514E-01 
9.179E+01   5.940E+01  9.440E-01 
9.298E+01   5.982E+01  9.366E-01 
9.419E+01   6.025E+01  9.293E-01 
9.541E+01   6.067E+01  9.220E-01 
9.665E+01   6.110E+01  9.148E-01 
9.791E+01   6.154E+01  9.076E-01 
9.918E+01   6.197E+01  9.004E-01 
1.005E+02   6.241E+01  8.933E-01 
1.018E+02   6.285E+01  8.862E-01 
1.031E+02   6.330E+01  8.792E-01 
1.044E+02   6.374E+01  8.722E-01 
1.058E+02   6.419E+01  8.652E-01 
1.072E+02   6.464E+01  8.583E-01 
1.086E+02   6.509E+01  8.514E-01 
1.100E+02   6.555E+01  8.445E-01 
1.114E+02   6.601E+01  8.377E-01 
1.129E+02   6.647E+01  8.310E-01 
1.143E+02   6.693E+01  8.242E-01 
1.158E+02   6.739E+01  8.175E-01 
1.173E+02   6.786E+01  8.109E-01 
1.188E+02   6.833E+01  8.043E-01 
1.204E+02   6.880E+01  7.977E-01 
1.219E+02   6.928E+01  7.912E-01 
1.235E+02   6.975E+01  7.847E-01 
1.251E+02   7.023E+01  7.783E-01 
1.268E+02   7.072E+01  7.718E-01 
1.284E+02   7.120E+01  7.655E-01 
1.301E+02   7.168E+01  7.591E-01 
1.318E+02   7.217E+01  7.528E-01 
1.335E+02   7.266E+01  7.466E-01 
1.352E+02   7.316E+01  7.404E-01 
1.370E+02   7.365E+01  7.342E-01 
1.388E+02   7.415E+01  7.281E-01 
1.406E+02   7.465E+01  7.220E-01 
1.424E+02   7.515E+01  7.159E-01 
1.442E+02   7.565E+01  7.099E-01 
1.461E+02   7.615E+01  7.039E-01 
1.480E+02   7.666E+01  6.980E-01 
1.499E+02   7.717E+01  6.921E-01 
1.519E+02   7.768E+01  6.862E-01 
1.539E+02   7.819E+01  6.804E-01 
1.559E+02   7.871E+01  6.746E-01 
1.579E+02   7.922E+01  6.689E-01 
1.599E+02   7.974E+01  6.632E-01 
1.620E+02   8.026E+01  6.575E-01 
1.641E+02   8.078E+01  6.519E-01 
1.662E+02   8.131E+01  6.463E-01 
1.684E+02   8.183E+01  6.407E-01 
1.706E+02   8.236E+01  6.352E-01 
1.728E+02   8.289E+01  6.297E-01 
1.751E+02   8.342E+01  6.243E-01 
1.773E+02   8.395E+01  6.189E-01 
1.796E+02   8.448E+01  6.135E-01 
1.820E+02   8.501E+01  6.082E-01 
1.843E+02   8.555E+01  6.029E-01 
1.867E+02   8.608E+01  5.977E-01 
1.892E+02   8.662E+01  5.924E-01 
1.916E+02   8.716E+01  5.873E-01 
1.941E+02   8.770E+01  5.821E-01 
1.966E+02   8.824E+01  5.770E-01 
