Ion = Helium      . Mass = 4.0026
Tgt = Nb (Solid). Density = 8.57 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   6.422E+00  2.632E+00 
1.013E+00   6.463E+00  2.637E+00 
1.026E+00   6.505E+00  2.641E+00 
1.039E+00   6.547E+00  2.646E+00 
1.053E+00   6.590E+00  2.651E+00 
1.067E+00   6.633E+00  2.655E+00 
1.081E+00   6.676E+00  2.660E+00 
1.095E+00   6.719E+00  2.665E+00 
1.109E+00   6.762E+00  2.669E+00 
1.123E+00   6.806E+00  2.674E+00 
1.138E+00   6.850E+00  2.678E+00 
1.153E+00   6.895E+00  2.682E+00 
1.168E+00   6.939E+00  2.687E+00 
1.183E+00   6.984E+00  2.691E+00 
1.198E+00   7.029E+00  2.695E+00 
1.214E+00   7.075E+00  2.699E+00 
1.229E+00   7.121E+00  2.703E+00 
1.245E+00   7.167E+00  2.708E+00 
1.262E+00   7.213E+00  2.712E+00 
1.278E+00   7.260E+00  2.716E+00 
1.295E+00   7.307E+00  2.719E+00 
1.311E+00   7.354E+00  2.723E+00 
1.329E+00   7.402E+00  2.727E+00 
1.346E+00   7.450E+00  2.731E+00 
1.363E+00   7.498E+00  2.735E+00 
1.381E+00   7.547E+00  2.738E+00 
1.399E+00   7.596E+00  2.742E+00 
1.417E+00   7.645E+00  2.745E+00 
1.436E+00   7.694E+00  2.749E+00 
1.454E+00   7.744E+00  2.752E+00 
1.473E+00   7.794E+00  2.756E+00 
1.492E+00   7.845E+00  2.759E+00 
1.512E+00   7.896E+00  2.762E+00 
1.531E+00   7.947E+00  2.765E+00 
1.551E+00   7.998E+00  2.769E+00 
1.571E+00   8.050E+00  2.772E+00 
1.592E+00   8.102E+00  2.775E+00 
1.612E+00   8.155E+00  2.778E+00 
1.633E+00   8.208E+00  2.781E+00 
1.655E+00   8.261E+00  2.784E+00 
1.676E+00   8.314E+00  2.786E+00 
1.698E+00   8.368E+00  2.789E+00 
1.720E+00   8.422E+00  2.792E+00 
1.742E+00   8.477E+00  2.794E+00 
1.765E+00   8.532E+00  2.797E+00 
1.788E+00   8.587E+00  2.799E+00 
1.811E+00   8.643E+00  2.802E+00 
1.835E+00   8.699E+00  2.804E+00 
1.859E+00   8.755E+00  2.807E+00 
1.883E+00   8.812E+00  2.809E+00 
1.907E+00   8.869E+00  2.811E+00 
1.932E+00   8.926E+00  2.813E+00 
1.957E+00   8.984E+00  2.815E+00 
1.983E+00   9.042E+00  2.817E+00 
2.008E+00   9.101E+00  2.819E+00 
2.034E+00   9.160E+00  2.821E+00 
2.061E+00   9.219E+00  2.823E+00 
2.088E+00   9.279E+00  2.824E+00 
2.115E+00   9.339E+00  2.826E+00 
2.142E+00   9.399E+00  2.828E+00 
2.170E+00   9.460E+00  2.829E+00 
2.198E+00   9.522E+00  2.831E+00 
2.227E+00   9.583E+00  2.832E+00 
2.256E+00   9.645E+00  2.833E+00 
2.285E+00   9.708E+00  2.835E+00 
2.315E+00   9.771E+00  2.836E+00 
2.345E+00   9.834E+00  2.837E+00 
2.375E+00   9.898E+00  2.838E+00 
2.406E+00   9.962E+00  2.839E+00 
2.438E+00   1.003E+01  2.840E+00 
2.469E+00   1.009E+01  2.841E+00 
2.501E+00   1.016E+01  2.841E+00 
2.534E+00   1.022E+01  2.842E+00 
2.567E+00   1.029E+01  2.843E+00 
2.600E+00   1.036E+01  2.843E+00 
2.634E+00   1.042E+01  2.844E+00 
2.668E+00   1.049E+01  2.844E+00 
2.703E+00   1.056E+01  2.844E+00 
2.738E+00   1.063E+01  2.845E+00 
2.773E+00   1.069E+01  2.845E+00 
2.810E+00   1.076E+01  2.845E+00 
2.846E+00   1.083E+01  2.845E+00 
2.883E+00   1.090E+01  2.845E+00 
2.921E+00   1.097E+01  2.845E+00 
2.958E+00   1.105E+01  2.845E+00 
2.997E+00   1.112E+01  2.844E+00 
3.036E+00   1.119E+01  2.844E+00 
3.075E+00   1.126E+01  2.843E+00 
3.115E+00   1.133E+01  2.843E+00 
3.156E+00   1.141E+01  2.842E+00 
3.197E+00   1.148E+01  2.842E+00 
3.238E+00   1.156E+01  2.841E+00 
3.280E+00   1.163E+01  2.840E+00 
3.323E+00   1.171E+01  2.839E+00 
3.366E+00   1.178E+01  2.838E+00 
3.410E+00   1.186E+01  2.837E+00 
3.454E+00   1.194E+01  2.836E+00 
3.499E+00   1.201E+01  2.835E+00 
3.545E+00   1.209E+01  2.834E+00 
3.591E+00   1.217E+01  2.832E+00 
3.637E+00   1.225E+01  2.831E+00 
3.685E+00   1.233E+01  2.830E+00 
