Ion = Helium      . Mass = 4.0026
Tgt = Mo (Solid). Density = 10.206 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.546E+00  2.624E+00 
1.013E+00   5.582E+00  2.628E+00 
1.026E+00   5.618E+00  2.633E+00 
1.039E+00   5.655E+00  2.637E+00 
1.053E+00   5.691E+00  2.641E+00 
1.067E+00   5.728E+00  2.646E+00 
1.081E+00   5.765E+00  2.650E+00 
1.095E+00   5.803E+00  2.654E+00 
1.109E+00   5.840E+00  2.658E+00 
1.123E+00   5.878E+00  2.663E+00 
1.138E+00   5.916E+00  2.667E+00 
1.153E+00   5.955E+00  2.671E+00 
1.168E+00   5.993E+00  2.675E+00 
1.183E+00   6.032E+00  2.679E+00 
1.198E+00   6.071E+00  2.683E+00 
1.214E+00   6.110E+00  2.686E+00 
1.229E+00   6.150E+00  2.690E+00 
1.245E+00   6.190E+00  2.694E+00 
1.262E+00   6.230E+00  2.698E+00 
1.278E+00   6.270E+00  2.701E+00 
1.295E+00   6.311E+00  2.705E+00 
1.311E+00   6.352E+00  2.708E+00 
1.329E+00   6.393E+00  2.712E+00 
1.346E+00   6.434E+00  2.715E+00 
1.363E+00   6.476E+00  2.719E+00 
1.381E+00   6.518E+00  2.722E+00 
1.399E+00   6.560E+00  2.725E+00 
1.417E+00   6.603E+00  2.729E+00 
1.436E+00   6.645E+00  2.732E+00 
1.454E+00   6.688E+00  2.735E+00 
1.473E+00   6.732E+00  2.738E+00 
1.492E+00   6.775E+00  2.741E+00 
1.512E+00   6.819E+00  2.744E+00 
1.531E+00   6.863E+00  2.747E+00 
1.551E+00   6.908E+00  2.750E+00 
1.571E+00   6.953E+00  2.752E+00 
1.592E+00   6.998E+00  2.755E+00 
1.612E+00   7.043E+00  2.758E+00 
1.633E+00   7.089E+00  2.760E+00 
1.655E+00   7.134E+00  2.763E+00 
1.676E+00   7.181E+00  2.765E+00 
1.698E+00   7.227E+00  2.768E+00 
1.720E+00   7.274E+00  2.770E+00 
1.742E+00   7.321E+00  2.773E+00 
1.765E+00   7.369E+00  2.775E+00 
1.788E+00   7.416E+00  2.777E+00 
1.811E+00   7.464E+00  2.779E+00 
1.835E+00   7.513E+00  2.781E+00 
1.859E+00   7.561E+00  2.783E+00 
1.883E+00   7.610E+00  2.785E+00 
1.907E+00   7.660E+00  2.787E+00 
1.932E+00   7.709E+00  2.789E+00 
1.957E+00   7.759E+00  2.791E+00 
1.983E+00   7.809E+00  2.792E+00 
2.008E+00   7.860E+00  2.794E+00 
2.034E+00   7.911E+00  2.796E+00 
2.061E+00   7.962E+00  2.797E+00 
2.088E+00   8.014E+00  2.799E+00 
2.115E+00   8.066E+00  2.800E+00 
2.142E+00   8.118E+00  2.801E+00 
2.170E+00   8.170E+00  2.803E+00 
2.198E+00   8.223E+00  2.804E+00 
2.227E+00   8.277E+00  2.805E+00 
2.256E+00   8.330E+00  2.806E+00 
2.285E+00   8.384E+00  2.807E+00 
2.315E+00   8.439E+00  2.808E+00 
2.345E+00   8.493E+00  2.809E+00 
2.375E+00   8.548E+00  2.810E+00 
2.406E+00   8.604E+00  2.810E+00 
2.438E+00   8.659E+00  2.811E+00 
2.469E+00   8.715E+00  2.812E+00 
2.501E+00   8.772E+00  2.812E+00 
2.534E+00   8.829E+00  2.813E+00 
2.567E+00   8.886E+00  2.813E+00 
2.600E+00   8.943E+00  2.813E+00 
2.634E+00   9.001E+00  2.814E+00 
2.668E+00   9.060E+00  2.814E+00 
2.703E+00   9.118E+00  2.814E+00 
2.738E+00   9.177E+00  2.814E+00 
2.773E+00   9.237E+00  2.814E+00 
2.810E+00   9.297E+00  2.814E+00 
2.846E+00   9.357E+00  2.814E+00 
2.883E+00   9.417E+00  2.814E+00 
2.921E+00   9.478E+00  2.813E+00 
2.958E+00   9.540E+00  2.813E+00 
2.997E+00   9.602E+00  2.812E+00 
3.036E+00   9.664E+00  2.812E+00 
3.075E+00   9.726E+00  2.811E+00 
3.115E+00   9.789E+00  2.811E+00 
3.156E+00   9.853E+00  2.810E+00 
3.197E+00   9.917E+00  2.809E+00 
3.238E+00   9.981E+00  2.808E+00 
3.280E+00   1.005E+01  2.807E+00 
3.323E+00   1.011E+01  2.806E+00 
3.366E+00   1.018E+01  2.805E+00 
3.410E+00   1.024E+01  2.804E+00 
3.454E+00   1.031E+01  2.803E+00 
3.499E+00   1.038E+01  2.802E+00 
3.545E+00   1.044E+01  2.800E+00 
3.591E+00   1.051E+01  2.799E+00 
3.637E+00   1.058E+01  2.797E+00 
3.685E+00   1.065E+01  2.796E+00 
3.733E+00   1.072E+01  2.794E+00 
3.781E+00   1.078E+01  2.792E+00 
3.830E+00   1.085E+01  2.790E+00 
3.880E+00   1.093E+01  2.788E+00 
3.930E+00   1.100E+01  2.786E+00 
3.982E+00   1.107E+01  2.784E+00 
4.033E+00   1.114E+01  2.782E+00 
4.086E+00   1.121E+01  2.780E+00 
4.139E+00   1.128E+01  2.778E+00 
4.193E+00   1.136E+01  2.775E+00 
4.247E+00   1.143E+01  2.773E+00 
4.302E+00   1.150E+01  2.770E+00 
4.358E+00   1.158E+01  2.768E+00 
4.415E+00   1.165E+01  2.765E+00 
4.472E+00   1.173E+01  2.762E+00 
4.530E+00   1.181E+01  2.760E+00 
4.589E+00   1.188E+01  2.757E+00 
4.649E+00   1.196E+01  2.754E+00 
4.709E+00   1.204E+01  2.751E+00 
4.770E+00   1.211E+01  2.748E+00 
4.832E+00   1.219E+01  2.745E+00 
4.895E+00   1.227E+01  2.741E+00 
4.959E+00   1.235E+01  2.738E+00 
5.023E+00   1.243E+01  2.735E+00 
5.089E+00   1.251E+01  2.731E+00 
5.155E+00   1.259E+01  2.727E+00 
5.222E+00   1.267E+01  2.724E+00 
5.290E+00   1.276E+01  2.720E+00 
5.358E+00   1.284E+01  2.716E+00 
5.428E+00   1.292E+01  2.713E+00 
5.499E+00   1.301E+01  2.709E+00 
5.570E+00   1.309E+01  2.705E+00 
5.642E+00   1.317E+01  2.701E+00 
5.716E+00   1.326E+01  2.696E+00 
5.790E+00   1.335E+01  2.692E+00 
5.865E+00   1.343E+01  2.688E+00 
5.942E+00   1.352E+01  2.683E+00 
6.019E+00   1.361E+01  2.679E+00 
6.097E+00   1.370E+01  2.674E+00 
6.176E+00   1.378E+01  2.670E+00 
6.256E+00   1.387E+01  2.665E+00 
6.338E+00   1.396E+01  2.660E+00 
6.420E+00   1.405E+01  2.656E+00 
6.504E+00   1.414E+01  2.651E+00 
6.588E+00   1.424E+01  2.646E+00 
6.674E+00   1.433E+01  2.641E+00 
6.760E+00   1.442E+01  2.636E+00 
6.848E+00   1.451E+01  2.631E+00 
6.937E+00   1.461E+01  2.625E+00 
7.027E+00   1.470E+01  2.620E+00 
7.119E+00   1.480E+01  2.615E+00 
7.211E+00   1.489E+01  2.609E+00 
7.305E+00   1.499E+01  2.604E+00 
7.400E+00   1.509E+01  2.598E+00 
7.496E+00   1.519E+01  2.592E+00 
7.594E+00   1.528E+01  2.587E+00 
7.692E+00   1.538E+01  2.581E+00 
7.792E+00   1.548E+01  2.575E+00 
7.894E+00   1.558E+01  2.569E+00 
7.996E+00   1.568E+01  2.563E+00 
8.100E+00   1.579E+01  2.557E+00 
8.205E+00   1.590E+01  2.551E+00 
8.312E+00   1.601E+01  2.545E+00 
8.420E+00   1.613E+01  2.538E+00 
8.529E+00   1.624E+01  2.532E+00 
8.640E+00   1.635E+01  2.526E+00 
8.753E+00   1.647E+01  2.519E+00 
8.866E+00   1.658E+01  2.513E+00 
8.982E+00   1.670E+01  2.506E+00 
9.098E+00   1.682E+01  2.499E+00 
9.217E+00   1.694E+01  2.493E+00 
9.336E+00   1.705E+01  2.486E+00 
9.458E+00   1.717E+01  2.479E+00 
9.581E+00   1.729E+01  2.472E+00 
9.705E+00   1.742E+01  2.465E+00 
9.831E+00   1.754E+01  2.458E+00 
9.959E+00   1.766E+01  2.451E+00 
1.009E+01   1.778E+01  2.444E+00 
1.022E+01   1.791E+01  2.437E+00 
1.035E+01   1.804E+01  2.430E+00 
1.049E+01   1.816E+01  2.422E+00 
1.062E+01   1.829E+01  2.415E+00 
1.076E+01   1.842E+01  2.408E+00 
1.090E+01   1.855E+01  2.400E+00 
1.104E+01   1.868E+01  2.393E+00 
1.119E+01   1.881E+01  2.385E+00 
1.133E+01   1.894E+01  2.377E+00 
1.148E+01   1.907E+01  2.370E+00 
1.163E+01   1.921E+01  2.362E+00 
1.178E+01   1.934E+01  2.354E+00 
1.193E+01   1.948E+01  2.346E+00 
1.209E+01   1.961E+01  2.339E+00 
1.224E+01   1.975E+01  2.331E+00 
1.240E+01   1.989E+01  2.323E+00 
1.256E+01   2.003E+01  2.315E+00 
1.273E+01   2.017E+01  2.307E+00 
1.289E+01   2.031E+01  2.298E+00 
1.306E+01   2.046E+01  2.290E+00 
1.323E+01   2.060E+01  2.282E+00 
1.340E+01   2.075E+01  2.274E+00 
1.358E+01   2.089E+01  2.266E+00 
1.375E+01   2.104E+01  2.257E+00 
1.393E+01   2.119E+01  2.249E+00 
1.411E+01   2.133E+01  2.240E+00 
1.430E+01   2.148E+01  2.232E+00 
1.448E+01   2.164E+01  2.223E+00 
1.467E+01   2.179E+01  2.215E+00 
1.486E+01   2.194E+01  2.206E+00 
1.505E+01   2.209E+01  2.198E+00 
1.525E+01   2.225E+01  2.189E+00 
1.545E+01   2.241E+01  2.180E+00 
1.565E+01   2.256E+01  2.172E+00 
1.585E+01   2.272E+01  2.163E+00 
1.606E+01   2.288E+01  2.154E+00 
1.627E+01   2.304E+01  2.145E+00 
1.648E+01   2.321E+01  2.136E+00 
1.669E+01   2.337E+01  2.128E+00 
1.691E+01   2.353E+01  2.119E+00 
1.713E+01   2.370E+01  2.110E+00 
1.735E+01   2.387E+01  2.101E+00 
1.758E+01   2.403E+01  2.092E+00 
1.781E+01   2.420E+01  2.083E+00 
1.804E+01   2.437E+01  2.074E+00 
1.827E+01   2.454E+01  2.065E+00 
1.851E+01   2.472E+01  2.055E+00 
1.875E+01   2.489E+01  2.046E+00 
1.899E+01   2.506E+01  2.037E+00 
1.924E+01   2.524E+01  2.028E+00 
1.949E+01   2.542E+01  2.019E+00 
1.974E+01   2.560E+01  2.009E+00 
2.000E+01   2.578E+01  2.000E+00 
2.026E+01   2.596E+01  1.991E+00 
2.052E+01   2.614E+01  1.982E+00 
2.079E+01   2.632E+01  1.972E+00 
2.106E+01   2.651E+01  1.963E+00 
2.133E+01   2.670E+01  1.954E+00 
2.161E+01   2.688E+01  1.944E+00 
2.189E+01   2.707E+01  1.935E+00 
2.218E+01   2.726E+01  1.926E+00 
2.247E+01   2.745E+01  1.916E+00 
2.276E+01   2.765E+01  1.907E+00 
2.305E+01   2.784E+01  1.897E+00 
2.335E+01   2.804E+01  1.888E+00 
2.366E+01   2.823E+01  1.878E+00 
2.396E+01   2.843E+01  1.869E+00 
2.428E+01   2.863E+01  1.860E+00 
2.459E+01   2.883E+01  1.850E+00 
2.491E+01   2.904E+01  1.841E+00 
2.523E+01   2.924E+01  1.831E+00 
2.556E+01   2.944E+01  1.822E+00 
2.589E+01   2.965E+01  1.812E+00 
2.623E+01   2.986E+01  1.803E+00 
2.657E+01   3.007E+01  1.793E+00 
2.692E+01   3.028E+01  1.784E+00 
2.727E+01   3.049E+01  1.774E+00 
2.762E+01   3.071E+01  1.765E+00 
2.798E+01   3.092E+01  1.755E+00 
2.834E+01   3.114E+01  1.746E+00 
2.871E+01   3.136E+01  1.736E+00 
2.909E+01   3.158E+01  1.727E+00 
2.946E+01   3.180E+01  1.717E+00 
2.985E+01   3.202E+01  1.707E+00 
3.023E+01   3.224E+01  1.698E+00 
3.063E+01   3.247E+01  1.688E+00 
3.103E+01   3.270E+01  1.679E+00 
3.143E+01   3.293E+01  1.669E+00 
3.184E+01   3.316E+01  1.660E+00 
3.225E+01   3.339E+01  1.651E+00 
3.267E+01   3.362E+01  1.641E+00 
3.309E+01   3.386E+01  1.632E+00 
3.352E+01   3.409E+01  1.622E+00 
3.396E+01   3.433E+01  1.613E+00 
3.440E+01   3.457E+01  1.603E+00 
3.485E+01   3.481E+01  1.594E+00 
3.530E+01   3.505E+01  1.584E+00 
3.576E+01   3.530E+01  1.575E+00 
3.623E+01   3.555E+01  1.566E+00 
3.670E+01   3.579E+01  1.556E+00 
3.717E+01   3.604E+01  1.547E+00 
3.766E+01   3.629E+01  1.538E+00 
3.815E+01   3.655E+01  1.528E+00 
3.864E+01   3.680E+01  1.519E+00 
3.914E+01   3.706E+01  1.510E+00 
3.965E+01   3.732E+01  1.500E+00 
4.017E+01   3.757E+01  1.491E+00 
4.069E+01   3.784E+01  1.482E+00 
4.122E+01   3.810E+01  1.473E+00 
4.175E+01   3.836E+01  1.463E+00 
4.230E+01   3.863E+01  1.454E+00 
4.285E+01   3.890E+01  1.445E+00 
4.340E+01   3.917E+01  1.436E+00 
4.397E+01   3.944E+01  1.427E+00 
4.454E+01   3.971E+01  1.418E+00 
4.512E+01   3.999E+01  1.408E+00 
4.570E+01   4.026E+01  1.399E+00 
4.630E+01   4.054E+01  1.390E+00 
4.690E+01   4.082E+01  1.381E+00 
4.751E+01   4.110E+01  1.372E+00 
4.813E+01   4.139E+01  1.363E+00 
4.875E+01   4.167E+01  1.354E+00 
4.939E+01   4.196E+01  1.345E+00 
5.003E+01   4.225E+01  1.337E+00 
5.068E+01   4.254E+01  1.328E+00 
5.134E+01   4.283E+01  1.319E+00 
5.200E+01   4.313E+01  1.310E+00 
5.268E+01   4.342E+01  1.301E+00 
5.336E+01   4.372E+01  1.292E+00 
5.406E+01   4.402E+01  1.284E+00 
5.476E+01   4.432E+01  1.275E+00 
5.547E+01   4.463E+01  1.266E+00 
5.619E+01   4.493E+01  1.258E+00 
5.692E+01   4.524E+01  1.249E+00 
5.766E+01   4.555E+01  1.240E+00 
5.841E+01   4.586E+01  1.232E+00 
5.917E+01   4.617E+01  1.223E+00 
5.994E+01   4.649E+01  1.215E+00 
6.072E+01   4.680E+01  1.206E+00 
6.151E+01   4.712E+01  1.198E+00 
6.231E+01   4.744E+01  1.189E+00 
6.312E+01   4.776E+01  1.181E+00 
6.394E+01   4.809E+01  1.173E+00 
6.477E+01   4.841E+01  1.164E+00 
6.561E+01   4.874E+01  1.156E+00 
6.646E+01   4.907E+01  1.148E+00 
6.733E+01   4.940E+01  1.140E+00 
6.820E+01   4.974E+01  1.131E+00 
6.909E+01   5.007E+01  1.123E+00 
6.999E+01   5.041E+01  1.115E+00 
7.090E+01   5.075E+01  1.107E+00 
7.182E+01   5.109E+01  1.099E+00 
7.275E+01   5.143E+01  1.091E+00 
