Ion = Helium      . Mass = 4.0026
Tgt = Tc (Solid). Density = 11.5 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.214E+00  2.629E+00 
1.013E+00   5.248E+00  2.634E+00 
1.026E+00   5.282E+00  2.638E+00 
1.039E+00   5.316E+00  2.643E+00 
1.053E+00   5.351E+00  2.648E+00 
1.067E+00   5.385E+00  2.652E+00 
1.081E+00   5.420E+00  2.657E+00 
1.095E+00   5.455E+00  2.661E+00 
1.109E+00   5.491E+00  2.666E+00 
1.123E+00   5.526E+00  2.670E+00 
1.138E+00   5.562E+00  2.675E+00 
1.153E+00   5.598E+00  2.679E+00 
1.168E+00   5.634E+00  2.683E+00 
1.183E+00   5.671E+00  2.687E+00 
1.198E+00   5.708E+00  2.692E+00 
1.214E+00   5.745E+00  2.696E+00 
1.229E+00   5.782E+00  2.700E+00 
1.245E+00   5.819E+00  2.704E+00 
1.262E+00   5.857E+00  2.708E+00 
1.278E+00   5.895E+00  2.712E+00 
1.295E+00   5.933E+00  2.715E+00 
1.311E+00   5.972E+00  2.719E+00 
1.329E+00   6.010E+00  2.723E+00 
1.346E+00   6.049E+00  2.727E+00 
1.363E+00   6.088E+00  2.730E+00 
1.381E+00   6.128E+00  2.734E+00 
1.399E+00   6.167E+00  2.738E+00 
1.417E+00   6.207E+00  2.741E+00 
1.436E+00   6.248E+00  2.744E+00 
1.454E+00   6.288E+00  2.748E+00 
1.473E+00   6.329E+00  2.751E+00 
1.492E+00   6.370E+00  2.754E+00 
1.512E+00   6.411E+00  2.758E+00 
1.531E+00   6.453E+00  2.761E+00 
1.551E+00   6.494E+00  2.764E+00 
1.571E+00   6.536E+00  2.767E+00 
1.592E+00   6.579E+00  2.770E+00 
1.612E+00   6.621E+00  2.773E+00 
1.633E+00   6.664E+00  2.776E+00 
1.655E+00   6.707E+00  2.779E+00 
1.676E+00   6.751E+00  2.781E+00 
1.698E+00   6.795E+00  2.784E+00 
1.720E+00   6.839E+00  2.787E+00 
1.742E+00   6.883E+00  2.789E+00 
1.765E+00   6.927E+00  2.792E+00 
1.788E+00   6.972E+00  2.794E+00 
1.811E+00   7.018E+00  2.797E+00 
1.835E+00   7.063E+00  2.799E+00 
1.859E+00   7.109E+00  2.801E+00 
1.883E+00   7.155E+00  2.804E+00 
1.907E+00   7.201E+00  2.806E+00 
1.932E+00   7.248E+00  2.808E+00 
1.957E+00   7.295E+00  2.810E+00 
1.983E+00   7.342E+00  2.812E+00 
2.008E+00   7.390E+00  2.814E+00 
2.034E+00   7.437E+00  2.816E+00 
2.061E+00   7.486E+00  2.817E+00 
2.088E+00   7.534E+00  2.819E+00 
2.115E+00   7.583E+00  2.821E+00 
2.142E+00   7.632E+00  2.822E+00 
2.170E+00   7.681E+00  2.824E+00 
2.198E+00   7.731E+00  2.825E+00 
2.227E+00   7.781E+00  2.827E+00 
2.256E+00   7.832E+00  2.828E+00 
2.285E+00   7.882E+00  2.829E+00 
2.315E+00   7.933E+00  2.831E+00 
2.345E+00   7.985E+00  2.832E+00 
2.375E+00   8.037E+00  2.833E+00 
2.406E+00   8.089E+00  2.834E+00 
2.438E+00   8.141E+00  2.835E+00 
2.469E+00   8.194E+00  2.836E+00 
2.501E+00   8.247E+00  2.836E+00 
2.534E+00   8.300E+00  2.837E+00 
2.567E+00   8.354E+00  2.838E+00 
2.600E+00   8.408E+00  2.838E+00 
2.634E+00   8.463E+00  2.839E+00 
2.668E+00   8.517E+00  2.839E+00 
2.703E+00   8.572E+00  2.840E+00 
2.738E+00   8.628E+00  2.840E+00 
2.773E+00   8.684E+00  2.840E+00 
2.810E+00   8.740E+00  2.840E+00 
2.846E+00   8.797E+00  2.840E+00 
2.883E+00   8.854E+00  2.840E+00 
