Ion = Helium      . Mass = 4.0026
Tgt = Ru (Solid). Density = 12.3 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.730E+00  2.564E+00 
1.013E+00   3.754E+00  2.569E+00 
1.026E+00   3.778E+00  2.573E+00 
1.039E+00   3.803E+00  2.578E+00 
1.053E+00   3.827E+00  2.582E+00 
1.067E+00   3.852E+00  2.587E+00 
1.081E+00   3.877E+00  2.591E+00 
1.095E+00   3.902E+00  2.596E+00 
1.109E+00   3.927E+00  2.600E+00 
1.123E+00   3.953E+00  2.604E+00 
1.138E+00   3.978E+00  2.609E+00 
1.153E+00   4.004E+00  2.613E+00 
1.168E+00   4.030E+00  2.617E+00 
1.183E+00   4.056E+00  2.621E+00 
1.198E+00   4.082E+00  2.625E+00 
1.214E+00   4.109E+00  2.629E+00 
1.229E+00   4.136E+00  2.633E+00 
1.245E+00   4.162E+00  2.637E+00 
1.262E+00   4.189E+00  2.641E+00 
1.278E+00   4.216E+00  2.645E+00 
1.295E+00   4.244E+00  2.649E+00 
1.311E+00   4.271E+00  2.653E+00 
1.329E+00   4.299E+00  2.656E+00 
1.346E+00   4.327E+00  2.660E+00 
1.363E+00   4.355E+00  2.664E+00 
1.381E+00   4.383E+00  2.667E+00 
1.399E+00   4.411E+00  2.671E+00 
1.417E+00   4.440E+00  2.674E+00 
1.436E+00   4.469E+00  2.678E+00 
1.454E+00   4.498E+00  2.681E+00 
1.473E+00   4.527E+00  2.684E+00 
1.492E+00   4.556E+00  2.687E+00 
1.512E+00   4.586E+00  2.691E+00 
1.531E+00   4.615E+00  2.694E+00 
1.551E+00   4.645E+00  2.697E+00 
1.571E+00   4.675E+00  2.700E+00 
1.592E+00   4.706E+00  2.703E+00 
1.612E+00   4.736E+00  2.706E+00 
1.633E+00   4.767E+00  2.709E+00 
1.655E+00   4.798E+00  2.712E+00 
1.676E+00   4.829E+00  2.714E+00 
1.698E+00   4.860E+00  2.717E+00 
1.720E+00   4.891E+00  2.720E+00 
1.742E+00   4.923E+00  2.722E+00 
1.765E+00   4.955E+00  2.725E+00 
1.788E+00   4.987E+00  2.727E+00 
1.811E+00   5.019E+00  2.730E+00 
1.835E+00   5.052E+00  2.732E+00 
1.859E+00   5.085E+00  2.734E+00 
1.883E+00   5.118E+00  2.737E+00 
1.907E+00   5.151E+00  2.739E+00 
1.932E+00   5.184E+00  2.741E+00 
1.957E+00   5.218E+00  2.743E+00 
1.983E+00   5.251E+00  2.745E+00 
2.008E+00   5.285E+00  2.747E+00 
2.034E+00   5.320E+00  2.749E+00 
2.061E+00   5.354E+00  2.751E+00 
2.088E+00   5.389E+00  2.752E+00 
2.115E+00   5.424E+00  2.754E+00 
2.142E+00   5.459E+00  2.756E+00 
2.170E+00   5.494E+00  2.757E+00 
2.198E+00   5.530E+00  2.759E+00 
2.227E+00   5.566E+00  2.760E+00 
2.256E+00   5.602E+00  2.762E+00 
2.285E+00   5.638E+00  2.763E+00 
2.315E+00   5.674E+00  2.764E+00 
2.345E+00   5.711E+00  2.765E+00 
2.375E+00   5.748E+00  2.767E+00 
2.406E+00   5.785E+00  2.768E+00 
2.438E+00   5.823E+00  2.769E+00 
2.469E+00   5.861E+00  2.770E+00 
2.501E+00   5.899E+00  2.770E+00 
2.534E+00   5.937E+00  2.771E+00 
2.567E+00   5.975E+00  2.772E+00 
2.600E+00   6.014E+00  2.773E+00 
2.634E+00   6.053E+00  2.773E+00 
2.668E+00   6.092E+00  2.774E+00 
2.703E+00   6.132E+00  2.774E+00 
2.738E+00   6.171E+00  2.775E+00 
2.773E+00   6.211E+00  2.775E+00 
2.810E+00   6.252E+00  2.775E+00 
2.846E+00   6.292E+00  2.775E+00 
2.883E+00   6.333E+00  2.775E+00 
2.921E+00   6.374E+00  2.776E+00 
2.958E+00   6.415E+00  2.776E+00 
2.997E+00   6.457E+00  2.775E+00 
3.036E+00   6.498E+00  2.775E+00 
