Ion = Helium      . Mass = 4.0026
Tgt = Rh (Solid). Density = 12.399 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.446E+00  2.571E+00 
1.013E+00   3.468E+00  2.575E+00 
1.026E+00   3.491E+00  2.580E+00 
1.039E+00   3.513E+00  2.585E+00 
1.053E+00   3.536E+00  2.589E+00 
1.067E+00   3.559E+00  2.594E+00 
1.081E+00   3.582E+00  2.598E+00 
1.095E+00   3.605E+00  2.603E+00 
1.109E+00   3.628E+00  2.607E+00 
1.123E+00   3.652E+00  2.612E+00 
1.138E+00   3.676E+00  2.616E+00 
1.153E+00   3.699E+00  2.620E+00 
1.168E+00   3.723E+00  2.624E+00 
1.183E+00   3.747E+00  2.629E+00 
1.198E+00   3.772E+00  2.633E+00 
1.214E+00   3.796E+00  2.637E+00 
1.229E+00   3.821E+00  2.641E+00 
1.245E+00   3.845E+00  2.645E+00 
1.262E+00   3.870E+00  2.649E+00 
1.278E+00   3.895E+00  2.653E+00 
1.295E+00   3.921E+00  2.657E+00 
1.311E+00   3.946E+00  2.660E+00 
1.329E+00   3.972E+00  2.664E+00 
1.346E+00   3.997E+00  2.668E+00 
1.363E+00   4.023E+00  2.672E+00 
1.381E+00   4.049E+00  2.675E+00 
1.399E+00   4.076E+00  2.679E+00 
1.417E+00   4.102E+00  2.682E+00 
1.436E+00   4.129E+00  2.686E+00 
1.454E+00   4.155E+00  2.689E+00 
1.473E+00   4.182E+00  2.692E+00 
1.492E+00   4.209E+00  2.696E+00 
1.512E+00   4.237E+00  2.699E+00 
1.531E+00   4.264E+00  2.702E+00 
1.551E+00   4.292E+00  2.705E+00 
1.571E+00   4.319E+00  2.708E+00 
1.592E+00   4.347E+00  2.711E+00 
1.612E+00   4.376E+00  2.714E+00 
1.633E+00   4.404E+00  2.717E+00 
1.655E+00   4.432E+00  2.720E+00 
1.676E+00   4.461E+00  2.723E+00 
1.698E+00   4.490E+00  2.726E+00 
1.720E+00   4.519E+00  2.728E+00 
1.742E+00   4.548E+00  2.731E+00 
