Ion = Helium      . Mass = 4.0026
Tgt = Pd (Solid). Density = 12.02 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.435E+00  2.512E+00 
1.013E+00   5.470E+00  2.517E+00 
1.026E+00   5.506E+00  2.522E+00 
1.039E+00   5.541E+00  2.527E+00 
1.053E+00   5.577E+00  2.531E+00 
1.067E+00   5.613E+00  2.536E+00 
1.081E+00   5.650E+00  2.540E+00 
1.095E+00   5.686E+00  2.545E+00 
1.109E+00   5.723E+00  2.549E+00 
1.123E+00   5.760E+00  2.554E+00 
1.138E+00   5.797E+00  2.558E+00 
1.153E+00   5.835E+00  2.563E+00 
1.168E+00   5.873E+00  2.567E+00 
1.183E+00   5.911E+00  2.571E+00 
1.198E+00   5.949E+00  2.575E+00 
1.214E+00   5.988E+00  2.580E+00 
1.229E+00   6.026E+00  2.584E+00 
1.245E+00   6.065E+00  2.588E+00 
1.262E+00   6.105E+00  2.592E+00 
1.278E+00   6.144E+00  2.596E+00 
1.295E+00   6.184E+00  2.600E+00 
1.311E+00   6.224E+00  2.604E+00 
1.329E+00   6.264E+00  2.608E+00 
1.346E+00   6.305E+00  2.611E+00 
1.363E+00   6.346E+00  2.615E+00 
1.381E+00   6.387E+00  2.619E+00 
1.399E+00   6.428E+00  2.623E+00 
1.417E+00   6.470E+00  2.626E+00 
1.436E+00   6.512E+00  2.630E+00 
1.454E+00   6.554E+00  2.633E+00 
1.473E+00   6.597E+00  2.637E+00 
1.492E+00   6.639E+00  2.640E+00 
1.512E+00   6.682E+00  2.643E+00 
1.531E+00   6.726E+00  2.647E+00 
1.551E+00   6.769E+00  2.650E+00 
1.571E+00   6.813E+00  2.653E+00 
1.592E+00   6.857E+00  2.656E+00 
1.612E+00   6.902E+00  2.659E+00 
1.633E+00   6.946E+00  2.662E+00 
1.655E+00   6.991E+00  2.665E+00 
1.676E+00   7.037E+00  2.668E+00 
1.698E+00   7.082E+00  2.671E+00 
1.720E+00   7.128E+00  2.674E+00 
1.742E+00   7.174E+00  2.677E+00 
1.765E+00   7.221E+00  2.679E+00 
1.788E+00   7.267E+00  2.682E+00 
1.811E+00   7.314E+00  2.685E+00 
1.835E+00   7.362E+00  2.687E+00 
1.859E+00   7.409E+00  2.690E+00 
1.883E+00   7.457E+00  2.692E+00 
1.907E+00   7.506E+00  2.694E+00 
1.932E+00   7.554E+00  2.697E+00 
1.957E+00   7.603E+00  2.699E+00 
1.983E+00   7.653E+00  2.701E+00 
2.008E+00   7.702E+00  2.703E+00 
2.034E+00   7.752E+00  2.705E+00 
2.061E+00   7.802E+00  2.707E+00 
2.088E+00   7.853E+00  2.709E+00 
2.115E+00   7.904E+00  2.711E+00 
2.142E+00   7.955E+00  2.713E+00 
2.170E+00   8.006E+00  2.715E+00 
2.198E+00   8.058E+00  2.717E+00 
2.227E+00   8.110E+00  2.718E+00 
2.256E+00   8.163E+00  2.720E+00 
2.285E+00   8.216E+00  2.721E+00 
2.315E+00   8.269E+00  2.723E+00 
2.345E+00   8.323E+00  2.724E+00 
2.375E+00   8.377E+00  2.726E+00 
2.406E+00   8.431E+00  2.727E+00 
2.438E+00   8.485E+00  2.728E+00 
2.469E+00   8.540E+00  2.729E+00 
2.501E+00   8.596E+00  2.730E+00 
2.534E+00   8.651E+00  2.731E+00 
2.567E+00   8.707E+00  2.732E+00 
2.600E+00   8.764E+00  2.733E+00 
2.634E+00   8.821E+00  2.734E+00 
2.668E+00   8.878E+00  2.735E+00 
2.703E+00   8.935E+00  2.735E+00 
2.738E+00   8.993E+00  2.736E+00 
2.773E+00   9.051E+00  2.737E+00 
2.810E+00   9.110E+00  2.737E+00 
