Ion = Helium      . Mass = 4.0026
Tgt = Ag (Solid). Density = 10.473 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.858E+00  2.504E+00 
1.013E+00   4.890E+00  2.509E+00 
1.026E+00   4.921E+00  2.514E+00 
1.039E+00   4.953E+00  2.519E+00 
1.053E+00   4.985E+00  2.523E+00 
1.067E+00   5.017E+00  2.528E+00 
1.081E+00   5.050E+00  2.533E+00 
1.095E+00   5.083E+00  2.537E+00 
1.109E+00   5.116E+00  2.542E+00 
1.123E+00   5.149E+00  2.546E+00 
1.138E+00   5.182E+00  2.551E+00 
1.153E+00   5.216E+00  2.555E+00 
1.168E+00   5.249E+00  2.560E+00 
1.183E+00   5.283E+00  2.564E+00 
1.198E+00   5.318E+00  2.568E+00 
1.214E+00   5.352E+00  2.573E+00 
1.229E+00   5.387E+00  2.577E+00 
1.245E+00   5.422E+00  2.581E+00 
1.262E+00   5.457E+00  2.585E+00 
1.278E+00   5.492E+00  2.589E+00 
1.295E+00   5.528E+00  2.593E+00 
1.311E+00   5.563E+00  2.597E+00 
1.329E+00   5.600E+00  2.601E+00 
1.346E+00   5.636E+00  2.605E+00 
1.363E+00   5.672E+00  2.609E+00 
1.381E+00   5.709E+00  2.613E+00 
1.399E+00   5.746E+00  2.617E+00 
1.417E+00   5.783E+00  2.620E+00 
1.436E+00   5.821E+00  2.624E+00 
1.454E+00   5.858E+00  2.628E+00 
1.473E+00   5.896E+00  2.631E+00 
1.492E+00   5.935E+00  2.635E+00 
1.512E+00   5.973E+00  2.638E+00 
1.531E+00   6.012E+00  2.642E+00 
1.551E+00   6.051E+00  2.645E+00 
1.571E+00   6.090E+00  2.648E+00 
1.592E+00   6.129E+00  2.652E+00 
1.612E+00   6.169E+00  2.655E+00 
1.633E+00   6.209E+00  2.658E+00 
1.655E+00   6.249E+00  2.661E+00 
1.676E+00   6.290E+00  2.664E+00 
1.698E+00   6.330E+00  2.667E+00 
1.720E+00   6.371E+00  2.670E+00 
1.742E+00   6.413E+00  2.673E+00 
1.765E+00   6.454E+00  2.676E+00 
1.788E+00   6.496E+00  2.678E+00 
1.811E+00   6.538E+00  2.681E+00 
1.835E+00   6.580E+00  2.684E+00 
1.859E+00   6.623E+00  2.686E+00 
1.883E+00   6.666E+00  2.689E+00 
1.907E+00   6.709E+00  2.692E+00 
1.932E+00   6.753E+00  2.694E+00 
1.957E+00   6.796E+00  2.696E+00 
1.983E+00   6.840E+00  2.699E+00 
2.008E+00   6.885E+00  2.701E+00 
2.034E+00   6.929E+00  2.703E+00 
2.061E+00   6.974E+00  2.705E+00 
2.088E+00   7.019E+00  2.707E+00 
2.115E+00   7.065E+00  2.709E+00 
2.142E+00   7.110E+00  2.711E+00 
2.170E+00   7.157E+00  2.713E+00 
2.198E+00   7.203E+00  2.715E+00 
2.227E+00   7.250E+00  2.717E+00 
2.256E+00   7.296E+00  2.719E+00 
2.285E+00   7.344E+00  2.720E+00 
2.315E+00   7.391E+00  2.722E+00 
2.345E+00   7.439E+00  2.723E+00 
2.375E+00   7.487E+00  2.725E+00 
2.406E+00   7.536E+00  2.726E+00 
