Ion = Helium      . Mass = 4.0026
Tgt = Cd (Solid). Density = 8.642 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.514E+00  2.400E+00 
1.013E+00   4.543E+00  2.405E+00 
1.026E+00   4.573E+00  2.410E+00 
1.039E+00   4.602E+00  2.415E+00 
1.053E+00   4.632E+00  2.420E+00 
1.067E+00   4.662E+00  2.424E+00 
1.081E+00   4.692E+00  2.429E+00 
1.095E+00   4.723E+00  2.434E+00 
1.109E+00   4.753E+00  2.439E+00 
1.123E+00   4.784E+00  2.443E+00 
1.138E+00   4.815E+00  2.448E+00 
1.153E+00   4.846E+00  2.452E+00 
1.168E+00   4.878E+00  2.457E+00 
1.183E+00   4.909E+00  2.462E+00 
1.198E+00   4.941E+00  2.466E+00 
1.214E+00   4.973E+00  2.470E+00 
1.229E+00   5.005E+00  2.475E+00 
1.245E+00   5.038E+00  2.479E+00 
1.262E+00   5.070E+00  2.483E+00 
1.278E+00   5.103E+00  2.488E+00 
1.295E+00   5.136E+00  2.492E+00 
1.311E+00   5.169E+00  2.496E+00 
1.329E+00   5.203E+00  2.500E+00 
1.346E+00   5.237E+00  2.504E+00 
1.363E+00   5.270E+00  2.508E+00 
1.381E+00   5.305E+00  2.512E+00 
1.399E+00   5.339E+00  2.516E+00 
1.417E+00   5.374E+00  2.520E+00 
1.436E+00   5.408E+00  2.524E+00 
1.454E+00   5.443E+00  2.528E+00 
1.473E+00   5.479E+00  2.531E+00 
1.492E+00   5.514E+00  2.535E+00 
1.512E+00   5.550E+00  2.539E+00 
1.531E+00   5.586E+00  2.542E+00 
1.551E+00   5.622E+00  2.546E+00 
1.571E+00   5.658E+00  2.549E+00 
1.592E+00   5.695E+00  2.553E+00 
1.612E+00   5.732E+00  2.556E+00 
1.633E+00   5.769E+00  2.560E+00 
1.655E+00   5.806E+00  2.563E+00 
1.676E+00   5.844E+00  2.566E+00 
1.698E+00   5.882E+00  2.570E+00 
1.720E+00   5.920E+00  2.573E+00 
1.742E+00   5.958E+00  2.576E+00 
1.765E+00   5.997E+00  2.579E+00 
1.788E+00   6.036E+00  2.582E+00 
1.811E+00   6.075E+00  2.585E+00 
1.835E+00   6.114E+00  2.588E+00 
1.859E+00   6.154E+00  2.591E+00 
1.883E+00   6.194E+00  2.593E+00 
1.907E+00   6.234E+00  2.596E+00 
1.932E+00   6.274E+00  2.599E+00 
1.957E+00   6.315E+00  2.601E+00 
1.983E+00   6.356E+00  2.604E+00 
2.008E+00   6.397E+00  2.607E+00 
2.034E+00   6.438E+00  2.609E+00 
2.061E+00   6.480E+00  2.611E+00 
2.088E+00   6.522E+00  2.614E+00 
2.115E+00   6.564E+00  2.616E+00 
2.142E+00   6.607E+00  2.618E+00 
2.170E+00   6.650E+00  2.620E+00 
2.198E+00   6.693E+00  2.623E+00 
2.227E+00   6.736E+00  2.625E+00 
2.256E+00   6.780E+00  2.627E+00 
2.285E+00   6.823E+00  2.629E+00 
2.315E+00   6.868E+00  2.630E+00 
2.345E+00   6.912E+00  2.632E+00 
2.375E+00   6.957E+00  2.634E+00 
2.406E+00   7.002E+00  2.636E+00 
2.438E+00   7.047E+00  2.637E+00 
2.469E+00   7.093E+00  2.639E+00 
2.501E+00   7.139E+00  2.641E+00 
2.534E+00   7.185E+00  2.642E+00 
2.567E+00   7.232E+00  2.643E+00 
2.600E+00   7.279E+00  2.645E+00 
2.634E+00   7.326E+00  2.646E+00 
2.668E+00   7.373E+00  2.647E+00 
2.703E+00   7.421E+00  2.648E+00 
2.738E+00   7.469E+00  2.649E+00 
2.773E+00   7.517E+00  2.651E+00 
2.810E+00   7.566E+00  2.651E+00 
2.846E+00   7.615E+00  2.652E+00 
2.883E+00   7.664E+00  2.653E+00 
2.921E+00   7.714E+00  2.654E+00 
2.958E+00   7.764E+00  2.655E+00 
2.997E+00   7.814E+00  2.655E+00 
3.036E+00   7.865E+00  2.656E+00 
3.075E+00   7.916E+00  2.656E+00 
3.115E+00   7.967E+00  2.657E+00 
3.156E+00   8.019E+00  2.657E+00 
3.197E+00   8.071E+00  2.657E+00 
3.238E+00   8.123E+00  2.658E+00 
3.280E+00   8.176E+00  2.658E+00 
3.323E+00   8.229E+00  2.658E+00 
3.366E+00   8.282E+00  2.658E+00 
3.410E+00   8.335E+00  2.658E+00 
3.454E+00   8.389E+00  2.658E+00 
3.499E+00   8.444E+00  2.658E+00 
3.545E+00   8.498E+00  2.657E+00 
3.591E+00   8.554E+00  2.657E+00 
3.637E+00   8.609E+00  2.657E+00 
3.685E+00   8.665E+00  2.656E+00 
3.733E+00   8.721E+00  2.656E+00 
3.781E+00   8.777E+00  2.655E+00 
3.830E+00   8.834E+00  2.655E+00 
3.880E+00   8.891E+00  2.654E+00 
3.930E+00   8.949E+00  2.653E+00 
3.982E+00   9.007E+00  2.652E+00 
4.033E+00   9.065E+00  2.651E+00 
4.086E+00   9.124E+00  2.650E+00 
4.139E+00   9.183E+00  2.649E+00 
4.193E+00   9.243E+00  2.648E+00 
4.247E+00   9.302E+00  2.647E+00 
4.302E+00   9.363E+00  2.645E+00 
4.358E+00   9.423E+00  2.644E+00 
4.415E+00   9.484E+00  2.643E+00 
4.472E+00   9.546E+00  2.641E+00 
4.530E+00   9.608E+00  2.640E+00 
4.589E+00   9.670E+00  2.638E+00 
4.649E+00   9.733E+00  2.636E+00 
4.709E+00   9.796E+00  2.634E+00 
4.770E+00   9.859E+00  2.632E+00 
4.832E+00   9.923E+00  2.631E+00 
4.895E+00   9.987E+00  2.629E+00 
4.959E+00   1.005E+01  2.626E+00 
5.023E+00   1.012E+01  2.624E+00 
5.089E+00   1.018E+01  2.622E+00 
5.155E+00   1.025E+01  2.620E+00 
5.222E+00   1.031E+01  2.617E+00 
5.290E+00   1.038E+01  2.615E+00 
5.358E+00   1.045E+01  2.612E+00 
5.428E+00   1.052E+01  2.610E+00 
5.499E+00   1.058E+01  2.607E+00 
5.570E+00   1.065E+01  2.604E+00 
5.642E+00   1.072E+01  2.601E+00 
5.716E+00   1.079E+01  2.599E+00 
5.790E+00   1.086E+01  2.596E+00 
5.865E+00   1.093E+01  2.593E+00 
5.942E+00   1.100E+01  2.589E+00 
6.019E+00   1.107E+01  2.586E+00 
6.097E+00   1.115E+01  2.583E+00 
6.176E+00   1.122E+01  2.580E+00 
6.256E+00   1.129E+01  2.576E+00 
6.338E+00   1.136E+01  2.573E+00 
6.420E+00   1.144E+01  2.569E+00 
6.504E+00   1.151E+01  2.566E+00 
6.588E+00   1.159E+01  2.562E+00 
6.674E+00   1.166E+01  2.558E+00 
6.760E+00   1.174E+01  2.554E+00 
6.848E+00   1.181E+01  2.550E+00 
6.937E+00   1.189E+01  2.546E+00 
7.027E+00   1.197E+01  2.542E+00 
7.119E+00   1.204E+01  2.538E+00 
7.211E+00   1.212E+01  2.534E+00 
7.305E+00   1.220E+01  2.530E+00 
7.400E+00   1.228E+01  2.525E+00 
7.496E+00   1.236E+01  2.521E+00 
7.594E+00   1.244E+01  2.517E+00 
7.692E+00   1.252E+01  2.512E+00 
7.792E+00   1.260E+01  2.507E+00 
7.894E+00   1.268E+01  2.503E+00 
7.996E+00   1.276E+01  2.498E+00 
8.100E+00   1.286E+01  2.493E+00 
8.205E+00   1.296E+01  2.488E+00 
8.312E+00   1.306E+01  2.483E+00 
8.420E+00   1.315E+01  2.478E+00 
8.529E+00   1.325E+01  2.473E+00 
8.640E+00   1.336E+01  2.468E+00 
8.753E+00   1.346E+01  2.463E+00 
8.866E+00   1.356E+01  2.457E+00 
8.982E+00   1.366E+01  2.452E+00 
9.098E+00   1.377E+01  2.447E+00 
9.217E+00   1.387E+01  2.441E+00 
9.336E+00   1.398E+01  2.436E+00 
9.458E+00   1.408E+01  2.430E+00 
9.581E+00   1.419E+01  2.424E+00 
9.705E+00   1.430E+01  2.419E+00 
9.831E+00   1.441E+01  2.413E+00 
9.959E+00   1.452E+01  2.407E+00 
1.009E+01   1.463E+01  2.401E+00 
1.022E+01   1.474E+01  2.395E+00 
1.035E+01   1.485E+01  2.389E+00 
1.049E+01   1.497E+01  2.383E+00 
1.062E+01   1.508E+01  2.376E+00 
1.076E+01   1.520E+01  2.370E+00 
1.090E+01   1.531E+01  2.364E+00 
1.104E+01   1.543E+01  2.358E+00 
1.119E+01   1.555E+01  2.351E+00 
1.133E+01   1.566E+01  2.345E+00 
1.148E+01   1.578E+01  2.338E+00 
1.163E+01   1.591E+01  2.331E+00 
1.178E+01   1.603E+01  2.325E+00 
1.193E+01   1.615E+01  2.318E+00 
1.209E+01   1.627E+01  2.311E+00 
1.224E+01   1.640E+01  2.304E+00 
1.240E+01   1.652E+01  2.298E+00 
1.256E+01   1.665E+01  2.291E+00 
1.273E+01   1.678E+01  2.284E+00 
1.289E+01   1.691E+01  2.277E+00 
1.306E+01   1.704E+01  2.269E+00 
1.323E+01   1.717E+01  2.262E+00 
1.340E+01   1.730E+01  2.255E+00 
1.358E+01   1.743E+01  2.248E+00 
1.375E+01   1.756E+01  2.241E+00 
1.393E+01   1.770E+01  2.233E+00 
1.411E+01   1.783E+01  2.226E+00 
1.430E+01   1.797E+01  2.218E+00 
1.448E+01   1.811E+01  2.211E+00 
1.467E+01   1.825E+01  2.203E+00 
1.486E+01   1.839E+01  2.196E+00 
1.505E+01   1.853E+01  2.188E+00 
1.525E+01   1.867E+01  2.180E+00 
1.545E+01   1.881E+01  2.173E+00 
1.565E+01   1.896E+01  2.165E+00 
1.585E+01   1.910E+01  2.157E+00 
1.606E+01   1.925E+01  2.149E+00 
1.627E+01   1.940E+01  2.141E+00 
1.648E+01   1.955E+01  2.133E+00 
1.669E+01   1.970E+01  2.125E+00 
1.691E+01   1.985E+01  2.117E+00 
1.713E+01   2.000E+01  2.109E+00 
1.735E+01   2.016E+01  2.101E+00 
1.758E+01   2.031E+01  2.093E+00 
1.781E+01   2.047E+01  2.085E+00 
1.804E+01   2.062E+01  2.077E+00 
1.827E+01   2.078E+01  2.069E+00 
1.851E+01   2.094E+01  2.060E+00 
1.875E+01   2.110E+01  2.052E+00 
1.899E+01   2.126E+01  2.044E+00 
1.924E+01   2.143E+01  2.035E+00 
1.949E+01   2.159E+01  2.027E+00 
1.974E+01   2.176E+01  2.018E+00 
2.000E+01   2.193E+01  2.010E+00 
2.026E+01   2.209E+01  2.001E+00 
