Ion = Helium      . Mass = 4.0026
Tgt = In (Solid). Density = 7.3 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.257E+00  2.389E+00 
1.013E+00   4.284E+00  2.395E+00 
1.026E+00   4.312E+00  2.400E+00 
1.039E+00   4.340E+00  2.406E+00 
1.053E+00   4.368E+00  2.411E+00 
1.067E+00   4.396E+00  2.417E+00 
1.081E+00   4.425E+00  2.422E+00 
1.095E+00   4.453E+00  2.427E+00 
1.109E+00   4.482E+00  2.432E+00 
1.123E+00   4.511E+00  2.438E+00 
1.138E+00   4.540E+00  2.443E+00 
1.153E+00   4.570E+00  2.448E+00 
1.168E+00   4.599E+00  2.453E+00 
1.183E+00   4.629E+00  2.458E+00 
1.198E+00   4.659E+00  2.463E+00 
1.214E+00   4.689E+00  2.468E+00 
1.229E+00   4.720E+00  2.473E+00 
1.245E+00   4.750E+00  2.478E+00 
1.262E+00   4.781E+00  2.483E+00 
1.278E+00   4.812E+00  2.488E+00 
1.295E+00   4.843E+00  2.493E+00 
1.311E+00   4.875E+00  2.498E+00 
1.329E+00   4.906E+00  2.502E+00 
1.346E+00   4.938E+00  2.507E+00 
1.363E+00   4.970E+00  2.512E+00 
1.381E+00   5.002E+00  2.516E+00 
1.399E+00   5.035E+00  2.521E+00 
1.417E+00   5.067E+00  2.525E+00 
1.436E+00   5.100E+00  2.530E+00 
1.454E+00   5.133E+00  2.534E+00 
1.473E+00   5.166E+00  2.538E+00 
1.492E+00   5.200E+00  2.543E+00 
1.512E+00   5.233E+00  2.547E+00 
1.531E+00   5.267E+00  2.551E+00 
1.551E+00   5.301E+00  2.555E+00 
1.571E+00   5.336E+00  2.560E+00 
1.592E+00   5.370E+00  2.564E+00 
1.612E+00   5.405E+00  2.568E+00 
1.633E+00   5.440E+00  2.572E+00 
1.655E+00   5.475E+00  2.576E+00 
1.676E+00   5.511E+00  2.579E+00 
1.698E+00   5.547E+00  2.583E+00 
1.720E+00   5.582E+00  2.587E+00 
1.742E+00   5.619E+00  2.591E+00 
1.765E+00   5.655E+00  2.594E+00 
1.788E+00   5.692E+00  2.598E+00 
1.811E+00   5.729E+00  2.602E+00 
1.835E+00   5.766E+00  2.605E+00 
1.859E+00   5.803E+00  2.609E+00 
1.883E+00   5.841E+00  2.612E+00 
1.907E+00   5.878E+00  2.615E+00 
1.932E+00   5.916E+00  2.619E+00 
1.957E+00   5.955E+00  2.622E+00 
1.983E+00   5.993E+00  2.625E+00 
2.008E+00   6.032E+00  2.628E+00 
2.034E+00   6.071E+00  2.631E+00 
2.061E+00   6.111E+00  2.634E+00 
2.088E+00   6.150E+00  2.637E+00 
2.115E+00   6.190E+00  2.640E+00 
2.142E+00   6.230E+00  2.643E+00 
2.170E+00   6.270E+00  2.646E+00 
2.198E+00   6.311E+00  2.648E+00 
2.227E+00   6.352E+00  2.651E+00 
2.256E+00   6.393E+00  2.654E+00 
2.285E+00   6.435E+00  2.656E+00 
2.315E+00   6.476E+00  2.658E+00 
2.345E+00   6.518E+00  2.661E+00 
2.375E+00   6.560E+00  2.663E+00 
2.406E+00   6.603E+00  2.666E+00 
2.438E+00   6.646E+00  2.668E+00 
2.469E+00   6.689E+00  2.670E+00 
2.501E+00   6.732E+00  2.672E+00 
2.534E+00   6.776E+00  2.674E+00 
2.567E+00   6.819E+00  2.676E+00 
2.600E+00   6.864E+00  2.678E+00 
2.634E+00   6.908E+00  2.680E+00 
2.668E+00   6.953E+00  2.681E+00 
2.703E+00   6.998E+00  2.683E+00 
2.738E+00   7.043E+00  2.685E+00 
2.773E+00   7.089E+00  2.686E+00 
2.810E+00   7.135E+00  2.688E+00 
2.846E+00   7.181E+00  2.689E+00 
2.883E+00   7.227E+00  2.691E+00 
2.921E+00   7.274E+00  2.692E+00 
2.958E+00   7.321E+00  2.693E+00 
2.997E+00   7.369E+00  2.694E+00 
3.036E+00   7.417E+00  2.695E+00 
3.075E+00   7.465E+00  2.696E+00 
3.115E+00   7.513E+00  2.697E+00 
3.156E+00   7.562E+00  2.698E+00 
3.197E+00   7.611E+00  2.699E+00 
3.238E+00   7.660E+00  2.700E+00 
3.280E+00   7.710E+00  2.700E+00 
3.323E+00   7.759E+00  2.701E+00 
3.366E+00   7.810E+00  2.701E+00 
3.410E+00   7.860E+00  2.702E+00 
3.454E+00   7.911E+00  2.702E+00 
3.499E+00   7.962E+00  2.703E+00 
3.545E+00   8.014E+00  2.703E+00 
3.591E+00   8.066E+00  2.703E+00 
3.637E+00   8.118E+00  2.703E+00 
3.685E+00   8.171E+00  2.703E+00 
3.733E+00   8.224E+00  2.703E+00 
3.781E+00   8.277E+00  2.703E+00 
3.830E+00   8.331E+00  2.703E+00 
3.880E+00   8.385E+00  2.702E+00 
3.930E+00   8.439E+00  2.702E+00 
3.982E+00   8.493E+00  2.701E+00 
4.033E+00   8.549E+00  2.701E+00 
4.086E+00   8.604E+00  2.700E+00 
4.139E+00   8.660E+00  2.700E+00 
4.193E+00   8.716E+00  2.699E+00 
4.247E+00   8.772E+00  2.698E+00 
4.302E+00   8.829E+00  2.697E+00 
4.358E+00   8.886E+00  2.696E+00 
4.415E+00   8.944E+00  2.695E+00 
4.472E+00   9.002E+00  2.694E+00 
4.530E+00   9.060E+00  2.693E+00 
4.589E+00   9.119E+00  2.691E+00 
4.649E+00   9.178E+00  2.690E+00 
4.709E+00   9.237E+00  2.689E+00 
4.770E+00   9.297E+00  2.687E+00 
4.832E+00   9.357E+00  2.685E+00 
4.895E+00   9.418E+00  2.684E+00 
4.959E+00   9.479E+00  2.682E+00 
5.023E+00   9.540E+00  2.680E+00 
5.089E+00   9.602E+00  2.678E+00 
5.155E+00   9.664E+00  2.676E+00 
5.222E+00   9.727E+00  2.674E+00 
5.290E+00   9.790E+00  2.672E+00 
5.358E+00   9.853E+00  2.670E+00 
5.428E+00   9.917E+00  2.668E+00 
5.499E+00   9.981E+00  2.665E+00 
5.570E+00   1.005E+01  2.663E+00 
5.642E+00   1.011E+01  2.660E+00 
5.716E+00   1.018E+01  2.657E+00 
5.790E+00   1.024E+01  2.655E+00 
5.865E+00   1.031E+01  2.652E+00 
