Ion = Helium      . Mass = 4.0026
Tgt =  B (Solid). Density = 2.3502 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   2.830E+00  3.142E+00 
1.013E+00   2.848E+00  3.134E+00 
1.026E+00   2.866E+00  3.125E+00 
1.039E+00   2.885E+00  3.116E+00 
1.053E+00   2.904E+00  3.107E+00 
1.067E+00   2.922E+00  3.098E+00 
1.081E+00   2.941E+00  3.089E+00 
1.095E+00   2.960E+00  3.080E+00 
1.109E+00   2.979E+00  3.070E+00 
1.123E+00   2.999E+00  3.061E+00 
1.138E+00   3.018E+00  3.051E+00 
1.153E+00   3.038E+00  3.042E+00 
1.168E+00   3.057E+00  3.032E+00 
1.183E+00   3.077E+00  3.023E+00 
1.198E+00   3.097E+00  3.013E+00 
1.214E+00   3.117E+00  3.003E+00 
1.229E+00   3.137E+00  2.993E+00 
1.245E+00   3.158E+00  2.983E+00 
1.262E+00   3.178E+00  2.973E+00 
1.278E+00   3.199E+00  2.963E+00 
1.295E+00   3.220E+00  2.953E+00 
1.311E+00   3.240E+00  2.943E+00 
1.329E+00   3.261E+00  2.932E+00 
1.346E+00   3.282E+00  2.922E+00 
1.363E+00   3.304E+00  2.911E+00 
1.381E+00   3.325E+00  2.901E+00 
1.399E+00   3.347E+00  2.890E+00 
1.417E+00   3.368E+00  2.880E+00 
1.436E+00   3.390E+00  2.869E+00 
1.454E+00   3.412E+00  2.858E+00 
1.473E+00   3.434E+00  2.848E+00 
1.492E+00   3.456E+00  2.837E+00 
1.512E+00   3.479E+00  2.826E+00 
1.531E+00   3.501E+00  2.815E+00 
1.551E+00   3.524E+00  2.804E+00 
1.571E+00   3.547E+00  2.793E+00 
1.592E+00   3.570E+00  2.782E+00 
1.612E+00   3.593E+00  2.771E+00 
1.633E+00   3.616E+00  2.759E+00 
1.655E+00   3.640E+00  2.748E+00 
1.676E+00   3.663E+00  2.737E+00 
1.698E+00   3.687E+00  2.725E+00 
1.720E+00   3.711E+00  2.714E+00 
1.742E+00   3.735E+00  2.703E+00 
1.765E+00   3.759E+00  2.691E+00 
1.788E+00   3.783E+00  2.680E+00 
1.811E+00   3.808E+00  2.668E+00 
1.835E+00   3.833E+00  2.656E+00 
1.859E+00   3.857E+00  2.645E+00 
1.883E+00   3.882E+00  2.633E+00 
1.907E+00   3.908E+00  2.621E+00 
1.932E+00   3.933E+00  2.610E+00 
1.957E+00   3.958E+00  2.598E+00 
1.983E+00   3.984E+00  2.586E+00 
2.008E+00   4.010E+00  2.574E+00 
2.034E+00   4.036E+00  2.562E+00 
2.061E+00   4.062E+00  2.551E+00 
2.088E+00   4.088E+00  2.539E+00 
2.115E+00   4.115E+00  2.527E+00 
2.142E+00   4.141E+00  2.515E+00 
2.170E+00   4.168E+00  2.503E+00 
2.198E+00   4.195E+00  2.491E+00 
2.227E+00   4.222E+00  2.479E+00 
2.256E+00   4.250E+00  2.467E+00 
2.285E+00   4.277E+00  2.455E+00 
2.315E+00   4.305E+00  2.443E+00 
2.345E+00   4.333E+00  2.430E+00 
2.375E+00   4.361E+00  2.418E+00 
2.406E+00   4.389E+00  2.406E+00 
2.438E+00   4.418E+00  2.394E+00 
2.469E+00   4.446E+00  2.382E+00 
2.501E+00   4.475E+00  2.370E+00 
2.534E+00   4.504E+00  2.357E+00 
2.567E+00   4.533E+00  2.345E+00 
2.600E+00   4.563E+00  2.333E+00 
2.634E+00   4.592E+00  2.321E+00 
2.668E+00   4.622E+00  2.309E+00 
2.703E+00   4.652E+00  2.296E+00 
2.738E+00   4.682E+00  2.284E+00 
2.773E+00   4.712E+00  2.272E+00 
2.810E+00   4.743E+00  2.260E+00 
2.846E+00   4.773E+00  2.247E+00 
2.883E+00   4.804E+00  2.235E+00 
2.921E+00   4.835E+00  2.223E+00 
2.958E+00   4.867E+00  2.211E+00 
2.997E+00   4.898E+00  2.198E+00 
3.036E+00   4.930E+00  2.186E+00 
3.075E+00   4.962E+00  2.174E+00 
3.115E+00   4.994E+00  2.162E+00 
3.156E+00   5.026E+00  2.149E+00 
3.197E+00   5.059E+00  2.137E+00 
3.238E+00   5.092E+00  2.125E+00 
3.280E+00   5.125E+00  2.113E+00 
3.323E+00   5.158E+00  2.101E+00 
3.366E+00   5.191E+00  2.088E+00 
3.410E+00   5.225E+00  2.076E+00 
3.454E+00   5.259E+00  2.064E+00 
3.499E+00   5.293E+00  2.052E+00 
3.545E+00   5.327E+00  2.040E+00 
3.591E+00   5.362E+00  2.028E+00 
3.637E+00   5.396E+00  2.016E+00 
3.685E+00   5.431E+00  2.003E+00 
3.733E+00   5.467E+00  1.991E+00 
3.781E+00   5.502E+00  1.979E+00 
3.830E+00   5.538E+00  1.967E+00 
3.880E+00   5.573E+00  1.955E+00 
3.930E+00   5.610E+00  1.943E+00 
3.982E+00   5.646E+00  1.931E+00 
4.033E+00   5.683E+00  1.919E+00 
4.086E+00   5.719E+00  1.907E+00 
4.139E+00   5.756E+00  1.895E+00 
4.193E+00   5.794E+00  1.884E+00 
4.247E+00   5.831E+00  1.872E+00 
4.302E+00   5.869E+00  1.860E+00 
4.358E+00   5.907E+00  1.848E+00 
4.415E+00   5.945E+00  1.836E+00 
4.472E+00   5.984E+00  1.824E+00 
4.530E+00   6.022E+00  1.813E+00 
4.589E+00   6.061E+00  1.801E+00 
4.649E+00   6.101E+00  1.789E+00 
4.709E+00   6.140E+00  1.778E+00 
4.770E+00   6.180E+00  1.766E+00 
4.832E+00   6.220E+00  1.754E+00 
4.895E+00   6.260E+00  1.743E+00 
4.959E+00   6.301E+00  1.731E+00 
5.023E+00   6.342E+00  1.720E+00 
5.089E+00   6.383E+00  1.708E+00 
5.155E+00   6.424E+00  1.697E+00 
5.222E+00   6.466E+00  1.686E+00 
5.290E+00   6.508E+00  1.674E+00 
5.358E+00   6.550E+00  1.663E+00 
5.428E+00   6.592E+00  1.652E+00 
5.499E+00   6.635E+00  1.640E+00 
