Ion = Helium      . Mass = 4.0026
Tgt = Sb (Solid). Density = 6.684 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.738E+00  2.296E+00 
1.013E+00   5.775E+00  2.302E+00 
1.026E+00   5.812E+00  2.307E+00 
1.039E+00   5.850E+00  2.312E+00 
1.053E+00   5.888E+00  2.317E+00 
1.067E+00   5.926E+00  2.322E+00 
1.081E+00   5.965E+00  2.327E+00 
1.095E+00   6.003E+00  2.332E+00 
1.109E+00   6.042E+00  2.337E+00 
1.123E+00   6.081E+00  2.342E+00 
1.138E+00   6.121E+00  2.346E+00 
1.153E+00   6.160E+00  2.351E+00 
1.168E+00   6.200E+00  2.356E+00 
1.183E+00   6.240E+00  2.361E+00 
1.198E+00   6.281E+00  2.365E+00 
1.214E+00   6.321E+00  2.370E+00 
1.229E+00   6.362E+00  2.375E+00 
1.245E+00   6.404E+00  2.379E+00 
1.262E+00   6.445E+00  2.384E+00 
1.278E+00   6.487E+00  2.388E+00 
1.295E+00   6.529E+00  2.393E+00 
1.311E+00   6.571E+00  2.397E+00 
1.329E+00   6.614E+00  2.402E+00 
1.346E+00   6.656E+00  2.406E+00 
1.363E+00   6.700E+00  2.410E+00 
1.381E+00   6.743E+00  2.415E+00 
1.399E+00   6.787E+00  2.419E+00 
1.417E+00   6.831E+00  2.423E+00 
1.436E+00   6.875E+00  2.427E+00 
1.454E+00   6.919E+00  2.431E+00 
1.473E+00   6.964E+00  2.435E+00 
1.492E+00   7.009E+00  2.439E+00 
1.512E+00   7.055E+00  2.443E+00 
1.531E+00   7.100E+00  2.447E+00 
1.551E+00   7.146E+00  2.451E+00 
1.571E+00   7.193E+00  2.455E+00 
1.592E+00   7.239E+00  2.459E+00 
1.612E+00   7.286E+00  2.462E+00 
1.633E+00   7.333E+00  2.466E+00 
1.655E+00   7.381E+00  2.470E+00 
1.676E+00   7.429E+00  2.473E+00 
1.698E+00   7.477E+00  2.477E+00 
1.720E+00   7.525E+00  2.480E+00 
1.742E+00   7.574E+00  2.484E+00 
1.765E+00   7.623E+00  2.487E+00 
1.788E+00   7.672E+00  2.491E+00 
1.811E+00   7.722E+00  2.494E+00 
1.835E+00   7.772E+00  2.497E+00 
1.859E+00   7.822E+00  2.500E+00 
1.883E+00   7.873E+00  2.504E+00 
1.907E+00   7.924E+00  2.507E+00 
1.932E+00   7.975E+00  2.510E+00 
1.957E+00   8.027E+00  2.513E+00 
