Ion = Helium      . Mass = 4.0026
Tgt = Te (Solid). Density = 6.25 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   4.960E+00  2.188E+00 
1.013E+00   4.992E+00  2.193E+00 
1.026E+00   5.024E+00  2.198E+00 
1.039E+00   5.057E+00  2.203E+00 
1.053E+00   5.090E+00  2.208E+00 
1.067E+00   5.122E+00  2.213E+00 
1.081E+00   5.156E+00  2.218E+00 
1.095E+00   5.189E+00  2.223E+00 
1.109E+00   5.223E+00  2.227E+00 
1.123E+00   5.257E+00  2.232E+00 
1.138E+00   5.291E+00  2.237E+00 
1.153E+00   5.325E+00  2.242E+00 
1.168E+00   5.359E+00  2.247E+00 
1.183E+00   5.394E+00  2.251E+00 
1.198E+00   5.429E+00  2.256E+00 
1.214E+00   5.464E+00  2.261E+00 
1.229E+00   5.500E+00  2.265E+00 
1.245E+00   5.535E+00  2.270E+00 
1.262E+00   5.571E+00  2.274E+00 
1.278E+00   5.607E+00  2.279E+00 
1.295E+00   5.643E+00  2.283E+00 
1.311E+00   5.680E+00  2.288E+00 
1.329E+00   5.717E+00  2.292E+00 
1.346E+00   5.754E+00  2.296E+00 
1.363E+00   5.791E+00  2.301E+00 
1.381E+00   5.829E+00  2.305E+00 
1.399E+00   5.866E+00  2.309E+00 
1.417E+00   5.904E+00  2.313E+00 
1.436E+00   5.943E+00  2.318E+00 
1.454E+00   5.981E+00  2.322E+00 
1.473E+00   6.020E+00  2.326E+00 
1.492E+00   6.059E+00  2.330E+00 
1.512E+00   6.098E+00  2.334E+00 
1.531E+00   6.138E+00  2.338E+00 
1.551E+00   6.177E+00  2.342E+00 
1.571E+00   6.217E+00  2.345E+00 
1.592E+00   6.258E+00  2.349E+00 
1.612E+00   6.298E+00  2.353E+00 
1.633E+00   6.339E+00  2.357E+00 
1.655E+00   6.380E+00  2.361E+00 
1.676E+00   6.421E+00  2.364E+00 
1.698E+00   6.463E+00  2.368E+00 
1.720E+00   6.505E+00  2.371E+00 
1.742E+00   6.547E+00  2.375E+00 
1.765E+00   6.589E+00  2.378E+00 
1.788E+00   6.632E+00  2.382E+00 
1.811E+00   6.675E+00  2.385E+00 
1.835E+00   6.718E+00  2.388E+00 
1.859E+00   6.762E+00  2.392E+00 
1.883E+00   6.805E+00  2.395E+00 
1.907E+00   6.850E+00  2.398E+00 
1.932E+00   6.894E+00  2.401E+00 
1.957E+00   6.939E+00  2.404E+00 
1.983E+00   6.983E+00  2.407E+00 
2.008E+00   7.029E+00  2.410E+00 
2.034E+00   7.074E+00  2.413E+00 
2.061E+00   7.120E+00  2.416E+00 
2.088E+00   7.166E+00  2.419E+00 
2.115E+00   7.213E+00  2.422E+00 
2.142E+00   7.259E+00  2.425E+00 
2.170E+00   7.306E+00  2.427E+00 
2.198E+00   7.354E+00  2.430E+00 
2.227E+00   7.401E+00  2.433E+00 
2.256E+00   7.449E+00  2.435E+00 
2.285E+00   7.497E+00  2.438E+00 
2.315E+00   7.546E+00  2.440E+00 
2.345E+00   7.595E+00  2.442E+00 
2.375E+00   7.644E+00  2.445E+00 
2.406E+00   7.694E+00  2.447E+00 
2.438E+00   7.743E+00  2.449E+00 
2.469E+00   7.794E+00  2.451E+00 
2.501E+00   7.844E+00  2.454E+00 
2.534E+00   7.895E+00  2.456E+00 
2.567E+00   7.946E+00  2.458E+00 
2.600E+00   7.998E+00  2.460E+00 
2.634E+00   8.049E+00  2.461E+00 
2.668E+00   8.101E+00  2.463E+00 
2.703E+00   8.154E+00  2.465E+00 
2.738E+00   8.207E+00  2.467E+00 
2.773E+00   8.260E+00  2.468E+00 
2.810E+00   8.313E+00  2.470E+00 
2.846E+00   8.367E+00  2.471E+00 
2.883E+00   8.421E+00  2.473E+00 
2.921E+00   8.476E+00  2.474E+00 
2.958E+00   8.531E+00  2.476E+00 
2.997E+00   8.586E+00  2.477E+00 
3.036E+00   8.642E+00  2.478E+00 
3.075E+00   8.698E+00  2.479E+00 
3.115E+00   8.754E+00  2.481E+00 
3.156E+00   8.811E+00  2.482E+00 
3.197E+00   8.868E+00  2.483E+00 
3.238E+00   8.925E+00  2.484E+00 
3.280E+00   8.983E+00  2.484E+00 
3.323E+00   9.041E+00  2.485E+00 
3.366E+00   9.100E+00  2.486E+00 
3.410E+00   9.159E+00  2.487E+00 
3.454E+00   9.218E+00  2.487E+00 
3.499E+00   9.278E+00  2.488E+00 
3.545E+00   9.338E+00  2.488E+00 
3.591E+00   9.398E+00  2.489E+00 
3.637E+00   9.459E+00  2.489E+00 
3.685E+00   9.521E+00  2.489E+00 
3.733E+00   9.582E+00  2.490E+00 
3.781E+00   9.644E+00  2.490E+00 
3.830E+00   9.707E+00  2.490E+00 
3.880E+00   9.770E+00  2.490E+00 
3.930E+00   9.833E+00  2.490E+00 
3.982E+00   9.897E+00  2.490E+00 
4.033E+00   9.961E+00  2.490E+00 
4.086E+00   1.003E+01  2.489E+00 
4.139E+00   1.009E+01  2.489E+00 
4.193E+00   1.016E+01  2.489E+00 
4.247E+00   1.022E+01  2.488E+00 
4.302E+00   1.029E+01  2.488E+00 
4.358E+00   1.035E+01  2.487E+00 
4.415E+00   1.042E+01  2.486E+00 
4.472E+00   1.049E+01  2.486E+00 
4.530E+00   1.056E+01  2.485E+00 
4.589E+00   1.063E+01  2.484E+00 
4.649E+00   1.069E+01  2.483E+00 
4.709E+00   1.076E+01  2.482E+00 
4.770E+00   1.083E+01  2.481E+00 
4.832E+00   1.090E+01  2.480E+00 
4.895E+00   1.097E+01  2.479E+00 
4.959E+00   1.104E+01  2.478E+00 
5.023E+00   1.112E+01  2.476E+00 
5.089E+00   1.119E+01  2.475E+00 
5.155E+00   1.126E+01  2.473E+00 
5.222E+00   1.133E+01  2.472E+00 
5.290E+00   1.141E+01  2.470E+00 
5.358E+00   1.148E+01  2.469E+00 
5.428E+00   1.156E+01  2.467E+00 
5.499E+00   1.163E+01  2.465E+00 
5.570E+00   1.171E+01  2.463E+00 
5.642E+00   1.178E+01  2.461E+00 
5.716E+00   1.186E+01  2.459E+00 
5.790E+00   1.193E+01  2.457E+00 
5.865E+00   1.201E+01  2.455E+00 
5.942E+00   1.209E+01  2.453E+00 
6.019E+00   1.217E+01  2.450E+00 
6.097E+00   1.225E+01  2.448E+00 
6.176E+00   1.233E+01  2.446E+00 
6.256E+00   1.241E+01  2.443E+00 
6.338E+00   1.249E+01  2.440E+00 
6.420E+00   1.257E+01  2.438E+00 
6.504E+00   1.265E+01  2.435E+00 
6.588E+00   1.273E+01  2.432E+00 
6.674E+00   1.281E+01  2.429E+00 
6.760E+00   1.290E+01  2.426E+00 
6.848E+00   1.298E+01  2.423E+00 
6.937E+00   1.306E+01  2.420E+00 
7.027E+00   1.315E+01  2.417E+00 
7.119E+00   1.323E+01  2.414E+00 
7.211E+00   1.332E+01  2.411E+00 
7.305E+00   1.341E+01  2.407E+00 
7.400E+00   1.349E+01  2.404E+00 
7.496E+00   1.358E+01  2.400E+00 
7.594E+00   1.367E+01  2.397E+00 
7.692E+00   1.376E+01  2.393E+00 
7.792E+00   1.385E+01  2.389E+00 
7.894E+00   1.393E+01  2.386E+00 
7.996E+00   1.402E+01  2.382E+00 
8.100E+00   1.412E+01  2.378E+00 
8.205E+00   1.422E+01  2.374E+00 
8.312E+00   1.432E+01  2.370E+00 
8.420E+00   1.442E+01  2.366E+00 
8.529E+00   1.452E+01  2.362E+00 
8.640E+00   1.462E+01  2.357E+00 
8.753E+00   1.472E+01  2.353E+00 
8.866E+00   1.482E+01  2.349E+00 
8.982E+00   1.493E+01  2.344E+00 
9.098E+00   1.503E+01  2.340E+00 
9.217E+00   1.514E+01  2.335E+00 
9.336E+00   1.525E+01  2.330E+00 
9.458E+00   1.536E+01  2.326E+00 
9.581E+00   1.547E+01  2.321E+00 
9.705E+00   1.558E+01  2.316E+00 
9.831E+00   1.569E+01  2.311E+00 
9.959E+00   1.580E+01  2.306E+00 
1.009E+01   1.591E+01  2.301E+00 
1.022E+01   1.603E+01  2.296E+00 
1.035E+01   1.615E+01  2.291E+00 
1.049E+01   1.626E+01  2.285E+00 
1.062E+01   1.638E+01  2.280E+00 
1.076E+01   1.650E+01  2.275E+00 
1.090E+01   1.662E+01  2.269E+00 
1.104E+01   1.674E+01  2.264E+00 
1.119E+01   1.687E+01  2.258E+00 
1.133E+01   1.699E+01  2.253E+00 
1.148E+01   1.712E+01  2.247E+00 
1.163E+01   1.725E+01  2.241E+00 
1.178E+01   1.737E+01  2.236E+00 
1.193E+01   1.750E+01  2.230E+00 
1.209E+01   1.763E+01  2.224E+00 
1.224E+01   1.777E+01  2.218E+00 
1.240E+01   1.790E+01  2.212E+00 
1.256E+01   1.803E+01  2.206E+00 
1.273E+01   1.817E+01  2.200E+00 
1.289E+01   1.831E+01  2.194E+00 
1.306E+01   1.845E+01  2.187E+00 
1.323E+01   1.859E+01  2.181E+00 
1.340E+01   1.873E+01  2.175E+00 
1.358E+01   1.887E+01  2.168E+00 
1.375E+01   1.901E+01  2.162E+00 
1.393E+01   1.916E+01  2.155E+00 
1.411E+01   1.931E+01  2.149E+00 
1.430E+01   1.946E+01  2.142E+00 
1.448E+01   1.961E+01  2.136E+00 
1.467E+01   1.976E+01  2.129E+00 
1.486E+01   1.991E+01  2.122E+00 
1.505E+01   2.007E+01  2.115E+00 
1.525E+01   2.022E+01  2.108E+00 
1.545E+01   2.038E+01  2.101E+00 
1.565E+01   2.054E+01  2.095E+00 
1.585E+01   2.070E+01  2.088E+00 
1.606E+01   2.086E+01  2.081E+00 
1.627E+01   2.103E+01  2.073E+00 
1.648E+01   2.119E+01  2.066E+00 
1.669E+01   2.136E+01  2.059E+00 
1.691E+01   2.153E+01  2.052E+00 
1.713E+01   2.170E+01  2.045E+00 
1.735E+01   2.187E+01  2.037E+00 
1.758E+01   2.205E+01  2.030E+00 
1.781E+01   2.222E+01  2.023E+00 
1.804E+01   2.240E+01  2.015E+00 
1.827E+01   2.258E+01  2.008E+00 
1.851E+01   2.276E+01  2.000E+00 
1.875E+01   2.294E+01  1.993E+00 
1.899E+01   2.313E+01  1.985E+00 
1.924E+01   2.331E+01  1.978E+00 
1.949E+01   2.350E+01  1.970E+00 
1.974E+01   2.369E+01  1.962E+00 
2.000E+01   2.389E+01  1.954E+00 
