Ion = Helium      . Mass = 4.0026
Tgt =  I (Solid). Density = 4.9373 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   5.463E+00  2.227E+00 
1.013E+00   5.499E+00  2.232E+00 
1.026E+00   5.534E+00  2.238E+00 
1.039E+00   5.570E+00  2.243E+00 
1.053E+00   5.606E+00  2.248E+00 
1.067E+00   5.643E+00  2.253E+00 
1.081E+00   5.679E+00  2.258E+00 
1.095E+00   5.716E+00  2.263E+00 
1.109E+00   5.753E+00  2.268E+00 
1.123E+00   5.790E+00  2.273E+00 
1.138E+00   5.828E+00  2.278E+00 
1.153E+00   5.865E+00  2.283E+00 
1.168E+00   5.903E+00  2.288E+00 
1.183E+00   5.942E+00  2.293E+00 
1.198E+00   5.980E+00  2.298E+00 
1.214E+00   6.019E+00  2.303E+00 
1.229E+00   6.058E+00  2.308E+00 
1.245E+00   6.097E+00  2.312E+00 
1.262E+00   6.137E+00  2.317E+00 
1.278E+00   6.176E+00  2.322E+00 
1.295E+00   6.216E+00  2.326E+00 
1.311E+00   6.257E+00  2.331E+00 
1.329E+00   6.297E+00  2.336E+00 
1.346E+00   6.338E+00  2.340E+00 
1.363E+00   6.379E+00  2.345E+00 
1.381E+00   6.420E+00  2.349E+00 
1.399E+00   6.462E+00  2.353E+00 
1.417E+00   6.504E+00  2.358E+00 
1.436E+00   6.546E+00  2.362E+00 
1.454E+00   6.588E+00  2.366E+00 
1.473E+00   6.631E+00  2.371E+00 
1.492E+00   6.674E+00  2.375E+00 
1.512E+00   6.717E+00  2.379E+00 
1.531E+00   6.761E+00  2.383E+00 
1.551E+00   6.804E+00  2.387E+00 
1.571E+00   6.849E+00  2.391E+00 
1.592E+00   6.893E+00  2.395E+00 
1.612E+00   6.938E+00  2.399E+00 
1.633E+00   6.982E+00  2.403E+00 
1.655E+00   7.028E+00  2.407E+00 
1.676E+00   7.073E+00  2.411E+00 
1.698E+00   7.119E+00  2.415E+00 
1.720E+00   7.165E+00  2.419E+00 
1.742E+00   7.212E+00  2.422E+00 
1.765E+00   7.258E+00  2.426E+00 
1.788E+00   7.305E+00  2.430E+00 
1.811E+00   7.353E+00  2.433E+00 
1.835E+00   7.400E+00  2.437E+00 
1.859E+00   7.448E+00  2.440E+00 
1.883E+00   7.496E+00  2.444E+00 
1.907E+00   7.545E+00  2.447E+00 
1.932E+00   7.594E+00  2.450E+00 
1.957E+00   7.643E+00  2.454E+00 
1.983E+00   7.693E+00  2.457E+00 
2.008E+00   7.742E+00  2.460E+00 
2.034E+00   7.793E+00  2.463E+00 
2.061E+00   7.843E+00  2.466E+00 
2.088E+00   7.894E+00  2.469E+00 
2.115E+00   7.945E+00  2.472E+00 
2.142E+00   7.996E+00  2.475E+00 
2.170E+00   8.048E+00  2.478E+00 
2.198E+00   8.100E+00  2.481E+00 
2.227E+00   8.153E+00  2.484E+00 
2.256E+00   8.206E+00  2.486E+00 
2.285E+00   8.259E+00  2.489E+00 
2.315E+00   8.312E+00  2.492E+00 
2.345E+00   8.366E+00  2.494E+00 
2.375E+00   8.420E+00  2.497E+00 
2.406E+00   8.475E+00  2.499E+00 
2.438E+00   8.530E+00  2.502E+00 
2.469E+00   8.585E+00  2.504E+00 
2.501E+00   8.641E+00  2.506E+00 
2.534E+00   8.697E+00  2.508E+00 
2.567E+00   8.753E+00  2.511E+00 
2.600E+00   8.810E+00  2.513E+00 
2.634E+00   8.867E+00  2.515E+00 
2.668E+00   8.924E+00  2.517E+00 
2.703E+00   8.982E+00  2.519E+00 
2.738E+00   9.040E+00  2.521E+00 
2.773E+00   9.099E+00  2.522E+00 
2.810E+00   9.158E+00  2.524E+00 
2.846E+00   9.217E+00  2.526E+00 
2.883E+00   9.277E+00  2.528E+00 
2.921E+00   9.337E+00  2.529E+00 
2.958E+00   9.397E+00  2.531E+00 
2.997E+00   9.458E+00  2.532E+00 
3.036E+00   9.519E+00  2.534E+00 
3.075E+00   9.581E+00  2.535E+00 
3.115E+00   9.643E+00  2.536E+00 
3.156E+00   9.706E+00  2.537E+00 
3.197E+00   9.768E+00  2.538E+00 
3.238E+00   9.832E+00  2.540E+00 
3.280E+00   9.895E+00  2.541E+00 
3.323E+00   9.960E+00  2.542E+00 
3.366E+00   1.002E+01  2.542E+00 
3.410E+00   1.009E+01  2.543E+00 
3.454E+00   1.015E+01  2.544E+00 
3.499E+00   1.022E+01  2.545E+00 
3.545E+00   1.029E+01  2.545E+00 
3.591E+00   1.035E+01  2.546E+00 
3.637E+00   1.042E+01  2.547E+00 
