Ion = Helium      . Mass = 4.0026
Tgt = Xe (Solid). Density = 3.0589 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   3.881E+00  2.183E+00 
1.013E+00   3.906E+00  2.189E+00 
1.026E+00   3.931E+00  2.194E+00 
1.039E+00   3.956E+00  2.199E+00 
1.053E+00   3.982E+00  2.204E+00 
1.067E+00   4.008E+00  2.209E+00 
1.081E+00   4.034E+00  2.214E+00 
1.095E+00   4.060E+00  2.219E+00 
1.109E+00   4.086E+00  2.224E+00 
1.123E+00   4.113E+00  2.229E+00 
1.138E+00   4.139E+00  2.234E+00 
1.153E+00   4.166E+00  2.238E+00 
1.168E+00   4.193E+00  2.243E+00 
1.183E+00   4.220E+00  2.248E+00 
1.198E+00   4.248E+00  2.253E+00 
1.214E+00   4.275E+00  2.257E+00 
1.229E+00   4.303E+00  2.262E+00 
1.245E+00   4.331E+00  2.267E+00 
1.262E+00   4.359E+00  2.271E+00 
1.278E+00   4.387E+00  2.276E+00 
1.295E+00   4.415E+00  2.281E+00 
1.311E+00   4.444E+00  2.285E+00 
1.329E+00   4.473E+00  2.290E+00 
1.346E+00   4.502E+00  2.294E+00 
1.363E+00   4.531E+00  2.298E+00 
1.381E+00   4.560E+00  2.303E+00 
1.399E+00   4.590E+00  2.307E+00 
1.417E+00   4.620E+00  2.311E+00 
1.436E+00   4.650E+00  2.316E+00 
1.454E+00   4.680E+00  2.320E+00 
1.473E+00   4.710E+00  2.324E+00 
1.492E+00   4.740E+00  2.328E+00 
1.512E+00   4.771E+00  2.332E+00 
1.531E+00   4.802E+00  2.336E+00 
1.551E+00   4.833E+00  2.340E+00 
1.571E+00   4.865E+00  2.344E+00 
1.592E+00   4.896E+00  2.348E+00 
1.612E+00   4.928E+00  2.352E+00 
1.633E+00   4.960E+00  2.356E+00 
1.655E+00   4.992E+00  2.360E+00 
1.676E+00   5.024E+00  2.364E+00 
1.698E+00   5.057E+00  2.367E+00 
1.720E+00   5.089E+00  2.371E+00 
1.742E+00   5.122E+00  2.375E+00 
1.765E+00   5.156E+00  2.378E+00 
1.788E+00   5.189E+00  2.382E+00 
1.811E+00   5.223E+00  2.385E+00 
1.835E+00   5.256E+00  2.389E+00 
1.859E+00   5.290E+00  2.392E+00 
1.883E+00   5.325E+00  2.395E+00 
1.907E+00   5.359E+00  2.399E+00 
1.932E+00   5.394E+00  2.402E+00 
1.957E+00   5.429E+00  2.405E+00 
1.983E+00   5.464E+00  2.408E+00 
2.008E+00   5.499E+00  2.412E+00 
2.034E+00   5.535E+00  2.415E+00 
2.061E+00   5.571E+00  2.418E+00 
2.088E+00   5.607E+00  2.421E+00 
2.115E+00   5.643E+00  2.424E+00 
2.142E+00   5.680E+00  2.427E+00 
2.170E+00   5.717E+00  2.429E+00 
2.198E+00   5.754E+00  2.432E+00 
2.227E+00   5.791E+00  2.435E+00 
2.256E+00   5.828E+00  2.438E+00 
2.285E+00   5.866E+00  2.440E+00 
2.315E+00   5.904E+00  2.443E+00 
2.345E+00   5.942E+00  2.445E+00 
2.375E+00   5.981E+00  2.448E+00 
2.406E+00   6.020E+00  2.450E+00 
2.438E+00   6.059E+00  2.453E+00 
2.469E+00   6.098E+00  2.455E+00 
2.501E+00   6.137E+00  2.457E+00 
2.534E+00   6.177E+00  2.459E+00 
2.567E+00   6.217E+00  2.462E+00 
2.600E+00   6.257E+00  2.464E+00 
2.634E+00   6.298E+00  2.466E+00 
2.668E+00   6.339E+00  2.468E+00 
2.703E+00   6.380E+00  2.470E+00 
2.738E+00   6.421E+00  2.472E+00 
2.773E+00   6.463E+00  2.473E+00 
2.810E+00   6.505E+00  2.475E+00 
2.846E+00   6.547E+00  2.477E+00 
2.883E+00   6.589E+00  2.479E+00 
2.921E+00   6.632E+00  2.480E+00 
2.958E+00   6.675E+00  2.482E+00 
2.997E+00   6.718E+00  2.483E+00 
3.036E+00   6.761E+00  2.485E+00 
3.075E+00   6.805E+00  2.486E+00 
3.115E+00   6.849E+00  2.487E+00 
3.156E+00   6.894E+00  2.488E+00 
3.197E+00   6.938E+00  2.490E+00 
3.238E+00   6.983E+00  2.491E+00 
3.280E+00   7.029E+00  2.492E+00 
3.323E+00   7.074E+00  2.493E+00 
3.366E+00   7.120E+00  2.494E+00 
3.410E+00   7.166E+00  2.495E+00 
3.454E+00   7.212E+00  2.495E+00 
3.499E+00   7.259E+00  2.496E+00 
3.545E+00   7.306E+00  2.497E+00 
3.591E+00   7.353E+00  2.497E+00 
3.637E+00   7.401E+00  2.498E+00 
3.685E+00   7.449E+00  2.498E+00 
3.733E+00   7.497E+00  2.499E+00 
3.781E+00   7.546E+00  2.499E+00 
3.830E+00   7.595E+00  2.499E+00 
3.880E+00   7.644E+00  2.500E+00 
3.930E+00   7.693E+00  2.500E+00 
3.982E+00   7.743E+00  2.500E+00 
4.033E+00   7.793E+00  2.500E+00 
4.086E+00   7.844E+00  2.500E+00 
4.139E+00   7.895E+00  2.500E+00 
4.193E+00   7.946E+00  2.500E+00 
4.247E+00   7.997E+00  2.499E+00 
