Ion = Helium      . Mass = 4.0026
Tgt = Ba (Solid). Density = 3.51 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.000E+00   7.041E+00  2.133E+00 
1.013E+00   7.087E+00  2.138E+00 
1.026E+00   7.133E+00  2.144E+00 
1.039E+00   7.179E+00  2.149E+00 
1.053E+00   7.226E+00  2.154E+00 
1.067E+00   7.272E+00  2.159E+00 
1.081E+00   7.319E+00  2.164E+00 
1.095E+00   7.367E+00  2.169E+00 
1.109E+00   7.415E+00  2.174E+00 
1.123E+00   7.463E+00  2.178E+00 
1.138E+00   7.511E+00  2.183E+00 
1.153E+00   7.560E+00  2.188E+00 
1.168E+00   7.609E+00  2.193E+00 
1.183E+00   7.658E+00  2.198E+00 
1.198E+00   7.707E+00  2.203E+00 
1.214E+00   7.757E+00  2.207E+00 
1.229E+00   7.808E+00  2.212E+00 
1.245E+00   7.858E+00  2.217E+00 
1.262E+00   7.909E+00  2.221E+00 
1.278E+00   7.960E+00  2.226E+00 
1.295E+00   8.012E+00  2.230E+00 
1.311E+00   8.064E+00  2.235E+00 
1.329E+00   8.116E+00  2.239E+00 
1.346E+00   8.169E+00  2.244E+00 
1.363E+00   8.222E+00  2.248E+00 
1.381E+00   8.275E+00  2.253E+00 
1.399E+00   8.328E+00  2.257E+00 
1.417E+00   8.382E+00  2.261E+00 
1.436E+00   8.437E+00  2.266E+00 
1.454E+00   8.491E+00  2.270E+00 
1.473E+00   8.546E+00  2.274E+00 
1.492E+00   8.602E+00  2.278E+00 
1.512E+00   8.657E+00  2.282E+00 
1.531E+00   8.713E+00  2.287E+00 
1.551E+00   8.770E+00  2.291E+00 
1.571E+00   8.827E+00  2.295E+00 
1.592E+00   8.884E+00  2.299E+00 
1.612E+00   8.941E+00  2.303E+00 
1.633E+00   8.999E+00  2.306E+00 
1.655E+00   9.058E+00  2.310E+00 
1.676E+00   9.116E+00  2.314E+00 
1.698E+00   9.175E+00  2.318E+00 
1.720E+00   9.235E+00  2.322E+00 
1.742E+00   9.295E+00  2.325E+00 
1.765E+00   9.355E+00  2.329E+00 
1.788E+00   9.415E+00  2.333E+00 
1.811E+00   9.476E+00  2.336E+00 
1.835E+00   9.538E+00  2.340E+00 
1.859E+00   9.599E+00  2.343E+00 
1.883E+00   9.662E+00  2.347E+00 
1.907E+00   9.724E+00  2.350E+00 
1.932E+00   9.787E+00  2.353E+00 
1.957E+00   9.851E+00  2.357E+00 
1.983E+00   9.914E+00  2.360E+00 
2.008E+00   9.979E+00  2.363E+00 
2.034E+00   1.004E+01  2.366E+00 
2.061E+00   1.011E+01  2.369E+00 
2.088E+00   1.017E+01  2.373E+00 
2.115E+00   1.024E+01  2.376E+00 
2.142E+00   1.031E+01  2.379E+00 
2.170E+00   1.037E+01  2.382E+00 
2.198E+00   1.044E+01  2.384E+00 
2.227E+00   1.051E+01  2.387E+00 
2.256E+00   1.058E+01  2.390E+00 
2.285E+00   1.064E+01  2.393E+00 
2.315E+00   1.071E+01  2.395E+00 
2.345E+00   1.078E+01  2.398E+00 
2.375E+00   1.085E+01  2.401E+00 
2.406E+00   1.092E+01  2.403E+00 
2.438E+00   1.099E+01  2.406E+00 
2.469E+00   1.106E+01  2.408E+00 
2.501E+00   1.114E+01  2.411E+00 
2.534E+00   1.121E+01  2.413E+00 
2.567E+00   1.128E+01  2.415E+00 
